27.Osaka.fu, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08989  0.08447  0.29  100000    8447   93971  4886434  48.86
  1947           1     0.03688  0.03621  0.50   91553    3315   89896  4792463  52.35
  1947           2     0.01990  0.01970  0.50   88238    1738   87369  4702568  53.29
  1947           3     0.01033  0.01027  0.50   86500     889   86055  4615199  53.36
  1947           4     0.00641  0.00639  0.50   85611     547   85338  4529143  52.90
  1947           5     0.00462  0.00461  0.50   85064     393   84868  4443806  52.24
  1947           6     0.00369  0.00369  0.50   84672     312   84516  4358938  51.48
  1947           7     0.00304  0.00303  0.50   84360     256   84232  4274422  50.67
  1947           8     0.00262  0.00262  0.50   84104     220   83994  4190190  49.82
  1947           9     0.00232  0.00232  0.50   83883     195   83786  4106197  48.95
  1947          10     0.00199  0.00199  0.50   83689     166   83605  4022411  48.06
  1947          11     0.00171  0.00171  0.50   83522     143   83451  3938805  47.16
  1947          12     0.00161  0.00160  0.50   83379     134   83313  3855354  46.24
  1947          13     0.00166  0.00166  0.50   83246     138   83177  3772042  45.31
  1947          14     0.00189  0.00189  0.50   83108     157   83029  3688865  44.39
  1947          15     0.00233  0.00233  0.50   82951     193   82854  3605836  43.47
  1947          16     0.00316  0.00316  0.50   82758     261   82627  3522981  42.57
  1947          17     0.00448  0.00447  0.50   82496     369   82312  3440355  41.70
  1947          18     0.00601  0.00599  0.50   82127     492   81881  3358043  40.89
  1947          19     0.00738  0.00735  0.50   81635     600   81335  3276162  40.13
  1947          20     0.00833  0.00830  0.50   81035     672   80699  3194827  39.43
  1947          21     0.00889  0.00885  0.50   80363     711   80007  3114128  38.75
  1947          22     0.00916  0.00912  0.50   79651     727   79288  3034121  38.09
  1947          23     0.00942  0.00938  0.50   78925     740   78555  2954833  37.44
  1947          24     0.00974  0.00969  0.50   78185     758   77806  2876278  36.79
  1947          25     0.00955  0.00951  0.50   77427     736   77059  2798473  36.14
  1947          26     0.00904  0.00900  0.50   76691     690   76346  2721414  35.49
  1947          27     0.00857  0.00853  0.50   76001     648   75676  2645068  34.80
  1947          28     0.00832  0.00829  0.50   75352     625   75040  2569392  34.10
  1947          29     0.00835  0.00831  0.50   74728     621   74417  2494352  33.38
  1947          30     0.00837  0.00834  0.50   74106     618   73798  2419935  32.65
  1947          31     0.00830  0.00826  0.50   73489     607   73185  2346137  31.93
  1947          32     0.00814  0.00811  0.50   72881     591   72586  2272952  31.19
  1947          33     0.00815  0.00811  0.50   72291     586   71997  2200366  30.44
  1947          34     0.00850  0.00846  0.50   71704     607   71401  2128369  29.68
  1947          35     0.00894  0.00890  0.50   71097     632   70781  2056968  28.93
  1947          36     0.00922  0.00918  0.50   70465     647   70142  1986187  28.19
  1947          37     0.00962  0.00958  0.50   69818     669   69484  1916045  27.44
  1947          38     0.01009  0.01004  0.50   69149     694   68802  1846561  26.70
  1947          39     0.01051  0.01045  0.50   68455     716   68097  1777759  25.97
  1947          40     0.01089  0.01084  0.50   67740     734   67373  1709662  25.24
  1947          41     0.01132  0.01126  0.50   67006     754   66628  1642289  24.51
  1947          42     0.01189  0.01182  0.50   66251     783   65860  1575661  23.78
  1947          43     0.01242  0.01235  0.50   65469     808   65064  1509801  23.06
  1947          44     0.01281  0.01273  0.50   64660     823   64249  1444736  22.34
  1947          45     0.01344  0.01335  0.50   63837     852   63411  1380488  21.63
  1947          46     0.01448  0.01438  0.50   62985     906   62532  1317077  20.91
  1947          47     0.01511  0.01499  0.50   62079     931   61614  1254545  20.21
  1947          48     0.01562  0.01550  0.50   61149     948   60675  1192931  19.51
  1947          49     0.01659  0.01646  0.50   60201     991   59706  1132256  18.81
  1947          50     0.01824  0.01807  0.50   59210    1070   58675  1072550  18.11
  1947          51     0.02040  0.02020  0.50   58140    1174   57553  1013875  17.44
  1947          52     0.02195  0.02171  0.50   56966    1237   56348   956321  16.79
  1947          53     0.02215  0.02191  0.50   55730    1221   55119   899974  16.15
  1947          54     0.02264  0.02239  0.50   54508    1220   53898   844855  15.50
  1947          55     0.02430  0.02401  0.50   53288    1280   52648   790956  14.84
  1947          56     0.02729  0.02693  0.50   52009    1400   51308   738308  14.20
  1947          57     0.03012  0.02967  0.50   50608    1502   49857   686999  13.57
  1947          58     0.03207  0.03156  0.50   49107    1550   48332   637142  12.97
  1947          59     0.03593  0.03530  0.50   47557    1679   46717   588811  12.38
  1947          60     0.04078  0.03997  0.50   45878    1834   44961   542093  11.82
  1947          61     0.04495  0.04396  0.50   44044    1936   43076   497132  11.29
  1947          62     0.04872  0.04756  0.50   42108    2003   41107   454056  10.78
  1947          63     0.05272  0.05137  0.50   40105    2060   39075   412950  10.30
  1947          64     0.05694  0.05536  0.50   38045    2106   36992   373875   9.83
  1947          65     0.06106  0.05925  0.50   35939    2129   34874   336883   9.37
  1947          66     0.06465  0.06263  0.50   33809    2117   32751   302009   8.93
  1947          67     0.06854  0.06626  0.50   31692    2100   30642   269258   8.50
  1947          68     0.07365  0.07103  0.50   29592    2102   28541   238616   8.06
  1947          69     0.08005  0.07697  0.50   27490    2116   26432   210075   7.64
  1947          70     0.08772  0.08403  0.50   25374    2132   24308   183643   7.24
