28.Hyogo.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09098  0.08545  0.29  100000    8545   93926  4952797  49.53
  1947           1     0.02651  0.02617  0.50   91455    2393   90258  4858871  53.13
  1947           2     0.02072  0.02051  0.50   89061    1827   88148  4768613  53.54
  1947           3     0.01544  0.01532  0.50   87235    1336   86566  4680465  53.65
  1947           4     0.01094  0.01088  0.50   85898     935   85431  4593898  53.48
  1947           5     0.00742  0.00739  0.50   84964     628   84650  4508467  53.06
  1947           6     0.00483  0.00482  0.50   84336     407   84133  4423818  52.45
  1947           7     0.00308  0.00308  0.50   83929     258   83800  4339685  51.71
  1947           8     0.00198  0.00198  0.50   83671     166   83588  4255885  50.86
  1947           9     0.00138  0.00138  0.50   83505     116   83447  4172297  49.96
  1947          10     0.00114  0.00114  0.50   83389      95   83342  4088850  49.03
  1947          11     0.00118  0.00118  0.50   83294      98   83245  4005508  48.09
  1947          12     0.00143  0.00143  0.50   83196     119   83137  3922263  47.14
  1947          13     0.00186  0.00186  0.50   83077     154   83000  3839126  46.21
  1947          14     0.00245  0.00245  0.50   82923     203   82822  3756126  45.30
  1947          15     0.00319  0.00318  0.50   82720     263   82588  3673304  44.41
  1947          16     0.00404  0.00404  0.50   82457     333   82290  3590716  43.55
  1947          17     0.00498  0.00496  0.50   82124     408   81920  3508426  42.72
  1947          18     0.00594  0.00592  0.50   81716     484   81474  3426505  41.93
  1947          19     0.00685  0.00683  0.50   81233     555   80955  3345031  41.18
  1947          20     0.00765  0.00762  0.50   80678     615   80371  3264076  40.46
  1947          21     0.00829  0.00825  0.50   80063     661   79733  3183705  39.76
  1947          22     0.00874  0.00870  0.50   79403     691   79057  3103972  39.09
  1947          23     0.00903  0.00899  0.50   78712     707   78358  3024915  38.43
  1947          24     0.00919  0.00915  0.50   78005     714   77648  2946556  37.77
  1947          25     0.00923  0.00919  0.50   77291     710   76936  2868908  37.12
  1947          26     0.00918  0.00914  0.50   76581     700   76231  2791972  36.46
  1947          27     0.00905  0.00901  0.50   75881     684   75539  2715741  35.79
  1947          28     0.00891  0.00887  0.50   75197     667   74864  2640202  35.11
  1947          29     0.00880  0.00876  0.50   74530     653   74204  2565338  34.42
  1947          30     0.00874  0.00870  0.50   73877     643   73556  2491134  33.72
  1947          31     0.00870  0.00866  0.50   73234     635   72917  2417579  33.01
  1947          32     0.00867  0.00863  0.50   72600     626   72287  2344662  32.30
  1947          33     0.00864  0.00860  0.50   71973     619   71664  2272375  31.57
  1947          34     0.00863  0.00859  0.50   71354     613   71048  2200711  30.84
  1947          35     0.00865  0.00862  0.50   70741     610   70437  2129664  30.10
  1947          36     0.00873  0.00870  0.50   70132     610   69827  2059227  29.36
  1947          37     0.00888  0.00884  0.50   69522     615   69215  1989400  28.62
  1947          38     0.00909  0.00905  0.50   68907     623   68596  1920186  27.87
  1947          39     0.00935  0.00931  0.50   68284     636   67966  1851590  27.12
  1947          40     0.00967  0.00962  0.50   67648     651   67323  1783624  26.37
  1947          41     0.01002  0.00997  0.50   66997     668   66663  1716301  25.62
  1947          42     0.01038  0.01032  0.50   66330     685   65987  1649638  24.87
  1947          43     0.01076  0.01070  0.50   65645     703   65293  1583651  24.12
  1947          44     0.01119  0.01113  0.50   64942     723   64581  1518357  23.38
  1947          45     0.01170  0.01163  0.50   64220     747   63846  1453777  22.64
  1947          46     0.01232  0.01224  0.50   63473     777   63084  1389930  21.90
  1947          47     0.01306  0.01298  0.50   62696     814   62289  1326846  21.16
  1947          48     0.01394  0.01384  0.50   61882     856   61454  1264557  20.43
  1947          49     0.01493  0.01481  0.50   61026     904   60574  1203103  19.71
  1947          50     0.01603  0.01590  0.50   60122     956   59643  1142530  19.00
  1947          51     0.01725  0.01711  0.50   59165    1012   58659  1082886  18.30
  1947          52     0.01859  0.01841  0.50   58153    1071   57618  1024227  17.61
  1947          53     0.02002  0.01982  0.50   57082    1132   56517   966609  16.93
  1947          54     0.02158  0.02135  0.50   55951    1194   55354   910092  16.27
  1947          55     0.02328  0.02301  0.50   54756    1260   54126   854739  15.61
  1947          56     0.02516  0.02485  0.50   53496    1329   52832   800612  14.97
  1947          57     0.02723  0.02687  0.50   52167    1401   51466   747780  14.33
  1947          58     0.02950  0.02907  0.50   50766    1476   50028   696314  13.72
  1947          59     0.03194  0.03143  0.50   49290    1549   48515   646286  13.11
  1947          60     0.03453  0.03395  0.50   47740    1621   46930   597771  12.52
  1947          61     0.03732  0.03664  0.50   46120    1690   45275   550841  11.94
  1947          62     0.04041  0.03961  0.50   44430    1760   43550   505567  11.38
  1947          63     0.04390  0.04296  0.50   42670    1833   41754   462017  10.83
  1947          64     0.04787  0.04675  0.50   40837    1909   39882   420263  10.29
  1947          65     0.05237  0.05103  0.50   38928    1986   37935   380381   9.77
  1947          66     0.05739  0.05579  0.50   36941    2061   35911   342446   9.27
  1947          67     0.06286  0.06094  0.50   34880    2126   33818   306535   8.79
  1947          68     0.06868  0.06640  0.50   32755    2175   31667   272718   8.33
  1947          69     0.07488  0.07218  0.50   30580    2207   29476   241050   7.88
  1947          70     0.08152  0.07833  0.50   28373    2222   27262   211574   7.46
  1947          71     0.08871  0.08494  0.50   26150    2221   25040   184312   7.05
  1947          72     0.09650  0.09205  0.50   23929    2203   22828   159272   6.66
  1947          73     0.10496  0.09972  0.50   21726    2167   20643   136445   6.28
