29.Nara.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12735  0.11734  0.33  100000   11734   92138  4658133  46.58
  1947           1     0.02818  0.02778  0.50   88266    2452   87040  4565995  51.73
  1947           2     0.02126  0.02104  0.50   85814    1805   84911  4478955  52.19
  1947           3     0.01516  0.01505  0.50   84009    1264   83377  4394043  52.30
  1947           4     0.01027  0.01022  0.50   82745     846   82322  4310667  52.10
  1947           5     0.00677  0.00675  0.50   81899     553   81623  4228345  51.63
  1947           6     0.00448  0.00447  0.50   81346     364   81164  4146722  50.98
  1947           7     0.00311  0.00311  0.50   80982     252   80856  4065558  50.20
  1947           8     0.00233  0.00233  0.50   80731     188   80637  3984702  49.36
  1947           9     0.00192  0.00192  0.50   80543     154   80466  3904065  48.47
  1947          10     0.00174  0.00174  0.50   80388     140   80318  3823599  47.56
  1947          11     0.00174  0.00174  0.50   80249     139   80179  3743281  46.65
  1947          12     0.00188  0.00188  0.50   80109     151   80034  3663102  45.73
  1947          13     0.00217  0.00217  0.50   79958     173   79872  3583068  44.81
  1947          14     0.00263  0.00263  0.50   79785     210   79680  3503197  43.91
  1947          15     0.00331  0.00330  0.50   79575     263   79444  3423517  43.02
  1947          16     0.00418  0.00417  0.50   79312     331   79147  3344073  42.16
  1947          17     0.00520  0.00519  0.50   78981     410   78777  3264926  41.34
  1947          18     0.00622  0.00620  0.50   78572     487   78328  3186149  40.55
  1947          19     0.00710  0.00708  0.50   78084     553   77808  3107821  39.80
  1947          20     0.00785  0.00782  0.50   77531     606   77228  3030014  39.08
  1947          21     0.00846  0.00842  0.50   76925     648   76601  2952785  38.39
  1947          22     0.00894  0.00890  0.50   76277     679   75938  2876184  37.71
  1947          23     0.00926  0.00921  0.50   75598     697   75250  2800246  37.04
  1947          24     0.00939  0.00935  0.50   74902     700   74552  2724996  36.38
  1947          25     0.00939  0.00935  0.50   74202     694   73855  2650444  35.72
  1947          26     0.00936  0.00931  0.50   73508     684   73166  2576590  35.05
  1947          27     0.00934  0.00930  0.50   72823     677   72485  2503424  34.38
  1947          28     0.00936  0.00932  0.50   72146     672   71810  2430939  33.69
  1947          29     0.00940  0.00936  0.50   71474     669   71139  2359130  33.01
  1947          30     0.00948  0.00943  0.50   70805     668   70471  2287990  32.31
  1947          31     0.00956  0.00952  0.50   70137     668   69803  2217520  31.62
  1947          32     0.00964  0.00959  0.50   69469     666   69136  2147716  30.92
  1947          33     0.00968  0.00963  0.50   68803     663   68472  2078580  30.21
  1947          34     0.00969  0.00964  0.50   68140     657   67812  2010108  29.50
  1947          35     0.00967  0.00963  0.50   67483     650   67159  1942297  28.78
  1947          36     0.00964  0.00960  0.50   66834     641   66513  1875138  28.06
  1947          37     0.00963  0.00958  0.50   66192     634   65875  1808625  27.32
