03.Iwate.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11895  0.11017  0.33  100000   11017   92618  4875695  48.76
  1947           1     0.03924  0.03848  0.50   88983    3424   87271  4783077  53.75
  1947           2     0.02220  0.02196  0.50   85559    1879   84619  4695806  54.88
  1947           3     0.01159  0.01152  0.50   83680     964   83198  4611187  55.11
  1947           4     0.00645  0.00643  0.50   82716     532   82450  4527989  54.74
  1947           5     0.00429  0.00428  0.50   82184     352   82008  4445539  54.09
  1947           6     0.00360  0.00359  0.50   81832     294   81685  4363530  53.32
  1947           7     0.00326  0.00326  0.50   81538     266   81405  4281845  52.51
  1947           8     0.00276  0.00275  0.50   81273     224   81161  4200440  51.68
  1947           9     0.00224  0.00223  0.50   81049     181   80958  4119279  50.82
  1947          10     0.00194  0.00194  0.50   80868     157   80789  4038320  49.94
  1947          11     0.00189  0.00189  0.50   80711     152   80635  3957531  49.03
  1947          12     0.00200  0.00199  0.50   80558     161   80478  3876897  48.13
  1947          13     0.00214  0.00214  0.50   80398     172   80312  3796418  47.22
  1947          14     0.00237  0.00237  0.50   80226     190   80131  3716107  46.32
  1947          15     0.00274  0.00274  0.50   80036     219   79926  3635976  45.43
  1947          16     0.00326  0.00325  0.50   79816     260   79687  3556050  44.55
  1947          17     0.00393  0.00392  0.50   79557     312   79401  3476364  43.70
  1947          18     0.00491  0.00490  0.50   79245     388   79051  3396963  42.87
  1947          19     0.00620  0.00618  0.50   78857     487   78613  3317912  42.08
  1947          20     0.00719  0.00717  0.50   78369     562   78089  3239299  41.33
  1947          21     0.00806  0.00803  0.50   77808     625   77495  3161210  40.63
  1947          22     0.00907  0.00903  0.50   77183     697   76835  3083715  39.95
  1947          23     0.00995  0.00991  0.50   76486     758   76108  3006880  39.31
  1947          24     0.01024  0.01019  0.50   75729     772   75343  2930773  38.70
  1947          25     0.00943  0.00939  0.50   74957     704   74605  2855430  38.09
  1947          26     0.00829  0.00825  0.50   74253     613   73947  2780825  37.45
  1947          27     0.00769  0.00766  0.50   73641     564   73359  2706878  36.76
  1947          28     0.00779  0.00776  0.50   73077     567   72793  2633519  36.04
  1947          29     0.00833  0.00830  0.50   72510     602   72209  2560726  35.32
  1947          30     0.00849  0.00846  0.50   71908     608   71604  2488517  34.61
  1947          31     0.00820  0.00816  0.50   71300     582   71009  2416913  33.90
  1947          32     0.00767  0.00764  0.50   70718     540   70448  2345904  33.17
  1947          33     0.00740  0.00738  0.50   70178     518   69919  2275456  32.42
  1947          34     0.00775  0.00772  0.50   69660     538   69391  2205537  31.66
  1947          35     0.00804  0.00801  0.50   69123     554   68846  2136146  30.90
  1947          36     0.00778  0.00775  0.50   68569     532   68303  2067300  30.15
  1947          37     0.00771  0.00768  0.50   68037     522   67776  1998997  29.38
  1947          38     0.00774  0.00771  0.50   67515     521   67254  1931221  28.60
  1947          39     0.00761  0.00758  0.50   66994     508   66740  1863967  27.82
  1947          40     0.00749  0.00746  0.50   66486     496   66238  1797227  27.03
  1947          41     0.00764  0.00761  0.50   65990     502   65739  1730989  26.23
  1947          42     0.00823  0.00819  0.50   65488     537   65220  1665250  25.43
  1947          43     0.00908  0.00904  0.50   64952     587   64658  1600030  24.63
  1947          44     0.00997  0.00992  0.50   64364     639   64045  1535372  23.85
  1947          45     0.01079  0.01073  0.50   63726     684   63384  1471327  23.09
  1947          46     0.01137  0.01131  0.50   63042     713   62685  1407943  22.33
  1947          47     0.01137  0.01131  0.50   62329     705   61976  1345258  21.58
  1947          48     0.01135  0.01129  0.50   61624     696   61276  1283282  20.82
  1947          49     0.01197  0.01190  0.50   60929     725   60566  1222005  20.06
  1947          50     0.01320  0.01312  0.50   60203     790   59809  1161439  19.29
  1947          51     0.01490  0.01479  0.50   59414     879   58974  1101631  18.54
  1947          52     0.01720  0.01706  0.50   58535     998   58036  1042657  17.81
  1947          53     0.01967  0.01948  0.50   57536    1121   56976   984621  17.11
  1947          54     0.02045  0.02024  0.50   56416    1142   55845   927645  16.44
  1947          55     0.02130  0.02108  0.50   55274    1165   54691   871800  15.77
  1947          56     0.02430  0.02401  0.50   54109    1299   53459   817109  15.10
  1947          57     0.02863  0.02822  0.50   52810    1490   52065   763650  14.46
  1947          58     0.03253  0.03201  0.50   51319    1643   50498   711585  13.87
  1947          59     0.03414  0.03357  0.50   49676    1668   48843   661088  13.31
  1947          60     0.03426  0.03369  0.50   48009    1617   47200   612245  12.75
  1947          61     0.03445  0.03386  0.50   46391    1571   45606   565045  12.18
  1947          62     0.03639  0.03574  0.50   44821    1602   44020   519439  11.59
