30.Wakayama.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09101  0.08548  0.29  100000    8548   93925  5069735  50.70
  1947           1     0.01956  0.01937  0.50   91452    1772   90566  4975810  54.41
  1947           2     0.01562  0.01550  0.50   89681    1390   88985  4885244  54.47
  1947           3     0.01198  0.01191  0.50   88290    1052   87764  4796258  54.32
  1947           4     0.00884  0.00880  0.50   87238     768   86855  4708494  53.97
  1947           5     0.00631  0.00629  0.50   86471     544   86199  4621639  53.45
  1947           6     0.00439  0.00438  0.50   85927     376   85739  4535440  52.78
  1947           7     0.00299  0.00299  0.50   85551     256   85423  4449702  52.01
  1947           8     0.00203  0.00203  0.50   85295     173   85208  4364279  51.17
  1947           9     0.00143  0.00143  0.50   85122     122   85061  4279071  50.27
  1947          10     0.00112  0.00112  0.50   85000      95   84952  4194010  49.34
  1947          11     0.00106  0.00106  0.50   84905      90   84860  4109058  48.40
  1947          12     0.00123  0.00123  0.50   84815     104   84762  4024198  47.45
  1947          13     0.00162  0.00162  0.50   84710     137   84641  3939436  46.50
  1947          14     0.00222  0.00222  0.50   84573     188   84479  3854795  45.58
  1947          15     0.00302  0.00301  0.50   84385     254   84258  3770316  44.68
  1947          16     0.00396  0.00396  0.50   84130     333   83964  3686058  43.81
  1947          17     0.00500  0.00499  0.50   83798     418   83589  3602094  42.99
  1947          18     0.00603  0.00601  0.50   83380     501   83129  3518506  42.20
  1947          19     0.00694  0.00692  0.50   82879     573   82592  3435377  41.45
  1947          20     0.00768  0.00765  0.50   82305     630   81990  3352785  40.74
  1947          21     0.00825  0.00822  0.50   81675     671   81340  3270795  40.05
  1947          22     0.00867  0.00863  0.50   81005     699   80655  3189455  39.37
  1947          23     0.00895  0.00891  0.50   80305     716   79947  3108800  38.71
  1947          24     0.00911  0.00907  0.50   79590     722   79229  3028852  38.06
  1947          25     0.00918  0.00914  0.50   78868     721   78508  2949623  37.40
  1947          26     0.00921  0.00917  0.50   78147     716   77789  2871116  36.74
  1947          27     0.00921  0.00917  0.50   77431     710   77076  2793327  36.08
  1947          28     0.00920  0.00915  0.50   76721     702   76369  2716251  35.40
  1947          29     0.00915  0.00911  0.50   76018     692   75672  2639882  34.73
  1947          30     0.00905  0.00901  0.50   75326     679   74987  2564210  34.04
  1947          31     0.00894  0.00890  0.50   74647     664   74315  2489223  33.35
  1947          32     0.00886  0.00882  0.50   73983     653   73657  2414908  32.64
  1947          33     0.00885  0.00881  0.50   73331     646   73008  2341251  31.93
  1947          34     0.00893  0.00889  0.50   72685     646   72361  2268243  31.21
  1947          35     0.00907  0.00903  0.50   72038     651   71713  2195882  30.48
  1947          36     0.00922  0.00918  0.50   71387     655   71060  2124170  29.76
  1947          37     0.00933  0.00929  0.50   70732     657   70404  2053110  29.03
  1947          38     0.00940  0.00936  0.50   70075     656   69747  1982706  28.29
  1947          39     0.00941  0.00937  0.50   69419     650   69094  1912959  27.56
  1947          40     0.00943  0.00938  0.50   68769     645   68446  1843865  26.81
  1947          41     0.00953  0.00948  0.50   68124     646   67801  1775418  26.06
  1947          42     0.00979  0.00974  0.50   67478     658   67149  1707617  25.31
  1947          43     0.01024  0.01019  0.50   66820     681   66480  1640468  24.55
  1947          44     0.01087  0.01081  0.50   66139     715   65782  1573989  23.80
  1947          45     0.01158  0.01152  0.50   65424     753   65048  1508207  23.05
  1947          46     0.01231  0.01224  0.50   64671     792   64275  1443159  22.32
  1947          47     0.01304  0.01296  0.50   63879     828   63466  1378884  21.59
  1947          48     0.01379  0.01369  0.50   63052     863   62620  1315418  20.86
  1947          49     0.01459  0.01449  0.50   62188     901   61738  1252798  20.15
  1947          50     0.01549  0.01537  0.50   61287     942   60817  1191060  19.43
  1947          51     0.01650  0.01636  0.50   60346     987   59852  1130244  18.73
