31.Tottori.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09980  0.09340  0.31  100000    9340   93582  4935427  49.35
  1947           1     0.02597  0.02564  0.50   90660    2324   89498  4841845  53.41
  1947           2     0.01987  0.01968  0.50   88336    1738   87467  4752347  53.80
  1947           3     0.01439  0.01429  0.50   86598    1237   85979  4664880  53.87
  1947           4     0.00988  0.00983  0.50   85360     839   84941  4578901  53.64
  1947           5     0.00653  0.00651  0.50   84521     550   84246  4493961  53.17
  1947           6     0.00423  0.00422  0.50   83971     355   83794  4409715  52.51
  1947           7     0.00276  0.00276  0.50   83616     230   83501  4325921  51.74
  1947           8     0.00189  0.00188  0.50   83386     157   83307  4242420  50.88
  1947           9     0.00145  0.00145  0.50   83229     120   83169  4159113  49.97
  1947          10     0.00131  0.00131  0.50   83108     109   83054  4075944  49.04
  1947          11     0.00139  0.00139  0.50   82999     115   82942  3992890  48.11
  1947          12     0.00160  0.00160  0.50   82884     132   82818  3909949  47.17
  1947          13     0.00194  0.00194  0.50   82752     160   82672  3827130  46.25
  1947          14     0.00242  0.00242  0.50   82592     199   82492  3744459  45.34
  1947          15     0.00303  0.00303  0.50   82392     249   82267  3661967  44.45
  1947          16     0.00377  0.00376  0.50   82143     309   81988  3579699  43.58
  1947          17     0.00462  0.00461  0.50   81833     377   81645  3497711  42.74
  1947          18     0.00552  0.00551  0.50   81456     449   81232  3416067  41.94
  1947          19     0.00642  0.00640  0.50   81008     519   80748  3334835  41.17
  1947          20     0.00728  0.00726  0.50   80489     584   80197  3254086  40.43
  1947          21     0.00809  0.00806  0.50   79905     644   79583  3173890  39.72
  1947          22     0.00884  0.00880  0.50   79261     697   78912  3094307  39.04
  1947          23     0.00949  0.00944  0.50   78563     742   78192  3015395  38.38
  1947          24     0.01001  0.00996  0.50   77821     775   77434  2937203  37.74
  1947          25     0.01039  0.01033  0.50   77046     796   76648  2859769  37.12
  1947          26     0.01056  0.01050  0.50   76250     801   75850  2783121  36.50
  1947          27     0.01047  0.01041  0.50   75449     786   75056  2707271  35.88
  1947          28     0.01012  0.01007  0.50   74663     752   74287  2632215  35.25
  1947          29     0.00961  0.00956  0.50   73911     707   73558  2557927  34.61
  1947          30     0.00913  0.00909  0.50   73205     666   72872  2484369  33.94
  1947          31     0.00885  0.00881  0.50   72539     639   72220  2411497  33.24
  1947          32     0.00884  0.00880  0.50   71900     632   71584  2339278  32.54
  1947          33     0.00905  0.00900  0.50   71268     642   70947  2267694  31.82
  1947          34     0.00940  0.00936  0.50   70626     661   70295  2196747  31.10
  1947          35     0.00982  0.00978  0.50   69965     684   69623  2126452  30.39
  1947          36     0.01022  0.01017  0.50   69281     704   68929  2056829  29.69
  1947          37     0.01053  0.01048  0.50   68576     718   68217  1987901  28.99
  1947          38     0.01075  0.01069  0.50   67858     726   67495  1919684  28.29
  1947          39     0.01089  0.01083  0.50   67132     727   66769  1852188  27.59
  1947          40     0.01099  0.01093  0.50   66405     726   66042  1785420  26.89
  1947          41     0.01111  0.01105  0.50   65679     726   65317  1719377  26.18
  1947          42     0.01124  0.01118  0.50   64954     726   64591  1654061  25.47
  1947          43     0.01147  0.01140  0.50   64228     732   63862  1589470  24.75
  1947          44     0.01186  0.01179  0.50   63495     749   63121  1525608  24.03
  1947          45     0.01245  0.01237  0.50   62747     776   62359  1462487  23.31
  1947          46     0.01317  0.01309  0.50   61971     811   61565  1400129  22.59
  1947          47     0.01388  0.01379  0.50   61160     843   60738  1338563  21.89
  1947          48     0.01452  0.01441  0.50   60316     869   59882  1277826  21.19
  1947          49     0.01507  0.01496  0.50   59447     889   59002  1217944  20.49
  1947          50     0.01559  0.01547  0.50   58558     906   58105  1158942  19.79
  1947          51     0.01612  0.01599  0.50   57652     922   57191  1100837  19.09
  1947          52     0.01678  0.01664  0.50   56730     944   56258  1043646  18.40
  1947          53     0.01764  0.01748  0.50   55786     975   55298   987388  17.70
  1947          54     0.01860  0.01843  0.50   54811    1010   54305   932090  17.01
  1947          55     0.01970  0.01951  0.50   53800    1050   53275   877784  16.32
  1947          56     0.02102  0.02080  0.50   52751    1097   52202   824509  15.63
  1947          57     0.02275  0.02249  0.50   51653    1162   51072   772307  14.95
  1947          58     0.02505  0.02474  0.50   50491    1249   49867   721234  14.28
