32.Shimane.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10284  0.09613  0.32  100000    9613   93473  4920250  49.20
  1947           1     0.02286  0.02260  0.50   90387    2043   89366  4826777  53.40
  1947           2     0.01840  0.01823  0.50   88344    1611   87539  4737411  53.62
  1947           3     0.01423  0.01413  0.50   86734    1226   86121  4649872  53.61
  1947           4     0.01057  0.01051  0.50   85508     899   85058  4563751  53.37
  1947           5     0.00756  0.00753  0.50   84609     637   84290  4478693  52.93
  1947           6     0.00520  0.00519  0.50   83972     436   83754  4394403  52.33
  1947           7     0.00348  0.00348  0.50   83536     291   83391  4310649  51.60
  1947           8     0.00232  0.00232  0.50   83246     193   83149  4227258  50.78
  1947           9     0.00164  0.00164  0.50   83052     136   82984  4144109  49.90
  1947          10     0.00136  0.00136  0.50   82916     113   82860  4061124  48.98
  1947          11     0.00140  0.00140  0.50   82804     116   82746  3978264  48.04
  1947          12     0.00170  0.00170  0.50   82688     141   82617  3895519  47.11
  1947          13     0.00223  0.00223  0.50   82547     184   82455  3812902  46.19
  1947          14     0.00297  0.00297  0.50   82363     244   82241  3730447  45.29
  1947          15     0.00391  0.00390  0.50   82119     320   81958  3648206  44.43
  1947          16     0.00497  0.00496  0.50   81798     405   81596  3566247  43.60
  1947          17     0.00607  0.00605  0.50   81393     493   81147  3484652  42.81
  1947          18     0.00713  0.00711  0.50   80900     575   80613  3403505  42.07
  1947          19     0.00807  0.00804  0.50   80325     646   80002  3322893  41.37
  1947          20     0.00883  0.00879  0.50   79679     700   79329  3242890  40.70
  1947          21     0.00941  0.00936  0.50   78979     740   78609  3163561  40.06
  1947          22     0.00981  0.00977  0.50   78239     764   77857  3084952  39.43
  1947          23     0.01006  0.01001  0.50   77475     775   77088  3007095  38.81
  1947          24     0.01017  0.01012  0.50   76700     776   76312  2930007  38.20
  1947          25     0.01020  0.01015  0.50   75924     770   75538  2853695  37.59
  1947          26     0.01016  0.01011  0.50   75153     759   74773  2778157  36.97
  1947          27     0.01006  0.01001  0.50   74394     745   74021  2703383  36.34
  1947          28     0.00992  0.00987  0.50   73649     727   73286  2629362  35.70
  1947          29     0.00977  0.00972  0.50   72922     709   72568  2556076  35.05
  1947          30     0.00963  0.00958  0.50   72213     692   71867  2483509  34.39
  1947          31     0.00952  0.00947  0.50   71521     678   71182  2411642  33.72
  1947          32     0.00946  0.00942  0.50   70843     667   70510  2340459  33.04
  1947          33     0.00947  0.00942  0.50   70176     661   69846  2269950  32.35
  1947          34     0.00954  0.00949  0.50   69515     660   69185  2200104  31.65
  1947          35     0.00965  0.00961  0.50   68855     661   68525  2130919  30.95
  1947          36     0.00980  0.00975  0.50   68194     665   67861  2062394  30.24
  1947          37     0.00997  0.00992  0.50   67529     670   67194  1994533  29.54
  1947          38     0.01014  0.01009  0.50   66859     675   66522  1927339  28.83
  1947          39     0.01028  0.01023  0.50   66184     677   65846  1860817  28.12
  1947          40     0.01038  0.01033  0.50   65507     676   65169  1794972  27.40
  1947          41     0.01044  0.01039  0.50   64831     673   64494  1729803  26.68
  1947          42     0.01048  0.01042  0.50   64157     669   63823  1665309  25.96
  1947          43     0.01053  0.01048  0.50   63489     665   63156  1601485  25.22
  1947          44     0.01066  0.01060  0.50   62824     666   62491  1538329  24.49
  1947          45     0.01088  0.01083  0.50   62157     673   61821  1475839  23.74
  1947          46     0.01122  0.01116  0.50   61485     686   61142  1414018  23.00
  1947          47     0.01169  0.01162  0.50   60799     706   60445  1352876  22.25
  1947          48     0.01231  0.01223  0.50   60092     735   59725  1292431  21.51
  1947          49     0.01308  0.01300  0.50   59357     771   58971  1232706  20.77
  1947          50     0.01398  0.01388  0.50   58586     813   58179  1173735  20.03
  1947          51     0.01498  0.01487  0.50   57772     859   57343  1115556  19.31
  1947          52     0.01611  0.01598  0.50   56913     910   56458  1058213  18.59
  1947          53     0.01738  0.01723  0.50   56003     965   55521  1001755  17.89
  1947          54     0.01882  0.01865  0.50   55038    1026   54525   946234  17.19
  1947          55     0.02046  0.02025  0.50   54012    1094   53465   891709  16.51
  1947          56     0.02232  0.02207  0.50   52918    1168   52334   838244  15.84
  1947          57     0.02439  0.02410  0.50   51750    1247   51126   785910  15.19
  1947          58     0.02665  0.02630  0.50   50503    1328   49839   734784  14.55
  1947          59     0.02906  0.02865  0.50   49175    1409   48470   684945  13.93
  1947          60     0.03162  0.03113  0.50   47766    1487   47023   636474  13.32
  1947          61     0.03432  0.03374  0.50   46279    1561   45498   589452  12.74
  1947          62     0.03721  0.03653  0.50   44718    1633   43901   543953  12.16
  1947          63     0.04036  0.03956  0.50   43084    1704   42232   500053  11.61
  1947          64     0.04385  0.04291  0.50   41380    1775   40492   457821  11.06
  1947          65     0.04772  0.04660  0.50   39604    1846   38681   417329  10.54
  1947          66     0.05191  0.05059  0.50   37758    1910   36803   378647  10.03
  1947          67     0.05649  0.05494  0.50   35848    1970   34863   341844   9.54
  1947          68     0.06157  0.05973  0.50   33879    2024   32867   306981   9.06
  1947          69     0.06720  0.06501  0.50   31855    2071   30819   274114   8.61
  1947          70     0.07343  0.07083  0.50   29784    2109   28729   243295   8.17
  1947          71     0.08026  0.07716  0.50   27675    2135   26607   214565   7.75
  1947          72     0.08755  0.08388  0.50   25539    2142   24468   187959   7.36
  1947          73     0.09508  0.09076  0.50   23397    2124   22335   163491   6.99
  1947          74     0.10260  0.09759  0.50   21273    2076   20235   141155   6.64
  1947          75     0.10996  0.10423  0.50   19197    2001   18197   120920   6.30
  1947          76     0.11754  0.11101  0.50   17196    1909   16242   102723   5.97
  1947          77     0.12582  0.11837  0.50   15287    1810   14383    86482   5.66
  1947          78     0.13519  0.12663  0.50   13478    1707   12624    72099   5.35
  1947          79     0.14565  0.13576  0.50   11771    1598   10972    59475   5.05
  1947          80     0.15711  0.14566  0.50   10173    1482    9432    48503   4.77
  1947          81     0.16965  0.15639  0.50    8691    1359    8012    39071   4.50
  1947          82     0.18339  0.16799  0.50    7332    1232    6716    31059   4.24
  1947          83     0.19832  0.18043  0.50    6100    1101    5550    24343   3.99
  1947          84     0.21441  0.19365  0.50    5000     968    4515    18793   3.76
  1947          85     0.23162  0.20758  0.50    4031     837    3613    14278   3.54
  1947          86     0.24988  0.22213  0.50    3195     710    2840    10665   3.34
  1947          87     0.26915  0.23722  0.50    2485     589    2190     7825   3.15
  1947          88     0.28935  0.25278  0.50    1895     479    1656     5635   2.97
  1947          89     0.31043  0.26872  0.50    1416     381    1226     3979   2.81
  1947          90     0.33231  0.28496  0.50    1036     295     888     2753   2.66
  1947          91     0.35492  0.30143  0.50     741     223     629     1865   2.52
  1947          92     0.37818  0.31804  0.50     517     165     435     1236   2.39
  1947          93     0.40200  0.33472  0.50     353     118     294      801   2.27
  1947          94     0.42627  0.35138  0.50     235      82     193      507   2.16
  1947          95     0.45088  0.36793  0.50     152      56     124      313   2.06
  1947          96     0.47572  0.38431  0.50      96      37      78      189   1.97
  1947          97     0.50066  0.40042  0.50      59      24      47      111   1.88
  1947          98     0.52557  0.41620  0.50      36      15      28       64   1.80
  1947          99     0.55032  0.43157  0.50      21       9      16       36   1.73
  1947         100     0.57480  0.44648  0.50      12       5       9       20   1.67
  1947         101     0.59887  0.46087  0.50       7       3       5       10   1.61
  1947         102     0.62243  0.47470  0.50       4       2       3        5   1.55
  1947         103     0.64540  0.48794  0.50       2       1       1        3   1.50
  1947         104     0.66773  0.50060  0.50       1       0       1        1   1.46
  1947         105     0.68939  0.51267  0.50       0       0       0        1   1.41
  1947         106     0.71041  0.52421  0.50       0       0       0        0   1.38
  1947         107     0.73087  0.53527  0.50       0       0       0        0   1.34
  1947         108     0.75089  0.54592  0.50       0       0       0        0   1.31
  1947         109     0.77062  0.55628  0.50       0       0       0        0   1.28
  1947         110+    0.79769  1.00000  1.25       0       0       0        0   1.25
  1948           0     0.07263  0.06883  0.24  100000    6883   94769  5472454  54.72
  1948           1     0.01729  0.01714  0.50   93117    1596   92319  5377686  57.75
  1948           2     0.01350  0.01341  0.50   91521    1227   90907  5285366  57.75
  1948           3     0.01007  0.01002  0.50   90294     904   89841  5194459  57.53
  1948           4     0.00720  0.00717  0.50   89389     641   89069  5104618  57.11
  1948           5     0.00502  0.00501  0.50   88748     445   88526  5015549  56.51
  1948           6     0.00349  0.00348  0.50   88303     308   88149  4927024  55.80
  1948           7     0.00248  0.00248  0.50   87996     218   87887  4838874  54.99
  1948           8     0.00184  0.00183  0.50   87778     161   87697  4750987  54.13
  1948           9     0.00145  0.00144  0.50   87617     127   87554  4663290  53.22
