33.Okayama.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10015  0.09371  0.31  100000    9371   93570  4931485  49.31
  1947           1     0.02838  0.02798  0.50   90629    2536   89361  4837916  53.38
  1947           2     0.02119  0.02097  0.50   88093    1847   87170  4748555  53.90
  1947           3     0.01487  0.01476  0.50   86246    1273   85609  4661385  54.05
  1947           4     0.00987  0.00983  0.50   84973     835   84555  4575776  53.85
  1947           5     0.00640  0.00638  0.50   84138     537   83869  4491221  53.38
  1947           6     0.00423  0.00422  0.50   83601     353   83424  4407351  52.72
  1947           7     0.00300  0.00300  0.50   83248     250   83123  4323927  51.94
  1947           8     0.00231  0.00231  0.50   82998     191   82902  4240804  51.10
  1947           9     0.00192  0.00192  0.50   82807     159   82727  4157902  50.21
  1947          10     0.00171  0.00170  0.50   82647     141   82577  4075175  49.31
  1947          11     0.00161  0.00161  0.50   82507     133   82440  3992598  48.39
  1947          12     0.00162  0.00162  0.50   82374     134   82307  3910158  47.47
  1947          13     0.00177  0.00177  0.50   82240     145   82168  3827851  46.54
  1947          14     0.00212  0.00212  0.50   82095     174   82008  3745683  45.63
  1947          15     0.00275  0.00275  0.50   81921     225   81808  3663675  44.72
  1947          16     0.00366  0.00366  0.50   81696     299   81546  3581867  43.84
  1947          17     0.00480  0.00479  0.50   81397     390   81202  3500321  43.00
  1947          18     0.00604  0.00603  0.50   81007     488   80763  3419119  42.21
  1947          19     0.00722  0.00719  0.50   80519     579   80229  3338356  41.46
  1947          20     0.00820  0.00817  0.50   79940     653   79613  3258127  40.76
  1947          21     0.00892  0.00888  0.50   79286     704   78934  3178514  40.09
  1947          22     0.00934  0.00929  0.50   78582     730   78217  3099579  39.44
  1947          23     0.00955  0.00951  0.50   77852     740   77482  3021362  38.81
  1947          24     0.00970  0.00965  0.50   77112     745   76740  2943880  38.18
  1947          25     0.00987  0.00982  0.50   76367     750   75993  2867140  37.54
  1947          26     0.01000  0.00995  0.50   75618     753   75241  2791148  36.91
  1947          27     0.01004  0.00999  0.50   74865     748   74491  2715907  36.28
  1947          28     0.00998  0.00993  0.50   74117     736   73749  2641415  35.64
  1947          29     0.00983  0.00979  0.50   73381     718   73022  2567666  34.99
  1947          30     0.00954  0.00950  0.50   72663     690   72318  2494644  34.33
  1947          31     0.00917  0.00913  0.50   71973     657   71644  2422327  33.66
  1947          32     0.00881  0.00877  0.50   71315     625   71003  2350683  32.96
  1947          33     0.00854  0.00851  0.50   70690     601   70390  2279680  32.25
  1947          34     0.00846  0.00843  0.50   70089     591   69794  2209290  31.52
  1947          35     0.00857  0.00854  0.50   69498     593   69202  2139497  30.78
  1947          36     0.00883  0.00879  0.50   68905     605   68602  2070295  30.05
  1947          37     0.00908  0.00904  0.50   68300     617   67991  2001693  29.31
  1947          38     0.00928  0.00924  0.50   67682     625   67370  1933702  28.57
  1947          39     0.00942  0.00937  0.50   67057     628   66743  1866332  27.83
  1947          40     0.00953  0.00949  0.50   66429     630   66114  1799589  27.09
  1947          41     0.00967  0.00962  0.50   65799     633   65482  1733475  26.35
  1947          42     0.00985  0.00981  0.50   65165     639   64846  1667993  25.60
  1947          43     0.01011  0.01006  0.50   64526     649   64202  1603147  24.84
  1947          44     0.01047  0.01041  0.50   63877     665   63545  1538946  24.09
  1947          45     0.01093  0.01087  0.50   63212     687   62869  1475401  23.34
  1947          46     0.01150  0.01143  0.50   62525     715   62168  1412532  22.59
  1947          47     0.01220  0.01212  0.50   61810     749   61436  1350365  21.85
  1947          48     0.01301  0.01293  0.50   61061     790   60666  1288929  21.11
  1947          49     0.01392  0.01383  0.50   60271     833   59855  1228263  20.38
  1947          50     0.01488  0.01477  0.50   59438     878   58999  1168408  19.66
  1947          51     0.01587  0.01575  0.50   58560     922   58099  1109409  18.94
  1947          52     0.01690  0.01676  0.50   57638     966   57155  1051310  18.24
  1947          53     0.01799  0.01783  0.50   56672    1010   56167   994155  17.54
  1947          54     0.01924  0.01906  0.50   55662    1061   55131   937988  16.85
  1947          55     0.02071  0.02050  0.50   54601    1119   54041   882857  16.17
  1947          56     0.02245  0.02220  0.50   53482    1187   52888   828815  15.50
  1947          57     0.02435  0.02406  0.50   52294    1258   51665   775928  14.84
  1947          58     0.02633  0.02599  0.50   51036    1326   50373   724262  14.19
  1947          59     0.02846  0.02806  0.50   49710    1395   49012   673889  13.56
  1947          60     0.03099  0.03052  0.50   48315    1474   47578   624877  12.93
  1947          61     0.03415  0.03358  0.50   46841    1573   46054   577299  12.32
  1947          62     0.03794  0.03724  0.50   45268    1686   44425   531245  11.74
  1947          63     0.04225  0.04137  0.50   43582    1803   42680   486820  11.17
  1947          64     0.04670  0.04564  0.50   41779    1907   40825   444140  10.63
  1947          65     0.05096  0.04970  0.50   39872    1982   38881   403314  10.12
  1947          66     0.05510  0.05362  0.50   37891    2032   36875   364433   9.62
  1947          67     0.05948  0.05777  0.50   35859    2071   34823   327558   9.13
  1947          68     0.06451  0.06250  0.50   33788    2112   32732   292735   8.66
  1947          69     0.07035  0.06796  0.50   31676    2153   30600   260003   8.21
  1947          70     0.07687  0.07402  0.50   29523    2185   28431   229403   7.77
  1947          71     0.08335  0.08002  0.50   27338    2188   26244   200973   7.35
  1947          72     0.08988  0.08602  0.50   25150    2163   24069   174728   6.95
  1947          73     0.09680  0.09233  0.50   22987    2122   21926   150660   6.55
  1947          74     0.10450  0.09931  0.50   20865    2072   19829   128734   6.17
  1947          75     0.11327  0.10720  0.50   18793    2015   17785   108905   5.80
  1947          76     0.12314  0.11600  0.50   16778    1946   15805    91120   5.43
  1947          77     0.13457  0.12609  0.50   14832    1870   13897    75315   5.08
  1947          78     0.14803  0.13783  0.50   12962    1786   12068    61419   4.74
  1947          79     0.16340  0.15106  0.50   11175    1688   10331    49350   4.42
  1947          80     0.18047  0.16554  0.50    9487    1570    8702    39019   4.11
  1947          81     0.19923  0.18118  0.50    7917    1434    7199    30317   3.83
  1947          82     0.21966  0.19792  0.50    6482    1283    5841    23118   3.57
  1947          83     0.24166  0.21561  0.50    5199    1121    4639    17277   3.32
  1947          84     0.26514  0.23410  0.50    4078     955    3601    12638   3.10
  1947          85     0.29002  0.25329  0.50    3124     791    2728     9037   2.89
  1947          86     0.31621  0.27304  0.50    2332     637    2014     6310   2.71
  1947          87     0.34358  0.29321  0.50    1696     497    1447     4296   2.53
  1947          88     0.37202  0.31367  0.50    1198     376    1010     2849   2.38
  1947          89     0.40135  0.33427  0.50     822     275     685     1838   2.23
  1947          90     0.43140  0.35485  0.50     548     194     450     1153   2.11
  1947          91     0.46195  0.37527  0.50     353     133     287      703   1.99
  1947          92     0.49278  0.39537  0.50     221      87     177      416   1.88
  1947          93     0.52368  0.41501  0.50     133      55     106      239   1.79
  1947          94     0.55439  0.43407  0.50      78      34      61      133   1.70
  1947          95     0.58470  0.45243  0.50      44      20      34       72   1.63
  1947          96     0.61440  0.47001  0.50      24      11      19       38   1.56
  1947          97     0.64327  0.48672  0.50      13       6      10       19   1.50
