34.Hiroshima.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08623  0.08117  0.28  100000    8117   94127  5031843  50.32
  1947           1     0.02684  0.02648  0.50   91883    2433   90666  4937716  53.74
  1947           2     0.01941  0.01922  0.50   89450    1720   88590  4847050  54.19
  1947           3     0.01313  0.01305  0.50   87730    1144   87158  4758460  54.24
  1947           4     0.00839  0.00835  0.50   86586     723   86224  4671302  53.95
  1947           5     0.00526  0.00525  0.50   85863     451   85637  4585077  53.40
  1947           6     0.00343  0.00343  0.50   85412     293   85265  4499440  52.68
  1947           7     0.00246  0.00246  0.50   85119     209   85014  4414175  51.86
  1947           8     0.00197  0.00197  0.50   84910     167   84826  4329161  50.99
  1947           9     0.00174  0.00174  0.50   84743     147   84669  4244335  50.09
  1947          10     0.00165  0.00165  0.50   84595     140   84525  4159666  49.17
  1947          11     0.00167  0.00167  0.50   84456     141   84385  4075141  48.25
  1947          12     0.00182  0.00182  0.50   84314     153   84238  3990756  47.33
  1947          13     0.00210  0.00210  0.50   84161     176   84073  3906518  46.42
  1947          14     0.00256  0.00256  0.50   83985     215   83877  3822445  45.51
  1947          15     0.00326  0.00326  0.50   83770     273   83633  3738567  44.63
  1947          16     0.00420  0.00420  0.50   83497     350   83322  3654934  43.77
  1947          17     0.00536  0.00534  0.50   83146     444   82924  3571612  42.96
  1947          18     0.00664  0.00662  0.50   82702     547   82428  3488688  42.18
  1947          19     0.00793  0.00790  0.50   82155     649   81830  3406260  41.46
  1947          20     0.00909  0.00904  0.50   81506     737   81137  3324430  40.79
  1947          21     0.00996  0.00991  0.50   80769     800   80369  3243292  40.16
  1947          22     0.01043  0.01037  0.50   79969     830   79554  3162924  39.55
  1947          23     0.01052  0.01046  0.50   79139     828   78725  3083370  38.96
  1947          24     0.01030  0.01025  0.50   78311     803   77910  3004645  38.37
  1947          25     0.00992  0.00987  0.50   77508     765   77126  2926735  37.76
  1947          26     0.00951  0.00946  0.50   76743     726   76380  2849609  37.13
  1947          27     0.00917  0.00913  0.50   76017     694   75670  2773229  36.48
  1947          28     0.00890  0.00886  0.50   75323     667   74989  2697559  35.81
  1947          29     0.00867  0.00863  0.50   74655     644   74333  2622570  35.13
  1947          30     0.00855  0.00851  0.50   74011     630   73696  2548237  34.43
  1947          31     0.00859  0.00855  0.50   73381     628   73068  2474541  33.72
  1947          32     0.00881  0.00877  0.50   72754     638   72435  2401473  33.01
  1947          33     0.00905  0.00901  0.50   72115     650   71791  2329039  32.30
  1947          34     0.00916  0.00912  0.50   71466     652   71140  2257248  31.59
  1947          35     0.00920  0.00916  0.50   70814     648   70490  2186108  30.87
  1947          36     0.00923  0.00919  0.50   70166     645   69843  2115619  30.15
