35.Yamaguchi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08703  0.08188  0.28  100000    8188   94093  4879876  48.80
  1947           1     0.03797  0.03726  0.50   91812    3421   90101  4785783  52.13
  1947           2     0.01788  0.01772  0.50   88390    1566   87607  4695682  53.12
  1947           3     0.00919  0.00915  0.50   86824     794   86427  4608075  53.07
  1947           4     0.00715  0.00713  0.50   86030     613   85723  4521648  52.56
  1947           5     0.00565  0.00564  0.50   85417     482   85176  4435924  51.93
  1947           6     0.00417  0.00416  0.50   84935     353   84758  4350749  51.22
  1947           7     0.00326  0.00325  0.50   84582     275   84444  4265990  50.44
  1947           8     0.00246  0.00246  0.50   84306     207   84203  4181546  49.60
  1947           9     0.00192  0.00192  0.50   84099     161   84019  4097343  48.72
  1947          10     0.00188  0.00187  0.50   83938     157   83859  4013324  47.81
  1947          11     0.00197  0.00197  0.50   83781     165   83698  3929465  46.90
  1947          12     0.00186  0.00186  0.50   83616     156   83538  3845766  45.99
  1947          13     0.00184  0.00184  0.50   83460     154   83384  3762228  45.08
  1947          14     0.00218  0.00218  0.50   83307     182   83216  3678845  44.16
  1947          15     0.00302  0.00302  0.50   83125     251   83000  3595629  43.26
  1947          16     0.00406  0.00405  0.50   82874     335   82706  3512629  42.39
  1947          17     0.00504  0.00503  0.50   82539     415   82331  3429923  41.56
  1947          18     0.00644  0.00642  0.50   82123     527   81860  3347592  40.76
  1947          19     0.00844  0.00841  0.50   81596     686   81253  3265732  40.02
  1947          20     0.00980  0.00976  0.50   80910     789   80515  3184479  39.36
  1947          21     0.01019  0.01014  0.50   80121     812   79715  3103964  38.74
  1947          22     0.00985  0.00980  0.50   79308     777   78920  3024249  38.13
  1947          23     0.01004  0.00999  0.50   78531     784   78139  2945329  37.51
  1947          24     0.01123  0.01116  0.50   77747     868   77313  2867190  36.88
  1947          25     0.01081  0.01075  0.50   76879     826   76466  2789877  36.29
  1947          26     0.00990  0.00986  0.50   76053     750   75678  2713411  35.68
  1947          27     0.01019  0.01013  0.50   75303     763   74922  2637733  35.03
  1947          28     0.01064  0.01059  0.50   74540     789   74146  2562811  34.38
  1947          29     0.01030  0.01025  0.50   73751     756   73373  2488665  33.74
  1947          30     0.01037  0.01031  0.50   72995     753   72619  2415292  33.09
  1947          31     0.01038  0.01032  0.50   72242     746   71869  2342673  32.43
  1947          32     0.00964  0.00960  0.50   71497     686   71154  2270804  31.76
  1947          33     0.00890  0.00886  0.50   70810     628   70497  2199650  31.06
  1947          34     0.00885  0.00882  0.50   70183     619   69874  2129154  30.34
  1947          35     0.00865  0.00861  0.50   69564     599   69265  2059280  29.60
  1947          36     0.00806  0.00803  0.50   68965     554   68688  1990015  28.86
  1947          37     0.00966  0.00961  0.50   68411     658   68083  1921327  28.08
  1947          38     0.01146  0.01140  0.50   67754     772   67368  1853244  27.35
  1947          39     0.01105  0.01099  0.50   66982     736   66614  1785876  26.66
  1947          40     0.00974  0.00969  0.50   66246     642   65925  1719263  25.95
  1947          41     0.00941  0.00937  0.50   65604     615   65296  1653338  25.20
  1947          42     0.01031  0.01026  0.50   64989     667   64656  1588042  24.44
  1947          43     0.01126  0.01120  0.50   64322     720   63962  1523386  23.68
  1947          44     0.01136  0.01130  0.50   63602     718   63243  1459424  22.95
