36.Tokushima.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11818  0.10951  0.33  100000   10951   92663  4798485  47.98
  1947           1     0.03344  0.03289  0.50   89049    2929   87584  4705823  52.85
  1947           2     0.02112  0.02090  0.50   86119    1800   85220  4618239  53.63
  1947           3     0.01240  0.01233  0.50   84320    1039   83800  4533019  53.76
  1947           4     0.00729  0.00727  0.50   83280     605   82978  4449219  53.42
  1947           5     0.00479  0.00478  0.50   82675     395   82478  4366241  52.81
  1947           6     0.00368  0.00367  0.50   82280     302   82129  4283764  52.06
  1947           7     0.00295  0.00295  0.50   81978     242   81857  4201635  51.25
  1947           8     0.00255  0.00254  0.50   81736     208   81632  4119778  50.40
  1947           9     0.00239  0.00238  0.50   81528     194   81431  4038146  49.53
  1947          10     0.00233  0.00233  0.50   81334     189   81239  3956716  48.65
  1947          11     0.00226  0.00226  0.50   81144     183   81053  3875477  47.76
  1947          12     0.00215  0.00215  0.50   80961     174   80874  3794424  46.87
  1947          13     0.00225  0.00225  0.50   80787     182   80697  3713550  45.97
  1947          14     0.00260  0.00260  0.50   80606     209   80501  3632853  45.07
  1947          15     0.00318  0.00318  0.50   80396     256   80268  3552352  44.19
  1947          16     0.00403  0.00402  0.50   80141     323   79979  3472084  43.32
  1947          17     0.00517  0.00516  0.50   79818     412   79612  3392104  42.50
  1947          18     0.00647  0.00645  0.50   79407     512   79150  3312492  41.72
  1947          19     0.00775  0.00772  0.50   78894     609   78590  3233341  40.98
  1947          20     0.00872  0.00868  0.50   78286     680   77946  3154751  40.30
  1947          21     0.00956  0.00951  0.50   77606     738   77237  3076806  39.65
  1947          22     0.01046  0.01040  0.50   76868     800   76468  2999569  39.02
  1947          23     0.01122  0.01116  0.50   76068     849   75643  2923101  38.43
  1947          24     0.01155  0.01149  0.50   75219     864   74787  2847458  37.86
  1947          25     0.01133  0.01127  0.50   74355     838   73936  2772671  37.29
  1947          26     0.01108  0.01102  0.50   73517     810   73112  2698734  36.71
  1947          27     0.01124  0.01118  0.50   72707     813   72301  2625622  36.11
  1947          28     0.01135  0.01129  0.50   71894     812   71489  2553321  35.51
  1947          29     0.01089  0.01083  0.50   71083     770   70698  2481833  34.91
  1947          30     0.01006  0.01001  0.50   70313     704   69961  2411135  34.29
  1947          31     0.00928  0.00923  0.50   69609     643   69288  2341174  33.63
  1947          32     0.00884  0.00880  0.50   68967     607   68663  2271886  32.94
  1947          33     0.00850  0.00847  0.50   68360     579   68070  2203222  32.23
  1947          34     0.00806  0.00803  0.50   67781     544   67509  2135152  31.50
  1947          35     0.00795  0.00792  0.50   67237     532   66971  2067643  30.75
  1947          36     0.00854  0.00851  0.50   66705     567   66421  2000672  29.99
  1947          37     0.00931  0.00926  0.50   66137     613   65831  1934251  29.25
  1947          38     0.00982  0.00977  0.50   65524     640   65204  1868420  28.51
  1947          39     0.00984  0.00979  0.50   64884     635   64566  1803216  27.79
  1947          40     0.00952  0.00948  0.50   64249     609   63944  1738650  27.06
  1947          41     0.00921  0.00917  0.50   63640     584   63348  1674706  26.32
  1947          42     0.00947  0.00943  0.50   63056     594   62759  1611358  25.55
  1947          43     0.01017  0.01012  0.50   62462     632   62146  1548598  24.79
  1947          44     0.01098  0.01092  0.50   61830     675   61492  1486453  24.04
  1947          45     0.01152  0.01146  0.50   61154     701   60804  1424961  23.30
  1947          46     0.01181  0.01174  0.50   60454     710   60099  1364157  22.57
  1947          47     0.01292  0.01283  0.50   59744     767   59361  1304058  21.83
  1947          48     0.01432  0.01421  0.50   58977     838   58558  1244698  21.10
  1947          49     0.01528  0.01516  0.50   58139     881   57698  1186140  20.40
  1947          50     0.01628  0.01615  0.50   57257     925   56795  1128441  19.71
  1947          51     0.01782  0.01767  0.50   56333     995   55835  1071646  19.02
  1947          52     0.01919  0.01901  0.50   55338    1052   54812  1015811  18.36
  1947          53     0.01962  0.01943  0.50   54286    1055   53758   960999  17.70
  1947          54     0.01954  0.01935  0.50   53231    1030   52716   907241  17.04
  1947          55     0.02074  0.02052  0.50   52201    1071   51666   854525  16.37
  1947          56     0.02440  0.02411  0.50   51130    1233   50513   802859  15.70
  1947          57     0.02822  0.02783  0.50   49897    1388   49203   752346  15.08
  1947          58     0.02970  0.02927  0.50   48509    1420   47799   703143  14.50
  1947          59     0.02943  0.02900  0.50   47089    1366   46406   655344  13.92
  1947          60     0.02976  0.02932  0.50   45723    1341   45053   608938  13.32
  1947          61     0.03271  0.03219  0.50   44383    1429   43668   563885  12.71
  1947          62     0.03769  0.03700  0.50   42954    1589   42159   520217  12.11
  1947          63     0.04354  0.04262  0.50   41365    1763   40483   478058  11.56
  1947          64     0.04946  0.04827  0.50   39602    1912   38646   437574  11.05
  1947          65     0.05424  0.05281  0.50   37690    1990   36695   398928  10.58
  1947          66     0.05581  0.05430  0.50   35700    1938   34731   362233  10.15
  1947          67     0.05630  0.05476  0.50   33762    1849   32837   327502   9.70
  1947          68     0.05816  0.05652  0.50   31913    1804   31011   294665   9.23
  1947          69     0.06043  0.05865  0.50   30109    1766   29226   263654   8.76
  1947          70     0.06320  0.06127  0.50   28343    1736   27475   234428   8.27
  1947          71     0.07188  0.06938  0.50   26607    1846   25684   206953   7.78
  1947          72     0.08392  0.08054  0.50   24761    1994   23763   181269   7.32
  1947          73     0.09474  0.09046  0.50   22766    2059   21737   157506   6.92
  1947          74     0.10138  0.09649  0.50   20707    1998   19708   135769   6.56
  1947          75     0.10272  0.09770  0.50   18709    1828   17795   116061   6.20
  1947          76     0.10379  0.09867  0.50   16881    1666   16048    98266   5.82
  1947          77     0.11213  0.10618  0.50   15215    1616   14408    82218   5.40
  1947          78     0.13277  0.12451  0.50   13600    1693   12753    67810   4.99
  1947          79     0.15956  0.14777  0.50   11907    1759   11027    55057   4.62
  1947          80     0.18464  0.16903  0.50   10147    1715    9290    44030   4.34
  1947          81     0.20435  0.18541  0.50    8432    1563    7650    34741   4.12
  1947          82     0.21768  0.19631  0.50    6869    1348    6194    27091   3.94
  1947          83     0.22885  0.20535  0.50    5520    1134    4953    20896   3.79
  1947          84     0.23988  0.21419  0.50    4387     940    3917    15943   3.63
  1947          85     0.25164  0.22352  0.50    3447     770    3062    12026   3.49
  1947          86     0.26412  0.23331  0.50    2677     624    2364     8964   3.35
  1947          87     0.27712  0.24340  0.50    2052     499    1802     6600   3.22
  1947          88     0.29053  0.25368  0.50    1553     394    1356     4797   3.09
  1947          89     0.30431  0.26412  0.50    1159     306    1006     3442   2.97
  1947          90     0.31843  0.27470  0.50     853     234     736     2436   2.86
  1947          91     0.33289  0.28539  0.50     618     177     530     1700   2.75
  1947          92     0.34767  0.29618  0.50     442     131     377     1170   2.65
  1947          93     0.36274  0.30705  0.50     311      96     263      794   2.55
  1947          94     0.37810  0.31798  0.50     216      69     181      530   2.46
  1947          95     0.39370  0.32895  0.50     147      48     123      349   2.37
  1947          96     0.40952  0.33992  0.50      99      34      82      226   2.29
