37.Kagawa.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11139  0.10366  0.33  100000   10366   93055  5018939  50.19
  1947           1     0.01631  0.01618  0.50   89634    1451   88909  4925884  54.96
  1947           2     0.01376  0.01367  0.50   88184    1205   87581  4836975  54.85
  1947           3     0.01132  0.01125  0.50   86979     979   86489  4749394  54.60
  1947           4     0.00907  0.00903  0.50   86000     776   85612  4662905  54.22
  1947           5     0.00709  0.00706  0.50   85224     602   84922  4577293  53.71
  1947           6     0.00541  0.00540  0.50   84621     457   84393  4492371  53.09
  1947           7     0.00405  0.00404  0.50   84165     340   83995  4407978  52.37
  1947           8     0.00300  0.00300  0.50   83824     251   83699  4323983  51.58
  1947           9     0.00225  0.00224  0.50   83573     188   83479  4240284  50.74
  1947          10     0.00177  0.00177  0.50   83386     147   83312  4156805  49.85
  1947          11     0.00154  0.00154  0.50   83238     128   83174  4073493  48.94
  1947          12     0.00154  0.00154  0.50   83110     128   83046  3990319  48.01
  1947          13     0.00175  0.00174  0.50   82982     145   82910  3907272  47.09
  1947          14     0.00214  0.00214  0.50   82838     177   82749  3824362  46.17
  1947          15     0.00270  0.00269  0.50   82661     223   82549  3741613  45.26
  1947          16     0.00339  0.00339  0.50   82438     279   82298  3659064  44.39
  1947          17     0.00419  0.00418  0.50   82159     343   81987  3576765  43.53
  1947          18     0.00502  0.00501  0.50   81816     410   81611  3494778  42.72
  1947          19     0.00585  0.00583  0.50   81406     475   81168  3413168  41.93
  1947          20     0.00661  0.00658  0.50   80931     533   80665  3331999  41.17
  1947          21     0.00727  0.00724  0.50   80398     582   80107  3251335  40.44
  1947          22     0.00781  0.00778  0.50   79816     621   79505  3171228  39.73
  1947          23     0.00824  0.00821  0.50   79194     650   78869  3091723  39.04
  1947          24     0.00856  0.00853  0.50   78544     670   78209  3012853  38.36
  1947          25     0.00879  0.00875  0.50   77874     681   77534  2934644  37.68
  1947          26     0.00892  0.00888  0.50   77193     686   76850  2857110  37.01
  1947          27     0.00899  0.00895  0.50   76507     685   76165  2780260  36.34
  1947          28     0.00900  0.00896  0.50   75823     679   75483  2704095  35.66
  1947          29     0.00897  0.00893  0.50   75144     671   74808  2628612  34.98
  1947          30     0.00893  0.00889  0.50   74473     662   74142  2553804  34.29
  1947          31     0.00891  0.00887  0.50   73810     655   73483  2479662  33.60
  1947          32     0.00892  0.00888  0.50   73156     649   72831  2406179  32.89
  1947          33     0.00896  0.00892  0.50   72506     646   72183  2333348  32.18
  1947          34     0.00902  0.00898  0.50   71860     645   71537  2261165  31.47
  1947          35     0.00910  0.00906  0.50   71215     645   70892  2189628  30.75
  1947          36     0.00921  0.00916  0.50   70569     647   70246  2118736  30.02
  1947          37     0.00932  0.00927  0.50   69923     649   69598  2048490  29.30
  1947          38     0.00944  0.00940  0.50   69274     651   68949  1978891  28.57
  1947          39     0.00960  0.00955  0.50   68623     656   68295  1909943  27.83
  1947          40     0.00980  0.00975  0.50   67967     663   67636  1841647  27.10
  1947          41     0.01005  0.01000  0.50   67305     673   66968  1774011  26.36
  1947          42     0.01038  0.01033  0.50   66632     688   66288  1707043  25.62
  1947          43     0.01078  0.01072  0.50   65944     707   65590  1640755  24.88
  1947          44     0.01125  0.01119  0.50   65237     730   64872  1575165  24.15
  1947          45     0.01180  0.01173  0.50   64507     756   64128  1510293  23.41
  1947          46     0.01240  0.01233  0.50   63750     786   63357  1446165  22.68
  1947          47     0.01306  0.01298  0.50   62964     817   62556  1382808  21.96
  1947          48     0.01378  0.01368  0.50   62147     850   61722  1320252  21.24
  1947          49     0.01455  0.01445  0.50   61297     886   60854  1258529  20.53
  1947          50     0.01542  0.01530  0.50   60411     924   59949  1197675  19.83
  1947          51     0.01640  0.01627  0.50   59487     968   59003  1137726  19.13
  1947          52     0.01752  0.01737  0.50   58520    1016   58011  1078722  18.43
  1947          53     0.01879  0.01862  0.50   57503    1071   56968  1020711  17.75
  1947          54     0.02021  0.02001  0.50   56433    1129   55868   963743  17.08
  1947          55     0.02180  0.02156  0.50   55303    1193   54707   907875  16.42
  1947          56     0.02356  0.02328  0.50   54111    1260   53481   853168  15.77
  1947          57     0.02547  0.02515  0.50   52851    1329   52186   799687  15.13
  1947          58     0.02753  0.02716  0.50   51521    1399   50822   747501  14.51
  1947          59     0.02975  0.02931  0.50   50122    1469   49388   696679  13.90
  1947          60     0.03213  0.03163  0.50   48653    1539   47884   647292  13.30
  1947          61     0.03469  0.03409  0.50   47114    1606   46311   599408  12.72
  1947          62     0.03742  0.03674  0.50   45508    1672   44672   553097  12.15
  1947          63     0.04038  0.03958  0.50   43836    1735   42969   508425  11.60
  1947          64     0.04360  0.04267  0.50   42101    1796   41203   465457  11.06
  1947          65     0.04711  0.04603  0.50   40305    1855   39377   424254  10.53
  1947          66     0.05096  0.04970  0.50   38450    1911   37494   384877  10.01
  1947          67     0.05514  0.05366  0.50   36539    1961   35558   347382   9.51
  1947          68     0.05966  0.05793  0.50   34578    2003   33576   311824   9.02
  1947          69     0.06461  0.06259  0.50   32575    2039   31556   278247   8.54
  1947          70     0.07014  0.06776  0.50   30536    2069   29502   246692   8.08
  1947          71     0.07646  0.07364  0.50   28467    2096   27419   217190   7.63
  1947          72     0.08362  0.08027  0.50   26371    2117   25312   189771   7.20
  1947          73     0.09164  0.08763  0.50   24254    2125   23191   164459   6.78
  1947          74     0.10056  0.09575  0.50   22129    2119   21069   141268   6.38
  1947          75     0.11042  0.10465  0.50   20010    2094   18963   120199   6.01
  1947          76     0.12126  0.11433  0.50   17916    2048   16892   101236   5.65
  1947          77     0.13311  0.12481  0.50   15868    1980   14877    84344   5.32
  1947          78     0.14595  0.13602  0.50   13887    1889   12943    69467   5.00
  1947          79     0.15960  0.14781  0.50   11998    1773   11111    56524   4.71
  1947          80     0.17388  0.15997  0.50   10225    1636    9407    45413   4.44
  1947          81     0.18867  0.17241  0.50    8589    1481    7849    36006   4.19
  1947          82     0.20393  0.18506  0.50    7108    1315    6451    28157   3.96
  1947          83     0.21965  0.19792  0.50    5793    1146    5220    21706   3.75
  1947          84     0.23587  0.21099  0.50    4646     980    4156    16487   3.55
  1947          85     0.25260  0.22428  0.50    3666     822    3255    12330   3.36
  1947          86     0.26987  0.23779  0.50    2844     676    2506     9075   3.19
  1947          87     0.28770  0.25152  0.50    2168     545    1895     6570   3.03
  1947          88     0.30608  0.26546  0.50    1622     431    1407     4675   2.88
  1947          89     0.32502  0.27959  0.50    1192     333    1025     3268   2.74
  1947          90     0.34450  0.29388  0.50     859     252     732     2242   2.61
  1947          91     0.36447  0.30829  0.50     606     187     513     1510   2.49
  1947          92     0.38490  0.32278  0.50     419     135     352      997   2.38
  1947          93     0.40573  0.33730  0.50     284      96     236      646   2.27
  1947          94     0.42689  0.35180  0.50     188      66     155      409   2.18
  1947          95     0.44830  0.36621  0.50     122      45     100      254   2.09
  1947          96     0.46989  0.38050  0.50      77      29      63      155   2.00
  1947          97     0.49158  0.39459  0.50      48      19      38       92   1.92
  1947          98     0.51327  0.40845  0.50      29      12      23       54   1.85
  1947          99     0.53489  0.42202  0.50      17       7      14       31   1.78
  1947         100     0.55637  0.43528  0.50      10       4       8       17   1.72
  1947         101     0.57763  0.44819  0.50       6       3       4        9   1.67
  1947         102     0.59863  0.46073  0.50       3       1       2        5   1.61
  1947         103     0.61933  0.47289  0.50       2       1       1        3   1.56
  1947         104     0.63970  0.48468  0.50       1       0       1        1   1.52
  1947         105     0.65976  0.49610  0.50       0       0       0        1   1.48
  1947         106     0.67952  0.50720  0.50       0       0       0        0   1.44
  1947         107     0.69903  0.51799  0.50       0       0       0        0   1.40
  1947         108     0.71836  0.52852  0.50       0       0       0        0   1.36
  1947         109     0.73757  0.53885  0.50       0       0       0        0   1.33
  1947         110+    0.76361  1.00000  1.31       0       0       0        0   1.31
  1948           0     0.08208  0.07741  0.27  100000    7741   94313  5501191  55.01
  1948           1     0.01506  0.01494  0.50   92259    1379   91570  5406879  58.61
  1948           2     0.01164  0.01157  0.50   90880    1052   90354  5315309  58.49
  1948           3     0.00871  0.00867  0.50   89828     779   89439  5224955  58.17
  1948           4     0.00639  0.00637  0.50   89049     567   88766  5135516  57.67
  1948           5     0.00468  0.00467  0.50   88482     413   88275  5046750  57.04
  1948           6     0.00348  0.00347  0.50   88069     306   87916  4958475  56.30
  1948           7     0.00267  0.00267  0.50   87763     234   87646  4870559  55.50
  1948           8     0.00215  0.00215  0.50   87529     188   87435  4782913  54.64
  1948           9     0.00181  0.00180  0.50   87341     158   87262  4695478  53.76
  1948          10     0.00156  0.00156  0.50   87183     136   87115  4608216  52.86
  1948          11     0.00140  0.00140  0.50   87047     122   86986  4521101  51.94
  1948          12     0.00132  0.00132  0.50   86925     115   86868  4434115  51.01
  1948          13     0.00137  0.00137  0.50   86810     119   86751  4347247  50.08
  1948          14     0.00157  0.00157  0.50   86691     136   86623  4260496  49.15
  1948          15     0.00194  0.00194  0.50   86555     167   86471  4173873  48.22
  1948          16     0.00247  0.00247  0.50   86388     213   86281  4087402  47.31
  1948          17     0.00317  0.00317  0.50   86174     273   86038  4001121  46.43
  1948          18     0.00399  0.00398  0.50   85902     342   85730  3915083  45.58
  1948          19     0.00487  0.00486  0.50   85559     415   85352  3829352  44.76
  1948          20     0.00573  0.00572  0.50   85144     487   84901  3744000  43.97
  1948          21     0.00655  0.00653  0.50   84657     553   84381  3659100  43.22
  1948          22     0.00728  0.00725  0.50   84104     610   83799  3574719  42.50
  1948          23     0.00784  0.00781  0.50   83494     652   83168  3490920  41.81
  1948          24     0.00816  0.00813  0.50   82842     674   82505  3407752  41.14
  1948          25     0.00823  0.00820  0.50   82168     674   81832  3325247  40.47
  1948          26     0.00806  0.00803  0.50   81495     654   81168  3243415  39.80
  1948          27     0.00770  0.00767  0.50   80841     620   80530  3162247  39.12
  1948          28     0.00730  0.00727  0.50   80220     584   79928  3081717  38.42
  1948          29     0.00701  0.00699  0.50   79637     557   79358  3001789  37.69
  1948          30     0.00696  0.00694  0.50   79080     549   78806  2922430  36.96
  1948          31     0.00708  0.00705  0.50   78531     554   78254  2843625  36.21
  1948          32     0.00726  0.00723  0.50   77977     564   77695  2765371  35.46
  1948          33     0.00745  0.00742  0.50   77413     574   77126  2687675  34.72
  1948          34     0.00760  0.00757  0.50   76839     582   76548  2610549  33.97
  1948          35     0.00772  0.00769  0.50   76257     586   75964  2534001  33.23
  1948          36     0.00779  0.00776  0.50   75671     587   75377  2458038  32.48
  1948          37     0.00780  0.00777  0.50   75083     583   74792  2382661  31.73
  1948          38     0.00779  0.00775  0.50   74500     578   74211  2307869  30.98
  1948          39     0.00783  0.00780  0.50   73922     577   73634  2233658  30.22
  1948          40     0.00799  0.00796  0.50   73346     584   73054  2160024  29.45
  1948          41     0.00827  0.00823  0.50   72762     599   72463  2086969  28.68
  1948          42     0.00855  0.00851  0.50   72163     614   71856  2014507  27.92
  1948          43     0.00889  0.00885  0.50   71549     633   71233  1942650  27.15
  1948          44     0.00940  0.00936  0.50   70916     664   70584  1871418  26.39
