38.Ehime.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09536  0.08940  0.30  100000    8940   93750  5096116  50.96
  1947           1     0.03240  0.03188  0.50   91060    2903   89608  5002366  54.93
  1947           2     0.02056  0.02035  0.50   88157    1794   87260  4912758  55.73
  1947           3     0.01218  0.01211  0.50   86363    1046   85840  4825498  55.87
  1947           4     0.00717  0.00715  0.50   85317     610   85012  4739658  55.55
  1947           5     0.00454  0.00453  0.50   84708     384   84516  4654646  54.95
  1947           6     0.00338  0.00338  0.50   84324     285   84181  4570130  54.20
  1947           7     0.00288  0.00287  0.50   84039     242   83918  4485948  53.38
  1947           8     0.00254  0.00254  0.50   83798     213   83691  4402030  52.53
  1947           9     0.00223  0.00223  0.50   83585     186   83492  4318339  51.66
  1947          10     0.00189  0.00189  0.50   83398     158   83319  4234847  50.78
  1947          11     0.00161  0.00161  0.50   83241     134   83173  4151528  49.87
  1947          12     0.00151  0.00151  0.50   83106     125   83044  4068355  48.95
  1947          13     0.00167  0.00167  0.50   82981     139   82912  3985311  48.03
  1947          14     0.00198  0.00198  0.50   82843     164   82761  3902399  47.11
  1947          15     0.00231  0.00231  0.50   82679     191   82583  3819638  46.20
  1947          16     0.00283  0.00283  0.50   82488     234   82371  3737055  45.30
  1947          17     0.00373  0.00373  0.50   82255     307   82101  3654683  44.43
  1947          18     0.00487  0.00486  0.50   81948     398   81749  3572582  43.60
  1947          19     0.00600  0.00598  0.50   81550     488   81306  3490833  42.81
  1947          20     0.00689  0.00687  0.50   81062     557   80784  3409526  42.06
  1947          21     0.00762  0.00759  0.50   80506     611   80200  3328742  41.35
  1947          22     0.00827  0.00823  0.50   79895     658   79566  3248542  40.66
  1947          23     0.00865  0.00862  0.50   79237     683   78896  3168976  39.99
  1947          24     0.00867  0.00863  0.50   78554     678   78215  3090080  39.34
