39.Kochi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09473  0.08883  0.30  100000    8883   93775  5124000  51.24
  1947           1     0.02016  0.01996  0.50   91117    1819   90208  5030225  55.21
  1947           2     0.01656  0.01643  0.50   89298    1467   88565  4940018  55.32
  1947           3     0.01315  0.01306  0.50   87831    1147   87257  4851453  55.24
  1947           4     0.01008  0.01003  0.50   86684     869   86249  4764196  54.96
  1947           5     0.00749  0.00746  0.50   85814     641   85494  4677947  54.51
  1947           6     0.00543  0.00541  0.50   85174     461   84943  4592452  53.92
  1947           7     0.00388  0.00387  0.50   84713     328   84549  4507509  53.21
  1947           8     0.00281  0.00280  0.50   84385     236   84267  4422960  52.41
  1947           9     0.00213  0.00213  0.50   84149     179   84059  4338693  51.56
  1947          10     0.00178  0.00178  0.50   83970     149   83895  4254634  50.67
  1947          11     0.00168  0.00168  0.50   83820     141   83750  4170739  49.76
  1947          12     0.00178  0.00178  0.50   83679     149   83605  4086990  48.84
  1947          13     0.00205  0.00205  0.50   83530     171   83445  4003385  47.93
  1947          14     0.00247  0.00247  0.50   83359     206   83256  3919940  47.02
  1947          15     0.00303  0.00303  0.50   83153     252   83027  3836684  46.14
  1947          16     0.00370  0.00369  0.50   82902     306   82748  3753657  45.28
  1947          17     0.00444  0.00443  0.50   82595     366   82412  3670908  44.44
  1947          18     0.00521  0.00520  0.50   82229     428   82015  3588496  43.64
  1947          19     0.00596  0.00594  0.50   81802     486   81558  3506480  42.87
  1947          20     0.00664  0.00662  0.50   81315     538   81046  3424922  42.12
  1947          21     0.00726  0.00723  0.50   80777     584   80485  3343876  41.40
  1947          22     0.00780  0.00777  0.50   80193     623   79881  3263391  40.69
  1947          23     0.00828  0.00824  0.50   79569     656   79242  3183510  40.01
  1947          24     0.00867  0.00863  0.50   78914     681   78573  3104268  39.34
  1947          25     0.00897  0.00893  0.50   78233     698   77884  3025695  38.68
  1947          26     0.00918  0.00914  0.50   77534     709   77180  2947811  38.02
  1947          27     0.00933  0.00929  0.50   76826     714   76469  2870631  37.37
  1947          28     0.00942  0.00938  0.50   76112     714   75755  2794163  36.71
  1947          29     0.00945  0.00941  0.50   75398     710   75043  2718408  36.05
  1947          30     0.00942  0.00938  0.50   74689     700   74338  2643364  35.39
  1947          31     0.00935  0.00930  0.50   73988     688   73644  2569026  34.72
  1947          32     0.00926  0.00921  0.50   73300     675   72962  2495382  34.04
  1947          33     0.00916  0.00912  0.50   72624     662   72293  2422420  33.36
  1947          34     0.00908  0.00904  0.50   71962     650   71637  2350127  32.66
  1947          35     0.00900  0.00896  0.50   71312     639   70992  2278490  31.95
  1947          36     0.00894  0.00890  0.50   70673     629   70358  2207497  31.24
  1947          37     0.00890  0.00886  0.50   70044     620   69733  2137139  30.51
  1947          38     0.00889  0.00885  0.50   69423     615   69116  2067406  29.78
  1947          39     0.00895  0.00891  0.50   68809     613   68502  1998290  29.04
  1947          40     0.00908  0.00904  0.50   68196     616   67887  1929788  28.30
  1947          41     0.00929  0.00925  0.50   67579     625   67267  1861901  27.55
  1947          42     0.00958  0.00953  0.50   66954     638   66635  1794634  26.80
  1947          43     0.00993  0.00988  0.50   66316     655   65989  1727998  26.06
  1947          44     0.01032  0.01027  0.50   65661     674   65324  1662010  25.31
  1947          45     0.01074  0.01069  0.50   64987     695   64640  1596686  24.57
  1947          46     0.01119  0.01113  0.50   64292     715   63935  1532046  23.83
  1947          47     0.01166  0.01160  0.50   63577     737   63208  1468111  23.09
  1947          48     0.01218  0.01211  0.50   62840     761   62459  1404903  22.36
  1947          49     0.01275  0.01267  0.50   62079     787   61686  1342444  21.62
  1947          50     0.01342  0.01333  0.50   61292     817   60884  1280758  20.90
  1947          51     0.01419  0.01409  0.50   60475     852   60049  1219874  20.17
  1947          52     0.01509  0.01498  0.50   59623     893   59177  1159825  19.45
  1947          53     0.01612  0.01599  0.50   58730     939   58261  1100648  18.74
  1947          54     0.01729  0.01714  0.50   57791     991   57296  1042388  18.04
  1947          55     0.01863  0.01846  0.50   56800    1049   56276   985092  17.34
  1947          56     0.02016  0.01995  0.50   55752    1112   55196   928816  16.66
  1947          57     0.02185  0.02162  0.50   54639    1181   54049   873620  15.99
  1947          58     0.02372  0.02345  0.50   53458    1253   52831   819572  15.33
  1947          59     0.02577  0.02545  0.50   52205    1328   51541   766740  14.69
  1947          60     0.02799  0.02760  0.50   50876    1404   50174   715200  14.06
  1947          61     0.03034  0.02989  0.50   49472    1479   48733   665026  13.44
  1947          62     0.03281  0.03228  0.50   47993    1549   47219   616293  12.84
  1947          63     0.03535  0.03474  0.50   46444    1613   45637   569074  12.25
  1947          64     0.03803  0.03732  0.50   44831    1673   43994   523437  11.68
  1947          65     0.04094  0.04011  0.50   43158    1731   42292   479443  11.11
  1947          66     0.04428  0.04332  0.50   41426    1795   40529   437151  10.55
  1947          67     0.04815  0.04702  0.50   39632    1863   38700   396622  10.01
  1947          68     0.05259  0.05124  0.50   37768    1935   36801   357922   9.48
  1947          69     0.05762  0.05600  0.50   35833    2007   34830   321121   8.96
  1947          70     0.06323  0.06129  0.50   33826    2073   32790   286291   8.46
  1947          71     0.06936  0.06703  0.50   31753    2128   30689   253502   7.98
  1947          72     0.07605  0.07326  0.50   29624    2170   28539   222813   7.52
  1947          73     0.08339  0.08005  0.50   27454    2198   26355   194274   7.08
  1947          74     0.09144  0.08744  0.50   25256    2208   24152   167919   6.65
  1947          75     0.10027  0.09548  0.50   23048    2201   21948   143766   6.24
  1947          76     0.10997  0.10424  0.50   20847    2173   19761   121819   5.84
  1947          77     0.12085  0.11396  0.50   18674    2128   17610   102058   5.47
  1947          78     0.13316  0.12484  0.50   16546    2066   15513    84448   5.10
  1947          79     0.14680  0.13676  0.50   14480    1980   13490    68935   4.76
  1947          80     0.16168  0.14959  0.50   12500    1870   11565    55445   4.44
  1947          81     0.17811  0.16355  0.50   10630    1739    9761    43880   4.13
