04.Miyagi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09971  0.09331  0.31  100000    9331   93586  5016820  50.17
  1947           1     0.03602  0.03538  0.50   90669    3208   89065  4923235  54.30
  1947           2     0.02180  0.02157  0.50   87460    1886   86517  4834170  55.27
  1947           3     0.01216  0.01209  0.50   85574    1034   85057  4747653  55.48
  1947           4     0.00694  0.00691  0.50   84540     584   84248  4662596  55.15
  1947           5     0.00466  0.00465  0.50   83955     390   83760  4578348  54.53
  1947           6     0.00380  0.00379  0.50   83565     317   83407  4494588  53.79
  1947           7     0.00310  0.00310  0.50   83248     258   83119  4411181  52.99
  1947           8     0.00249  0.00249  0.50   82990     206   82887  4328062  52.15
  1947           9     0.00203  0.00203  0.50   82784     168   82700  4245175  51.28
  1947          10     0.00176  0.00176  0.50   82616     145   82543  4162475  50.38
  1947          11     0.00167  0.00167  0.50   82470     138   82402  4079931  49.47
  1947          12     0.00172  0.00172  0.50   82333     142   82262  3997530  48.55
  1947          13     0.00182  0.00182  0.50   82191     149   82117  3915268  47.64
  1947          14     0.00197  0.00196  0.50   82042     161   81961  3833151  46.72
  1947          15     0.00220  0.00220  0.50   81881     180   81791  3751190  45.81
  1947          16     0.00256  0.00256  0.50   81700     209   81596  3669399  44.91
  1947          17     0.00310  0.00309  0.50   81491     252   81365  3587803  44.03
  1947          18     0.00395  0.00394  0.50   81239     320   81079  3506438  43.16
  1947          19     0.00510  0.00509  0.50   80919     412   80713  3425359  42.33
  1947          20     0.00597  0.00595  0.50   80507     479   80268  3344646  41.54
  1947          21     0.00672  0.00670  0.50   80028     536   79760  3264378  40.79
  1947          22     0.00763  0.00760  0.50   79492     604   79190  3184618  40.06
  1947          23     0.00845  0.00841  0.50   78888     664   78556  3105428  39.37
  1947          24     0.00888  0.00884  0.50   78224     692   77878  3026872  38.69
  1947          25     0.00889  0.00885  0.50   77532     687   77189  2948994  38.04
  1947          26     0.00861  0.00857  0.50   76846     659   76517  2871805  37.37
  1947          27     0.00820  0.00816  0.50   76187     622   75876  2795288  36.69
  1947          28     0.00789  0.00786  0.50   75565     594   75268  2719412  35.99
  1947          29     0.00786  0.00783  0.50   74971     587   74678  2644143  35.27
  1947          30     0.00789  0.00786  0.50   74384     585   74092  2569466  34.54
  1947          31     0.00781  0.00778  0.50   73800     574   73513  2495373  33.81
  1947          32     0.00754  0.00752  0.50   73226     550   72950  2421861  33.07
  1947          33     0.00733  0.00731  0.50   72675     531   72410  2348910  32.32
  1947          34     0.00747  0.00744  0.50   72144     537   71876  2276500  31.55
  1947          35     0.00809  0.00805  0.50   71607     577   71319  2204625  30.79
  1947          36     0.00894  0.00890  0.50   71031     632   70714  2133306  30.03
  1947          37     0.00893  0.00889  0.50   70398     626   70085  2062591  29.30
  1947          38     0.00850  0.00846  0.50   69773     590   69477  1992506  28.56
  1947          39     0.00840  0.00836  0.50   69182     578   68893  1923028  27.80
  1947          40     0.00864  0.00860  0.50   68604     590   68309  1854135  27.03
  1947          41     0.00915  0.00911  0.50   68014     619   67704  1785826  26.26
  1947          42     0.01000  0.00995  0.50   67394     670   67059  1718122  25.49
  1947          43     0.01072  0.01067  0.50   66724     712   66368  1651063  24.74
  1947          44     0.01085  0.01080  0.50   66012     713   65656  1584695  24.01
  1947          45     0.01050  0.01044  0.50   65300     682   64959  1519039  23.26
  1947          46     0.01004  0.00999  0.50   64618     645   64295  1454080  22.50
  1947          47     0.01020  0.01015  0.50   63973     649   63648  1389785  21.72
  1947          48     0.01088  0.01082  0.50   63324     685   62981  1326137  20.94
  1947          49     0.01181  0.01175  0.50   62638     736   62270  1263156  20.17
  1947          50     0.01306  0.01297  0.50   61903     803   61501  1200885  19.40
  1947          51     0.01472  0.01461  0.50   61100     893   60653  1139384  18.65
  1947          52     0.01681  0.01667  0.50   60207    1004   59705  1078731  17.92
  1947          53     0.01908  0.01890  0.50   59203    1119   58644  1019026  17.21
  1947          54     0.02055  0.02034  0.50   58085    1182   57494   960382  16.53
  1947          55     0.02154  0.02131  0.50   56903    1213   56297   902888  15.87
  1947          56     0.02273  0.02248  0.50   55690    1252   55065   846591  15.20
  1947          57     0.02484  0.02453  0.50   54439    1335   53771   791526  14.54
  1947          58     0.02822  0.02783  0.50   53103    1478   52364   737755  13.89
  1947          59     0.03200  0.03149  0.50   51626    1626   50813   685391  13.28
  1947          60     0.03545  0.03483  0.50   50000    1742   49129   634578  12.69
  1947          61     0.03827  0.03756  0.50   48258    1812   47352   585449  12.13
  1947          62     0.04129  0.04046  0.50   46446    1879   45506   538097  11.59
  1947          63     0.04518  0.04418  0.50   44567    1969   43582   492591  11.05
  1947          64     0.04894  0.04777  0.50   42598    2035   41580   449009  10.54
  1947          65     0.05193  0.05061  0.50   40563    2053   39536   407428  10.04
  1947          66     0.05586  0.05434  0.50   38510    2093   37464   367892   9.55
  1947          67     0.06072  0.05893  0.50   36417    2146   35344   330428   9.07
  1947          68     0.06595  0.06385  0.50   34271    2188   33177   295084   8.61
  1947          69     0.07131  0.06885  0.50   32083    2209   30978   261908   8.16
  1947          70     0.07700  0.07415  0.50   29874    2215   28766   230929   7.73
  1947          71     0.08420  0.08080  0.50   27659    2235   26541   202163   7.31
  1947          72     0.09237  0.08829  0.50   25424    2245   24302   175622   6.91
  1947          73     0.10055  0.09573  0.50   23179    2219   22070   151320   6.53
  1947          74     0.10805  0.10251  0.50   20960    2149   19886   129250   6.17
  1947          75     0.11423  0.10806  0.50   18812    2033   17795   109364   5.81
  1947          76     0.11957  0.11282  0.50   16779    1893   15832    91569   5.46
  1947          77     0.12953  0.12165  0.50   14886    1811   13980    75737   5.09
  1947          78     0.14857  0.13830  0.50   13075    1808   12171    61756   4.72
  1947          79     0.17209  0.15845  0.50   11267    1785   10374    49586   4.40
  1947          80     0.19414  0.17696  0.50    9481    1678    8643    39212   4.14
  1947          81     0.21242  0.19202  0.50    7804    1498    7054    30569   3.92
  1947          82     0.22667  0.20360  0.50    6305    1284    5663    23515   3.73
  1947          83     0.24032  0.21454  0.50    5021    1077    4483    17851   3.56
  1947          84     0.25454  0.22580  0.50    3944     891    3499    13369   3.39
  1947          85     0.26960  0.23758  0.50    3054     725    2691     9870   3.23
  1947          86     0.28541  0.24977  0.50    2328     581    2037     7179   3.08
  1947          87     0.30180  0.26223  0.50    1747     458    1518     5142   2.94
  1947          88     0.31870  0.27490  0.50    1289     354    1111     3624   2.81
  1947          89     0.33609  0.28774  0.50     934     269     800     2512   2.69
  1947          90     0.35392  0.30071  0.50     666     200     565     1713   2.57
  1947          91     0.37217  0.31378  0.50     465     146     392     1147   2.46
  1947          92     0.39079  0.32691  0.50     319     104     267      755   2.36
  1947          93     0.40974  0.34007  0.50     215      73     178      488   2.27
  1947          94     0.42895  0.35320  0.50     142      50     117      309   2.18
  1947          95     0.44838  0.36627  0.50      92      34      75      192   2.10
  1947          96     0.46798  0.37924  0.50      58      22      47      117   2.02
  1947          97     0.48767  0.39207  0.50      36      14      29       70   1.95
  1947          98     0.50740  0.40472  0.50      22       9      18       41   1.88
  1947          99     0.52710  0.41716  0.50      13       5      10       24   1.82
  1947         100     0.54672  0.42936  0.50       8       3       6       13   1.76
  1947         101     0.56620  0.44128  0.50       4       2       3        7   1.70
  1947         102     0.58548  0.45290  0.50       2       1       2        4   1.65
  1947         103     0.60450  0.46420  0.50       1       1       1        2   1.60
  1947         104     0.62321  0.47515  0.50       1       0       1        1   1.56
  1947         105     0.64155  0.48574  0.50       0       0       0        1   1.52
  1947         106     0.65948  0.49595  0.50       0       0       0        0   1.48
