40.Fukuoka.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09216  0.08652  0.29  100000    8652   93878  4869347  48.69
  1947           1     0.03867  0.03794  0.50   91348    3465   89615  4775469  52.28
  1947           2     0.02271  0.02245  0.50   87883    1973   86896  4685854  53.32
  1947           3     0.01251  0.01243  0.50   85909    1068   85376  4598958  53.53
  1947           4     0.00729  0.00726  0.50   84842     616   84534  4513582  53.20
  1947           5     0.00483  0.00482  0.50   84226     406   84023  4429049  52.59
  1947           6     0.00380  0.00380  0.50   83820     318   83661  4345026  51.84
  1947           7     0.00324  0.00323  0.50   83501     270   83367  4261365  51.03
  1947           8     0.00279  0.00278  0.50   83232     232   83116  4177999  50.20
  1947           9     0.00236  0.00236  0.50   83000     196   82902  4094883  49.34
  1947          10     0.00193  0.00193  0.50   82804     160   82724  4011981  48.45
  1947          11     0.00168  0.00167  0.50   82644     138   82575  3929257  47.54
  1947          12     0.00176  0.00176  0.50   82506     145   82433  3846682  46.62
  1947          13     0.00217  0.00217  0.50   82360     179   82271  3764249  45.70
  1947          14     0.00270  0.00269  0.50   82182     221   82071  3681978  44.80
  1947          15     0.00319  0.00319  0.50   81960     261   81830  3599907  43.92
  1947          16     0.00387  0.00386  0.50   81699     315   81542  3518077  43.06
  1947          17     0.00494  0.00493  0.50   81384     401   81183  3436535  42.23
  1947          18     0.00626  0.00625  0.50   80983     506   80730  3355352  41.43
  1947          19     0.00759  0.00756  0.50   80477     609   80173  3274622  40.69
  1947          20     0.00863  0.00859  0.50   79868     686   79525  3194450  40.00
  1947          21     0.00932  0.00928  0.50   79182     734   78815  3114924  39.34
  1947          22     0.00964  0.00959  0.50   78448     752   78072  3036109  38.70
  1947          23     0.00945  0.00941  0.50   77695     731   77330  2958038  38.07
  1947          24     0.00885  0.00881  0.50   76965     678   76625  2880708  37.43
  1947          25     0.00869  0.00865  0.50   76286     660   75956  2804082  36.76
  1947          26     0.00885  0.00881  0.50   75626     666   75293  2728126  36.07
  1947          27     0.00897  0.00893  0.50   74960     670   74625  2652833  35.39
  1947          28     0.00899  0.00895  0.50   74290     665   73958  2578208  34.70
  1947          29     0.00886  0.00882  0.50   73626     650   73301  2504250  34.01
  1947          30     0.00855  0.00852  0.50   72976     622   72665  2430949  33.31
  1947          31     0.00830  0.00827  0.50   72354     598   72055  2358284  32.59
  1947          32     0.00833  0.00830  0.50   71756     595   71459  2286228  31.86
  1947          33     0.00848  0.00845  0.50   71161     601   70861  2214769  31.12
  1947          34     0.00859  0.00855  0.50   70560     603   70258  2143909  30.38
  1947          35     0.00878  0.00874  0.50   69957     612   69651  2073650  29.64
  1947          36     0.00917  0.00913  0.50   69345     633   69029  2003999  28.90
  1947          37     0.00952  0.00948  0.50   68712     651   68386  1934971  28.16
  1947          38     0.00979  0.00974  0.50   68061     663   67729  1866584  27.43
  1947          39     0.01004  0.00999  0.50   67398     673   67061  1798855  26.69
  1947          40     0.01048  0.01043  0.50   66724     696   66376  1731794  25.95
  1947          41     0.01115  0.01108  0.50   66028     732   65662  1665418  25.22
  1947          42     0.01149  0.01143  0.50   65296     746   64923  1599756  24.50
  1947          43     0.01176  0.01169  0.50   64550     755   64173  1534832  23.78
  1947          44     0.01230  0.01223  0.50   63796     780   63406  1470659  23.05
  1947          45     0.01288  0.01280  0.50   63016     807   62612  1407254  22.33
  1947          46     0.01333  0.01325  0.50   62209     824   61797  1344642  21.61
  1947          47     0.01408  0.01398  0.50   61385     858   60956  1282844  20.90
  1947          48     0.01486  0.01475  0.50   60527     893   60080  1221888  20.19
  1947          49     0.01542  0.01531  0.50   59634     913   59178  1161808  19.48
  1947          50     0.01621  0.01608  0.50   58721     944   58249  1102630  18.78
  1947          51     0.01771  0.01756  0.50   57777    1014   57270  1044381  18.08
  1947          52     0.01976  0.01957  0.50   56762    1111   56207   987112  17.39
  1947          53     0.02188  0.02165  0.50   55652    1205   55049   930905  16.73
  1947          54     0.02324  0.02297  0.50   54447    1251   53822   875855  16.09
  1947          55     0.02427  0.02398  0.50   53196    1275   52559   822034  15.45
  1947          56     0.02568  0.02536  0.50   51921    1317   51263   769475  14.82
  1947          57     0.02787  0.02749  0.50   50604    1391   49909   718213  14.19
  1947          58     0.03101  0.03053  0.50   49213    1503   48462   668304  13.58
  1947          59     0.03472  0.03413  0.50   47711    1628   46897   619842  12.99
  1947          60     0.03825  0.03753  0.50   46082    1730   45218   572946  12.43
  1947          61     0.04108  0.04025  0.50   44353    1785   43460   527728  11.90
  1947          62     0.04385  0.04291  0.50   42568    1827   41654   484268  11.38
  1947          63     0.04740  0.04631  0.50   40741    1887   39798   442613  10.86
  1947          64     0.05199  0.05067  0.50   38854    1969   37870   402816  10.37
  1947          65     0.05755  0.05594  0.50   36886    2063   35854   364945   9.89
  1947          66     0.06332  0.06137  0.50   34822    2137   33754   329091   9.45
  1947          67     0.06829  0.06603  0.50   32685    2158   31606   295338   9.04
  1947          68     0.07188  0.06939  0.50   30527    2118   29468   263732   8.64
  1947          69     0.07532  0.07258  0.50   28409    2062   27378   234264   8.25
  1947          70     0.07977  0.07671  0.50   26347    2021   25336   206886   7.85
  1947          71     0.08483  0.08138  0.50   24326    1980   23336   181550   7.46
  1947          72     0.09112  0.08715  0.50   22346    1948   21372   158214   7.08
  1947          73     0.09910  0.09442  0.50   20399    1926   19436   136842   6.71
  1947          74     0.10714  0.10169  0.50   18473    1879   17533   117406   6.36
  1947          75     0.11348  0.10739  0.50   16594    1782   15703    99873   6.02
  1947          76     0.11891  0.11224  0.50   14812    1662   13981    84170   5.68
  1947          77     0.12891  0.12110  0.50   13149    1592   12353    70189   5.34
  1947          78     0.14745  0.13732  0.50   11557    1587   10764    57836   5.00
  1947          79     0.16807  0.15504  0.50    9970    1546    9197    47072   4.72
  1947          80     0.18329  0.16791  0.50    8424    1414    7717    37875   4.50
  1947          81     0.19201  0.17519  0.50    7010    1228    6396    30158   4.30
  1947          82     0.19710  0.17942  0.50    5782    1037    5263    23763   4.11
  1947          83     0.20787  0.18830  0.50    4744     893    4298    18500   3.90
  1947          84     0.22338  0.20094  0.50    3851     774    3464    14202   3.69
  1947          85     0.24019  0.21443  0.50    3077     660    2747    10738   3.49
  1947          86     0.25748  0.22811  0.50    2417     551    2142     7991   3.31
  1947          87     0.27516  0.24189  0.50    1866     451    1640     5849   3.13
  1947          88     0.29342  0.25588  0.50    1415     362    1234     4209   2.98
  1947          89     0.31233  0.27015  0.50    1053     284     910     2975   2.83
  1947          90     0.33191  0.28467  0.50     768     219     659     2065   2.69
  1947          91     0.35210  0.29939  0.50     550     165     467     1406   2.56
  1947          92     0.37284  0.31426  0.50     385     121     325      939   2.44
  1947          93     0.39407  0.32920  0.50     264      87     221      614   2.33
  1947          94     0.41569  0.34416  0.50     177      61     147      394   2.22
  1947          95     0.43765  0.35907  0.50     116      42      95      247   2.13
  1947          96     0.45985  0.37389  0.50      74      28      61      152   2.04
  1947          97     0.48222  0.38854  0.50      47      18      38       91   1.95
  1947          98     0.50465  0.40297  0.50      29      11      23       53   1.88
  1947          99     0.52707  0.41714  0.50      17       7      13       31   1.81
  1947         100     0.54937  0.43099  0.50      10       4       8       17   1.74
  1947         101     0.57148  0.44448  0.50       6       3       4        9   1.68
  1947         102     0.59331  0.45757  0.50       3       1       2        5   1.62
  1947         103     0.61478  0.47024  0.50       2       1       1        3   1.57
  1947         104     0.63582  0.48244  0.50       1       0       1        1   1.53
  1947         105     0.65634  0.49417  0.50       0       0       0        1   1.48
  1947         106     0.67628  0.50539  0.50       0       0       0        0   1.44
  1947         107     0.69556  0.51608  0.50       0       0       0        0   1.41
  1947         108     0.71417  0.52625  0.50       0       0       0        0   1.37
  1947         109     0.73215  0.53595  0.50       0       0       0        0   1.34
  1947         110+    0.76197  1.00000  1.31       0       0       0        0   1.31
  1948           0     0.05685  0.05439  0.20  100000    5439   95670  5574593  55.75
  1948           1     0.01275  0.01267  0.50   94561    1198   93962  5478924  57.94
  1948           2     0.01037  0.01032  0.50   93363     963   92881  5384961  57.68
  1948           3     0.00814  0.00811  0.50   92400     749   92025  5292080  57.27
  1948           4     0.00618  0.00616  0.50   91650     565   91368  5200055  56.74
  1948           5     0.00458  0.00457  0.50   91086     417   90877  5108687  56.09
  1948           6     0.00335  0.00334  0.50   90669     303   90518  5017810  55.34
  1948           7     0.00244  0.00244  0.50   90366     221   90256  4927292  54.53
  1948           8     0.00183  0.00183  0.50   90146     165   90063  4837036  53.66
  1948           9     0.00146  0.00146  0.50   89980     131   89915  4746973  52.76
  1948          10     0.00128  0.00127  0.50   89849     115   89792  4657058  51.83
  1948          11     0.00125  0.00125  0.50   89735     112   89679  4567266  50.90
  1948          12     0.00137  0.00137  0.50   89622     123   89561  4477588  49.96
  1948          13     0.00163  0.00163  0.50   89500     146   89427  4388027  49.03
  1948          14     0.00205  0.00205  0.50   89354     183   89262  4298600  48.11
  1948          15     0.00261  0.00261  0.50   89171     232   89055  4209338  47.21
  1948          16     0.00329  0.00329  0.50   88938     292   88792  4120283  46.33
  1948          17     0.00406  0.00405  0.50   88646     359   88466  4031491  45.48
