41.Saga.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12274  0.11341  0.33  100000   11341   92401  4531939  45.32
  1947           1     0.04325  0.04233  0.50   88659    3753   86782  4439538  50.07
  1947           2     0.02600  0.02567  0.50   84905    2179   83816  4352756  51.27
  1947           3     0.01437  0.01427  0.50   82726    1181   82136  4268940  51.60
  1947           4     0.00825  0.00822  0.50   81545     670   81211  4186805  51.34
  1947           5     0.00582  0.00581  0.50   80876     469   80641  4105594  50.76
  1947           6     0.00480  0.00479  0.50   80406     385   80213  4024953  50.06
  1947           7     0.00350  0.00349  0.50   80021     280   79881  3944740  49.30
  1947           8     0.00270  0.00270  0.50   79741     215   79634  3864859  48.47
  1947           9     0.00230  0.00230  0.50   79526     183   79435  3785225  47.60
  1947          10     0.00192  0.00192  0.50   79343     152   79267  3705790  46.71
  1947          11     0.00161  0.00160  0.50   79191     127   79127  3626523  45.79
  1947          12     0.00156  0.00156  0.50   79064     123   79002  3547396  44.87
  1947          13     0.00204  0.00204  0.50   78940     161   78860  3468394  43.94
  1947          14     0.00274  0.00274  0.50   78779     216   78672  3389534  43.03
  1947          15     0.00336  0.00335  0.50   78564     263   78432  3310862  42.14
  1947          16     0.00413  0.00412  0.50   78301     323   78139  3232430  41.28
  1947          17     0.00530  0.00529  0.50   77978     412   77772  3154291  40.45
  1947          18     0.00651  0.00649  0.50   77566     503   77314  3076519  39.66
  1947          19     0.00764  0.00761  0.50   77062     586   76769  2999205  38.92
  1947          20     0.00958  0.00953  0.50   76476     729   76111  2922436  38.21
  1947          21     0.01105  0.01099  0.50   75747     832   75331  2846324  37.58
  1947          22     0.01083  0.01077  0.50   74915     807   74511  2770994  36.99
  1947          23     0.01053  0.01048  0.50   74108     776   73720  2696482  36.39
  1947          24     0.01158  0.01152  0.50   73331     844   72909  2622762  35.77
  1947          25     0.01232  0.01224  0.50   72487     887   72043  2549853  35.18
  1947          26     0.01185  0.01178  0.50   71600     843   71178  2477810  34.61
  1947          27     0.01021  0.01016  0.50   70757     719   70397  2406632  34.01
  1947          28     0.00945  0.00941  0.50   70038     659   69709  2336235  33.36
  1947          29     0.01063  0.01057  0.50   69379     733   69012  2266526  32.67
  1947          30     0.01026  0.01021  0.50   68646     701   68295  2197514  32.01
  1947          31     0.00940  0.00936  0.50   67945     636   67627  2129219  31.34
  1947          32     0.00996  0.00991  0.50   67309     667   66975  2061592  30.63
  1947          33     0.01130  0.01124  0.50   66642     749   66267  1994617  29.93
  1947          34     0.01235  0.01228  0.50   65893     809   65488  1928349  29.26
  1947          35     0.01268  0.01260  0.50   65084     820   64674  1862861  28.62
  1947          36     0.01224  0.01217  0.50   64264     782   63873  1798187  27.98
  1947          37     0.01175  0.01169  0.50   63482     742   63111  1734315  27.32
  1947          38     0.01153  0.01146  0.50   62740     719   62380  1671204  26.64
  1947          39     0.01176  0.01169  0.50   62021     725   61658  1608823  25.94
  1947          40     0.01280  0.01272  0.50   61296     780   60906  1547165  25.24
  1947          41     0.01409  0.01399  0.50   60516     847   60093  1486259  24.56
  1947          42     0.01285  0.01277  0.50   59669     762   59288  1426166  23.90
  1947          43     0.01148  0.01141  0.50   58908     672   58571  1366878  23.20
  1947          44     0.01267  0.01259  0.50   58235     733   57869  1308307  22.47
  1947          45     0.01407  0.01397  0.50   57502     803   57101  1250438  21.75
  1947          46     0.01350  0.01341  0.50   56699     760   56319  1193337  21.05
  1947          47     0.01361  0.01351  0.50   55939     756   55561  1137019  20.33
  1947          48     0.01504  0.01492  0.50   55183     824   54771  1081458  19.60
  1947          49     0.01731  0.01716  0.50   54359     933   53893  1026687  18.89
