42.Nagasaki.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09406  0.08823  0.30  100000    8823   93802  4862295  48.62
  1947           1     0.03073  0.03027  0.50   91177    2760   89798  4768494  52.30
  1947           2     0.02348  0.02320  0.50   88418    2052   87392  4678696  52.92
  1947           3     0.01696  0.01681  0.50   86366    1452   85640  4591304  53.16
  1947           4     0.01159  0.01152  0.50   84914     978   84425  4505664  53.06
  1947           5     0.00760  0.00757  0.50   83936     635   83618  4421239  52.67
  1947           6     0.00487  0.00486  0.50   83300     405   83098  4337621  52.07
  1947           7     0.00317  0.00316  0.50   82896     262   82765  4254523  51.32
  1947           8     0.00220  0.00220  0.50   82633     182   82543  4171759  50.49
  1947           9     0.00173  0.00172  0.50   82452     142   82381  4089216  49.60
  1947          10     0.00153  0.00153  0.50   82309     126   82246  4006836  48.68
  1947          11     0.00153  0.00153  0.50   82183     126   82120  3924589  47.75
  1947          12     0.00167  0.00167  0.50   82057     137   81989  3842469  46.83
  1947          13     0.00196  0.00196  0.50   81920     160   81840  3760480  45.90
  1947          14     0.00244  0.00243  0.50   81760     199   81661  3678640  44.99
  1947          15     0.00313  0.00313  0.50   81561     255   81434  3596979  44.10
  1947          16     0.00404  0.00403  0.50   81306     328   81142  3515545  43.24
  1947          17     0.00513  0.00512  0.50   80978     414   80771  3434403  42.41
  1947          18     0.00630  0.00628  0.50   80564     506   80311  3353632  41.63
  1947          19     0.00743  0.00740  0.50   80058     593   79762  3273321  40.89
  1947          20     0.00840  0.00837  0.50   79465     665   79133  3193559  40.19
  1947          21     0.00919  0.00915  0.50   78801     721   78440  3114426  39.52
  1947          22     0.00981  0.00977  0.50   78079     763   77698  3035986  38.88
  1947          23     0.01024  0.01018  0.50   77317     787   76923  2958288  38.26
  1947          24     0.01043  0.01038  0.50   76529     794   76132  2881365  37.65
  1947          25     0.01040  0.01035  0.50   75735     783   75343  2805233  37.04
  1947          26     0.01019  0.01014  0.50   74952     760   74572  2729890  36.42
  1947          27     0.00988  0.00984  0.50   74192     730   73827  2655318  35.79
  1947          28     0.00953  0.00949  0.50   73462     697   73113  2581492  35.14
  1947          29     0.00918  0.00914  0.50   72765     665   72432  2508378  34.47
  1947          30     0.00887  0.00883  0.50   72100     636   71782  2435946  33.79
  1947          31     0.00867  0.00863  0.50   71464     617   71155  2364164  33.08
  1947          32     0.00864  0.00861  0.50   70847     610   70542  2293009  32.37
  1947          33     0.00877  0.00873  0.50   70237     613   69930  2222467  31.64
