43.Kumamoto.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08774  0.08253  0.28  100000    8253   94062  4976665  49.77
  1947           1     0.02744  0.02707  0.50   91747    2483   90506  4882603  53.22
  1947           2     0.02114  0.02092  0.50   89264    1868   88330  4792097  53.68
  1947           3     0.01544  0.01532  0.50   87396    1339   86727  4703767  53.82
  1947           4     0.01067  0.01061  0.50   86058     913   85601  4617040  53.65
  1947           5     0.00704  0.00702  0.50   85144     598   84845  4531439  53.22
  1947           6     0.00448  0.00447  0.50   84547     378   84358  4446594  52.59
  1947           7     0.00283  0.00282  0.50   84169     238   84050  4362236  51.83
  1947           8     0.00186  0.00186  0.50   83931     156   83853  4278186  50.97
  1947           9     0.00137  0.00137  0.50   83775     115   83717  4194333  50.07
  1947          10     0.00117  0.00117  0.50   83660      98   83611  4110615  49.13
  1947          11     0.00118  0.00118  0.50   83562      99   83513  4027004  48.19
  1947          12     0.00138  0.00138  0.50   83463     115   83406  3943492  47.25
  1947          13     0.00178  0.00178  0.50   83348     149   83274  3860086  46.31
  1947          14     0.00240  0.00239  0.50   83199     199   83100  3776813  45.39
  1947          15     0.00322  0.00322  0.50   83000     267   82867  3693713  44.50
  1947          16     0.00421  0.00420  0.50   82733     348   82559  3610846  43.64
  1947          17     0.00530  0.00529  0.50   82386     435   82168  3528287  42.83
  1947          18     0.00640  0.00638  0.50   81950     523   81689  3446119  42.05
  1947          19     0.00742  0.00739  0.50   81427     602   81126  3364431  41.32
  1947          20     0.00827  0.00823  0.50   80825     666   80493  3283304  40.62
  1947          21     0.00891  0.00887  0.50   80160     711   79804  3202812  39.96
  1947          22     0.00931  0.00927  0.50   79449     736   79081  3123007  39.31
  1947          23     0.00950  0.00946  0.50   78713     744   78341  3043926  38.67
  1947          24     0.00953  0.00949  0.50   77969     740   77599  2965586  38.04
  1947          25     0.00949  0.00944  0.50   77229     729   76864  2887987  37.40
  1947          26     0.00942  0.00938  0.50   76500     717   76141  2811122  36.75
  1947          27     0.00936  0.00932  0.50   75782     706   75429  2734981  36.09
  1947          28     0.00932  0.00928  0.50   75076     697   74728  2659552  35.42
  1947          29     0.00931  0.00927  0.50   74380     689   74035  2584824  34.75
  1947          30     0.00934  0.00930  0.50   73690     685   73348  2510789  34.07
  1947          31     0.00939  0.00935  0.50   73005     683   72664  2437442  33.39
  1947          32     0.00942  0.00938  0.50   72322     678   71983  2364778  32.70
  1947          33     0.00942  0.00938  0.50   71644     672   71308  2292795  32.00
  1947          34     0.00940  0.00936  0.50   70973     664   70640  2221486  31.30
  1947          35     0.00941  0.00937  0.50   70308     659   69979  2150846  30.59
  1947          36     0.00948  0.00944  0.50   69649     657   69321  2080867  29.88
  1947          37     0.00962  0.00957  0.50   68992     660   68662  2011546  29.16
  1947          38     0.00981  0.00976  0.50   68332     667   67998  1942885  28.43
  1947          39     0.01005  0.01000  0.50   67665     677   67326  1874886  27.71
  1947          40     0.01033  0.01028  0.50   66988     689   66644  1807560  26.98
  1947          41     0.01061  0.01055  0.50   66299     700   65950  1740916  26.26
  1947          42     0.01085  0.01079  0.50   65600     708   65246  1674967  25.53
  1947          43     0.01110  0.01104  0.50   64892     716   64534  1609721  24.81
  1947          44     0.01144  0.01137  0.50   64176     730   63811  1545187  24.08
  1947          45     0.01187  0.01180  0.50   63446     749   63072  1481376  23.35
  1947          46     0.01239  0.01231  0.50   62697     772   62311  1418304  22.62
  1947          47     0.01293  0.01285  0.50   61926     796   61528  1355993  21.90
  1947          48     0.01352  0.01343  0.50   61130     821   60719  1294465  21.18
  1947          49     0.01416  0.01406  0.50   60309     848   59885  1233746  20.46
  1947          50     0.01488  0.01477  0.50   59461     878   59022  1173861  19.74
  1947          51     0.01569  0.01557  0.50   58583     912   58127  1114838  19.03
  1947          52     0.01662  0.01649  0.50   57671     951   57196  1056711  18.32
  1947          53     0.01771  0.01755  0.50   56720     995   56222   999516  17.62
  1947          54     0.01897  0.01880  0.50   55725    1047   55201   943293  16.93
