44.Oita.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10977  0.10225  0.33  100000   10225   93149  4678105  46.78
  1947           1     0.03795  0.03724  0.50   89775    3343   88103  4584955  51.07
  1947           2     0.02522  0.02491  0.50   86432    2153   85355  4496852  52.03
  1947           3     0.01539  0.01527  0.50   84279    1287   83635  4411497  52.34
  1947           4     0.00899  0.00895  0.50   82992     743   82620  4327861  52.15
  1947           5     0.00566  0.00564  0.50   82249     464   82017  4245241  51.61
  1947           6     0.00415  0.00414  0.50   81785     338   81616  4163224  50.90
  1947           7     0.00324  0.00324  0.50   81446     264   81315  4081608  50.11
  1947           8     0.00272  0.00271  0.50   81183     220   81073  4000294  49.28
  1947           9     0.00242  0.00241  0.50   80962     195   80865  3919221  48.41
  1947          10     0.00220  0.00220  0.50   80767     178   80678  3838357  47.52
  1947          11     0.00218  0.00218  0.50   80589     175   80502  3757678  46.63
  1947          12     0.00241  0.00241  0.50   80414     193   80317  3677177  45.73
  1947          13     0.00261  0.00261  0.50   80221     209   80116  3596859  44.84
  1947          14     0.00286  0.00286  0.50   80011     229   79897  3516743  43.95
  1947          15     0.00333  0.00333  0.50   79782     266   79650  3436847  43.08
  1947          16     0.00413  0.00412  0.50   79517     327   79353  3357197  42.22
  1947          17     0.00529  0.00528  0.50   79189     418   78981  3277844  41.39
  1947          18     0.00670  0.00668  0.50   78772     526   78508  3198863  40.61
  1947          19     0.00824  0.00821  0.50   78245     642   77924  3120355  39.88
  1947          20     0.00982  0.00977  0.50   77603     758   77224  3042431  39.21
  1947          21     0.01100  0.01094  0.50   76844     841   76424  2965207  38.59
  1947          22     0.01138  0.01131  0.50   76004     860   75574  2888783  38.01
  1947          23     0.01101  0.01095  0.50   75144     823   74733  2813209  37.44
  1947          24     0.01037  0.01031  0.50   74321     767   73938  2738477  36.85
  1947          25     0.01054  0.01048  0.50   73555     771   73169  2664539  36.23
  1947          26     0.01099  0.01093  0.50   72784     796   72386  2591370  35.60
  1947          27     0.01101  0.01094  0.50   71988     788   71594  2518984  34.99
  1947          28     0.01089  0.01083  0.50   71200     771   70815  2447390  34.37
  1947          29     0.01092  0.01086  0.50   70429     765   70047  2376575  33.74
  1947          30     0.01050  0.01045  0.50   69664     728   69300  2306529  33.11
  1947          31     0.00986  0.00981  0.50   68936     676   68598  2237228  32.45
  1947          32     0.00941  0.00937  0.50   68260     640   67940  2168630  31.77
  1947          33     0.00926  0.00921  0.50   67620     623   67309  2100690  31.07
  1947          34     0.00937  0.00933  0.50   66997     625   66685  2033381  30.35
  1947          35     0.00968  0.00963  0.50   66372     639   66053  1966697  29.63
  1947          36     0.01007  0.01002  0.50   65733     659   65404  1900644  28.91
