45.Miyazaki.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08756  0.08236  0.28  100000    8236   94070  4969080  49.69
  1947           1     0.03713  0.03646  0.50   91764    3345   90091  4875011  53.13
  1947           2     0.02373  0.02345  0.50   88418    2073   87381  4784920  54.12
  1947           3     0.01483  0.01472  0.50   86345    1271   85709  4697538  54.40
  1947           4     0.00984  0.00979  0.50   85074     833   84657  4611829  54.21
  1947           5     0.00699  0.00697  0.50   84241     587   83947  4527172  53.74
  1947           6     0.00530  0.00528  0.50   83654     442   83433  4443224  53.11
  1947           7     0.00412  0.00411  0.50   83212     342   83041  4359791  52.39
  1947           8     0.00341  0.00340  0.50   82870     282   82729  4276750  51.61
  1947           9     0.00294  0.00293  0.50   82588     242   82467  4194022  50.78
  1947          10     0.00249  0.00248  0.50   82345     204   82243  4111555  49.93
  1947          11     0.00214  0.00214  0.50   82141     175   82053  4029312  49.05
  1947          12     0.00199  0.00199  0.50   81966     163   81884  3947259  48.16
  1947          13     0.00197  0.00197  0.50   81802     161   81722  3865375  47.25
  1947          14     0.00215  0.00215  0.50   81642     175   81554  3783653  46.34
  1947          15     0.00266  0.00265  0.50   81466     216   81358  3702099  45.44
  1947          16     0.00348  0.00347  0.50   81250     282   81109  3620741  44.56
  1947          17     0.00456  0.00455  0.50   80968     368   80784  3539632  43.72
  1947          18     0.00580  0.00578  0.50   80600     466   80367  3458848  42.91
  1947          19     0.00696  0.00694  0.50   80134     556   79856  3378482  42.16
  1947          20     0.00758  0.00755  0.50   79578     601   79277  3298626  41.45
  1947          21     0.00800  0.00797  0.50   78977     630   78662  3219348  40.76
  1947          22     0.00865  0.00861  0.50   78347     675   78010  3140686  40.09
  1947          23     0.00914  0.00910  0.50   77673     707   77319  3062676  39.43
  1947          24     0.00915  0.00911  0.50   76966     701   76616  2985357  38.79
  1947          25     0.00913  0.00909  0.50   76265     694   75918  2908741  38.14
  1947          26     0.00892  0.00888  0.50   75572     671   75236  2832823  37.49
  1947          27     0.00828  0.00825  0.50   74901     618   74592  2757586  36.82
  1947          28     0.00770  0.00767  0.50   74283     570   73998  2682995  36.12
  1947          29     0.00771  0.00768  0.50   73713     566   73430  2608997  35.39
  1947          30     0.00830  0.00826  0.50   73147     604   72845  2535567  34.66
  1947          31     0.00915  0.00911  0.50   72542     661   72212  2462722  33.95
  1947          32     0.00989  0.00984  0.50   71881     708   71528  2390511  33.26
  1947          33     0.01013  0.01008  0.50   71174     717   70815  2318983  32.58
  1947          34     0.00970  0.00966  0.50   70457     680   70116  2248168  31.91
  1947          35     0.00935  0.00931  0.50   69776     649   69452  2178051  31.21
  1947          36     0.00952  0.00948  0.50   69127     655   68799  2108600  30.50
  1947          37     0.00914  0.00910  0.50   68472     623   68160  2039801  29.79
  1947          38     0.00870  0.00866  0.50   67848     587   67555  1971641  29.06
  1947          39     0.00893  0.00889  0.50   67261     598   66962  1904086  28.31
  1947          40     0.00959  0.00954  0.50   66663     636   66345  1837124  27.56
  1947          41     0.01009  0.01004  0.50   66027     663   65695  1770779  26.82
  1947          42     0.00986  0.00982  0.50   65364     642   65043  1705084  26.09
  1947          43     0.00948  0.00943  0.50   64722     610   64417  1640041  25.34
  1947          44     0.00971  0.00966  0.50   64112     619   63802  1575624  24.58
  1947          45     0.01086  0.01081  0.50   63492     686   63149  1511821  23.81
  1947          46     0.01260  0.01252  0.50   62806     786   62413  1448672  23.07
  1947          47     0.01315  0.01306  0.50   62020     810   61615  1386259  22.35
  1947          48     0.01330  0.01321  0.50   61210     809   60806  1324644  21.64
  1947          49     0.01426  0.01416  0.50   60401     855   59974  1263838  20.92
  1947          50     0.01580  0.01568  0.50   59546     933   59079  1203864  20.22
  1947          51     0.01721  0.01707  0.50   58613    1000   58113  1144785  19.53
