46.Kagoshima.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08978  0.08437  0.29  100000    8437   93976  4806104  48.06
  1947           1     0.04274  0.04184  0.50   91563    3831   89648  4712129  51.46
  1947           2     0.02640  0.02606  0.50   87732    2286   86589  4622481  52.69
  1947           3     0.01502  0.01491  0.50   85446    1274   84809  4535892  53.08
  1947           4     0.00849  0.00845  0.50   84172     711   83817  4451083  52.88
  1947           5     0.00536  0.00535  0.50   83461     446   83238  4367266  52.33
  1947           6     0.00415  0.00414  0.50   83015     344   82843  4284028  51.61
  1947           7     0.00352  0.00351  0.50   82671     291   82526  4201186  50.82
  1947           8     0.00294  0.00293  0.50   82380     242   82260  4118660  50.00
  1947           9     0.00239  0.00239  0.50   82139     196   82041  4036400  49.14
  1947          10     0.00198  0.00197  0.50   81943     162   81862  3954359  48.26
  1947          11     0.00176  0.00176  0.50   81781     144   81709  3872498  47.35
  1947          12     0.00178  0.00178  0.50   81637     145   81564  3790789  46.43
  1947          13     0.00190  0.00190  0.50   81492     154   81414  3709225  45.52
  1947          14     0.00211  0.00211  0.50   81337     171   81251  3627811  44.60
  1947          15     0.00247  0.00247  0.50   81166     201   81065  3546559  43.70
  1947          16     0.00318  0.00317  0.50   80965     257   80837  3465494  42.80
  1947          17     0.00436  0.00435  0.50   80708     351   80533  3384657  41.94
  1947          18     0.00585  0.00583  0.50   80357     469   80123  3304124  41.12
  1947          19     0.00748  0.00745  0.50   79888     595   79591  3224001  40.36
  1947          20     0.00919  0.00915  0.50   79293     725   78931  3144411  39.66
  1947          21     0.01051  0.01045  0.50   78568     821   78157  3065480  39.02
  1947          22     0.01105  0.01099  0.50   77747     855   77320  2987323  38.42
  1947          23     0.01136  0.01129  0.50   76892     868   76458  2910003  37.85
  1947          24     0.01183  0.01176  0.50   76024     894   75577  2833545  37.27
  1947          25     0.01178  0.01171  0.50   75130     880   74690  2757968  36.71
  1947          26     0.01118  0.01112  0.50   74250     826   73837  2683278  36.14
  1947          27     0.01034  0.01029  0.50   73424     755   73046  2609441  35.54
  1947          28     0.00981  0.00976  0.50   72669     709   72314  2536395  34.90
  1947          29     0.00987  0.00982  0.50   71960     707   71606  2464081  34.24
  1947          30     0.00978  0.00973  0.50   71253     693   70906  2392474  33.58
  1947          31     0.00952  0.00947  0.50   70560     669   70225  2321568  32.90
  1947          32     0.00932  0.00928  0.50   69891     649   69567  2251343  32.21
  1947          33     0.00937  0.00933  0.50   69242     646   68919  2181776  31.51
  1947          34     0.00975  0.00970  0.50   68596     666   68264  2112857  30.80
  1947          35     0.01024  0.01018  0.50   67931     692   67585  2044593  30.10
  1947          36     0.01064  0.01058  0.50   67239     711   66883  1977008  29.40
  1947          37     0.01111  0.01105  0.50   66528     735   66160  1910125  28.71
  1947          38     0.01147  0.01140  0.50   65792     750   65417  1843965  28.03
  1947          39     0.01147  0.01141  0.50   65042     742   64671  1778547  27.34
  1947          40     0.01123  0.01116  0.50   64300     718   63941  1713876  26.65
  1947          41     0.01087  0.01081  0.50   63582     687   63239  1649935  25.95
  1947          42     0.01045  0.01039  0.50   62895     654   62568  1586696  25.23
  1947          43     0.01040  0.01035  0.50   62242     644   61920  1524127  24.49
  1947          44     0.01105  0.01099  0.50   61598     677   61259  1462208  23.74
  1947          45     0.01180  0.01173  0.50   60921     715   60563  1400949  23.00
  1947          46     0.01225  0.01217  0.50   60206     733   59840  1340385  22.26
  1947          47     0.01315  0.01307  0.50   59473     777   59085  1280546  21.53
  1947          48     0.01429  0.01419  0.50   58696     833   58280  1221461  20.81
  1947          49     0.01523  0.01512  0.50   57863     875   57426  1163182  20.10
  1947          50     0.01614  0.01601  0.50   56988     912   56532  1105756  19.40
  1947          51     0.01726  0.01711  0.50   56076     960   55596  1049223  18.71
  1947          52     0.01860  0.01843  0.50   55116    1016   54608   993627  18.03
  1947          53     0.01996  0.01976  0.50   54100    1069   53566   939019  17.36
  1947          54     0.02081  0.02059  0.50   53031    1092   52485   885453  16.70
  1947          55     0.02198  0.02174  0.50   51939    1129   51375   832968  16.04
  1947          56     0.02436  0.02407  0.50   50810    1223   50199   781593  15.38
  1947          57     0.02757  0.02720  0.50   49587    1349   48913   731394  14.75
  1947          58     0.03080  0.03033  0.50   48239    1463   47507   682481  14.15
  1947          59     0.03315  0.03261  0.50   46775    1525   46013   634974  13.57
  1947          60     0.03512  0.03451  0.50   45250    1562   44469   588961  13.02
  1947          61     0.03734  0.03666  0.50   43688    1602   42888   544492  12.46
  1947          62     0.03947  0.03871  0.50   42087    1629   41272   501605  11.92
  1947          63     0.04118  0.04035  0.50   40458    1632   39641   460332  11.38
  1947          64     0.04324  0.04233  0.50   38825    1643   38004   420691  10.84
  1947          65     0.04667  0.04560  0.50   37182    1696   36334   382688  10.29
  1947          66     0.05195  0.05063  0.50   35486    1797   34588   346354   9.76
  1947          67     0.05856  0.05690  0.50   33689    1917   32731   311766   9.25
  1947          68     0.06563  0.06354  0.50   31773    2019   30763   279035   8.78
  1947          69     0.07178  0.06930  0.50   29754    2062   28723   248271   8.34
