47.Okinawa.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1973           0     0.01668  0.01645  0.15  100000    1645   98607  7100850  71.01
  1973           1     0.00178  0.00178  0.50   98355     175   98268  7002244  71.19
  1973           2     0.00145  0.00145  0.50   98180     142   98109  6903976  70.32
  1973           3     0.00114  0.00114  0.50   98038     112   97982  6805867  69.42
  1973           4     0.00087  0.00087  0.50   97926      85   97884  6707885  68.50
  1973           5     0.00064  0.00064  0.50   97841      63   97810  6610001  67.56
  1973           6     0.00047  0.00047  0.50   97779      46   97756  6512191  66.60
  1973           7     0.00036  0.00036  0.50   97733      35   97715  6414436  65.63
  1973           8     0.00029  0.00029  0.50   97698      29   97683  6316720  64.66
  1973           9     0.00028  0.00028  0.50   97669      27   97655  6219037  63.67
  1973          10     0.00031  0.00031  0.50   97642      30   97627  6121382  62.69
  1973          11     0.00037  0.00037  0.50   97611      36   97593  6023755  61.71
  1973          12     0.00047  0.00047  0.50   97575      46   97552  5926162  60.73
  1973          13     0.00060  0.00060  0.50   97529      59   97500  5828610  59.76
  1973          14     0.00076  0.00076  0.50   97471      74   97434  5731109  58.80
  1973          15     0.00095  0.00095  0.50   97397      93   97350  5633676  57.84
  1973          16     0.00116  0.00116  0.50   97304     113   97247  5536325  56.90
  1973          17     0.00138  0.00138  0.50   97191     134   97124  5439078  55.96
  1973          18     0.00158  0.00158  0.50   97057     154   96980  5341954  55.04
  1973          19     0.00176  0.00175  0.50   96903     170   96818  5244974  54.13
  1973          20     0.00188  0.00188  0.50   96733     182   96642  5148156  53.22
  1973          21     0.00197  0.00196  0.50   96551     190   96456  5051513  52.32
  1973          22     0.00200  0.00200  0.50   96362     192   96265  4955057  51.42
  1973          23     0.00200  0.00200  0.50   96169     193   96073  4858791  50.52
  1973          24     0.00200  0.00200  0.50   95977     192   95881  4762718  49.62
  1973          25     0.00201  0.00201  0.50   95785     193   95688  4666838  48.72
  1973          26     0.00203  0.00203  0.50   95592     194   95495  4571149  47.82
  1973          27     0.00204  0.00204  0.50   95398     195   95301  4475654  46.92
  1973          28     0.00204  0.00204  0.50   95204     194   95107  4380353  46.01
  1973          29     0.00203  0.00203  0.50   95010     192   94913  4285246  45.10
  1973          30     0.00200  0.00199  0.50   94817     189   94722  4190333  44.19
  1973          31     0.00196  0.00196  0.50   94628     186   94535  4095611  43.28
  1973          32     0.00194  0.00194  0.50   94442     183   94351  4001075  42.37
  1973          33     0.00193  0.00193  0.50   94259     182   94168  3906725  41.45
  1973          34     0.00194  0.00193  0.50   94077     182   93986  3812557  40.53
  1973          35     0.00195  0.00195  0.50   93895     183   93804  3718570  39.60
  1973          36     0.00198  0.00198  0.50   93712     186   93619  3624767  38.68
  1973          37     0.00205  0.00204  0.50   93527     191   93431  3531147  37.76
  1973          38     0.00215  0.00215  0.50   93335     200   93235  3437716  36.83
  1973          39     0.00230  0.00229  0.50   93135     214   93028  3344481  35.91
  1973          40     0.00251  0.00251  0.50   92921     233   92805  3251453  34.99
  1973          41     0.00280  0.00280  0.50   92689     259   92559  3158648  34.08
  1973          42     0.00318  0.00317  0.50   92429     293   92283  3066089  33.17
  1973          43     0.00363  0.00362  0.50   92136     334   91969  2973806  32.28
  1973          44     0.00414  0.00413  0.50   91802     379   91613  2881837  31.39
  1973          45     0.00468  0.00467  0.50   91423     427   91210  2790224  30.52
  1973          46     0.00523  0.00522  0.50   90996     475   90759  2699015  29.66
  1973          47     0.00577  0.00576  0.50   90522     521   90261  2608256  28.81
  1973          48     0.00629  0.00627  0.50   90001     565   89718  2517995  27.98
  1973          49     0.00679  0.00677  0.50   89436     605   89133  2428276  27.15
  1973          50     0.00729  0.00727  0.50   88831     646   88508  2339143  26.33
  1973          51     0.00784  0.00781  0.50   88185     689   87841  2250635  25.52
  1973          52     0.00846  0.00843  0.50   87496     737   87127  2162794  24.72
  1973          53     0.00915  0.00911  0.50   86759     790   86364  2075667  23.92
