05.Akita.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12074  0.11170  0.33  100000   11170   92516  4637041  46.37
  1947           1     0.03550  0.03488  0.50   88830    3099   87281  4544525  51.16
  1947           2     0.02397  0.02369  0.50   85731    2031   84716  4457244  51.99
  1947           3     0.01473  0.01462  0.50   83700    1224   83088  4372529  52.24
  1947           4     0.00831  0.00827  0.50   82477     682   82135  4289440  52.01
  1947           5     0.00460  0.00459  0.50   81794     375   81606  4207305  51.44
  1947           6     0.00283  0.00283  0.50   81419     230   81304  4125699  50.67
  1947           7     0.00214  0.00214  0.50   81188     174   81102  4044395  49.81
  1947           8     0.00200  0.00199  0.50   81015     162   80934  3963294  48.92
  1947           9     0.00208  0.00208  0.50   80853     168   80769  3882360  48.02
  1947          10     0.00216  0.00216  0.50   80685     174   80598  3801591  47.12
  1947          11     0.00220  0.00219  0.50   80510     177   80422  3720993  46.22
  1947          12     0.00221  0.00221  0.50   80334     177   80245  3640571  45.32
  1947          13     0.00231  0.00231  0.50   80157     185   80064  3560326  44.42
  1947          14     0.00257  0.00257  0.50   79971     205   79869  3480262  43.52
  1947          15     0.00301  0.00300  0.50   79766     240   79646  3400393  42.63
  1947          16     0.00368  0.00367  0.50   79527     292   79380  3320746  41.76
  1947          17     0.00461  0.00459  0.50   79234     364   79052  3241366  40.91
  1947          18     0.00568  0.00567  0.50   78870     447   78647  3162314  40.10
  1947          19     0.00679  0.00677  0.50   78423     531   78158  3083667  39.32
  1947          20     0.00783  0.00780  0.50   77893     607   77589  3005509  38.59
  1947          21     0.00865  0.00861  0.50   77285     665   76953  2927920  37.88
  1947          22     0.00913  0.00909  0.50   76620     697   76272  2850967  37.21
  1947          23     0.00935  0.00930  0.50   75923     706   75570  2774695  36.55
  1947          24     0.00941  0.00936  0.50   75217     704   74865  2699125  35.88
  1947          25     0.00944  0.00940  0.50   74513     700   74163  2624260  35.22
  1947          26     0.00948  0.00943  0.50   73812     696   73464  2550098  34.55
  1947          27     0.00950  0.00945  0.50   73116     691   72771  2476633  33.87
  1947          28     0.00948  0.00943  0.50   72425     683   72084  2403862  33.19
  1947          29     0.00938  0.00933  0.50   71742     670   71407  2331779  32.50
  1947          30     0.00917  0.00912  0.50   71073     648   70748  2260371  31.80
  1947          31     0.00889  0.00885  0.50   70424     624   70112  2189623  31.09
  1947          32     0.00864  0.00860  0.50   69801     600   69500  2119511  30.37
  1947          33     0.00843  0.00840  0.50   69200     581   68910  2050010  29.62
  1947          34     0.00832  0.00829  0.50   68619     569   68335  1981100  28.87
  1947          35     0.00834  0.00830  0.50   68050     565   67768  1912766  28.11
  1947          36     0.00847  0.00844  0.50   67485     569   67201  1844998  27.34
  1947          37     0.00866  0.00863  0.50   66916     577   66627  1777797  26.57
  1947          38     0.00891  0.00887  0.50   66339     588   66045  1711170  25.79
  1947          39     0.00923  0.00919  0.50   65750     604   65448  1645125  25.02
  1947          40     0.00965  0.00961  0.50   65146     626   64833  1579677  24.25
  1947          41     0.01017  0.01012  0.50   64520     653   64194  1514844  23.48
  1947          42     0.01068  0.01063  0.50   63867     679   63528  1450650  22.71
  1947          43     0.01122  0.01116  0.50   63189     705   62836  1387122  21.95
  1947          44     0.01185  0.01178  0.50   62484     736   62116  1324285  21.19
  1947          45     0.01268  0.01260  0.50   61748     778   61359  1262170  20.44
  1947          46     0.01376  0.01366  0.50   60970     833   60553  1200811  19.70
  1947          47     0.01501  0.01490  0.50   60137     896   59689  1140258  18.96
  1947          48     0.01638  0.01625  0.50   59241     963   58759  1080569  18.24
  1947          49     0.01782  0.01766  0.50   58278    1029   57764  1021810  17.53
  1947          50     0.01919  0.01901  0.50   57249    1088   56705   964046  16.84
  1947          51     0.02042  0.02022  0.50   56161    1135   55593   907341  16.16
  1947          52     0.02174  0.02150  0.50   55026    1183   54434   851748  15.48
  1947          53     0.02333  0.02306  0.50   53842    1242   53221   797314  14.81
  1947          54     0.02512  0.02481  0.50   52601    1305   51948   744093  14.15
  1947          55     0.02742  0.02705  0.50   51296    1387   50602   692144  13.49
  1947          56     0.03057  0.03011  0.50   49909    1503   49157   641542  12.85
  1947          57     0.03454  0.03395  0.50   48406    1643   47584   592385  12.24
  1947          58     0.03908  0.03833  0.50   46762    1793   45866   544801  11.65
  1947          59     0.04382  0.04288  0.50   44970    1928   44006   498935  11.09
  1947          60     0.04846  0.04732  0.50   43041    2037   42023   454930  10.57
  1947          61     0.05287  0.05151  0.50   41005    2112   39949   412906  10.07
  1947          62     0.05713  0.05554  0.50   38893    2160   37813   372958   9.59
  1947          63     0.06143  0.05960  0.50   36733    2189   35638   335145   9.12
  1947          64     0.06600  0.06389  0.50   34543    2207   33440   299507   8.67
  1947          65     0.07116  0.06871  0.50   32336    2222   31225   266067   8.23
  1947          66     0.07752  0.07462  0.50   30115    2247   28991   234842   7.80
  1947          67     0.08540  0.08190  0.50   27867    2282   26726   205851   7.39
  1947          68     0.09483  0.09053  0.50   25585    2316   24427   179125   7.00
  1947          69     0.10491  0.09968  0.50   23268    2319   22109   154698   6.65
  1947          70     0.11428  0.10811  0.50   20949    2265   19817   132589   6.33
  1947          71     0.12114  0.11422  0.50   18684    2134   17617   112773   6.04
  1947          72     0.12594  0.11848  0.50   16550    1961   15570    95155   5.75
  1947          73     0.13002  0.12208  0.50   14589    1781   13699    79586   5.46
  1947          74     0.13592  0.12727  0.50   12808    1630   11993    65887   5.14
  1947          75     0.14604  0.13610  0.50   11178    1521   10417    53894   4.82
  1947          76     0.16072  0.14876  0.50    9657    1437    8939    43476   4.50
  1947          77     0.17799  0.16344  0.50    8220    1344    7548    34538   4.20
  1947          78     0.19597  0.17848  0.50    6877    1227    6263    26989   3.92
  1947          79     0.21506  0.19418  0.50    5649    1097    5101    20726   3.67
  1947          80     0.23594  0.21104  0.50    4552     961    4072    15625   3.43
  1947          81     0.25796  0.22849  0.50    3592     821    3181    11553   3.22
  1947          82     0.28034  0.24587  0.50    2771     681    2430     8372   3.02
  1947          83     0.30309  0.26320  0.50    2090     550    1815     5942   2.84
  1947          84     0.32637  0.28058  0.50    1540     432    1324     4127   2.68
  1947          85     0.35029  0.29809  0.50    1108     330     943     2803   2.53
  1947          86     0.37490  0.31572  0.50     777     245     655     1861   2.39
  1947          87     0.40017  0.33345  0.50     532     177     443     1206   2.27
  1947          88     0.42601  0.35120  0.50     355     125     292      763   2.15
  1947          89     0.45229  0.36887  0.50     230      85     188      470   2.04
  1947          90     0.47886  0.38636  0.50     145      56     117      283   1.95
  1947          91     0.50557  0.40355  0.50      89      36      71      166   1.86
  1947          92     0.53224  0.42037  0.50      53      22      42       94   1.78
  1947          93     0.55873  0.43673  0.50      31      13      24       52   1.70
  1947          94     0.58490  0.45255  0.50      17       8      13       28   1.64
  1947          95     0.61059  0.46778  0.50       9       4       7       15   1.57
  1947          96     0.63568  0.48237  0.50       5       2       4        8   1.52
  1947          97     0.66006  0.49628  0.50       3       1       2        4   1.47
  1947          98     0.68362  0.50948  0.50       1       1       1        2   1.42
  1947          99     0.70628  0.52196  0.50       1       0       0        1   1.38
  1947         100     0.72797  0.53371  0.50       0       0       0        0   1.34
  1947         101     0.74862  0.54473  0.50       0       0       0        0   1.31
  1947         102     0.76820  0.55502  0.50       0       0       0        0   1.28
  1947         103     0.78667  0.56460  0.50       0       0       0        0   1.25
  1947         104     0.80402  0.57348  0.50       0       0       0        0   1.23
  1947         105     0.82023  0.58168  0.50       0       0       0        0   1.20
  1947         106     0.83534  0.58923  0.50       0       0       0        0   1.18
  1947         107     0.84941  0.59620  0.50       0       0       0        0   1.17
  1947         108     0.86263  0.60268  0.50       0       0       0        0   1.15
  1947         109     0.87521  0.60880  0.50       0       0       0        0   1.13
  1947         110+    0.89234  1.00000  1.12       0       0       0        0   1.12
  1948           0     0.10155  0.09497  0.32  100000    9497   93519  4925545  49.26
  1948           1     0.02539  0.02507  0.50   90503    2269   89368  4832026  53.39
  1948           2     0.01788  0.01772  0.50   88234    1564   87452  4742658  53.75
  1948           3     0.01157  0.01150  0.50   86670     997   86172  4655206  53.71
  1948           4     0.00693  0.00690  0.50   85673     591   85377  4569034  53.33
  1948           5     0.00407  0.00407  0.50   85082     346   84909  4483657  52.70
  1948           6     0.00261  0.00260  0.50   84736     221   84626  4398748  51.91
  1948           7     0.00200  0.00200  0.50   84515     169   84431  4314122  51.05
  1948           8     0.00183  0.00182  0.50   84346     154   84270  4229692  50.15
  1948           9     0.00182  0.00182  0.50   84193     153   84116  4145422  49.24
  1948          10     0.00181  0.00181  0.50   84039     152   83963  4061306  48.33
  1948          11     0.00177  0.00177  0.50   83887     148   83813  3977343  47.41
  1948          12     0.00175  0.00174  0.50   83739     146   83666  3893530  46.50
  1948          13     0.00181  0.00181  0.50   83593     151   83517  3809864  45.58
  1948          14     0.00202  0.00202  0.50   83442     169   83357  3726346  44.66
  1948          15     0.00242  0.00241  0.50   83273     201   83173  3642989  43.75
  1948          16     0.00299  0.00299  0.50   83072     248   82948  3559816  42.85
  1948          17     0.00373  0.00372  0.50   82824     308   82670  3476868  41.98
  1948          18     0.00459  0.00458  0.50   82516     378   82327  3394199  41.13
  1948          19     0.00553  0.00552  0.50   82138     453   81911  3311872  40.32
  1948          20     0.00649  0.00647  0.50   81685     528   81421  3229960  39.54
  1948          21     0.00742  0.00739  0.50   81156     600   80857  3148540  38.80
  1948          22     0.00826  0.00822  0.50   80557     662   80226  3067683  38.08
  1948          23     0.00891  0.00887  0.50   79894     709   79540  2987458  37.39
  1948          24     0.00929  0.00925  0.50   79185     732   78819  2907918  36.72
  1948          25     0.00932  0.00928  0.50   78453     728   78089  2829099  36.06
  1948          26     0.00909  0.00905  0.50   77725     703   77373  2751010  35.39
  1948          27     0.00874  0.00870  0.50   77022     670   76686  2673636  34.71
  1948          28     0.00841  0.00837  0.50   76351     639   76032  2596950  34.01
  1948          29     0.00822  0.00818  0.50   75712     620   75402  2520918  33.30
  1948          30     0.00818  0.00815  0.50   75092     612   74787  2445516  32.57
  1948          31     0.00819  0.00816  0.50   74481     608   74177  2370730  31.83
  1948          32     0.00817  0.00813  0.50   73873     601   73572  2296553  31.09
  1948          33     0.00817  0.00814  0.50   73272     596   72974  2222980  30.34
  1948          34     0.00828  0.00825  0.50   72676     599   72376  2150006  29.58
  1948          35     0.00843  0.00839  0.50   72076     605   71774  2077630  28.83
  1948          36     0.00851  0.00848  0.50   71472     606   71169  2005856  28.07
  1948          37     0.00859  0.00855  0.50   70866     606   70563  1934687  27.30
  1948          38     0.00871  0.00867  0.50   70260     609   69955  1864125  26.53
  1948          39     0.00892  0.00888  0.50   69651     619   69341  1794170  25.76
  1948          40     0.00931  0.00927  0.50   69032     640   68712  1724828  24.99
  1948          41     0.00989  0.00985  0.50   68392     673   68055  1656116  24.22
  1948          42     0.01043  0.01038  0.50   67719     703   67367  1588061  23.45
  1948          43     0.01081  0.01075  0.50   67016     721   66656  1520694  22.69
  1948          44     0.01102  0.01096  0.50   66295     727   65932  1454038  21.93
  1948          45     0.01124  0.01117  0.50   65568     733   65202  1388106  21.17
  1948          46     0.01167  0.01161  0.50   64836     753   64459  1322904  20.40
  1948          47     0.01250  0.01242  0.50   64083     796   63685  1258445  19.64
  1948          48     0.01370  0.01360  0.50   63287     861   62857  1194759  18.88
  1948          49     0.01523  0.01511  0.50   62426     943   61955  1131903  18.13
  1948          50     0.01699  0.01685  0.50   61483    1036   60965  1069948  17.40
  1948          51     0.01889  0.01871  0.50   60447    1131   59882  1008982  16.69
  1948          52     0.02083  0.02062  0.50   59316    1223   58705   949101  16.00
  1948          53     0.02278  0.02253  0.50   58093    1309   57439   890396  15.33
  1948          54     0.02492  0.02462  0.50   56784    1398   56086   832957  14.67
  1948          55     0.02746  0.02709  0.50   55387    1501   54636   776872  14.03
  1948          56     0.03054  0.03008  0.50   53886    1621   53076   722235  13.40
  1948          57     0.03401  0.03345  0.50   52265    1748   51391   669160  12.80
  1948          58     0.03766  0.03696  0.50   50517    1867   49584   617768  12.23
  1948          59     0.04118  0.04035  0.50   48650    1963   47669   568185  11.68
  1948          60     0.04447  0.04350  0.50   46687    2031   45672   520516  11.15
  1948          61     0.04757  0.04646  0.50   44656    2075   43619   474845  10.63
  1948          62     0.05082  0.04956  0.50   42581    2110   41526   431226  10.13
  1948          63     0.05465  0.05320  0.50   40471    2153   39394   389700   9.63
  1948          64     0.05955  0.05783  0.50   38318    2216   37210   350306   9.14
  1948          65     0.06576  0.06366  0.50   36102    2298   34953   313096   8.67
  1948          66     0.07263  0.07009  0.50   33803    2369   32619   278143   8.23
  1948          67     0.07990  0.07683  0.50   31434    2415   30227   245524   7.81
  1948          68     0.08746  0.08380  0.50   29019    2432   27803   215298   7.42
  1948          69     0.09532  0.09099  0.50   26587    2419   25378   187494   7.05
  1948          70     0.10352  0.09843  0.50   24168    2379   22979   162116   6.71
  1948          71     0.11201  0.10607  0.50   21789    2311   20634   139138   6.39
  1948          72     0.12032  0.11349  0.50   19478    2211   18373   118504   6.08
  1948          73     0.12802  0.12032  0.50   17268    2078   16229   100131   5.80
  1948          74     0.13533  0.12675  0.50   15190    1925   14227    83902   5.52
  1948          75     0.14259  0.13310  0.50   13265    1766   12382    69675   5.25
  1948          76     0.14997  0.13951  0.50   11499    1604   10697    57293   4.98
  1948          77     0.15724  0.14578  0.50    9895    1442    9174    46596   4.71
