06.Yamagata.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11842  0.10972  0.33  100000   10972   92649  4710347  47.10
  1947           1     0.03238  0.03186  0.50   89028    2837   87610  4617698  51.87
  1947           2     0.02376  0.02348  0.50   86192    2024   85180  4530088  52.56
  1947           3     0.01631  0.01618  0.50   84168    1362   83487  4444908  52.81
  1947           4     0.01051  0.01046  0.50   82806     866   82373  4361421  52.67
  1947           5     0.00653  0.00651  0.50   81940     534   81674  4279047  52.22
  1947           6     0.00406  0.00405  0.50   81407     329   81242  4197374  51.56
  1947           7     0.00264  0.00264  0.50   81077     214   80970  4116132  50.77
  1947           8     0.00194  0.00194  0.50   80863     157   80785  4035162  49.90
  1947           9     0.00170  0.00169  0.50   80706     137   80638  3954377  49.00
  1947          10     0.00169  0.00169  0.50   80570     136   80502  3873739  48.08
  1947          11     0.00181  0.00181  0.50   80434     146   80361  3793237  47.16
  1947          12     0.00200  0.00200  0.50   80288     161   80207  3712876  46.24
  1947          13     0.00226  0.00226  0.50   80127     181   80037  3632669  45.34
  1947          14     0.00259  0.00258  0.50   79946     207   79843  3552632  44.44
  1947          15     0.00298  0.00298  0.50   79740     237   79621  3472790  43.55
  1947          16     0.00347  0.00347  0.50   79502     276   79364  3393169  42.68
  1947          17     0.00410  0.00410  0.50   79226     324   79064  3313804  41.83
  1947          18     0.00489  0.00487  0.50   78902     385   78710  3234740  41.00
  1947          19     0.00581  0.00579  0.50   78517     455   78290  3156030  40.20
  1947          20     0.00678  0.00675  0.50   78063     527   77799  3077740  39.43
  1947          21     0.00767  0.00764  0.50   77536     593   77239  2999941  38.69
  1947          22     0.00839  0.00835  0.50   76943     643   76622  2922702  37.99
  1947          23     0.00885  0.00881  0.50   76301     673   75964  2846080  37.30
  1947          24     0.00902  0.00898  0.50   75628     679   75289  2770116  36.63
  1947          25     0.00887  0.00883  0.50   74949     662   74618  2694827  35.96
  1947          26     0.00849  0.00846  0.50   74288     628   73974  2620209  35.27
  1947          27     0.00803  0.00800  0.50   73659     589   73365  2546235  34.57
  1947          28     0.00767  0.00764  0.50   73070     558   72791  2472870  33.84
  1947          29     0.00756  0.00753  0.50   72512     546   72239  2400079  33.10
  1947          30     0.00770  0.00767  0.50   71966     552   71690  2327840  32.35
  1947          31     0.00801  0.00798  0.50   71414     570   71129  2256150  31.59
  1947          32     0.00841  0.00838  0.50   70845     594   70548  2185020  30.84
  1947          33     0.00878  0.00874  0.50   70251     614   69944  2114472  30.10
  1947          34     0.00898  0.00894  0.50   69637     623   69326  2044528  29.36
  1947          35     0.00904  0.00900  0.50   69015     621   68704  1975202  28.62
  1947          36     0.00901  0.00897  0.50   68393     614   68087  1906498  27.88
  1947          37     0.00894  0.00890  0.50   67780     603   67478  1838412  27.12
  1947          38     0.00895  0.00891  0.50   67177     599   66877  1770934  26.36
  1947          39     0.00916  0.00912  0.50   66578     607   66274  1704056  25.59
  1947          40     0.00951  0.00947  0.50   65971     625   65659  1637782  24.83
  1947          41     0.00995  0.00990  0.50   65346     647   65023  1572123  24.06
  1947          42     0.01045  0.01039  0.50   64700     672   64363  1507100  23.29
  1947          43     0.01098  0.01092  0.50   64027     699   63678  1442737  22.53
  1947          44     0.01155  0.01148  0.50   63328     727   62964  1379059  21.78
  1947          45     0.01221  0.01214  0.50   62601     760   62221  1316095  21.02
  1947          46     0.01308  0.01300  0.50   61841     804   61439  1253874  20.28
  1947          47     0.01415  0.01405  0.50   61037     857   60608  1192435  19.54
  1947          48     0.01529  0.01518  0.50   60180     913   59723  1131826  18.81
  1947          49     0.01642  0.01629  0.50   59266     965   58784  1072103  18.09
  1947          50     0.01762  0.01747  0.50   58301    1018   57792  1013320  17.38
  1947          51     0.01900  0.01882  0.50   57283    1078   56744   955528  16.68
  1947          52     0.02064  0.02043  0.50   56205    1148   55630   898784  15.99
  1947          53     0.02255  0.02230  0.50   55056    1228   54442   843154  15.31
  1947          54     0.02460  0.02430  0.50   53829    1308   53174   788712  14.65
  1947          55     0.02675  0.02639  0.50   52520    1386   51827   735537  14.00
  1947          56     0.02902  0.02860  0.50   51134    1463   50403   683710  13.37
  1947          57     0.03161  0.03112  0.50   49671    1546   48899   633307  12.75
  1947          58     0.03463  0.03404  0.50   48126    1638   47306   584409  12.14
  1947          59     0.03784  0.03713  0.50   46487    1726   45624   537102  11.55
  1947          60     0.04152  0.04067  0.50   44761    1821   43851   491478  10.98
  1947          61     0.04603  0.04500  0.50   42940    1932   41974   447627  10.42
  1947          62     0.05128  0.05000  0.50   41008    2050   39983   405653   9.89
  1947          63     0.05704  0.05545  0.50   38958    2160   37878   365670   9.39
  1947          64     0.06307  0.06114  0.50   36798    2250   35673   327792   8.91
  1947          65     0.06914  0.06683  0.50   34548    2309   33393   292120   8.46
  1947          66     0.07510  0.07239  0.50   32239    2334   31072   258726   8.03
  1947          67     0.08105  0.07789  0.50   29905    2329   28740   227654   7.61
  1947          68     0.08726  0.08361  0.50   27576    2306   26423   198914   7.21
  1947          69     0.09451  0.09024  0.50   25270    2280   24130   172491   6.83
  1947          70     0.10340  0.09831  0.50   22990    2260   21860   148361   6.45
  1947          71     0.11336  0.10728  0.50   20730    2224   19618   126501   6.10
  1947          72     0.12357  0.11638  0.50   18506    2154   17429   106883   5.78
  1947          73     0.13341  0.12507  0.50   16352    2045   15329    89455   5.47
  1947          74     0.14309  0.13353  0.50   14307    1910   13352    74125   5.18
  1947          75     0.15293  0.14206  0.50   12396    1761   11516    60774   4.90
  1947          76     0.16309  0.15079  0.50   10635    1604    9833    49258   4.63
  1947          77     0.17426  0.16029  0.50    9032    1448    8308    39424   4.37
  1947          78     0.18715  0.17113  0.50    7584    1298    6935    31116   4.10
  1947          79     0.20192  0.18340  0.50    6286    1153    5710    24181   3.85
  1947          80     0.21870  0.19714  0.50    5133    1012    4627    18472   3.60
  1947          81     0.23794  0.21264  0.50    4121     876    3683    13845   3.36
  1947          82     0.26003  0.23011  0.50    3245     747    2872    10161   3.13
  1947          83     0.28470  0.24922  0.50    2498     623    2187     7290   2.92
  1947          84     0.31151  0.26953  0.50    1876     506    1623     5103   2.72
  1947          85     0.34004  0.29063  0.50    1370     398    1171     3480   2.54
  1947          86     0.36994  0.31219  0.50     972     303     820     2309   2.38
  1947          87     0.40085  0.33393  0.50     668     223     557     1489   2.23
  1947          88     0.43253  0.35562  0.50     445     158     366      932   2.09
  1947          89     0.46470  0.37708  0.50     287     108     233      566   1.97
  1947          90     0.49711  0.39815  0.50     179      71     143      333   1.86
  1947          91     0.52952  0.41867  0.50     108      45      85      190   1.77
  1947          92     0.56167  0.43852  0.50      63      27      49      105   1.68
  1947          93     0.59330  0.45757  0.50      35      16      27       56   1.60
  1947          94     0.62419  0.47572  0.50      19       9      15       29   1.53
  1947          95     0.65410  0.49290  0.50      10       5       8       15   1.47
  1947          96     0.68286  0.50905  0.50       5       3       4        7   1.42
  1947          97     0.71029  0.52415  0.50       2       1       2        3   1.37
  1947          98     0.73629  0.53816  0.50       1       1       1        2   1.33
  1947          99     0.76074  0.55111  0.50       1       0       0        1   1.29
  1947         100     0.78359  0.56301  0.50       0       0       0        0   1.25
  1947         101     0.80482  0.57388  0.50       0       0       0        0   1.22
  1947         102     0.82440  0.58377  0.50       0       0       0        0   1.20
  1947         103     0.84238  0.59273  0.50       0       0       0        0   1.17
  1947         104     0.85877  0.60080  0.50       0       0       0        0   1.15
  1947         105     0.87367  0.60805  0.50       0       0       0        0   1.13
  1947         106     0.88719  0.61457  0.50       0       0       0        0   1.12
  1947         107     0.89949  0.62045  0.50       0       0       0        0   1.10
  1947         108     0.91085  0.62583  0.50       0       0       0        0   1.09
  1947         109     0.92156  0.63087  0.50       0       0       0        0   1.08
  1947         110+    0.93431  1.00000  1.07       0       0       0        0   1.07
  1948           0     0.08903  0.08370  0.28  100000    8370   94007  5170358  51.70
  1948           1     0.01903  0.01885  0.50   91630    1727   90767  5076351  55.40
  1948           2     0.01460  0.01449  0.50   89903    1303   89252  4985584  55.45
  1948           3     0.01063  0.01058  0.50   88600     937   88132  4896333  55.26
  1948           4     0.00738  0.00736  0.50   87663     645   87341  4808201  54.85
  1948           5     0.00497  0.00496  0.50   87018     431   86803  4720860  54.25
  1948           6     0.00330  0.00329  0.50   86587     285   86445  4634057  53.52
  1948           7     0.00222  0.00222  0.50   86302     191   86206  4547612  52.69
  1948           8     0.00158  0.00158  0.50   86111     136   86043  4461406  51.81
  1948           9     0.00124  0.00124  0.50   85975     107   85921  4375363  50.89
  1948          10     0.00111  0.00111  0.50   85868      96   85820  4289442  49.95
  1948          11     0.00113  0.00113  0.50   85773      97   85724  4203621  49.01
  1948          12     0.00127  0.00127  0.50   85675     109   85621  4117897  48.06
  1948          13     0.00151  0.00151  0.50   85566     129   85502  4032277  47.12
  1948          14     0.00183  0.00183  0.50   85437     156   85359  3946775  46.20
  1948          15     0.00224  0.00224  0.50   85281     191   85186  3861416  45.28
  1948          16     0.00273  0.00273  0.50   85090     232   84974  3776230  44.38
  1948          17     0.00331  0.00330  0.50   84858     280   84718  3691256  43.50
  1948          18     0.00394  0.00393  0.50   84577     333   84411  3606539  42.64
  1948          19     0.00459  0.00458  0.50   84245     386   84052  3522128  41.81
  1948          20     0.00524  0.00523  0.50   83859     438   83640  3438076  41.00
  1948          21     0.00584  0.00582  0.50   83421     486   83178  3354436  40.21
  1948          22     0.00633  0.00631  0.50   82935     523   82673  3271258  39.44
  1948          23     0.00672  0.00669  0.50   82412     552   82136  3188585  38.69
  1948          24     0.00700  0.00697  0.50   81860     571   81575  3106449  37.95
  1948          25     0.00719  0.00717  0.50   81289     583   80998  3024874  37.21
  1948          26     0.00735  0.00732  0.50   80707     591   80411  2943876  36.48
  1948          27     0.00749  0.00746  0.50   80116     597   79817  2863464  35.74
  1948          28     0.00764  0.00761  0.50   79518     605   79216  2783647  35.01
  1948          29     0.00780  0.00777  0.50   78913     613   78607  2704431  34.27
  1948          30     0.00792  0.00789  0.50   78300     618   77991  2625825  33.54
  1948          31     0.00798  0.00795  0.50   77682     618   77374  2547833  32.80
  1948          32     0.00800  0.00797  0.50   77065     614   76758  2470460  32.06
  1948          33     0.00798  0.00794  0.50   76451     607   76147  2393702  31.31
  1948          34     0.00790  0.00787  0.50   75843     597   75545  2317555  30.56
  1948          35     0.00780  0.00777  0.50   75247     584   74954  2242010  29.80
  1948          36     0.00769  0.00766  0.50   74662     572   74376  2167056  29.02
  1948          37     0.00761  0.00758  0.50   74090     562   73809  2092679  28.24
  1948          38     0.00760  0.00757  0.50   73528     557   73250  2018870  27.46
  1948          39     0.00768  0.00765  0.50   72972     558   72693  1945620  26.66
  1948          40     0.00786  0.00783  0.50   72413     567   72130  1872927  25.86
  1948          41     0.00818  0.00814  0.50   71846     585   71554  1800797  25.06
  1948          42     0.00870  0.00866  0.50   71261     617   70953  1729244  24.27
  1948          43     0.00941  0.00937  0.50   70644     662   70313  1658291  23.47
  1948          44     0.01028  0.01023  0.50   69982     716   69624  1587978  22.69
  1948          45     0.01127  0.01121  0.50   69266     776   68878  1518353  21.92
  1948          46     0.01232  0.01224  0.50   68490     839   68071  1449475  21.16
  1948          47     0.01340  0.01331  0.50   67652     901   67201  1381404  20.42
  1948          48     0.01453  0.01442  0.50   66751     963   66270  1314203  19.69
  1948          49     0.01570  0.01558  0.50   65788    1025   65276  1247933  18.97
  1948          50     0.01697  0.01682  0.50   64763    1089   64219  1182657  18.26
  1948          51     0.01836  0.01819  0.50   63674    1158   63095  1118439  17.57
  1948          52     0.01988  0.01969  0.50   62516    1231   61900  1055344  16.88
  1948          53     0.02154  0.02131  0.50   61285    1306   60632   993444  16.21
  1948          54     0.02329  0.02302  0.50   59979    1381   59288   932812  15.55
  1948          55     0.02510  0.02479  0.50   58598    1453   57872   873523  14.91
  1948          56     0.02700  0.02664  0.50   57145    1523   56384   815652  14.27
  1948          57     0.02915  0.02873  0.50   55622    1598   54823   759268  13.65
  1948          58     0.03174  0.03125  0.50   54024    1688   53180   704445  13.04
  1948          59     0.03495  0.03435  0.50   52336    1798   51437   651264  12.44
  1948          60     0.03871  0.03798  0.50   50539    1919   49579   599827  11.87
  1948          61     0.04289  0.04199  0.50   48619    2042   47599   550248  11.32
  1948          62     0.04735  0.04625  0.50   46578    2154   45501   502649  10.79
  1948          63     0.05196  0.05064  0.50   44423    2250   43299   457149  10.29
  1948          64     0.05664  0.05508  0.50   42174    2323   41012   413850   9.81
  1948          65     0.06133  0.05951  0.50   39851    2371   38665   372838   9.36
  1948          66     0.06602  0.06391  0.50   37479    2395   36282   334173   8.92
  1948          67     0.07089  0.06847  0.50   35084    2402   33883   297891   8.49
  1948          68     0.07617  0.07337  0.50   32682    2398   31483   264008   8.08
  1948          69     0.08193  0.07870  0.50   30284    2383   29092   232526   7.68
  1948          70     0.08819  0.08446  0.50   27900    2357   26722   203433   7.29
  1948          71     0.09478  0.09049  0.50   25544    2312   24388   176711   6.92
  1948          72     0.10164  0.09672  0.50   23232    2247   22109   152323   6.56
  1948          73     0.10883  0.10321  0.50   20985    2166   19902   130214   6.21
  1948          74     0.11696  0.11049  0.50   18819    2079   17780   110312   5.86
  1948          75     0.12669  0.11914  0.50   16740    1994   15743    92532   5.53
  1948          76     0.13833  0.12938  0.50   14746    1908   13792    76790   5.21
  1948          77     0.15148  0.14082  0.50   12838    1808   11934    62998   4.91
  1948          78     0.16566  0.15299  0.50   11030    1687   10186    51064   4.63
  1948          79     0.18060  0.16565  0.50    9342    1548    8569    40878   4.38
  1948          80     0.19604  0.17854  0.50    7795    1392    7099    32309   4.14
  1948          81     0.21144  0.19123  0.50    6403    1224    5791    25210   3.94
  1948          82     0.22634  0.20333  0.50    5179    1053    4652    19419   3.75
  1948          83     0.24079  0.21491  0.50    4126     887    3682    14767   3.58
  1948          84     0.25497  0.22614  0.50    3239     732    2873    11085   3.42
  1948          85     0.26907  0.23717  0.50    2507     594    2209     8212   3.28
  1948          86     0.28327  0.24813  0.50    1912     474    1675     6002   3.14
  1948          87     0.29773  0.25915  0.50    1438     373    1251     4327   3.01
