07.Fukushima.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10044  0.09397  0.31  100000    9397   93559  4955472  49.55
  1947           1     0.03146  0.03098  0.50   90603    2807   89200  4861913  53.66
  1947           2     0.02169  0.02145  0.50   87796    1884   86854  4772713  54.36
  1947           3     0.01393  0.01383  0.50   85913    1189   85318  4685859  54.54
  1947           4     0.00856  0.00852  0.50   84724     722   84363  4600540  54.30
  1947           5     0.00536  0.00535  0.50   84002     449   83778  4516177  53.76
  1947           6     0.00370  0.00370  0.50   83553     309   83399  4432400  53.05
  1947           7     0.00288  0.00287  0.50   83244     239   83125  4349001  52.24
  1947           8     0.00248  0.00248  0.50   83005     206   82902  4265876  51.39
  1947           9     0.00229  0.00228  0.50   82799     189   82705  4182974  50.52
  1947          10     0.00215  0.00215  0.50   82610     177   82522  4100269  49.63
  1947          11     0.00204  0.00204  0.50   82433     168   82349  4017747  48.74
  1947          12     0.00198  0.00198  0.50   82265     163   82184  3935398  47.84
  1947          13     0.00201  0.00201  0.50   82103     165   82020  3853214  46.93
  1947          14     0.00222  0.00222  0.50   81937     182   81846  3771194  46.03
  1947          15     0.00268  0.00268  0.50   81756     219   81646  3689348  45.13
  1947          16     0.00344  0.00344  0.50   81537     280   81397  3607702  44.25
  1947          17     0.00453  0.00452  0.50   81257     368   81073  3526305  43.40
  1947          18     0.00580  0.00578  0.50   80889     468   80655  3445232  42.59
  1947          19     0.00703  0.00700  0.50   80421     563   80140  3364577  41.84
  1947          20     0.00798  0.00795  0.50   79858     635   79541  3284437  41.13
  1947          21     0.00856  0.00852  0.50   79224     675   78886  3204897  40.45
  1947          22     0.00878  0.00874  0.50   78548     686   78205  3126011  39.80
  1947          23     0.00879  0.00875  0.50   77862     682   77521  3047806  39.14
  1947          24     0.00878  0.00874  0.50   77180     675   76843  2970285  38.49
  1947          25     0.00883  0.00879  0.50   76505     672   76169  2893442  37.82
  1947          26     0.00890  0.00886  0.50   75833     672   75497  2817273  37.15
  1947          27     0.00892  0.00888  0.50   75161     668   74827  2741776  36.48
  1947          28     0.00883  0.00879  0.50   74493     655   74166  2666949  35.80
  1947          29     0.00857  0.00854  0.50   73839     630   73523  2592782  35.11
  1947          30     0.00830  0.00827  0.50   73208     605   72906  2519259  34.41
  1947          31     0.00815  0.00812  0.50   72603     590   72308  2446353  33.69
  1947          32     0.00820  0.00817  0.50   72013     588   71719  2374045  32.97
  1947          33     0.00823  0.00819  0.50   71425     585   71133  2302326  32.23
  1947          34     0.00804  0.00801  0.50   70840     567   70556  2231193  31.50
  1947          35     0.00773  0.00770  0.50   70273     541   70002  2160637  30.75
  1947          36     0.00741  0.00739  0.50   69732     515   69474  2090634  29.98
  1947          37     0.00714  0.00712  0.50   69217     493   68971  2021160  29.20
  1947          38     0.00704  0.00702  0.50   68724     482   68483  1952189  28.41
  1947          39     0.00723  0.00721  0.50   68242     492   67996  1883706  27.60
  1947          40     0.00769  0.00766  0.50   67750     519   67491  1815710  26.80
  1947          41     0.00829  0.00826  0.50   67232     555   66954  1748219  26.00
  1947          42     0.00890  0.00886  0.50   66677     590   66381  1681264  25.22
  1947          43     0.00951  0.00946  0.50   66086     625   65773  1614883  24.44
  1947          44     0.01016  0.01011  0.50   65461     662   65130  1549110  23.66
  1947          45     0.01080  0.01074  0.50   64799     696   64451  1483980  22.90
  1947          46     0.01133  0.01127  0.50   64103     722   63742  1419529  22.14
  1947          47     0.01174  0.01167  0.50   63380     740   63011  1355788  21.39
  1947          48     0.01215  0.01208  0.50   62641     757   62262  1292777  20.64
  1947          49     0.01275  0.01267  0.50   61884     784   61492  1230515  19.88
  1947          50     0.01363  0.01354  0.50   61100     827   60686  1169023  19.13
  1947          51     0.01486  0.01475  0.50   60273     889   59828  1108337  18.39
  1947          52     0.01635  0.01622  0.50   59384     963   58902  1048508  17.66
  1947          53     0.01795  0.01779  0.50   58420    1040   57901   989606  16.94
  1947          54     0.01956  0.01937  0.50   57381    1112   56825   931706  16.24
  1947          55     0.02136  0.02113  0.50   56269    1189   55675   874881  15.55
  1947          56     0.02352  0.02325  0.50   55080    1281   54440   819206  14.87
  1947          57     0.02598  0.02565  0.50   53799    1380   53110   764766  14.22
  1947          58     0.02861  0.02821  0.50   52420    1479   51680   711656  13.58
  1947          59     0.03145  0.03096  0.50   50941    1577   50153   659976  12.96
  1947          60     0.03451  0.03392  0.50   49364    1675   48527   609823  12.35
  1947          61     0.03782  0.03712  0.50   47689    1770   46804   561297  11.77
  1947          62     0.04156  0.04071  0.50   45919    1869   44984   514493  11.20
  1947          63     0.04587  0.04484  0.50   44050    1975   43062   469508  10.66
  1947          64     0.05070  0.04945  0.50   42075    2081   41034   426446  10.14
  1947          65     0.05587  0.05435  0.50   39994    2174   38907   385412   9.64
  1947          66     0.06107  0.05926  0.50   37820    2241   36700   346504   9.16
  1947          67     0.06656  0.06441  0.50   35579    2292   34433   309805   8.71
  1947          68     0.07266  0.07012  0.50   33287    2334   32120   275371   8.27
  1947          69     0.07929  0.07627  0.50   30953    2361   29773   243251   7.86
  1947          70     0.08611  0.08255  0.50   28593    2360   27412   213478   7.47
  1947          71     0.09249  0.08840  0.50   26232    2319   25073   186065   7.09
  1947          72     0.09892  0.09426  0.50   23913    2254   22786   160993   6.73
  1947          73     0.10597  0.10064  0.50   21659    2180   20569   138206   6.38
  1947          74     0.11341  0.10732  0.50   19480    2091   18434   117637   6.04
  1947          75     0.12052  0.11367  0.50   17389    1977   16401    99203   5.70
  1947          76     0.12639  0.11888  0.50   15412    1832   14496    82802   5.37
  1947          77     0.13325  0.12492  0.50   13580    1696   12732    68306   5.03
  1947          78     0.14387  0.13421  0.50   11884    1595   11086    55573   4.68
  1947          79     0.15979  0.14796  0.50   10289    1522    9528    44487   4.32
  1947          80     0.18141  0.16632  0.50    8766    1458    8037    34960   3.99
  1947          81     0.20581  0.18661  0.50    7308    1364    6627    26922   3.68
  1947          82     0.23013  0.20638  0.50    5945    1227    5331    20296   3.41
  1947          83     0.25486  0.22605  0.50    4718    1066    4185    14964   3.17
  1947          84     0.28050  0.24600  0.50    3651     898    3202    10780   2.95
  1947          85     0.30730  0.26637  0.50    2753     733    2386     7578   2.75
  1947          86     0.33538  0.28721  0.50    2020     580    1730     5191   2.57
  1947          87     0.36474  0.30848  0.50    1440     444    1218     3462   2.40
  1947          88     0.39521  0.33000  0.50     996     329     831     2244   2.25
  1947          89     0.42655  0.35157  0.50     667     234     550     1413   2.12
  1947          90     0.45851  0.37300  0.50     433     161     352      863   2.00
  1947          91     0.49083  0.39411  0.50     271     107     218      511   1.89
  1947          92     0.52322  0.41472  0.50     164      68     130      293   1.79
  1947          93     0.55541  0.43469  0.50      96      42      75      163   1.70
  1947          94     0.58715  0.45389  0.50      54      25      42       88   1.62
  1947          95     0.61817  0.47222  0.50      30      14      23       46   1.55
  1947          96     0.64827  0.48958  0.50      16       8      12       23   1.48
  1947          97     0.67723  0.50592  0.50       8       4       6       11   1.43
  1947          98     0.70490  0.52120  0.50       4       2       3        5   1.38
  1947          99     0.73114  0.53541  0.50       2       1       1        3   1.33
  1947         100     0.75586  0.54855  0.50       1       0       1        1   1.29
  1947         101     0.77900  0.56063  0.50       0       0       0        0   1.26
  1947         102     0.80053  0.57170  0.50       0       0       0        0   1.23
  1947         103     0.82044  0.58178  0.50       0       0       0        0   1.20
  1947         104     0.83874  0.59092  0.50       0       0       0        0   1.18
  1947         105     0.85546  0.59918  0.50       0       0       0        0   1.16
  1947         106     0.87067  0.60660  0.50       0       0       0        0   1.14
  1947         107     0.88445  0.61325  0.50       0       0       0        0   1.12
  1947         108     0.89702  0.61927  0.50       0       0       0        0   1.11
  1947         109     0.90870  0.62481  0.50       0       0       0        0   1.09
  1947         110+    0.92386  1.00000  1.08       0       0       0        0   1.08
  1948           0     0.07321  0.06935  0.24  100000    6935   94739  5470936  54.71
  1948           1     0.01803  0.01787  0.50   93065    1663   92233  5376197  57.77
  1948           2     0.01290  0.01282  0.50   91402    1171   90816  5283964  57.81
  1948           3     0.00856  0.00852  0.50   90230     769   89846  5193148  57.55
  1948           4     0.00536  0.00534  0.50   89462     478   89223  5103302  57.04
  1948           5     0.00343  0.00342  0.50   88984     304   88831  5014079  56.35
  1948           6     0.00248  0.00248  0.50   88679     220   88569  4925248  55.54
  1948           7     0.00213  0.00213  0.50   88459     188   88365  4836678  54.68
  1948           8     0.00197  0.00197  0.50   88271     174   88184  4748313  53.79
  1948           9     0.00186  0.00186  0.50   88097     164   88016  4660129  52.90
  1948          10     0.00173  0.00173  0.50   87934     152   87858  4572113  51.99
  1948          11     0.00160  0.00160  0.50   87782     140   87711  4484256  51.08
  1948          12     0.00151  0.00151  0.50   87641     133   87575  4396544  50.17
  1948          13     0.00156  0.00156  0.50   87509     136   87441  4308969  49.24
  1948          14     0.00183  0.00182  0.50   87372     159   87293  4221529  48.32
  1948          15     0.00235  0.00235  0.50   87213     205   87111  4134236  47.40
  1948          16     0.00304  0.00304  0.50   87008     264   86876  4047125  46.51
  1948          17     0.00378  0.00377  0.50   86744     327   86580  3960249  45.65
  1948          18     0.00448  0.00447  0.50   86417     386   86224  3873669  44.83
  1948          19     0.00513  0.00511  0.50   86030     440   85811  3787445  44.02
  1948          20     0.00575  0.00573  0.50   85591     490   85346  3701635  43.25
  1948          21     0.00632  0.00630  0.50   85100     536   84832  3616289  42.49
  1948          22     0.00681  0.00679  0.50   84564     574   84277  3531457  41.76
  1948          23     0.00720  0.00717  0.50   83990     603   83689  3447180  41.04
  1948          24     0.00745  0.00742  0.50   83387     619   83078  3363492  40.34
  1948          25     0.00753  0.00750  0.50   82768     621   82458  3280414  39.63
  1948          26     0.00751  0.00748  0.50   82147     615   81840  3197956  38.93
  1948          27     0.00749  0.00746  0.50   81532     608   81228  3116117  38.22
  1948          28     0.00748  0.00745  0.50   80924     603   80623  3034888  37.50
  1948          29     0.00749  0.00747  0.50   80322     600   80022  2954265  36.78
  1948          30     0.00756  0.00753  0.50   79722     600   79422  2874244  36.05
  1948          31     0.00757  0.00754  0.50   79122     597   78823  2794822  35.32
  1948          32     0.00743  0.00740  0.50   78525     581   78235  2715999  34.59
  1948          33     0.00719  0.00717  0.50   77944     559   77665  2637764  33.84
  1948          34     0.00697  0.00695  0.50   77386     538   77117  2560099  33.08
  1948          35     0.00692  0.00689  0.50   76848     530   76583  2482982  32.31
  1948          36     0.00706  0.00704  0.50   76318     537   76049  2406399  31.53
  1948          37     0.00707  0.00705  0.50   75781     534   75514  2330350  30.75
  1948          38     0.00700  0.00698  0.50   75247     525   74984  2254836  29.97
