08.Ibaraki.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10309  0.09635  0.32  100000    9635   93464  5100034  51.00
  1947           1     0.02721  0.02684  0.50   90365    2425   89152  5006570  55.40
  1947           2     0.01923  0.01905  0.50   87939    1675   87102  4917418  55.92
  1947           3     0.01320  0.01311  0.50   86264    1131   85699  4830316  55.99
  1947           4     0.00893  0.00889  0.50   85133     757   84755  4744617  55.73
  1947           5     0.00586  0.00584  0.50   84376     493   84130  4659863  55.23
  1947           6     0.00390  0.00389  0.50   83884     326   83720  4575733  54.55
  1947           7     0.00295  0.00295  0.50   83557     246   83434  4492012  53.76
  1947           8     0.00245  0.00245  0.50   83311     204   83209  4408578  52.92
  1947           9     0.00217  0.00217  0.50   83107     180   83017  4325369  52.05
  1947          10     0.00201  0.00201  0.50   82927     167   82844  4242351  51.16
  1947          11     0.00192  0.00192  0.50   82761     159   82682  4159507  50.26
  1947          12     0.00187  0.00187  0.50   82602     154   82525  4076826  49.35
  1947          13     0.00189  0.00189  0.50   82448     156   82370  3994301  48.45
  1947          14     0.00209  0.00209  0.50   82292     172   82206  3911930  47.54
  1947          15     0.00253  0.00253  0.50   82120     208   82017  3829724  46.64
  1947          16     0.00316  0.00316  0.50   81913     258   81783  3747708  45.75
  1947          17     0.00390  0.00389  0.50   81654     318   81495  3665924  44.90
  1947          18     0.00472  0.00471  0.50   81336     383   81145  3584429  44.07
  1947          19     0.00551  0.00549  0.50   80953     444   80731  3503284  43.28
  1947          20     0.00591  0.00590  0.50   80508     475   80271  3422554  42.51
  1947          21     0.00626  0.00624  0.50   80034     499   79784  3342283  41.76
  1947          22     0.00686  0.00684  0.50   79535     544   79262  3262498  41.02
  1947          23     0.00744  0.00741  0.50   78990     585   78698  3183236  40.30
  1947          24     0.00768  0.00765  0.50   78405     600   78105  3104538  39.60
  1947          25     0.00783  0.00780  0.50   77806     607   77502  3026433  38.90
  1947          26     0.00790  0.00786  0.50   77199     607   76895  2948931  38.20
  1947          27     0.00778  0.00775  0.50   76592     594   76295  2872035  37.50
  1947          28     0.00745  0.00742  0.50   75998     564   75716  2795741  36.79
  1947          29     0.00696  0.00693  0.50   75434     523   75172  2720025  36.06
  1947          30     0.00664  0.00662  0.50   74911     496   74663  2644853  35.31
  1947          31     0.00660  0.00657  0.50   74415     489   74171  2570190  34.54
  1947          32     0.00684  0.00681  0.50   73926     504   73674  2496019  33.76
  1947          33     0.00733  0.00730  0.50   73422     536   73154  2422345  32.99
  1947          34     0.00795  0.00792  0.50   72886     577   72598  2349191  32.23
  1947          35     0.00823  0.00819  0.50   72309     593   72013  2276593  31.48
  1947          36     0.00795  0.00792  0.50   71717     568   71433  2204580  30.74
  1947          37     0.00794  0.00791  0.50   71149     563   70867  2133147  29.98
  1947          38     0.00796  0.00793  0.50   70586     560   70306  2062280  29.22
  1947          39     0.00763  0.00760  0.50   70026     533   69760  1991974  28.45
