09.Tochigi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08932  0.08396  0.28  100000    8396   93995  5014425  50.14
  1947           1     0.03199  0.03149  0.50   91604    2884   90162  4920430  53.71
  1947           2     0.02346  0.02319  0.50   88720    2058   87691  4830268  54.44
  1947           3     0.01617  0.01604  0.50   86662    1390   85967  4742577  54.72
  1947           4     0.01056  0.01050  0.50   85272     896   84824  4656610  54.61
  1947           5     0.00676  0.00674  0.50   84376     569   84092  4571786  54.18
  1947           6     0.00442  0.00441  0.50   83807     370   83623  4487694  53.55
  1947           7     0.00305  0.00305  0.50   83438     254   83310  4404072  52.78
  1947           8     0.00223  0.00222  0.50   83183     185   83091  4320761  51.94
  1947           9     0.00177  0.00177  0.50   82998     147   82925  4237670  51.06
  1947          10     0.00157  0.00156  0.50   82852     130   82787  4154745  50.15
  1947          11     0.00154  0.00154  0.50   82722     127   82659  4071958  49.22
  1947          12     0.00160  0.00160  0.50   82595     132   82529  3989300  48.30
  1947          13     0.00173  0.00173  0.50   82463     142   82392  3906771  47.38
  1947          14     0.00196  0.00196  0.50   82321     161   82240  3824379  46.46
  1947          15     0.00238  0.00237  0.50   82159     195   82062  3742139  45.55
  1947          16     0.00303  0.00302  0.50   81964     248   81840  3660077  44.65
  1947          17     0.00394  0.00393  0.50   81717     321   81556  3578237  43.79
  1947          18     0.00505  0.00503  0.50   81395     410   81190  3496681  42.96
  1947          19     0.00621  0.00619  0.50   80986     501   80735  3415491  42.17
  1947          20     0.00727  0.00724  0.50   80484     583   80193  3334756  41.43
  1947          21     0.00812  0.00808  0.50   79901     646   79578  3254563  40.73
  1947          22     0.00869  0.00865  0.50   79255     686   78913  3174985  40.06
  1947          23     0.00894  0.00890  0.50   78570     699   78220  3096072  39.41
  1947          24     0.00885  0.00881  0.50   77870     686   77527  3017852  38.75
  1947          25     0.00854  0.00851  0.50   77184     657   76856  2940325  38.09
  1947          26     0.00818  0.00815  0.50   76528     623   76216  2863469  37.42
  1947          27     0.00787  0.00784  0.50   75904     595   75607  2787253  36.72
  1947          28     0.00767  0.00764  0.50   75310     575   75022  2711646  36.01
  1947          29     0.00760  0.00758  0.50   74734     566   74451  2636624  35.28
  1947          30     0.00760  0.00758  0.50   74168     562   73887  2562173  34.55
  1947          31     0.00761  0.00758  0.50   73606     558   73327  2488286  33.81
  1947          32     0.00760  0.00757  0.50   73048     553   72771  2414959  33.06
  1947          33     0.00767  0.00764  0.50   72495     554   72218  2342188  32.31
  1947          34     0.00789  0.00786  0.50   71941     566   71658  2269970  31.55
  1947          35     0.00817  0.00813  0.50   71375     580   71085  2198312  30.80
  1947          36     0.00833  0.00830  0.50   70795     587   70501  2127227  30.05
  1947          37     0.00825  0.00822  0.50   70207     577   69919  2056727  29.30
  1947          38     0.00807  0.00804  0.50   69630     560   69350  1986808  28.53
  1947          39     0.00796  0.00793  0.50   69070     548   68796  1917458  27.76
  1947          40     0.00793  0.00790  0.50   68522     541   68252  1848661  26.98
  1947          41     0.00796  0.00792  0.50   67981     539   67712  1780409  26.19
  1947          42     0.00806  0.00803  0.50   67442     542   67172  1712698  25.39
  1947          43     0.00835  0.00832  0.50   66901     557   66622  1645526  24.60
  1947          44     0.00892  0.00888  0.50   66344     589   66050  1578904  23.80
  1947          45     0.00980  0.00975  0.50   65755     641   65434  1512854  23.01
  1947          46     0.01092  0.01086  0.50   65114     707   64760  1447420  22.23
  1947          47     0.01198  0.01190  0.50   64406     767   64023  1382660  21.47
  1947          48     0.01281  0.01273  0.50   63640     810   63235  1318637  20.72
  1947          49     0.01340  0.01331  0.50   62830     837   62411  1255402  19.98
  1947          50     0.01410  0.01400  0.50   61993     868   61559  1192991  19.24
  1947          51     0.01522  0.01511  0.50   61125     923   60664  1131432  18.51
  1947          52     0.01677  0.01663  0.50   60202    1001   59701  1070768  17.79
  1947          53     0.01855  0.01838  0.50   59201    1088   58657  1011067  17.08
  1947          54     0.02015  0.01995  0.50   58113    1159   57533   952410  16.39
  1947          55     0.02162  0.02139  0.50   56953    1218   56344   894876  15.71
  1947          56     0.02316  0.02290  0.50   55735    1276   55097   838532  15.04
  1947          57     0.02511  0.02480  0.50   54459    1351   53784   783435  14.39
  1947          58     0.02766  0.02728  0.50   53108    1449   52384   729652  13.74
  1947          59     0.03042  0.02996  0.50   51659    1548   50885   677268  13.11
  1947          60     0.03348  0.03293  0.50   50111    1650   49286   626383  12.50
  1947          61     0.03707  0.03639  0.50   48461    1764   47580   577096  11.91
  1947          62     0.04117  0.04034  0.50   46698    1884   45756   529517  11.34
  1947          63     0.04574  0.04472  0.50   44814    2004   43812   483761  10.79
  1947          64     0.05074  0.04949  0.50   42810    2119   41751   439949  10.28
  1947          65     0.05601  0.05448  0.50   40691    2217   39583   398198   9.79
  1947          66     0.06095  0.05915  0.50   38474    2276   37337   358615   9.32
  1947          67     0.06570  0.06361  0.50   36199    2303   35047   321279   8.88
  1947          68     0.07069  0.06828  0.50   33896    2314   32739   286231   8.44
  1947          69     0.07653  0.07371  0.50   31582    2328   30418   253492   8.03
  1947          70     0.08360  0.08025  0.50   29254    2348   28080   223075   7.63
  1947          71     0.09130  0.08732  0.50   26906    2349   25732   194995   7.25
  1947          72     0.09856  0.09393  0.50   24557    2307   23404   169263   6.89
  1947          73     0.10453  0.09933  0.50   22250    2210   21145   145859   6.56
  1947          74     0.10940  0.10373  0.50   20040    2079   19001   124714   6.22
  1947          75     0.11403  0.10788  0.50   17961    1938   16993   105713   5.89
  1947          76     0.12035  0.11352  0.50   16024    1819   15114    88721   5.54
  1947          77     0.12904  0.12122  0.50   14205    1722   13344    73607   5.18
  1947          78     0.14044  0.13123  0.50   12483    1638   11664    60263   4.83
  1947          79     0.15517  0.14400  0.50   10845    1562   10064    48599   4.48
  1947          80     0.17357  0.15971  0.50    9283    1483    8542    38535   4.15
  1947          81     0.19456  0.17731  0.50    7801    1383    7109    29994   3.85
  1947          82     0.21696  0.19573  0.50    6417    1256    5789    22885   3.57
  1947          83     0.24055  0.21473  0.50    5161    1108    4607    17095   3.31
  1947          84     0.26534  0.23426  0.50    4053     949    3578    12488   3.08
  1947          85     0.29132  0.25428  0.50    3104     789    2709     8910   2.87
  1947          86     0.31853  0.27477  0.50    2314     636    1996     6201   2.68
  1947          87     0.34696  0.29567  0.50    1678     496    1430     4204   2.50
  1947          88     0.37652  0.31687  0.50    1182     375     995     2774   2.35
  1947          89     0.40703  0.33820  0.50     808     273     671     1779   2.20
  1947          90     0.43829  0.35951  0.50     534     192     438     1108   2.07
  1947          91     0.47007  0.38061  0.50     342     130     277      670   1.96
  1947          92     0.50209  0.40134  0.50     212      85     169      392   1.85
  1947          93     0.53411  0.42154  0.50     127      54     100      223   1.76
  1947          94     0.56585  0.44106  0.50      73      32      57      123   1.67
  1947          95     0.59706  0.45980  0.50      41      19      32       65   1.60
  1947          96     0.62752  0.47765  0.50      22      11      17       34   1.53
  1947          97     0.65699  0.49454  0.50      12       6       9       17   1.47
  1947          98     0.68532  0.51042  0.50       6       3       4        8   1.41
  1947          99     0.71233  0.52526  0.50       3       2       2        4   1.37
  1947         100     0.73792  0.53904  0.50       1       1       1        2   1.32
  1947         101     0.76199  0.55177  0.50       1       0       0        1   1.29
  1947         102     0.78449  0.56347  0.50       0       0       0        0   1.25
  1947         103     0.80537  0.57416  0.50       0       0       0        0   1.22
  1947         104     0.82464  0.58389  0.50       0       0       0        0   1.20
  1947         105     0.84231  0.59269  0.50       0       0       0        0   1.17
  1947         106     0.85847  0.60065  0.50       0       0       0        0   1.15
  1947         107     0.87325  0.60785  0.50       0       0       0        0   1.13
  1947         108     0.88692  0.61444  0.50       0       0       0        0   1.12
  1947         109     0.89981  0.62060  0.50       0       0       0        0   1.10
  1947         110+    0.91601  1.00000  1.09       0       0       0        0   1.09
  1948           0     0.05945  0.05677  0.21  100000    5677   95498  5564908  55.65
  1948           1     0.01493  0.01482  0.50   94323    1398   93624  5469410  57.99
  1948           2     0.01122  0.01116  0.50   92925    1037   92406  5375786  57.85
  1948           3     0.00794  0.00791  0.50   91888     727   91525  5283380  57.50
  1948           4     0.00534  0.00532  0.50   91162     485   90919  5191855  56.95
  1948           5     0.00355  0.00354  0.50   90676     321   90516  5100936  56.25
  1948           6     0.00244  0.00244  0.50   90355     221   90245  5010421  55.45
  1948           7     0.00182  0.00182  0.50   90134     164   90052  4920176  54.59
  1948           8     0.00151  0.00151  0.50   89970     136   89902  4830124  53.69
  1948           9     0.00137  0.00137  0.50   89834     123   89773  4740221  52.77
  1948          10     0.00128  0.00128  0.50   89712     115   89654  4650448  51.84
  1948          11     0.00122  0.00122  0.50   89597     109   89542  4560794  50.90
  1948          12     0.00117  0.00117  0.50   89488     105   89436  4471252  49.96
  1948          13     0.00119  0.00119  0.50   89383     107   89330  4381816  49.02
  1948          14     0.00134  0.00134  0.50   89277     119   89217  4292486  48.08
  1948          15     0.00166  0.00166  0.50   89157     148   89083  4203269  47.14
  1948          16     0.00223  0.00223  0.50   89009     199   88910  4114186  46.22
  1948          17     0.00312  0.00312  0.50   88811     277   88672  4025276  45.32
  1948          18     0.00426  0.00425  0.50   88534     376   88346  3936604  44.46
  1948          19     0.00552  0.00550  0.50   88158     485   87915  3848258  43.65
  1948          20     0.00670  0.00668  0.50   87673     585   87380  3760342  42.89
  1948          21     0.00763  0.00760  0.50   87087     662   86756  3672962  42.18
  1948          22     0.00820  0.00816  0.50   86426     706   86073  3586206  41.49
  1948          23     0.00845  0.00841  0.50   85720     721   85359  3500133  40.83
  1948          24     0.00848  0.00845  0.50   84999     718   84640  3414774  40.17
  1948          25     0.00843  0.00840  0.50   84281     708   83927  3330134  39.51
  1948          26     0.00826  0.00823  0.50   83573     688   83229  3246207  38.84
  1948          27     0.00793  0.00790  0.50   82886     654   82558  3162977  38.16
  1948          28     0.00747  0.00744  0.50   82231     612   81925  3080419  37.46
  1948          29     0.00700  0.00698  0.50   81619     570   81334  2998494  36.74
  1948          30     0.00673  0.00671  0.50   81050     544   80778  2917160  35.99
  1948          31     0.00667  0.00665  0.50   80506     535   80238  2836382  35.23
  1948          32     0.00676  0.00674  0.50   79971     539   79701  2756143  34.46
  1948          33     0.00686  0.00683  0.50   79432     543   79161  2676442  33.69
  1948          34     0.00682  0.00680  0.50   78889     536   78621  2597282  32.92
  1948          35     0.00673  0.00671  0.50   78353     525   78090  2518661  32.15
  1948          36     0.00668  0.00665  0.50   77827     518   77569  2440570  31.36
  1948          37     0.00666  0.00664  0.50   77310     513   77053  2363002  30.57
  1948          38     0.00670  0.00668  0.50   76796     513   76540  2285949  29.77
  1948          39     0.00681  0.00679  0.50   76283     518   76024  2209409  28.96
  1948          40     0.00706  0.00704  0.50   75765     533   75499  2133385  28.16
  1948          41     0.00751  0.00749  0.50   75232     563   74950  2057886  27.35
  1948          42     0.00820  0.00816  0.50   74669     610   74364  1982936  26.56
  1948          43     0.00890  0.00886  0.50   74059     656   73731  1908572  25.77
  1948          44     0.00940  0.00935  0.50   73403     687   73060  1834840  25.00
  1948          45     0.00972  0.00967  0.50   72717     703   72365  1761780  24.23
  1948          46     0.00996  0.00991  0.50   72014     714   71657  1689415  23.46
  1948          47     0.01037  0.01032  0.50   71300     736   70932  1617758  22.69
  1948          48     0.01100  0.01094  0.50   70564     772   70178  1546826  21.92
  1948          49     0.01182  0.01175  0.50   69793     820   69382  1476647  21.16
  1948          50     0.01275  0.01267  0.50   68972     874   68535  1407265  20.40
  1948          51     0.01370  0.01361  0.50   68098     927   67635  1338730  19.66
  1948          52     0.01468  0.01457  0.50   67172     979   66682  1271095  18.92
  1948          53     0.01575  0.01563  0.50   66193    1034   65675  1204413  18.20
  1948          54     0.01696  0.01682  0.50   65158    1096   64610  1138737  17.48
  1948          55     0.01839  0.01822  0.50   64062    1167   63478  1074127  16.77
  1948          56     0.02013  0.01993  0.50   62895    1254   62268  1010649  16.07
  1948          57     0.02238  0.02213  0.50   61641    1364   60959   948381  15.39
  1948          58     0.02520  0.02489  0.50   60277    1500   59527   887422  14.72
  1948          59     0.02816  0.02777  0.50   58777    1632   57961   827895  14.09
  1948          60     0.03111  0.03063  0.50   57144    1750   56269   769935  13.47
  1948          61     0.03401  0.03344  0.50   55394    1852   54468   713665  12.88
  1948          62     0.03692  0.03625  0.50   53542    1941   52571   659198  12.31
  1948          63     0.03994  0.03916  0.50   51600    2021   50590   606627  11.76
  1948          64     0.04320  0.04229  0.50   49580    2097   48531   556037  11.22
  1948          65     0.04704  0.04596  0.50   47483    2182   46392   507505  10.69
  1948          66     0.05219  0.05086  0.50   45300    2304   44148   461114  10.18
  1948          67     0.05798  0.05635  0.50   42997    2423   41785   416965   9.70
  1948          68     0.06356  0.06160  0.50   40574    2500   39324   375180   9.25
  1948          69     0.06877  0.06649  0.50   38074    2531   36809   335856   8.82
  1948          70     0.07363  0.07101  0.50   35543    2524   34281   299048   8.41
  1948          71     0.07816  0.07522  0.50   33019    2484   31777   264767   8.02
  1948          72     0.08260  0.07933  0.50   30535    2422   29324   232990   7.63
  1948          73     0.08728  0.08363  0.50   28113    2351   26937   203666   7.24
  1948          74     0.09270  0.08860  0.50   25762    2282   24621   176728   6.86
  1948          75     0.09932  0.09462  0.50   23479    2222   22369   152108   6.48
  1948          76     0.10729  0.10183  0.50   21258    2165   20175   129739   6.10
  1948          77     0.11766  0.11112  0.50   19093    2122   18032   109564   5.74
  1948          78     0.13148  0.12337  0.50   16971    2094   15924    91531   5.39
  1948          79     0.14896  0.13864  0.50   14878    2063   13846    75607   5.08
  1948          80     0.16921  0.15601  0.50   12815    1999   11815    61761   4.82
  1948          81     0.18777  0.17165  0.50   10816    1857    9887    49945   4.62
  1948          82     0.20071  0.18240  0.50    8959    1634    8142    40058   4.47
  1948          83     0.20944  0.18959  0.50    7325    1389    6631    31916   4.36
  1948          84     0.21574  0.19474  0.50    5936    1156    5358    25285   4.26
  1948          85     0.22097  0.19899  0.50    4780     951    4305    19927   4.17
  1948          86     0.22593  0.20300  0.50    3829     777    3440    15622   4.08
  1948          87     0.23114  0.20720  0.50    3052     632    2736    12182   3.99
  1948          88     0.23669  0.21164  0.50    2419     512    2163     9446   3.90
  1948          89     0.24251  0.21629  0.50    1907     413    1701     7283   3.82
  1948          90     0.24856  0.22109  0.50    1495     330    1330     5581   3.73
  1948          91     0.25477  0.22599  0.50    1164     263    1033     4252   3.65
  1948          92     0.26110  0.23095  0.50     901     208     797     3219   3.57
  1948          93     0.26752  0.23595  0.50     693     164     611     2422   3.49
  1948          94     0.27402  0.24100  0.50     530     128     466     1811   3.42
  1948          95     0.28062  0.24609  0.50     402      99     352     1345   3.35
  1948          96     0.28731  0.25122  0.50     303      76     265      992   3.28
  1948          97     0.29409  0.25639  0.50     227      58     198      727   3.21
  1948          98     0.30096  0.26159  0.50     169      44     147      530   3.14
  1948          99     0.30792  0.26683  0.50     125      33     108      383   3.07
  1948         100     0.31497  0.27211  0.50      91      25      79      275   3.01
  1948         101     0.32210  0.27742  0.50      66      18      57      196   2.95
  1948         102     0.32932  0.28276  0.50      48      14      41      139   2.89
  1948         103     0.33663  0.28813  0.50      34      10      29       98   2.83
  1948         104     0.34401  0.29352  0.50      25       7      21       68   2.78
  1948         105     0.35147  0.29894  0.50      17       5      15       47   2.72
