01.Hokkaido, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08648  0.08145  0.29  100000    8145   94183  5291457  52.91
  1947           1     0.04303  0.04213  0.50   91855    3870   89920  5197274  56.58
  1947           2     0.01912  0.01894  0.50   87986    1666   87152  5107354  58.05
  1947           3     0.00802  0.00799  0.50   86319     690   85974  5020202  58.16
  1947           4     0.00541  0.00540  0.50   85629     462   85398  4934227  57.62
  1947           5     0.00424  0.00423  0.50   85167     360   84987  4848829  56.93
  1947           6     0.00331  0.00331  0.50   84807     280   84667  4763842  56.17
  1947           7     0.00274  0.00273  0.50   84527     231   84411  4679175  55.36
  1947           8     0.00213  0.00213  0.50   84296     179   84206  4594763  54.51
  1947           9     0.00170  0.00170  0.50   84116     143   84045  4510557  53.62
  1947          10     0.00170  0.00170  0.50   83974     143   83902  4426512  52.71
  1947          11     0.00183  0.00182  0.50   83831     153   83755  4342610  51.80
  1947          12     0.00180  0.00180  0.50   83678     151   83603  4258855  50.90
  1947          13     0.00200  0.00199  0.50   83527     166   83444  4175252  49.99
  1947          14     0.00237  0.00237  0.50   83361     198   83262  4091808  49.09
  1947          15     0.00283  0.00283  0.50   83163     235   83046  4008546  48.20
  1947          16     0.00345  0.00344  0.50   82928     285   82786  3925501  47.34
  1947          17     0.00428  0.00427  0.50   82643     353   82466  3842715  46.50
  1947          18     0.00504  0.00503  0.50   82290     414   82083  3760249  45.70
  1947          19     0.00559  0.00557  0.50   81876     456   81648  3678166  44.92
  1947          20     0.00634  0.00632  0.50   81420     515   81162  3596518  44.17
  1947          21     0.00689  0.00687  0.50   80905     556   80627  3515356  43.45
  1947          22     0.00683  0.00680  0.50   80349     547   80076  3434729  42.75
  1947          23     0.00688  0.00686  0.50   79802     547   79529  3354653  42.04
  1947          24     0.00753  0.00750  0.50   79255     594   78958  3275124  41.32
  1947          25     0.00758  0.00755  0.50   78661     594   78364  3196166  40.63
  1947          26     0.00732  0.00730  0.50   78067     570   77782  3117802  39.94
  1947          27     0.00734  0.00732  0.50   77497     567   77214  3040020  39.23
  1947          28     0.00744  0.00741  0.50   76930     570   76645  2962807  38.51
  1947          29     0.00736  0.00733  0.50   76360     560   76080  2886161  37.80
  1947          30     0.00742  0.00739  0.50   75800     560   75520  2810081  37.07
  1947          31     0.00757  0.00754  0.50   75240     567   74956  2734561  36.34
  1947          32     0.00765  0.00762  0.50   74672     569   74388  2659605  35.62
  1947          33     0.00755  0.00752  0.50   74103     557   73824  2585218  34.89
  1947          34     0.00724  0.00722  0.50   73546     531   73280  2511393  34.15
  1947          35     0.00713  0.00710  0.50   73015     519   72756  2438113  33.39
  1947          36     0.00742  0.00740  0.50   72496     536   72228  2365357  32.63
  1947          37     0.00755  0.00752  0.50   71960     541   71690  2293129  31.87
  1947          38     0.00754  0.00751  0.50   71419     536   71151  2221439  31.10
  1947          39     0.00766  0.00764  0.50   70883     541   70612  2150289  30.34
  1947          40     0.00821  0.00817  0.50   70342     575   70054  2079676  29.57
  1947          41     0.00911  0.00907  0.50   69767     633   69450  2009622  28.80
  1947          42     0.00934  0.00930  0.50   69134     643   68812  1940172  28.06
  1947          43     0.00907  0.00903  0.50   68491     618   68182  1871360  27.32
  1947          44     0.00882  0.00878  0.50   67872     596   67574  1803178  26.57
  1947          45     0.00901  0.00897  0.50   67276     603   66975  1735603  25.80
  1947          46     0.00969  0.00964  0.50   66673     643   66351  1668629  25.03
  1947          47     0.01000  0.00995  0.50   66030     657   65702  1602277  24.27
  1947          48     0.01052  0.01047  0.50   65373     684   65031  1536576  23.50
  1947          49     0.01195  0.01188  0.50   64689     769   64304  1471545  22.75
  1947          50     0.01342  0.01333  0.50   63920     852   63494  1407241  22.02
  1947          51     0.01400  0.01391  0.50   63068     877   62630  1343746  21.31
  1947          52     0.01415  0.01406  0.50   62191     874   61754  1281117  20.60
  1947          53     0.01465  0.01454  0.50   61317     892   60871  1219363  19.89
  1947          54     0.01594  0.01582  0.50   60425     956   59948  1158491  19.17
  1947          55     0.01734  0.01719  0.50   59470    1022   58959  1098544  18.47
  1947          56     0.01816  0.01800  0.50   58447    1052   57921  1039585  17.79
  1947          57     0.01901  0.01883  0.50   57395    1081   56855   981664  17.10
  1947          58     0.02061  0.02040  0.50   56314    1149   55740   924809  16.42
  1947          59     0.02286  0.02260  0.50   55166    1247   54542   869069  15.75
  1947          60     0.02524  0.02493  0.50   53919    1344   53247   814526  15.11
  1947          61     0.02732  0.02695  0.50   52575    1417   51866   761279  14.48
  1947          62     0.02934  0.02892  0.50   51158    1479   50418   709413  13.87
  1947          63     0.03171  0.03122  0.50   49678    1551   48903   658995  13.27
  1947          64     0.03483  0.03423  0.50   48128    1648   47304   610092  12.68
  1947          65     0.03847  0.03774  0.50   46480    1754   45603   562788  12.11
  1947          66     0.04080  0.03999  0.50   44726    1788   43832   517185  11.56
  1947          67     0.04319  0.04228  0.50   42937    1815   42030   473353  11.02
  1947          68     0.04731  0.04622  0.50   41122    1901   40172   431323  10.49
  1947          69     0.05227  0.05094  0.50   39221    1998   38222   391152   9.97
  1947          70     0.05685  0.05528  0.50   37223    2058   36195   352929   9.48
  1947          71     0.06112  0.05931  0.50   35166    2086   34123   316735   9.01
  1947          72     0.06575  0.06366  0.50   33080    2106   32027   282612   8.54
  1947          73     0.07138  0.06892  0.50   30974    2135   29907   250585   8.09
  1947          74     0.07836  0.07541  0.50   28839    2175   27752   220678   7.65
  1947          75     0.08600  0.08245  0.50   26665    2199   25565   192926   7.24
  1947          76     0.09135  0.08736  0.50   24466    2137   23398   167360   6.84
  1947          77     0.09740  0.09288  0.50   22329    2074   21292   143963   6.45
  1947          78     0.10742  0.10195  0.50   20255    2065   19223   122671   6.06
  1947          79     0.11877  0.11211  0.50   18190    2039   17170   103448   5.69
  1947          80     0.12877  0.12098  0.50   16151    1954   15174    86278   5.34
  1947          81     0.14060  0.13136  0.50   14197    1865   13264    71104   5.01
  1947          82     0.15654  0.14518  0.50   12332    1790   11437    57839   4.69
  1947          83     0.17163  0.15806  0.50   10542    1666    9708    46403   4.40
  1947          84     0.18626  0.17039  0.50    8875    1512    8119    36694   4.13
  1947          85     0.20233  0.18374  0.50    7363    1353    6687    28575   3.88
  1947          86     0.21990  0.19812  0.50    6010    1191    5415    21888   3.64
  1947          87     0.23870  0.21325  0.50    4819    1028    4306    16473   3.42
  1947          88     0.25885  0.22919  0.50    3792     869    3357    12168   3.21
  1947          89     0.28033  0.24587  0.50    2923     719    2563     8811   3.01
  1947          90     0.30302  0.26315  0.50    2204     580    1914     6247   2.83
  1947          91     0.32682  0.28092  0.50    1624     456    1396     4333   2.67
  1947          92     0.35163  0.29905  0.50    1168     349     993     2937   2.52
  1947          93     0.37729  0.31741  0.50     819     260     689     1944   2.37
  1947          94     0.40361  0.33584  0.50     559     188     465     1255   2.25
  1947          95     0.43042  0.35419  0.50     371     131     305      790   2.13
  1947          96     0.45748  0.37232  0.50     240      89     195      485   2.02
  1947          97     0.48459  0.39008  0.50     150      59     121      290   1.93
  1947          98     0.51152  0.40734  0.50      92      37      73      169   1.84
  1947          99     0.53804  0.42398  0.50      54      23      43       96   1.76
  1947         100     0.56394  0.43990  0.50      31      14      24       53   1.69
  1947         101     0.58903  0.45502  0.50      18       8      14       29   1.63
  1947         102     0.61312  0.46926  0.50      10       4       7       15   1.57
  1947         103     0.63608  0.48260  0.50       5       2       4        8   1.52
  1947         104     0.65779  0.49499  0.50       3       1       2        4   1.48
  1947         105     0.67814  0.50643  0.50       1       1       1        2   1.44
  1947         106     0.69713  0.51694  0.50       1       0       0        1   1.41
  1947         107     0.71474  0.52656  0.50       0       0       0        0   1.37
  1947         108     0.73094  0.53530  0.50       0       0       0        0   1.35
  1947         109     0.74577  0.54321  0.50       0       0       0        0   1.32
  1947         110+    0.76888  1.00000  1.30       0       0       0        0   1.30
  1948           0     0.07033  0.06677  0.24  100000    6677   94936  5598322  55.98
  1948           1     0.02332  0.02305  0.50   93323    2151   92248  5503386  58.97
