10.Gumma.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07641  0.07231  0.26  100000    7231   94638  5216838  52.17
  1947           1     0.02988  0.02944  0.50   92769    2731   91403  5122199  55.21
  1947           2     0.02226  0.02202  0.50   90038    1983   89046  5030796  55.87
  1947           3     0.01560  0.01547  0.50   88055    1363   87374  4941750  56.12
  1947           4     0.01030  0.01025  0.50   86692     888   86248  4854376  56.00
  1947           5     0.00656  0.00654  0.50   85804     561   85524  4768128  55.57
  1947           6     0.00417  0.00416  0.50   85243     354   85066  4682604  54.93
  1947           7     0.00278  0.00278  0.50   84888     236   84771  4597538  54.16
  1947           8     0.00202  0.00202  0.50   84653     171   84567  4512768  53.31
  1947           9     0.00166  0.00166  0.50   84482     140   84412  4428201  52.42
  1947          10     0.00153  0.00153  0.50   84342     129   84278  4343789  51.50
  1947          11     0.00154  0.00154  0.50   84213     130   84148  4259511  50.58
  1947          12     0.00166  0.00166  0.50   84083     140   84013  4175363  49.66
  1947          13     0.00189  0.00189  0.50   83943     159   83864  4091350  48.74
  1947          14     0.00224  0.00224  0.50   83785     188   83691  4007486  47.83
  1947          15     0.00272  0.00271  0.50   83597     227   83483  3923795  46.94
  1947          16     0.00330  0.00330  0.50   83370     275   83233  3840311  46.06
  1947          17     0.00400  0.00399  0.50   83095     332   82929  3757079  45.21
  1947          18     0.00476  0.00475  0.50   82763     393   82567  3674149  44.39
  1947          19     0.00555  0.00554  0.50   82370     456   82142  3591583  43.60
  1947          20     0.00628  0.00626  0.50   81914     513   81658  3509440  42.84
  1947          21     0.00690  0.00688  0.50   81401     560   81121  3427783  42.11
  1947          22     0.00738  0.00735  0.50   80841     594   80544  3346662  41.40
  1947          23     0.00768  0.00765  0.50   80247     614   79940  3266117  40.70
  1947          24     0.00783  0.00780  0.50   79633     621   79322  3186177  40.01
  1947          25     0.00790  0.00787  0.50   79011     622   78700  3106855  39.32
  1947          26     0.00791  0.00788  0.50   78389     618   78081  3028155  38.63
  1947          27     0.00787  0.00784  0.50   77772     610   77467  2950074  37.93
  1947          28     0.00780  0.00777  0.50   77162     600   76862  2872607  37.23
  1947          29     0.00774  0.00771  0.50   76562     590   76267  2795745  36.52
  1947          30     0.00769  0.00766  0.50   75972     582   75681  2719478  35.80
  1947          31     0.00762  0.00759  0.50   75390     572   75104  2643796  35.07
  1947          32     0.00747  0.00744  0.50   74818     557   74540  2568692  34.33
  1947          33     0.00732  0.00729  0.50   74261     542   73990  2494153  33.59
  1947          34     0.00725  0.00722  0.50   73720     533   73453  2420162  32.83
  1947          35     0.00729  0.00727  0.50   73187     532   72921  2346709  32.06
  1947          36     0.00745  0.00742  0.50   72655     539   72385  2273788  31.30
  1947          37     0.00767  0.00764  0.50   72116     551   71840  2201403  30.53
  1947          38     0.00790  0.00787  0.50   71564     563   71283  2129563  29.76
  1947          39     0.00808  0.00804  0.50   71001     571   70716  2058280  28.99
