11.Saitama.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08820  0.08301  0.29  100000    8301   94115  5171786  51.72
  1947           1     0.03109  0.03061  0.50   91699    2807   90296  5077672  55.37
  1947           2     0.02245  0.02220  0.50   88892    1973   87906  4987376  56.11
  1947           3     0.01521  0.01509  0.50   86919    1312   86263  4899470  56.37
  1947           4     0.00978  0.00973  0.50   85607     833   85190  4813207  56.22
  1947           5     0.00619  0.00617  0.50   84774     523   84512  4728017  55.77
  1947           6     0.00405  0.00404  0.50   84251     340   84080  4643505  55.12
  1947           7     0.00285  0.00285  0.50   83910     239   83791  4559424  54.34
  1947           8     0.00221  0.00220  0.50   83672     184   83579  4475633  53.49
  1947           9     0.00186  0.00186  0.50   83487     156   83409  4392054  52.61
  1947          10     0.00165  0.00164  0.50   83332     137   83263  4308644  51.70
  1947          11     0.00153  0.00153  0.50   83195     127   83131  4225381  50.79
  1947          12     0.00156  0.00156  0.50   83067     129   83003  4142250  49.87
  1947          13     0.00179  0.00179  0.50   82938     148   82864  4059248  48.94
  1947          14     0.00224  0.00224  0.50   82790     185   82697  3976384  48.03
  1947          15     0.00290  0.00290  0.50   82605     239   82485  3893687  47.14
  1947          16     0.00370  0.00370  0.50   82365     304   82213  3811202  46.27
  1947          17     0.00457  0.00456  0.50   82061     374   81874  3728989  45.44
  1947          18     0.00545  0.00544  0.50   81687     444   81465  3647115  44.65
  1947          19     0.00631  0.00629  0.50   81243     511   80987  3565650  43.89
  1947          20     0.00710  0.00707  0.50   80731     571   80446  3484663  43.16
  1947          21     0.00769  0.00766  0.50   80161     614   79853  3404217  42.47
  1947          22     0.00800  0.00797  0.50   79546     634   79230  3324363  41.79
  1947          23     0.00803  0.00800  0.50   78913     631   78597  3245134  41.12
  1947          24     0.00788  0.00785  0.50   78282     614   77974  3166537  40.45
  1947          25     0.00775  0.00772  0.50   77667     600   77367  3088562  39.77
  1947          26     0.00769  0.00766  0.50   77068     590   76773  3011195  39.07
  1947          27     0.00765  0.00762  0.50   76478     582   76186  2934422  38.37
  1947          28     0.00756  0.00753  0.50   75895     571   75609  2858236  37.66
  1947          29     0.00736  0.00734  0.50   75324     553   75047  2782626  36.94
  1947          30     0.00713  0.00710  0.50   74771     531   74505  2707579  36.21
  1947          31     0.00697  0.00695  0.50   74240     516   73982  2633074  35.47
  1947          32     0.00697  0.00695  0.50   73724     512   73468  2559092  34.71
  1947          33     0.00704  0.00701  0.50   73212     513   72955  2485623  33.95
  1947          34     0.00705  0.00703  0.50   72699     511   72443  2412668  33.19
  1947          35     0.00702  0.00699  0.50   72188     505   71935  2340225  32.42
  1947          36     0.00697  0.00694  0.50   71683     498   71434  2268289  31.64
