12.Chiba.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09345  0.08776  0.31  100000    8776   93909  5243048  52.43
  1947           1     0.02732  0.02695  0.50   91224    2459   89994  5149139  56.45
  1947           2     0.01753  0.01738  0.50   88765    1543   87994  5059145  56.99
  1947           3     0.01134  0.01128  0.50   87222     984   86731  4971151  56.99
  1947           4     0.00784  0.00780  0.50   86239     673   85902  4884421  56.64
  1947           5     0.00534  0.00532  0.50   85566     456   85338  4798519  56.08
  1947           6     0.00371  0.00370  0.50   85110     315   84952  4713181  55.38
  1947           7     0.00300  0.00300  0.50   84795     254   84668  4628228  54.58
  1947           8     0.00261  0.00261  0.50   84541     221   84430  4543561  53.74
  1947           9     0.00226  0.00225  0.50   84320     190   84225  4459130  52.88
  1947          10     0.00184  0.00184  0.50   84130     154   84053  4374905  52.00
  1947          11     0.00154  0.00154  0.50   83976     129   83911  4290852  51.10
  1947          12     0.00156  0.00156  0.50   83846     130   83781  4206941  50.17
  1947          13     0.00185  0.00184  0.50   83716     154   83639  4123160  49.25
  1947          14     0.00239  0.00239  0.50   83562     200   83462  4039521  48.34
  1947          15     0.00316  0.00316  0.50   83362     263   83230  3956059  47.46
  1947          16     0.00389  0.00388  0.50   83099     323   82937  3872829  46.61
  1947          17     0.00440  0.00439  0.50   82776     363   82595  3789892  45.78
  1947          18     0.00505  0.00504  0.50   82413     415   82205  3707297  44.98
  1947          19     0.00605  0.00603  0.50   81998     495   81751  3625092  44.21
  1947          20     0.00676  0.00674  0.50   81503     549   81229  3543341  43.47
  1947          21     0.00737  0.00735  0.50   80954     595   80657  3462112  42.77
  1947          22     0.00816  0.00812  0.50   80360     653   80033  3381455  42.08
  1947          23     0.00846  0.00843  0.50   79707     672   79371  3301422  41.42
  1947          24     0.00792  0.00789  0.50   79035     623   78724  3222051  40.77
  1947          25     0.00769  0.00766  0.50   78412     601   78112  3143327  40.09
  1947          26     0.00787  0.00784  0.50   77811     610   77506  3065215  39.39
  1947          27     0.00816  0.00812  0.50   77201     627   76888  2987709  38.70
  1947          28     0.00813  0.00809  0.50   76574     620   76264  2910822  38.01
  1947          29     0.00760  0.00757  0.50   75954     575   75667  2834558  37.32
  1947          30     0.00719  0.00717  0.50   75379     540   75109  2758891  36.60
  1947          31     0.00715  0.00712  0.50   74839     533   74573  2683782  35.86
  1947          32     0.00743  0.00741  0.50   74306     550   74031  2609209  35.11
  1947          33     0.00763  0.00760  0.50   73756     560   73476  2535178  34.37
  1947          34     0.00736  0.00734  0.50   73196     537   72927  2461702  33.63
  1947          35     0.00695  0.00692  0.50   72659     503   72407  2388775  32.88
  1947          36     0.00683  0.00681  0.50   72156     491   71910  2316368  32.10
  1947          37     0.00723  0.00720  0.50   71664     516   71406  2244457  31.32
  1947          38     0.00777  0.00774  0.50   71148     550   70873  2173051  30.54
  1947          39     0.00799  0.00795  0.50   70598     562   70317  2102178  29.78
  1947          40     0.00762  0.00759  0.50   70036     531   69771  2031861  29.01
  1947          41     0.00691  0.00689  0.50   69505     479   69266  1962090  28.23
  1947          42     0.00738  0.00735  0.50   69026     507   68773  1892825  27.42
  1947          43     0.00842  0.00838  0.50   68519     574   68232  1824052  26.62
  1947          44     0.00905  0.00901  0.50   67945     612   67639  1755820  25.84
  1947          45     0.00943  0.00939  0.50   67332     632   67016  1688181  25.07
  1947          46     0.00981  0.00976  0.50   66700     651   66375  1621165  24.31
  1947          47     0.00998  0.00993  0.50   66049     656   65721  1554790  23.54
  1947          48     0.01024  0.01019  0.50   65393     666   65060  1489068  22.77
  1947          49     0.01092  0.01086  0.50   64727     703   64376  1424008  22.00
  1947          50     0.01191  0.01184  0.50   64025     758   63646  1359632  21.24
  1947          51     0.01308  0.01299  0.50   63267     822   62856  1295986  20.48
  1947          52     0.01457  0.01446  0.50   62445     903   61993  1233130  19.75
  1947          53     0.01625  0.01612  0.50   61542     992   61046  1171137  19.03
  1947          54     0.01709  0.01695  0.50   60550    1026   60036  1110092  18.33
  1947          55     0.01772  0.01757  0.50   59523    1046   59000  1050055  17.64
  1947          56     0.01897  0.01879  0.50   58478    1099   57928   991055  16.95
  1947          57     0.02046  0.02026  0.50   57379    1162   56798   933126  16.26
  1947          58     0.02204  0.02180  0.50   56216    1226   55604   876329  15.59
  1947          59     0.02484  0.02454  0.50   54991    1349   54316   820725  14.92
  1947          60     0.02786  0.02748  0.50   53641    1474   52904   766409  14.29
  1947          61     0.02994  0.02949  0.50   52167    1539   51398   713505  13.68
  1947          62     0.03196  0.03146  0.50   50629    1593   49832   662106  13.08
  1947          63     0.03487  0.03427  0.50   49036    1681   48196   612274  12.49
  1947          64     0.03773  0.03703  0.50   47355    1754   46479   564078  11.91
  1947          65     0.04001  0.03923  0.50   45602    1789   44707   517600  11.35
  1947          66     0.04385  0.04291  0.50   43813    1880   42873   472892  10.79
  1947          67     0.04877  0.04761  0.50   41933    1997   40934   430019  10.25
  1947          68     0.05357  0.05217  0.50   39936    2084   38894   389085   9.74
  1947          69     0.05762  0.05600  0.50   37853    2120   36793   350191   9.25
  1947          70     0.06091  0.05911  0.50   35733    2112   34677   313398   8.77
  1947          71     0.06501  0.06296  0.50   33621    2117   32562   278721   8.29
  1947          72     0.07044  0.06804  0.50   31504    2144   30432   246159   7.81
  1947          73     0.07763  0.07473  0.50   29360    2194   28263   215727   7.35
  1947          74     0.08816  0.08444  0.50   27166    2294   26019   187464   6.90
  1947          75     0.10045  0.09565  0.50   24872    2379   23683   161445   6.49
  1947          76     0.10460  0.09940  0.50   22493    2236   21375   137763   6.12
  1947          77     0.10963  0.10393  0.50   20257    2105   19205   116387   5.75
