13.Tokyo.to, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.06103  0.05824  0.22  100000    5824   95434  5665823  56.66
  1947           1     0.02717  0.02680  0.50   94176    2524   92914  5570388  59.15
  1947           2     0.01769  0.01754  0.50   91652    1607   90848  5477474  59.76
  1947           3     0.01069  0.01063  0.50   90044     958   89566  5386626  59.82
  1947           4     0.00629  0.00627  0.50   89087     558   88808  5297060  59.46
  1947           5     0.00393  0.00392  0.50   88529     347   88355  5208253  58.83
  1947           6     0.00282  0.00281  0.50   88181     248   88057  5119898  58.06
  1947           7     0.00220  0.00220  0.50   87933     193   87837  5031841  57.22
  1947           8     0.00182  0.00181  0.50   87740     159   87660  4944004  56.35
  1947           9     0.00156  0.00156  0.50   87581     137   87512  4856344  55.45
  1947          10     0.00136  0.00136  0.50   87444     119   87384  4768831  54.54
  1947          11     0.00123  0.00123  0.50   87325     107   87271  4681447  53.61
  1947          12     0.00121  0.00121  0.50   87217     105   87165  4594176  52.67
  1947          13     0.00138  0.00138  0.50   87112     120   87052  4507011  51.74
  1947          14     0.00176  0.00176  0.50   86992     153   86915  4419959  50.81
  1947          15     0.00234  0.00233  0.50   86838     203   86737  4333044  49.90
  1947          16     0.00301  0.00300  0.50   86636     260   86506  4246307  49.01
  1947          17     0.00367  0.00367  0.50   86376     317   86217  4159802  48.16
  1947          18     0.00435  0.00434  0.50   86059     374   85872  4073584  47.33
  1947          19     0.00503  0.00502  0.50   85685     430   85471  3987712  46.54
  1947          20     0.00560  0.00558  0.50   85256     476   85018  3902241  45.77
  1947          21     0.00597  0.00596  0.50   84780     505   84527  3817224  45.03
  1947          22     0.00613  0.00611  0.50   84275     515   84018  3732696  44.29
  1947          23     0.00610  0.00608  0.50   83760     509   83506  3648679  43.56
  1947          24     0.00595  0.00593  0.50   83251     494   83004  3565173  42.82
  1947          25     0.00571  0.00570  0.50   82757     472   82521  3482169  42.08
  1947          26     0.00550  0.00549  0.50   82286     451   82060  3399648  41.32
  1947          27     0.00541  0.00539  0.50   81834     441   81613  3317588  40.54
  1947          28     0.00542  0.00541  0.50   81393     440   81173  3235975  39.76
  1947          29     0.00550  0.00548  0.50   80953     444   80731  3154802  38.97
  1947          30     0.00555  0.00554  0.50   80509     446   80286  3074071  38.18
  1947          31     0.00557  0.00556  0.50   80063     445   79840  2993786  37.39
  1947          32     0.00557  0.00555  0.50   79618     442   79397  2913945  36.60
  1947          33     0.00557  0.00555  0.50   79176     440   78956  2834548  35.80
  1947          34     0.00561  0.00560  0.50   78736     441   78516  2755592  35.00
  1947          35     0.00570  0.00569  0.50   78296     445   78073  2677076  34.19
  1947          36     0.00583  0.00581  0.50   77850     452   77624  2599003  33.38
  1947          37     0.00593  0.00591  0.50   77398     458   77169  2521379  32.58
  1947          38     0.00604  0.00602  0.50   76940     464   76708  2444210  31.77
  1947          39     0.00622  0.00620  0.50   76477     474   76240  2367502  30.96
