14.Kanagawa.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.06599  0.06280  0.23  100000    6280   95164  5525113  55.25
  1947           1     0.02655  0.02621  0.50   93720    2456   92492  5429950  57.94
  1947           2     0.01802  0.01785  0.50   91264    1630   90449  5337458  58.48
  1947           3     0.01122  0.01115  0.50   89635    1000   89135  5247008  58.54
  1947           4     0.00654  0.00652  0.50   88635     578   88346  5157873  58.19
  1947           5     0.00389  0.00388  0.50   88057     342   87886  5069527  57.57
  1947           6     0.00261  0.00261  0.50   87715     229   87601  4981641  56.79
  1947           7     0.00200  0.00199  0.50   87486     175   87399  4894041  55.94
  1947           8     0.00170  0.00169  0.50   87312     148   87238  4806642  55.05
  1947           9     0.00155  0.00155  0.50   87164     135   87096  4719404  54.14
  1947          10     0.00145  0.00145  0.50   87029     126   86966  4632307  53.23
  1947          11     0.00140  0.00140  0.50   86903     122   86842  4545342  52.30
  1947          12     0.00144  0.00144  0.50   86781     125   86718  4458500  51.38
  1947          13     0.00161  0.00160  0.50   86656     139   86586  4371782  50.45
  1947          14     0.00194  0.00194  0.50   86517     168   86433  4285195  49.53
  1947          15     0.00246  0.00246  0.50   86349     212   86243  4198762  48.63
  1947          16     0.00315  0.00314  0.50   86137     271   86002  4112519  47.74
  1947          17     0.00399  0.00398  0.50   85866     342   85695  4026517  46.89
  1947          18     0.00495  0.00494  0.50   85524     422   85313  3940822  46.08
  1947          19     0.00594  0.00593  0.50   85102     504   84850  3855509  45.30
  1947          20     0.00672  0.00669  0.50   84597     566   84314  3770659  44.57
  1947          21     0.00721  0.00718  0.50   84031     604   83729  3686345  43.87
  1947          22     0.00744  0.00741  0.50   83428     618   83118  3602616  43.18
  1947          23     0.00746  0.00743  0.50   82809     615   82502  3519497  42.50
  1947          24     0.00731  0.00728  0.50   82194     598   81895  3436996  41.82
  1947          25     0.00700  0.00698  0.50   81595     569   81311  3355101  41.12
  1947          26     0.00667  0.00665  0.50   81026     539   80757  3273790  40.40
  1947          27     0.00644  0.00641  0.50   80487     516   80229  3193034  39.67
  1947          28     0.00630  0.00628  0.50   79971     502   79720  3112805  38.92
  1947          29     0.00623  0.00621  0.50   79469     493   79222  3033085  38.17
  1947          30     0.00622  0.00620  0.50   78976     490   78731  2953862  37.40
  1947          31     0.00626  0.00624  0.50   78486     490   78241  2875131  36.63
  1947          32     0.00632  0.00630  0.50   77996     491   77750  2796891  35.86
  1947          33     0.00633  0.00631  0.50   77505     489   77260  2719140  35.08
  1947          34     0.00625  0.00623  0.50   77016     479   76776  2641880  34.30
  1947          35     0.00619  0.00617  0.50   76536     472   76300  2565104  33.51
  1947          36     0.00627  0.00625  0.50   76064     476   75826  2488804  32.72
  1947          37     0.00647  0.00645  0.50   75589     487   75345  2412977  31.92
  1947          38     0.00674  0.00672  0.50   75101     505   74849  2337633  31.13
  1947          39     0.00706  0.00704  0.50   74597     525   74334  2262784  30.33
  1947          40     0.00738  0.00735  0.50   74071     545   73799  2188450  29.55
  1947          41     0.00763  0.00761  0.50   73527     559   73247  2114651  28.76
  1947          42     0.00779  0.00776  0.50   72968     566   72684  2041403  27.98
  1947          43     0.00794  0.00791  0.50   72401     573   72115  1968719  27.19
  1947          44     0.00817  0.00814  0.50   71829     584   71536  1896604  26.40
  1947          45     0.00853  0.00849  0.50   71244     605   70942  1825068  25.62
  1947          46     0.00904  0.00900  0.50   70639     636   70321  1754126  24.83
  1947          47     0.00974  0.00969  0.50   70004     679   69664  1683804  24.05
  1947          48     0.01060  0.01055  0.50   69325     731   68959  1614140  23.28
  1947          49     0.01156  0.01150  0.50   68594     789   68199  1545181  22.53
  1947          50     0.01242  0.01234  0.50   67805     837   67387  1476982  21.78
  1947          51     0.01303  0.01295  0.50   66968     867   66534  1409595  21.05
  1947          52     0.01360  0.01350  0.50   66101     893   65654  1343061  20.32
  1947          53     0.01432  0.01422  0.50   65208     927   64745  1277406  19.59
  1947          54     0.01522  0.01510  0.50   64281     971   63796  1212662  18.87
  1947          55     0.01640  0.01627  0.50   63310    1030   62795  1148866  18.15
  1947          56     0.01796  0.01780  0.50   62280    1109   61726  1086071  17.44
  1947          57     0.01972  0.01953  0.50   61171    1195   60574  1024345  16.75
  1947          58     0.02149  0.02127  0.50   59977    1275   59339   963771  16.07
  1947          59     0.02332  0.02305  0.50   58701    1353   58025   904432  15.41
