15.Niigata.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08865  0.08342  0.29  100000    8342   94096  5086484  50.86
  1947           1     0.03167  0.03118  0.50   91658    2857   90229  4992389  54.47
  1947           2     0.02042  0.02021  0.50   88801    1795   87903  4902159  55.20
  1947           3     0.01207  0.01200  0.50   87006    1044   86484  4814256  55.33
  1947           4     0.00687  0.00684  0.50   85962     588   85667  4727772  55.00
  1947           5     0.00423  0.00422  0.50   85373     360   85193  4642105  54.37
  1947           6     0.00315  0.00315  0.50   85013     268   84879  4556912  53.60
  1947           7     0.00266  0.00266  0.50   84745     225   84633  4472032  52.77
  1947           8     0.00232  0.00232  0.50   84520     196   84422  4387400  51.91
  1947           9     0.00208  0.00207  0.50   84324     175   84237  4302977  51.03
  1947          10     0.00193  0.00193  0.50   84150     162   84068  4218741  50.13
  1947          11     0.00188  0.00188  0.50   83987     158   83908  4134672  49.23
  1947          12     0.00192  0.00192  0.50   83829     161   83749  4050764  48.32
  1947          13     0.00216  0.00216  0.50   83668     181   83578  3967015  47.41
  1947          14     0.00265  0.00265  0.50   83487     221   83377  3883437  46.52
  1947          15     0.00340  0.00340  0.50   83266     283   83125  3800061  45.64
  1947          16     0.00432  0.00431  0.50   82983     357   82804  3716936  44.79
  1947          17     0.00527  0.00526  0.50   82626     434   82409  3634132  43.98
  1947          18     0.00618  0.00616  0.50   82191     506   81938  3551723  43.21
  1947          19     0.00696  0.00693  0.50   81685     566   81402  3469785  42.48
  1947          20     0.00750  0.00747  0.50   81119     606   80816  3388383  41.77
  1947          21     0.00793  0.00790  0.50   80513     636   80195  3307567  41.08
  1947          22     0.00838  0.00835  0.50   79877     667   79543  3227373  40.40
  1947          23     0.00873  0.00870  0.50   79210     689   78865  3147830  39.74
  1947          24     0.00883  0.00879  0.50   78521     690   78176  3068965  39.08
  1947          25     0.00864  0.00861  0.50   77830     670   77496  2990789  38.43
  1947          26     0.00840  0.00836  0.50   77161     645   76838  2913293  37.76
  1947          27     0.00830  0.00827  0.50   76515     633   76199  2836456  37.07
  1947          28     0.00826  0.00823  0.50   75882     624   75570  2760257  36.38
  1947          29     0.00814  0.00811  0.50   75258     610   74953  2684686  35.67
  1947          30     0.00799  0.00796  0.50   74648     594   74351  2609733  34.96
  1947          31     0.00785  0.00782  0.50   74054     579   73764  2535382  34.24
  1947          32     0.00773  0.00770  0.50   73474     566   73191  2461618  33.50
  1947          33     0.00763  0.00760  0.50   72908     554   72631  2388427  32.76
  1947          34     0.00756  0.00753  0.50   72354     545   72082  2315795  32.01
  1947          35     0.00768  0.00765  0.50   71809     549   71535  2243714  31.25
  1947          36     0.00799  0.00796  0.50   71260     567   70976  2172179  30.48
  1947          37     0.00813  0.00809  0.50   70693     572   70407  2101203  29.72
  1947          38     0.00817  0.00813  0.50   70121     570   69835  2030796  28.96
  1947          39     0.00833  0.00829  0.50   69550     577   69262  1960961  28.19
  1947          40     0.00864  0.00861  0.50   68974     594   68677  1891699  27.43
  1947          41     0.00904  0.00900  0.50   68380     615   68072  1823022  26.66
  1947          42     0.00922  0.00917  0.50   67765     622   67454  1754950  25.90
  1947          43     0.00932  0.00928  0.50   67143     623   66831  1687496  25.13
  1947          44     0.00958  0.00954  0.50   66520     634   66203  1620664  24.36
  1947          45     0.00997  0.00992  0.50   65886     653   65559  1554462  23.59
  1947          46     0.01045  0.01040  0.50   65232     678   64893  1488903  22.82
  1947          47     0.01113  0.01107  0.50   64554     714   64197  1424010  22.06
  1947          48     0.01195  0.01187  0.50   63840     758   63461  1359813  21.30
  1947          49     0.01286  0.01277  0.50   63082     806   62679  1296352  20.55
  1947          50     0.01401  0.01391  0.50   62276     866   61843  1233673  19.81
  1947          51     0.01551  0.01539  0.50   61410     945   60937  1171830  19.08
  1947          52     0.01711  0.01696  0.50   60465    1026   59952  1110893  18.37
  1947          53     0.01847  0.01830  0.50   59439    1088   58895  1050941  17.68
  1947          54     0.01942  0.01924  0.50   58351    1123   57790   992046  17.00
  1947          55     0.02035  0.02015  0.50   57229    1153   56652   934255  16.32
  1947          56     0.02170  0.02147  0.50   56076    1204   55474   877603  15.65
  1947          57     0.02356  0.02329  0.50   54872    1278   54233   822129  14.98
  1947          58     0.02588  0.02554  0.50   53594    1369   52910   767896  14.33
  1947          59     0.02838  0.02799  0.50   52225    1462   51494   714986  13.69
  1947          60     0.03118  0.03070  0.50   50763    1558   49984   663492  13.07
  1947          61     0.03437  0.03379  0.50   49205    1662   48374   613508  12.47
  1947          62     0.03779  0.03709  0.50   47543    1763   46661   565134  11.89
  1947          63     0.04127  0.04044  0.50   45779    1851   44854   518473  11.33
  1947          64     0.04481  0.04382  0.50   43928    1925   42965   473620  10.78
  1947          65     0.04858  0.04743  0.50   42003    1992   41007   430654  10.25
  1947          66     0.05318  0.05180  0.50   40011    2073   38974   389648   9.74
  1947          67     0.05853  0.05687  0.50   37938    2157   36859   350673   9.24
  1947          68     0.06437  0.06237  0.50   35781    2232   34665   313814   8.77
  1947          69     0.07057  0.06817  0.50   33549    2287   32406   279149   8.32
  1947          70     0.07712  0.07425  0.50   31262    2321   30102   246743   7.89
  1947          71     0.08422  0.08081  0.50   28941    2339   27771   216642   7.49
  1947          72     0.09129  0.08730  0.50   26602    2322   25441   188870   7.10
  1947          73     0.09795  0.09337  0.50   24280    2267   23146   163429   6.73
  1947          74     0.10549  0.10021  0.50   22013    2206   20910   140283   6.37
  1947          75     0.11478  0.10855  0.50   19807    2150   18732   119374   6.03
  1947          76     0.12393  0.11670  0.50   17657    2061   16627   100642   5.70
  1947          77     0.13341  0.12507  0.50   15596    1951   14621    84015   5.39
  1947          78     0.14429  0.13458  0.50   13646    1836   12727    69394   5.09
  1947          79     0.15681  0.14541  0.50   11809    1717   10951    56667   4.80
  1947          80     0.17084  0.15739  0.50   10092    1588    9298    45716   4.53
  1947          81     0.18540  0.16967  0.50    8504    1443    7782    36418   4.28
  1947          82     0.19966  0.18154  0.50    7061    1282    6420    28636   4.06
  1947          83     0.21403  0.19334  0.50    5779    1117    5220    22216   3.84
  1947          84     0.22888  0.20537  0.50    4662     957    4183    16996   3.65
  1947          85     0.24442  0.21780  0.50    3704     807    3301    12813   3.46
  1947          86     0.26074  0.23066  0.50    2897     668    2563     9512   3.28
  1947          87     0.27784  0.24395  0.50    2229     544    1957     6949   3.12
  1947          88     0.29569  0.25760  0.50    1685     434    1468     4992   2.96
  1947          89     0.31426  0.27158  0.50    1251     340    1081     3523   2.82
  1947          90     0.33351  0.28584  0.50     911     261     781     2442   2.68
  1947          91     0.35340  0.30033  0.50     651     195     553     1661   2.55
  1947          92     0.37389  0.31500  0.50     455     143     384     1108   2.43
  1947          93     0.39494  0.32981  0.50     312     103     261      724   2.32
  1947          94     0.41648  0.34470  0.50     209      72     173      464   2.22
