16.Toyama.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12263  0.11344  0.34  100000   11344   92504  4874446  48.74
  1947           1     0.05040  0.04916  0.50   88656    4358   86477  4781942  53.94
  1947           2     0.02553  0.02520  0.50   84298    2125   83235  4695465  55.70
  1947           3     0.01191  0.01184  0.50   82173     973   81687  4612230  56.13
  1947           4     0.00679  0.00677  0.50   81200     550   80926  4530543  55.79
  1947           5     0.00474  0.00473  0.50   80651     381   80460  4449617  55.17
  1947           6     0.00370  0.00369  0.50   80269     296   80121  4369157  54.43
  1947           7     0.00278  0.00278  0.50   79973     222   79862  4289036  53.63
  1947           8     0.00226  0.00226  0.50   79751     180   79660  4209174  52.78
  1947           9     0.00203  0.00203  0.50   79570     161   79490  4129514  51.90
  1947          10     0.00184  0.00184  0.50   79409     146   79336  4050024  51.00
  1947          11     0.00169  0.00169  0.50   79263     134   79196  3970688  50.10
  1947          12     0.00167  0.00167  0.50   79129     132   79063  3891492  49.18
  1947          13     0.00195  0.00195  0.50   78997     154   78920  3812430  48.26
  1947          14     0.00245  0.00245  0.50   78843     193   78746  3733510  47.35
  1947          15     0.00301  0.00301  0.50   78650     236   78532  3654764  46.47
  1947          16     0.00365  0.00364  0.50   78414     286   78271  3576232  45.61
  1947          17     0.00446  0.00445  0.50   78128     348   77954  3497961  44.77
  1947          18     0.00569  0.00567  0.50   77780     441   77560  3420007  43.97
  1947          19     0.00727  0.00725  0.50   77339     560   77059  3342447  43.22
  1947          20     0.00818  0.00815  0.50   76779     625   76466  3265388  42.53
  1947          21     0.00867  0.00863  0.50   76154     657   75825  3188922  41.87
  1947          22     0.00920  0.00915  0.50   75496     691   75151  3113097  41.24
  1947          23     0.00929  0.00924  0.50   74805     692   74459  3037946  40.61
  1947          24     0.00852  0.00849  0.50   74113     629   73799  2963487  39.99
  1947          25     0.00752  0.00749  0.50   73485     551   73209  2889688  39.32
  1947          26     0.00712  0.00710  0.50   72934     518   72675  2816479  38.62
  1947          27     0.00775  0.00772  0.50   72416     559   72137  2743804  37.89
  1947          28     0.00828  0.00825  0.50   71857     593   71561  2671667  37.18
  1947          29     0.00770  0.00767  0.50   71265     547   70991  2600106  36.49
  1947          30     0.00680  0.00677  0.50   70718     479   70478  2529115  35.76
  1947          31     0.00630  0.00628  0.50   70239     441   70018  2458637  35.00
  1947          32     0.00659  0.00656  0.50   69797     458   69568  2388618  34.22
  1947          33     0.00710  0.00707  0.50   69339     490   69094  2319050  33.44
  1947          34     0.00730  0.00727  0.50   68849     501   68599  2249956  32.68
  1947          35     0.00761  0.00758  0.50   68348     518   68089  2181357  31.92
  1947          36     0.00827  0.00823  0.50   67830     558   67551  2113268  31.16
  1947          37     0.00827  0.00824  0.50   67272     554   66995  2045717  30.41
  1947          38     0.00790  0.00787  0.50   66718     525   66455  1978723  29.66
  1947          39     0.00776  0.00773  0.50   66192     511   65937  1912268  28.89
  1947          40     0.00795  0.00791  0.50   65681     520   65421  1846331  28.11
  1947          41     0.00840  0.00837  0.50   65161     545   64889  1780910  27.33
  1947          42     0.00886  0.00882  0.50   64616     570   64331  1716021  26.56
  1947          43     0.00933  0.00928  0.50   64046     595   63749  1651690  25.79
  1947          44     0.00989  0.00984  0.50   63452     625   63139  1587941  25.03
  1947          45     0.01051  0.01046  0.50   62827     657   62499  1524801  24.27
  1947          46     0.01107  0.01101  0.50   62170     685   61828  1462303  23.52
  1947          47     0.01141  0.01134  0.50   61486     697   61137  1400475  22.78
  1947          48     0.01182  0.01175  0.50   60788     714   60431  1339338  22.03
  1947          49     0.01262  0.01254  0.50   60074     753   59697  1278907  21.29
  1947          50     0.01362  0.01353  0.50   59320     802   58919  1219210  20.55
  1947          51     0.01458  0.01447  0.50   58518     847   58095  1160290  19.83
  1947          52     0.01560  0.01548  0.50   57671     893   57225  1102196  19.11
  1947          53     0.01675  0.01661  0.50   56778     943   56307  1044971  18.40
  1947          54     0.01766  0.01751  0.50   55835     978   55346   988664  17.71
  1947          55     0.01847  0.01830  0.50   54857    1004   54355   933318  17.01
  1947          56     0.01953  0.01934  0.50   53853    1042   53333   878962  16.32
  1947          57     0.02148  0.02125  0.50   52812    1122   52251   825630  15.63
  1947          58     0.02462  0.02432  0.50   51689    1257   51061   773379  14.96
  1947          59     0.02793  0.02755  0.50   50432    1389   49737   722319  14.32
  1947          60     0.03085  0.03038  0.50   49043    1490   48298   672581  13.71
  1947          61     0.03321  0.03266  0.50   47553    1553   46776   624283  13.13
  1947          62     0.03536  0.03474  0.50   46000    1598   45200   577507  12.55
  1947          63     0.03776  0.03706  0.50   44401    1646   43578   532307  11.99
  1947          64     0.04064  0.03983  0.50   42756    1703   41904   488728  11.43
  1947          65     0.04380  0.04286  0.50   41053    1759   40173   446824  10.88
  1947          66     0.04645  0.04540  0.50   39293    1784   38401   406651  10.35
  1947          67     0.05036  0.04913  0.50   37510    1843   36588   368250   9.82
  1947          68     0.05716  0.05557  0.50   35667    1982   34676   331661   9.30
  1947          69     0.06506  0.06301  0.50   33685    2122   32623   296986   8.82
  1947          70     0.07094  0.06851  0.50   31562    2162   30481   264362   8.38
  1947          71     0.07192  0.06942  0.50   29400    2041   28379   233881   7.96
  1947          72     0.07306  0.07049  0.50   27359    1928   26395   205502   7.51
  1947          73     0.07997  0.07690  0.50   25431    1956   24453   179107   7.04
  1947          74     0.09188  0.08784  0.50   23475    2062   22444   154654   6.59
  1947          75     0.10476  0.09955  0.50   21413    2132   20347   132210   6.17
  1947          76     0.11149  0.10561  0.50   19281    2036   18263   111863   5.80
  1947          77     0.11752  0.11099  0.50   17245    1914   16288    93600   5.43
  1947          78     0.12984  0.12193  0.50   15331    1869   14396    77312   5.04
  1947          79     0.14752  0.13738  0.50   13462    1849   12537    62916   4.67
