17.Ishikawa.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11008  0.10256  0.33  100000   10256   93171  4981030  49.81
  1947           1     0.03937  0.03861  0.50   89744    3465   88012  4887859  54.46
  1947           2     0.02260  0.02235  0.50   86279    1928   85315  4799848  55.63
  1947           3     0.01200  0.01193  0.50   84351    1006   83848  4714533  55.89
  1947           4     0.00681  0.00679  0.50   83345     566   83062  4630684  55.56
  1947           5     0.00468  0.00467  0.50   82779     387   82586  4547622  54.94
  1947           6     0.00404  0.00403  0.50   82393     332   82227  4465036  54.19
  1947           7     0.00360  0.00360  0.50   82061     295   81913  4382809  53.41
  1947           8     0.00279  0.00278  0.50   81766     228   81652  4300896  52.60
  1947           9     0.00202  0.00202  0.50   81538     165   81456  4219245  51.75
  1947          10     0.00179  0.00179  0.50   81373     145   81301  4137789  50.85
  1947          11     0.00188  0.00188  0.50   81228     152   81152  4056488  49.94
  1947          12     0.00198  0.00198  0.50   81075     160   80995  3975337  49.03
  1947          13     0.00212  0.00212  0.50   80915     172   80829  3894341  48.13
  1947          14     0.00255  0.00255  0.50   80743     206   80640  3813512  47.23
  1947          15     0.00341  0.00341  0.50   80537     274   80400  3732872  46.35
  1947          16     0.00435  0.00434  0.50   80263     348   80089  3652472  45.51
  1947          17     0.00501  0.00499  0.50   79915     399   79715  3572383  44.70
  1947          18     0.00555  0.00553  0.50   79515     440   79295  3492668  43.92
  1947          19     0.00628  0.00626  0.50   79075     495   78828  3413372  43.17
  1947          20     0.00737  0.00734  0.50   78580     577   78292  3334544  42.43
  1947          21     0.00832  0.00828  0.50   78003     646   77680  3256253  41.75
  1947          22     0.00867  0.00863  0.50   77357     668   77023  3178573  41.09
  1947          23     0.00876  0.00872  0.50   76689     669   76355  3101549  40.44
  1947          24     0.00893  0.00889  0.50   76021     676   75683  3025195  39.79
  1947          25     0.00896  0.00892  0.50   75345     672   75009  2949512  39.15
  1947          26     0.00884  0.00880  0.50   74673     657   74345  2874503  38.49
  1947          27     0.00867  0.00864  0.50   74016     639   73697  2800158  37.83
  1947          28     0.00866  0.00862  0.50   73377     632   73061  2726462  37.16
  1947          29     0.00880  0.00877  0.50   72744     638   72426  2653401  36.48
  1947          30     0.00863  0.00859  0.50   72107     620   71797  2580975  35.79
