18.Fukui.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10889  0.10151  0.33  100000   10151   93228  4880473  48.80
  1947           1     0.05227  0.05093  0.50   89849    4576   87560  4787245  53.28
  1947           2     0.03130  0.03082  0.50   85272    2628   83958  4699685  55.11
  1947           3     0.01636  0.01623  0.50   82644    1341   81974  4615727  55.85
  1947           4     0.00773  0.00770  0.50   81303     626   80990  4533753  55.76
  1947           5     0.00399  0.00398  0.50   80677     321   80517  4452762  55.19
  1947           6     0.00301  0.00300  0.50   80356     241   80236  4372246  54.41
  1947           7     0.00280  0.00280  0.50   80115     224   80003  4292010  53.57
  1947           8     0.00268  0.00268  0.50   79891     214   79784  4212007  52.72
  1947           9     0.00243  0.00243  0.50   79677     194   79580  4132224  51.86
  1947          10     0.00197  0.00197  0.50   79483     157   79405  4052644  50.99
  1947          11     0.00155  0.00155  0.50   79326     123   79265  3973239  50.09
  1947          12     0.00142  0.00142  0.50   79204     112   79148  3893974  49.16
  1947          13     0.00160  0.00160  0.50   79092     127   79028  3814826  48.23
  1947          14     0.00206  0.00206  0.50   78965     163   78884  3735798  47.31
  1947          15     0.00279  0.00278  0.50   78802     219   78693  3656914  46.41
  1947          16     0.00383  0.00382  0.50   78583     300   78433  3578221  45.53
  1947          17     0.00519  0.00518  0.50   78283     405   78080  3499788  44.71
  1947          18     0.00659  0.00657  0.50   77877     511   77622  3421709  43.94
  1947          19     0.00770  0.00767  0.50   77366     594   77069  3344087  43.22
  1947          20     0.00839  0.00836  0.50   76772     642   76452  3267018  42.55
  1947          21     0.00871  0.00868  0.50   76131     660   75801  3190566  41.91
  1947          22     0.00880  0.00876  0.50   75470     661   75140  3114766  41.27
  1947          23     0.00893  0.00889  0.50   74809     665   74477  3039626  40.63
  1947          24     0.00923  0.00919  0.50   74144     681   73804  2965149  39.99
  1947          25     0.00931  0.00927  0.50   73463     681   73123  2891345  39.36
  1947          26     0.00928  0.00924  0.50   72782     673   72446  2818223  38.72
  1947          27     0.00933  0.00929  0.50   72110     670   71775  2745777  38.08
  1947          28     0.00912  0.00908  0.50   71440     648   71116  2674002  37.43
  1947          29     0.00842  0.00838  0.50   70792     594   70495  2602887  36.77
  1947          30     0.00784  0.00781  0.50   70198     548   69924  2532392  36.08
  1947          31     0.00767  0.00764  0.50   69650     532   69383  2462468  35.36
  1947          32     0.00795  0.00792  0.50   69117     547   68844  2393085  34.62
  1947          33     0.00826  0.00823  0.50   68570     564   68288  2324241  33.90
  1947          34     0.00822  0.00819  0.50   68006     557   67727  2255953  33.17
  1947          35     0.00800  0.00796  0.50   67449     537   67180  2188226  32.44
  1947          36     0.00790  0.00787  0.50   66912     526   66649  2121045  31.70
  1947          37     0.00819  0.00816  0.50   66385     541   66115  2054397  30.95
  1947          38     0.00877  0.00873  0.50   65844     575   65556  1988282  30.20
  1947          39     0.00939  0.00935  0.50   65269     610   64964  1922726  29.46
  1947          40     0.00962  0.00958  0.50   64659     619   64349  1857762  28.73
  1947          41     0.00919  0.00915  0.50   64040     586   63747  1793413  28.00
  1947          42     0.00860  0.00856  0.50   63454     543   63182  1729666  27.26
  1947          43     0.00810  0.00807  0.50   62910     508   62657  1666484  26.49
  1947          44     0.00786  0.00783  0.50   62403     489   62159  1603827  25.70
  1947          45     0.00827  0.00824  0.50   61914     510   61659  1541668  24.90
  1947          46     0.00954  0.00950  0.50   61404     583   61113  1480009  24.10
  1947          47     0.01104  0.01097  0.50   60821     667   60487  1418897  23.33
  1947          48     0.01238  0.01231  0.50   60154     740   59783  1358409  22.58
  1947          49     0.01344  0.01335  0.50   59413     793   59017  1298626  21.86
  1947          50     0.01441  0.01430  0.50   58620     839   58201  1239609  21.15
  1947          51     0.01547  0.01535  0.50   57782     887   57338  1181409  20.45
  1947          52     0.01622  0.01609  0.50   56895     915   56437  1124070  19.76
  1947          53     0.01625  0.01612  0.50   55980     902   55529  1067633  19.07
  1947          54     0.01576  0.01564  0.50   55077     861   54647  1012104  18.38
  1947          55     0.01583  0.01571  0.50   54216     852   53790   957458  17.66
  1947          56     0.01738  0.01723  0.50   53365     919   52905   903667  16.93
  1947          57     0.01985  0.01965  0.50   52445    1031   51930   850762  16.22
  1947          58     0.02257  0.02232  0.50   51414    1148   50841   798833  15.54
  1947          59     0.02559  0.02526  0.50   50267    1270   49632   747992  14.88
  1947          60     0.02858  0.02818  0.50   48997    1381   48307   698360  14.25
  1947          61     0.03133  0.03085  0.50   47616    1469   46882   650053  13.65
  1947          62     0.03448  0.03390  0.50   46147    1564   45365   603172  13.07
  1947          63     0.03848  0.03776  0.50   44583    1683   43741   557806  12.51
  1947          64     0.04204  0.04117  0.50   42900    1766   42016   514065  11.98
  1947          65     0.04397  0.04302  0.50   41133    1770   40249   472049  11.48
  1947          66     0.04526  0.04426  0.50   39364    1742   38493   431800  10.97
  1947          67     0.04711  0.04602  0.50   37622    1731   36756   393308  10.45
  1947          68     0.05039  0.04915  0.50   35890    1764   35008   356552   9.93
  1947          69     0.05507  0.05360  0.50   34126    1829   33211   321544   9.42
  1947          70     0.06075  0.05896  0.50   32297    1904   31345   288332   8.93
  1947          71     0.06656  0.06441  0.50   30393    1958   29414   256987   8.46
  1947          72     0.07157  0.06910  0.50   28435    1965   27453   227573   8.00
  1947          73     0.07540  0.07266  0.50   26470    1923   25509   200121   7.56
  1947          74     0.07983  0.07676  0.50   24547    1884   23605   174612   7.11
  1947          75     0.08666  0.08306  0.50   22663    1882   21721   151007   6.66
  1947          76     0.09599  0.09160  0.50   20780    1903   19829   129286   6.22
  1947          77     0.10863  0.10304  0.50   18877    1945   17904   109457   5.80
  1947          78     0.12482  0.11749  0.50   16932    1989   15937    91553   5.41
  1947          79     0.14123  0.13191  0.50   14943    1971   13957    75616   5.06
  1947          80     0.15492  0.14378  0.50   12971    1865   12039    61659   4.75
  1947          81     0.16793  0.15492  0.50   11106    1721   10246    49620   4.47
  1947          82     0.18276  0.16746  0.50    9386    1572    8600    39374   4.20
  1947          83     0.19898  0.18097  0.50    7814    1414    7107    30774   3.94
  1947          84     0.21633  0.19522  0.50    6400    1249    5775    23667   3.70
  1947          85     0.23482  0.21015  0.50    5151    1082    4609    17892   3.47
  1947          86     0.25441  0.22570  0.50    4068     918    3609    13282   3.26
