19.Yamanashi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07793  0.07370  0.26  100000    7370   94568  5314667  53.15
  1947           1     0.02885  0.02844  0.50   92630    2634   91313  5220100  56.35
  1947           2     0.01661  0.01648  0.50   89996    1483   89255  5128786  56.99
  1947           3     0.00982  0.00977  0.50   88513     865   88081  5039532  56.94
  1947           4     0.00694  0.00692  0.50   87649     606   87345  4951451  56.49
  1947           5     0.00531  0.00529  0.50   87042     461   86812  4864106  55.88
  1947           6     0.00406  0.00406  0.50   86581     351   86406  4777294  55.18
  1947           7     0.00292  0.00292  0.50   86230     252   86104  4690888  54.40
  1947           8     0.00201  0.00201  0.50   85978     173   85892  4604784  53.56
  1947           9     0.00152  0.00151  0.50   85806     130   85741  4518892  52.66
  1947          10     0.00153  0.00153  0.50   85676     131   85610  4433151  51.74
  1947          11     0.00175  0.00174  0.50   85545     149   85470  4347541  50.82
  1947          12     0.00180  0.00180  0.50   85396     154   85319  4262070  49.91
  1947          13     0.00161  0.00161  0.50   85242     137   85174  4176752  49.00
  1947          14     0.00155  0.00155  0.50   85105     132   85039  4091578  48.08
  1947          15     0.00199  0.00199  0.50   84973     169   84888  4006539  47.15
  1947          16     0.00279  0.00279  0.50   84804     237   84686  3921651  46.24
  1947          17     0.00370  0.00369  0.50   84567     312   84411  3836965  45.37
  1947          18     0.00436  0.00435  0.50   84255     367   84072  3752554  44.54
  1947          19     0.00488  0.00487  0.50   83888     408   83684  3668482  43.73
  1947          20     0.00650  0.00648  0.50   83480     541   83209  3584798  42.94
  1947          21     0.00789  0.00786  0.50   82939     652   82613  3501589  42.22
  1947          22     0.00763  0.00760  0.50   82287     625   81974  3418976  41.55
  1947          23     0.00716  0.00713  0.50   81662     582   81371  3337002  40.86
  1947          24     0.00780  0.00777  0.50   81080     630   80765  3255631  40.15
