02.Aomori.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11855  0.10994  0.34  100000   10994   92738  4940853  49.41
  1947           1     0.05271  0.05136  0.50   89006    4571   86720  4848115  54.47
  1947           2     0.02195  0.02171  0.50   84434    1833   83518  4761394  56.39
  1947           3     0.00876  0.00873  0.50   82602     721   82241  4677876  56.63
  1947           4     0.00628  0.00627  0.50   81881     513   81624  4595635  56.13
  1947           5     0.00489  0.00488  0.50   81368     397   81169  4514011  55.48
  1947           6     0.00370  0.00369  0.50   80971     299   80822  4432841  54.75
  1947           7     0.00341  0.00341  0.50   80672     275   80535  4352020  53.95
  1947           8     0.00282  0.00282  0.50   80397     227   80284  4271485  53.13
  1947           9     0.00210  0.00210  0.50   80171     168   80087  4191201  52.28
  1947          10     0.00176  0.00176  0.50   80002     140   79932  4111114  51.39
  1947          11     0.00167  0.00167  0.50   79862     133   79795  4031182  50.48
  1947          12     0.00166  0.00165  0.50   79729     132   79663  3951387  49.56
  1947          13     0.00182  0.00182  0.50   79597     145   79524  3871724  48.64
  1947          14     0.00228  0.00228  0.50   79452     181   79361  3792200  47.73
  1947          15     0.00305  0.00305  0.50   79270     241   79150  3712839  46.84
  1947          16     0.00389  0.00389  0.50   79029     307   78875  3633689  45.98
  1947          17     0.00460  0.00459  0.50   78722     361   78541  3554814  45.16
  1947          18     0.00529  0.00527  0.50   78360     413   78154  3476273  44.36
  1947          19     0.00614  0.00612  0.50   77947     477   77709  3398119  43.60
  1947          20     0.00713  0.00710  0.50   77470     550   77195  3320410  42.86
  1947          21     0.00782  0.00779  0.50   76920     599   76621  3243215  42.16
  1947          22     0.00788  0.00785  0.50   76321     599   76022  3166594  41.49
  1947          23     0.00777  0.00774  0.50   75722     586   75429  3090573  40.81
  1947          24     0.00794  0.00791  0.50   75136     594   74839  3015143  40.13
  1947          25     0.00812  0.00808  0.50   74542     603   74241  2940304  39.44
  1947          26     0.00824  0.00820  0.50   73940     606   73636  2866063  38.76
  1947          27     0.00830  0.00826  0.50   73333     606   73030  2792427  38.08
  1947          28     0.00812  0.00809  0.50   72727     588   72433  2719397  37.39
  1947          29     0.00771  0.00768  0.50   72139     554   71862  2646964  36.69
  1947          30     0.00773  0.00770  0.50   71585     551   71309  2575102  35.97
  1947          31     0.00804  0.00800  0.50   71034     569   70749  2503793  35.25
  1947          32     0.00827  0.00824  0.50   70465     580   70175  2433043  34.53
  1947          33     0.00828  0.00824  0.50   69885     576   69597  2362868  33.81
  1947          34     0.00798  0.00794  0.50   69309     551   69033  2293272  33.09
  1947          35     0.00738  0.00735  0.50   68758     506   68505  2224238  32.35
  1947          36     0.00695  0.00692  0.50   68253     472   68016  2155733  31.58
  1947          37     0.00805  0.00802  0.50   67780     543   67508  2087717  30.80
  1947          38     0.00921  0.00917  0.50   67237     617   66928  2020208  30.05
  1947          39     0.00883  0.00879  0.50   66620     586   66327  1953280  29.32
  1947          40     0.00805  0.00802  0.50   66034     529   65770  1886953  28.58
  1947          41     0.00824  0.00821  0.50   65505     538   65236  1821183  27.80
  1947          42     0.00902  0.00898  0.50   64967     583   64676  1755947  27.03
  1947          43     0.00956  0.00951  0.50   64384     612   64078  1691271  26.27
  1947          44     0.00937  0.00932  0.50   63772     595   63474  1627194  25.52
  1947          45     0.00922  0.00918  0.50   63177     580   62887  1563720  24.75
  1947          46     0.00984  0.00979  0.50   62597     613   62291  1500833  23.98
  1947          47     0.01063  0.01057  0.50   61984     655   61657  1438542  23.21
  1947          48     0.01135  0.01129  0.50   61329     692   60983  1376885  22.45
  1947          49     0.01201  0.01194  0.50   60637     724   60274  1315903  21.70
  1947          50     0.01297  0.01289  0.50   59912     772   59526  1255628  20.96
  1947          51     0.01442  0.01432  0.50   59140     847   58717  1196102  20.22
  1947          52     0.01565  0.01553  0.50   58294     905   57841  1137385  19.51
  1947          53     0.01612  0.01599  0.50   57388     918   56929  1079544  18.81
  1947          54     0.01663  0.01650  0.50   56471     932   56005  1022615  18.11
  1947          55     0.01763  0.01748  0.50   55539     971   55054   966610  17.40
  1947          56     0.01907  0.01889  0.50   54568    1031   54053   911556  16.70
  1947          57     0.01968  0.01949  0.50   53537    1043   53016   857504  16.02
  1947          58     0.01964  0.01944  0.50   52494    1021   51984   804488  15.33
  1947          59     0.02360  0.02333  0.50   51473    1201   50873   752504  14.62
  1947          60     0.02842  0.02802  0.50   50272    1409   49568   701632  13.96
  1947          61     0.03025  0.02980  0.50   48864    1456   48136   652064  13.34
  1947          62     0.03215  0.03164  0.50   47408    1500   46658   603928  12.74
  1947          63     0.03735  0.03667  0.50   45908    1683   45066   557270  12.14
  1947          64     0.04291  0.04201  0.50   44224    1858   43295   512205  11.58
  1947          65     0.04518  0.04419  0.50   42366    1872   41430   468909  11.07
  1947          66     0.04484  0.04386  0.50   40494    1776   39606   427479  10.56
  1947          67     0.04673  0.04567  0.50   38718    1768   37834   387872  10.02
  1947          68     0.05420  0.05277  0.50   36950    1950   35975   350038   9.47
  1947          69     0.06115  0.05933  0.50   35000    2077   33962   314063   8.97
  1947          70     0.06385  0.06188  0.50   32924    2037   31905   280101   8.51
  1947          71     0.07239  0.06986  0.50   30886    2158   29807   248196   8.04
  1947          72     0.08059  0.07746  0.50   28729    2225   27616   218389   7.60
  1947          73     0.08225  0.07901  0.50   26503    2094   25456   190773   7.20
  1947          74     0.09200  0.08796  0.50   24409    2147   23336   165317   6.77
  1947          75     0.11452  0.10832  0.50   22262    2411   21057   141981   6.38
  1947          76     0.11280  0.10677  0.50   19851    2120   18791   120924   6.09
  1947          77     0.10999  0.10425  0.50   17731    1849   16807   102133   5.76
  1947          78     0.13440  0.12594  0.50   15883    2000   14883    85326   5.37
  1947          79     0.15971  0.14790  0.50   13883    2053   12856    70443   5.07
  1947          80     0.15892  0.14722  0.50   11829    1741   10959    57587   4.87
  1947          81     0.15686  0.14546  0.50   10088    1467    9354    46629   4.62
  1947          82     0.17703  0.16264  0.50    8620    1402    7919    37274   4.32
  1947          83     0.19501  0.17768  0.50    7218    1283    6577    29355   4.07
  1947          84     0.21000  0.19004  0.50    5936    1128    5372    22778   3.84
  1947          85     0.22855  0.20511  0.50    4808     986    4315    17406   3.62
  1947          86     0.24856  0.22108  0.50    3822     845    3399    13091   3.43
  1947          87     0.26710  0.23563  0.50    2977     701    2626     9692   3.26
  1947          88     0.28572  0.25001  0.50    2275     569    1991     7066   3.11
  1947          89     0.30395  0.26385  0.50    1707     450    1481     5075   2.97
  1947          90     0.32072  0.27640  0.50    1256     347    1083     3594   2.86
  1947          91     0.33599  0.28766  0.50     909     261     778     2511   2.76
  1947          92     0.34990  0.29780  0.50     648     193     551     1733   2.68
  1947          93     0.36240  0.30681  0.50     455     140     385     1182   2.60
  1947          94     0.37385  0.31497  0.50     315      99     266      797   2.53
  1947          95     0.38474  0.32267  0.50     216      70     181      531   2.46
  1947          96     0.39559  0.33027  0.50     146      48     122      350   2.39
  1947          97     0.40689  0.33810  0.50      98      33      81      228   2.33
  1947          98     0.41897  0.34640  0.50      65      22      54      146   2.26
  1947          99     0.43209  0.35532  0.50      42      15      35       93   2.19
  1947         100     0.44631  0.36489  0.50      27      10      22       58   2.12
  1947         101     0.46156  0.37501  0.50      17       7      14       36   2.06
  1947         102     0.47771  0.38561  0.50      11       4       9       22   1.99
  1947         103     0.49459  0.39653  0.50       7       3       5       13   1.93
  1947         104     0.51198  0.40763  0.50       4       2       3        8   1.87
  1947         105     0.52971  0.41879  0.50       2       1       2        4   1.81
  1947         106     0.54763  0.42991  0.50       1       1       1        2   1.76
  1947         107     0.56559  0.44091  0.50       1       0       1        1   1.71
  1947         108     0.58349  0.45171  0.50       0       0       0        1   1.66
  1947         109     0.60122  0.46226  0.50       0       0       0        0   1.61
  1947         110+    0.63603  1.00000  1.57       0       0       0        0   1.57
  1948           0     0.09961  0.09330  0.32  100000    9330   93672  5122612  51.23
  1948           1     0.03644  0.03579  0.50   90670    3245   89047  5028940  55.46
