20.Nagano.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07450  0.07058  0.25  100000    7058   94732  5371312  53.71
  1947           1     0.02309  0.02282  0.50   92942    2121   91882  5276580  56.77
  1947           2     0.01683  0.01669  0.50   90821    1515   90063  5184698  57.09
  1947           3     0.01142  0.01136  0.50   89306    1014   88798  5094635  57.05
  1947           4     0.00727  0.00724  0.50   88291     639   87971  5005837  56.70
  1947           5     0.00450  0.00449  0.50   87652     394   87455  4917865  56.11
  1947           6     0.00287  0.00286  0.50   87258     250   87133  4830410  55.36
  1947           7     0.00199  0.00199  0.50   87008     173   86921  4743277  54.52
  1947           8     0.00159  0.00159  0.50   86835     138   86766  4656356  53.62
  1947           9     0.00147  0.00146  0.50   86697     127   86633  4569590  52.71
  1947          10     0.00147  0.00147  0.50   86570     127   86506  4482957  51.78
  1947          11     0.00155  0.00155  0.50   86443     134   86376  4396450  50.86
  1947          12     0.00167  0.00167  0.50   86309     144   86236  4310075  49.94
  1947          13     0.00187  0.00187  0.50   86164     161   86084  4223838  49.02
  1947          14     0.00219  0.00218  0.50   86003     188   85910  4137754  48.11
  1947          15     0.00267  0.00267  0.50   85816     229   85701  4051845  47.22
  1947          16     0.00333  0.00332  0.50   85586     284   85444  3966144  46.34
  1947          17     0.00412  0.00411  0.50   85302     350   85127  3880700  45.49
  1947          18     0.00498  0.00496  0.50   84952     422   84741  3795573  44.68
  1947          19     0.00581  0.00580  0.50   84530     490   84285  3710832  43.90
  1947          20     0.00651  0.00649  0.50   84040     545   83767  3626547  43.15
  1947          21     0.00700  0.00698  0.50   83495     582   83203  3542780  42.43
  1947          22     0.00726  0.00723  0.50   82912     599   82612  3459576  41.73
  1947          23     0.00737  0.00734  0.50   82313     604   82011  3376964  41.03
  1947          24     0.00745  0.00742  0.50   81708     606   81405  3294953  40.33
  1947          25     0.00756  0.00753  0.50   81102     610   80797  3213548  39.62
  1947          26     0.00763  0.00760  0.50   80492     612   80186  3132751  38.92
  1947          27     0.00760  0.00757  0.50   79880     605   79578  3052565  38.21
  1947          28     0.00751  0.00748  0.50   79276     593   78979  2972987  37.50
  1947          29     0.00744  0.00741  0.50   78683     583   78391  2894008  36.78
  1947          30     0.00746  0.00744  0.50   78099     581   77809  2815617  36.05
  1947          31     0.00754  0.00751  0.50   77518     582   77227  2737808  35.32
  1947          32     0.00760  0.00757  0.50   76937     582   76645  2660580  34.58
  1947          33     0.00762  0.00759  0.50   76354     579   76064  2583935  33.84
  1947          34     0.00758  0.00755  0.50   75775     572   75489  2507871  33.10
  1947          35     0.00754  0.00751  0.50   75202     565   74920  2432382  32.34
  1947          36     0.00754  0.00751  0.50   74637     560   74357  2357462  31.59
  1947          37     0.00750  0.00747  0.50   74077     554   73800  2283105  30.82
  1947          38     0.00748  0.00745  0.50   73523     548   73250  2209305  30.05
  1947          39     0.00752  0.00749  0.50   72976     547   72702  2136055  29.27
  1947          40     0.00764  0.00761  0.50   72429     551   72153  2063353  28.49
  1947          41     0.00782  0.00779  0.50   71878     560   71598  1991200  27.70
  1947          42     0.00805  0.00802  0.50   71318     572   71032  1919602  26.92
  1947          43     0.00830  0.00826  0.50   70746     585   70453  1848570  26.13
  1947          44     0.00855  0.00851  0.50   70161     597   69862  1778117  25.34
  1947          45     0.00879  0.00875  0.50   69564     609   69259  1708255  24.56
  1947          46     0.00904  0.00900  0.50   68955     620   68645  1638995  23.77
  1947          47     0.00936  0.00932  0.50   68335     637   68016  1570350  22.98
  1947          48     0.00990  0.00986  0.50   67698     667   67364  1502334  22.19
  1947          49     0.01076  0.01070  0.50   67031     717   66672  1434970  21.41
  1947          50     0.01185  0.01178  0.50   66313     781   65923  1368298  20.63
  1947          51     0.01306  0.01297  0.50   65532     850   65107  1302375  19.87
  1947          52     0.01435  0.01425  0.50   64682     922   64221  1237268  19.13
  1947          53     0.01567  0.01554  0.50   63761     991   63265  1173047  18.40
  1947          54     0.01689  0.01675  0.50   62769    1051   62244  1109782  17.68
  1947          55     0.01810  0.01794  0.50   61718    1107   61165  1047538  16.97
  1947          56     0.01944  0.01925  0.50   60611    1167   60028   986373  16.27
  1947          57     0.02109  0.02087  0.50   59444    1241   58824   926345  15.58
  1947          58     0.02317  0.02291  0.50   58204    1333   57537   867521  14.90
  1947          59     0.02558  0.02526  0.50   56871    1436   56153   809983  14.24
  1947          60     0.02823  0.02783  0.50   55434    1543   54663   753831  13.60
  1947          61     0.03106  0.03059  0.50   53891    1648   53067   699168  12.97
  1947          62     0.03412  0.03355  0.50   52243    1753   51367   646101  12.37
  1947          63     0.03743  0.03674  0.50   50490    1855   49563   594734  11.78
  1947          64     0.04093  0.04011  0.50   48635    1951   47660   545171  11.21
  1947          65     0.04472  0.04374  0.50   46685    2042   45664   497511  10.66
  1947          66     0.04916  0.04798  0.50   44643    2142   43572   451848  10.12
  1947          67     0.05394  0.05252  0.50   42501    2232   41384   408276   9.61
  1947          68     0.05863  0.05696  0.50   40268    2294   39122   366892   9.11
  1947          69     0.06341  0.06146  0.50   37975    2334   36808   327770   8.63
  1947          70     0.06871  0.06643  0.50   35641    2368   34457   290963   8.16
  1947          71     0.07530  0.07257  0.50   33273    2415   32066   256506   7.71
  1947          72     0.08294  0.07964  0.50   30859    2458   29630   224440   7.27
  1947          73     0.09123  0.08725  0.50   28401    2478   27162   194810   6.86
  1947          74     0.10012  0.09535  0.50   25923    2472   24687   167648   6.47
  1947          75     0.10969  0.10399  0.50   23451    2439   22232   142961   6.10
  1947          76     0.11990  0.11312  0.50   21013    2377   19824   120729   5.75
  1947          77     0.13075  0.12273  0.50   18636    2287   17492   100904   5.41
  1947          78     0.14230  0.13285  0.50   16349    2172   15263    83412   5.10
  1947          79     0.15468  0.14357  0.50   14177    2035   13159    68150   4.81
  1947          80     0.16800  0.15498  0.50   12141    1882   11200    54991   4.53
  1947          81     0.18214  0.16694  0.50   10260    1713    9403    43790   4.27
  1947          82     0.19696  0.17930  0.50    8547    1532    7781    34387   4.02
  1947          83     0.21262  0.19219  0.50    7014    1348    6340    26606   3.79
  1947          84     0.22921  0.20564  0.50    5666    1165    5084    20266   3.58
  1947          85     0.24680  0.21969  0.50    4501     989    4007    15182   3.37
  1947          86     0.26542  0.23432  0.50    3512     823    3101    11175   3.18
  1947          87     0.28510  0.24953  0.50    2689     671    2354     8075   3.00
  1947          88     0.30586  0.26529  0.50    2018     535    1751     5721   2.83
  1947          89     0.32767  0.28154  0.50    1483     417    1274     3970   2.68
  1947          90     0.35052  0.29825  0.50    1065     318     906     2696   2.53
  1947          91     0.37439  0.31536  0.50     748     236     630     1790   2.39
  1947          92     0.39924  0.33281  0.50     512     170     427     1160   2.27
  1947          93     0.42506  0.35055  0.50     341     120     282      733   2.15
  1947          94     0.45180  0.36855  0.50     222      82     181      452   2.04
  1947          95     0.47945  0.38674  0.50     140      54     113      271   1.93
  1947          96     0.50796  0.40508  0.50      86      35      68      158   1.84
  1947          97     0.53730  0.42352  0.50      51      22      40       89   1.75
  1947          98     0.56737  0.44199  0.50      29      13      23       49   1.67
  1947          99     0.59807  0.46039  0.50      16       8      13       26   1.59
  1947         100     0.62919  0.47862  0.50       9       4       7       13   1.52
  1947         101     0.66042  0.49648  0.50       5       2       3        7   1.46
  1947         102     0.69137  0.51377  0.50       2       1       2        3   1.40
  1947         103     0.72154  0.53025  0.50       1       1       1        2   1.35
  1947         104     0.75041  0.54567  0.50       1       0       0        1   1.30
  1947         105     0.77746  0.55984  0.50       0       0       0        0   1.26
  1947         106     0.80235  0.57263  0.50       0       0       0        0   1.22
  1947         107     0.82491  0.58402  0.50       0       0       0        0   1.19
  1947         108     0.84542  0.59423  0.50       0       0       0        0   1.17
  1947         109     0.86437  0.60353  0.50       0       0       0        0   1.15
  1947         110+    0.88686  1.00000  1.13       0       0       0        0   1.13
  1948           0     0.05529  0.05297  0.21  100000    5297   95796  5793609  57.94
  1948           1     0.01408  0.01398  0.50   94703    1324   94041  5697813  60.16
  1948           2     0.01001  0.00996  0.50   93379     930   92914  5603772  60.01
  1948           3     0.00667  0.00665  0.50   92449     615   92141  5510858  59.61
  1948           4     0.00428  0.00427  0.50   91834     392   91638  5418717  59.01
  1948           5     0.00285  0.00284  0.50   91442     260   91312  5327079  58.26
  1948           6     0.00214  0.00214  0.50   91182     195   91084  5235767  57.42
  1948           7     0.00184  0.00184  0.50   90987     167   90903  5144683  56.54
  1948           8     0.00168  0.00168  0.50   90820     152   90743  5053779  55.65
  1948           9     0.00153  0.00153  0.50   90667     139   90598  4963036  54.74
  1948          10     0.00134  0.00134  0.50   90529     121   90468  4872438  53.82
  1948          11     0.00119  0.00119  0.50   90408     108   90354  4781970  52.89
  1948          12     0.00118  0.00118  0.50   90300     106   90247  4691616  51.96
  1948          13     0.00129  0.00129  0.50   90194     116   90136  4601369  51.02
  1948          14     0.00154  0.00154  0.50   90078     139   90008  4511233  50.08
  1948          15     0.00197  0.00196  0.50   89939     177   89850  4421225  49.16
  1948          16     0.00251  0.00251  0.50   89762     225   89649  4331375  48.25
  1948          17     0.00314  0.00313  0.50   89537     280   89396  4241725  47.37
  1948          18     0.00381  0.00381  0.50   89256     340   89086  4152329  46.52
  1948          19     0.00452  0.00451  0.50   88916     401   88716  4063243  45.70
  1948          20     0.00522  0.00520  0.50   88515     460   88285  3974527  44.90
  1948          21     0.00589  0.00587  0.50   88055     517   87796  3886242  44.13
  1948          22     0.00653  0.00651  0.50   87538     570   87253  3798446  43.39
  1948          23     0.00707  0.00704  0.50   86968     613   86661  3711193  42.67
  1948          24     0.00743  0.00740  0.50   86355     639   86036  3624532  41.97
  1948          25     0.00757  0.00754  0.50   85716     647   85393  3538496  41.28
  1948          26     0.00749  0.00746  0.50   85070     635   84752  3453103  40.59
  1948          27     0.00721  0.00719  0.50   84435     607   84131  3368351  39.89
  1948          28     0.00695  0.00693  0.50   83828     581   83538  3284220  39.18
  1948          29     0.00688  0.00686  0.50   83247     571   82962  3200682  38.45
  1948          30     0.00689  0.00687  0.50   82676     568   82393  3117720  37.71
  1948          31     0.00692  0.00690  0.50   82109     566   81826  3035327  36.97
  1948          32     0.00696  0.00693  0.50   81542     565   81260  2953502  36.22
  1948          33     0.00689  0.00687  0.50   80977     556   80699  2872242  35.47
  1948          34     0.00664  0.00662  0.50   80421     532   80155  2791543  34.71
