21.Gifu.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09245  0.08685  0.30  100000    8685   93940  5143195  51.43
  1947           1     0.02982  0.02938  0.50   91315    2683   89974  5049255  55.29
  1947           2     0.02179  0.02156  0.50   88633    1911   87677  4959281  55.95
  1947           3     0.01490  0.01479  0.50   86722    1282   86081  4871603  56.17
  1947           4     0.00955  0.00950  0.50   85440     812   85034  4785522  56.01
  1947           5     0.00588  0.00587  0.50   84628     496   84380  4700489  55.54
  1947           6     0.00362  0.00361  0.50   84131     304   83979  4616109  54.87
  1947           7     0.00237  0.00237  0.50   83827     198   83728  4532130  54.06
  1947           8     0.00175  0.00175  0.50   83629     147   83556  4448401  53.19
  1947           9     0.00150  0.00150  0.50   83482     125   83420  4364846  52.28
  1947          10     0.00140  0.00140  0.50   83358     116   83299  4281426  51.36
  1947          11     0.00142  0.00142  0.50   83241     118   83182  4198126  50.43
  1947          12     0.00158  0.00158  0.50   83123     131   83057  4114944  49.50
  1947          13     0.00187  0.00187  0.50   82992     155   82914  4031887  48.58
  1947          14     0.00232  0.00231  0.50   82837     192   82741  3948973  47.67
  1947          15     0.00294  0.00294  0.50   82645     243   82524  3866232  46.78
  1947          16     0.00374  0.00373  0.50   82402     307   82249  3783709  45.92
  1947          17     0.00469  0.00468  0.50   82095     384   81903  3701460  45.09
  1947          18     0.00576  0.00574  0.50   81711     469   81476  3619557  44.30
  1947          19     0.00687  0.00685  0.50   81242     557   80963  3538081  43.55
  1947          20     0.00796  0.00792  0.50   80685     639   80365  3457118  42.85
  1947          21     0.00889  0.00885  0.50   80046     708   79692  3376752  42.19
  1947          22     0.00955  0.00951  0.50   79338     754   78961  3297061  41.56
  1947          23     0.00983  0.00978  0.50   78583     768   78199  3218100  40.95
  1947          24     0.00965  0.00960  0.50   77815     747   77441  3139901  40.35
  1947          25     0.00919  0.00915  0.50   77068     705   76715  3062460  39.74
  1947          26     0.00866  0.00862  0.50   76363     659   76034  2985744  39.10
  1947          27     0.00823  0.00820  0.50   75704     621   75394  2909711  38.44
  1947          28     0.00794  0.00791  0.50   75084     594   74787  2834317  37.75
  1947          29     0.00779  0.00776  0.50   74490     578   74200  2759530  37.05
  1947          30     0.00779  0.00776  0.50   73911     573   73624  2685330  36.33
  1947          31     0.00784  0.00781  0.50   73338     573   73051  2611705  35.61
  1947          32     0.00788  0.00785  0.50   72765     571   72479  2538654  34.89
  1947          33     0.00787  0.00784  0.50   72194     566   71910  2466175  34.16
  1947          34     0.00781  0.00778  0.50   71627     557   71349  2394264  33.43
  1947          35     0.00772  0.00769  0.50   71070     547   70797  2322915  32.68
  1947          36     0.00767  0.00764  0.50   70523     539   70254  2252119  31.93
  1947          37     0.00768  0.00765  0.50   69984     535   69717  2181865  31.18
  1947          38     0.00778  0.00775  0.50   69449     538   69180  2112148  30.41
  1947          39     0.00799  0.00796  0.50   68911     548   68637  2042968  29.65
  1947          40     0.00828  0.00825  0.50   68363     564   68081  1974331  28.88
  1947          41     0.00861  0.00858  0.50   67799     581   67508  1906250  28.12
  1947          42     0.00887  0.00883  0.50   67218     594   66921  1838742  27.36
