22.Shizuoka.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07918  0.07483  0.27  100000    7483   94506  5408434  54.08
  1947           1     0.02935  0.02892  0.50   92517    2676   91179  5313928  57.44
  1947           2     0.01804  0.01788  0.50   89841    1607   89038  5222749  58.13
  1947           3     0.01062  0.01056  0.50   88235     932   87769  5133711  58.18
  1947           4     0.00659  0.00657  0.50   87303     573   87016  5045942  57.80
  1947           5     0.00449  0.00448  0.50   86729     388   86535  4958926  57.18
  1947           6     0.00343  0.00342  0.50   86341     295   86193  4872391  56.43
  1947           7     0.00275  0.00275  0.50   86045     237   85927  4786198  55.62
  1947           8     0.00222  0.00222  0.50   85809     191   85713  4700271  54.78
  1947           9     0.00183  0.00183  0.50   85618     156   85540  4614558  53.90
  1947          10     0.00158  0.00158  0.50   85462     135   85394  4529018  52.99
  1947          11     0.00147  0.00146  0.50   85327     125   85264  4443624  52.08
  1947          12     0.00146  0.00146  0.50   85202     124   85139  4358360  51.15
  1947          13     0.00156  0.00156  0.50   85077     133   85011  4273221  50.23
  1947          14     0.00179  0.00179  0.50   84944     152   84868  4188210  49.31
  1947          15     0.00216  0.00216  0.50   84792     183   84701  4103342  48.39
  1947          16     0.00275  0.00275  0.50   84609     232   84493  4018641  47.50
  1947          17     0.00363  0.00362  0.50   84377     305   84224  3934148  46.63
  1947          18     0.00473  0.00471  0.50   84071     396   83873  3849924  45.79
  1947          19     0.00583  0.00582  0.50   83675     487   83432  3766051  45.01
  1947          20     0.00643  0.00641  0.50   83188     533   82922  3682619  44.27
  1947          21     0.00674  0.00672  0.50   82655     555   82377  3599697  43.55
  1947          22     0.00711  0.00708  0.50   82100     582   81809  3517320  42.84
  1947          23     0.00753  0.00750  0.50   81518     611   81212  3435511  42.14
  1947          24     0.00786  0.00783  0.50   80907     633   80590  3354299  41.46
  1947          25     0.00789  0.00786  0.50   80273     631   79958  3273709  40.78
  1947          26     0.00767  0.00764  0.50   79642     609   79338  3193751  40.10
  1947          27     0.00733  0.00731  0.50   79033     577   78745  3114414  39.41
  1947          28     0.00711  0.00709  0.50   78456     556   78178  3035669  38.69
  1947          29     0.00714  0.00711  0.50   77900     554   77623  2957491  37.97
  1947          30     0.00709  0.00706  0.50   77346     546   77073  2879868  37.23
  1947          31     0.00686  0.00683  0.50   76800     525   76537  2802795  36.49
  1947          32     0.00646  0.00644  0.50   76275     492   76029  2726258  35.74
  1947          33     0.00615  0.00613  0.50   75783     465   75551  2650229  34.97
  1947          34     0.00614  0.00612  0.50   75319     461   75088  2574678  34.18
  1947          35     0.00644  0.00642  0.50   74858     481   74617  2499590  33.39
  1947          36     0.00687  0.00685  0.50   74377     509   74122  2424973  32.60
  1947          37     0.00694  0.00691  0.50   73868     511   73612  2350850  31.83
  1947          38     0.00683  0.00681  0.50   73357     500   73107  2277238  31.04
  1947          39     0.00688  0.00685  0.50   72857     499   72608  2204131  30.25
  1947          40     0.00706  0.00704  0.50   72358     509   72103  2131523  29.46
  1947          41     0.00735  0.00733  0.50   71849     526   71586  2059420  28.66
  1947          42     0.00783  0.00780  0.50   71322     557   71044  1987834  27.87
  1947          43     0.00832  0.00829  0.50   70766     587   70472  1916790  27.09
  1947          44     0.00864  0.00861  0.50   70179     604   69877  1846318  26.31
  1947          45     0.00891  0.00887  0.50   69575     617   69267  1776441  25.53
  1947          46     0.00931  0.00926  0.50   68958     639   68639  1707174  24.76
  1947          47     0.00988  0.00983  0.50   68319     672   67983  1638536  23.98
  1947          48     0.01040  0.01035  0.50   67648     700   67298  1570552  23.22
  1947          49     0.01072  0.01066  0.50   66948     714   66591  1503255  22.45
  1947          50     0.01120  0.01113  0.50   66234     737   65865  1436664  21.69
  1947          51     0.01218  0.01211  0.50   65497     793   65100  1370799  20.93
  1947          52     0.01335  0.01326  0.50   64703     858   64274  1305699  20.18
  1947          53     0.01427  0.01417  0.50   63846     905   63393  1241424  19.44
  1947          54     0.01499  0.01487  0.50   62941     936   62473  1178031  18.72
  1947          55     0.01581  0.01569  0.50   62005     973   61518  1115558  17.99
  1947          56     0.01707  0.01692  0.50   61032    1033   60515  1054040  17.27
  1947          57     0.01877  0.01860  0.50   59999    1116   59441   993525  16.56
  1947          58     0.02081  0.02059  0.50   58883    1212   58277   934084  15.86
  1947          59     0.02283  0.02257  0.50   57671    1302   57020   875807  15.19
  1947          60     0.02522  0.02491  0.50   56369    1404   55667   818787  14.53
  1947          61     0.02834  0.02795  0.50   54965    1536   54197   763120  13.88
  1947          62     0.03162  0.03113  0.50   53429    1663   52597   708923  13.27
  1947          63     0.03446  0.03387  0.50   51766    1753   50889   656325  12.68
  1947          64     0.03703  0.03636  0.50   50012    1818   49103   605437  12.11
  1947          65     0.03975  0.03897  0.50   48194    1878   47255   556334  11.54
  1947          66     0.04290  0.04200  0.50   46315    1945   45343   509079  10.99
  1947          67     0.04653  0.04547  0.50   44370    2017   43361   463736  10.45
  1947          68     0.05057  0.04933  0.50   42353    2089   41308   420375   9.93
  1947          69     0.05490  0.05344  0.50   40264    2152   39188   379067   9.41
  1947          70     0.05960  0.05788  0.50   38112    2206   37009   339879   8.92
  1947          71     0.06539  0.06332  0.50   35906    2273   34769   302870   8.44
  1947          72     0.07162  0.06914  0.50   33633    2326   32470   268100   7.97
  1947          73     0.07767  0.07477  0.50   31307    2341   30137   235630   7.53
  1947          74     0.08457  0.08114  0.50   28966    2350   27791   205494   7.09
  1947          75     0.09325  0.08910  0.50   26616    2371   25430   177702   6.68
  1947          76     0.10296  0.09792  0.50   24245    2374   23058   152272   6.28
  1947          77     0.11336  0.10728  0.50   21871    2346   20697   129214   5.91
  1947          78     0.12432  0.11705  0.50   19524    2285   18382   108517   5.56
  1947          79     0.13577  0.12714  0.50   17239    2192   16143    90135   5.23
  1947          80     0.14772  0.13756  0.50   15047    2070   14012    73992   4.92
  1947          81     0.16055  0.14862  0.50   12977    1929   12013    59980   4.62
  1947          82     0.17464  0.16061  0.50   11049    1775   10161    47967   4.34
  1947          83     0.19001  0.17352  0.50    9274    1609    8469    37805   4.08
  1947          84     0.20662  0.18727  0.50    7665    1435    6947    29336   3.83
  1947          85     0.22441  0.20177  0.50    6229    1257    5601    22389   3.59
  1947          86     0.24339  0.21699  0.50    4973    1079    4433    16788   3.38
  1947          87     0.26355  0.23287  0.50    3894     907    3440    12355   3.17
  1947          88     0.28486  0.24935  0.50    2987     745    2614     8914   2.98
  1947          89     0.30726  0.26634  0.50    2242     597    1944     6300   2.81
  1947          90     0.33069  0.28377  0.50    1645     467    1412     4356   2.65
  1947          91     0.35504  0.30152  0.50    1178     355    1001     2945   2.50
  1947          92     0.38021  0.31948  0.50     823     263     691     1944   2.36
  1947          93     0.40607  0.33753  0.50     560     189     466     1253   2.24
  1947          94     0.43245  0.35557  0.50     371     132     305      787   2.12
  1947          95     0.45921  0.37346  0.50     239      89     194      482   2.02
  1947          96     0.48617  0.39110  0.50     150      59     120      288   1.92
  1947          97     0.51314  0.40836  0.50      91      37      73      167   1.83
  1947          98     0.53994  0.42516  0.50      54      23      42       95   1.76
  1947          99     0.56640  0.44140  0.50      31      14      24       52   1.68
  1947         100     0.59235  0.45700  0.50      17       8      13       28   1.62
  1947         101     0.61763  0.47190  0.50       9       4       7       15   1.56
  1947         102     0.64211  0.48606  0.50       5       2       4        7   1.51
  1947         103     0.66567  0.49944  0.50       3       1       2        4   1.46
  1947         104     0.68824  0.51204  0.50       1       1       1        2   1.42
  1947         105     0.70976  0.52386  0.50       1       0       0        1   1.38
