23.Aichi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08325  0.07852  0.28  100000    7852   94323  5339202  53.39
  1947           1     0.02780  0.02742  0.50   92148    2527   90885  5244880  56.92
  1947           2     0.01856  0.01839  0.50   89622    1648   88797  5153995  57.51
  1947           3     0.01157  0.01151  0.50   87973    1012   87467  5065197  57.58
  1947           4     0.00704  0.00702  0.50   86961     610   86656  4977730  57.24
  1947           5     0.00454  0.00453  0.50   86351     391   86155  4891074  56.64
  1947           6     0.00330  0.00329  0.50   85960     283   85818  4804919  55.90
  1947           7     0.00258  0.00257  0.50   85677     221   85567  4719101  55.08
  1947           8     0.00209  0.00209  0.50   85456     178   85367  4633534  54.22
  1947           9     0.00176  0.00176  0.50   85278     150   85203  4548167  53.33
  1947          10     0.00155  0.00155  0.50   85128     132   85062  4462964  52.43
  1947          11     0.00143  0.00143  0.50   84996     121   84935  4377902  51.51
  1947          12     0.00138  0.00138  0.50   84874     117   84816  4292967  50.58
  1947          13     0.00151  0.00151  0.50   84757     128   84693  4208151  49.65
  1947          14     0.00186  0.00186  0.50   84629     158   84550  4123458  48.72
  1947          15     0.00244  0.00244  0.50   84472     206   84369  4038908  47.81
  1947          16     0.00322  0.00322  0.50   84266     271   84130  3954539  46.93
  1947          17     0.00418  0.00417  0.50   83995     350   83820  3870409  46.08
  1947          18     0.00522  0.00521  0.50   83645     435   83427  3786589  45.27
  1947          19     0.00623  0.00622  0.50   83209     517   82951  3703162  44.50
  1947          20     0.00706  0.00703  0.50   82692     582   82401  3620212  43.78
  1947          21     0.00764  0.00761  0.50   82110     625   81798  3537811  43.09
  1947          22     0.00795  0.00792  0.50   81486     646   81163  3456013  42.41
  1947          23     0.00807  0.00804  0.50   80840     650   80515  3374850  41.75
  1947          24     0.00801  0.00798  0.50   80191     640   79871  3294334  41.08
  1947          25     0.00773  0.00770  0.50   79551     612   79245  3214464  40.41
  1947          26     0.00731  0.00728  0.50   78938     575   78651  3135219  39.72
  1947          27     0.00689  0.00687  0.50   78363     538   78094  3056568  39.01
  1947          28     0.00661  0.00659  0.50   77825     513   77569  2978474  38.27
  1947          29     0.00659  0.00657  0.50   77312     508   77058  2900905  37.52
  1947          30     0.00676  0.00674  0.50   76805     518   76546  2823847  36.77
  1947          31     0.00701  0.00698  0.50   76287     533   76020  2747301  36.01
  1947          32     0.00722  0.00719  0.50   75754     545   75482  2671281  35.26
  1947          33     0.00731  0.00729  0.50   75209     548   74935  2595799  34.51
  1947          34     0.00726  0.00723  0.50   74661     540   74391  2520864  33.76
  1947          35     0.00715  0.00712  0.50   74121     528   73857  2446473  33.01
  1947          36     0.00707  0.00704  0.50   73593     518   73334  2372616  32.24
  1947          37     0.00702  0.00700  0.50   73075     511   72819  2299282  31.46
  1947          38     0.00709  0.00706  0.50   72564     512   72307  2226462  30.68
  1947          39     0.00733  0.00730  0.50   72051     526   71788  2154155  29.90
  1947          40     0.00765  0.00763  0.50   71525     545   71252  2082367  29.11
  1947          41     0.00798  0.00795  0.50   70980     564   70698  2011114  28.33
  1947          42     0.00829  0.00825  0.50   70416     581   70125  1940416  27.56
  1947          43     0.00853  0.00849  0.50   69835     593   69538  1870291  26.78
  1947          44     0.00869  0.00865  0.50   69241     599   68942  1800753  26.01
  1947          45     0.00898  0.00894  0.50   68642     614   68335  1731811  25.23
