24.Mie.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10879  0.10141  0.33  100000   10141   93223  5040858  50.41
  1947           1     0.03539  0.03477  0.50   89859    3125   88296  4947635  55.06
  1947           2     0.01984  0.01965  0.50   86734    1704   85882  4859339  56.03
  1947           3     0.01096  0.01090  0.50   85030     927   84566  4773457  56.14
  1947           4     0.00709  0.00706  0.50   84103     594   83806  4688890  55.75
  1947           5     0.00502  0.00500  0.50   83509     418   83300  4605084  55.14
  1947           6     0.00371  0.00370  0.50   83091     308   82937  4521785  54.42
  1947           7     0.00282  0.00282  0.50   82783     233   82667  4438847  53.62
  1947           8     0.00243  0.00243  0.50   82550     201   82450  4356181  52.77
  1947           9     0.00226  0.00226  0.50   82350     186   82257  4273731  51.90
  1947          10     0.00198  0.00198  0.50   82164     162   82082  4191474  51.01
  1947          11     0.00168  0.00168  0.50   82001     138   81933  4109392  50.11
  1947          12     0.00159  0.00159  0.50   81864     130   81799  4027459  49.20
  1947          13     0.00194  0.00194  0.50   81734     159   81655  3945660  48.27
  1947          14     0.00248  0.00248  0.50   81575     202   81474  3864006  47.37
  1947          15     0.00294  0.00294  0.50   81373     239   81254  3782532  46.48
  1947          16     0.00365  0.00365  0.50   81134     296   80986  3701278  45.62
  1947          17     0.00490  0.00489  0.50   80838     395   80641  3620292  44.78
  1947          18     0.00629  0.00627  0.50   80443     504   80191  3539651  44.00
  1947          19     0.00737  0.00734  0.50   79939     587   79645  3459460  43.28
  1947          20     0.00813  0.00810  0.50   79352     642   79031  3379814  42.59
  1947          21     0.00856  0.00853  0.50   78710     671   78374  3300784  41.94
  1947          22     0.00872  0.00868  0.50   78038     677   77700  3222410  41.29
  1947          23     0.00896  0.00892  0.50   77361     690   77016  3144710  40.65
  1947          24     0.00951  0.00947  0.50   76671     726   76308  3067694  40.01
  1947          25     0.00975  0.00970  0.50   75945     737   75577  2991386  39.39
  1947          26     0.00966  0.00961  0.50   75208     723   74847  2915810  38.77
  1947          27     0.00936  0.00931  0.50   74485     694   74138  2840963  38.14
  1947          28     0.00877  0.00873  0.50   73792     644   73469  2766825  37.50
  1947          29     0.00794  0.00790  0.50   73147     578   72858  2693355  36.82
  1947          30     0.00739  0.00736  0.50   72569     534   72302  2620497  36.11
  1947          31     0.00725  0.00722  0.50   72035     520   71775  2548195  35.37
  1947          32     0.00744  0.00742  0.50   71515     530   71250  2476421  34.63
  1947          33     0.00774  0.00771  0.50   70984     548   70711  2405171  33.88
  1947          34     0.00791  0.00788  0.50   70437     555   70160  2334460  33.14
  1947          35     0.00785  0.00782  0.50   69882     546   69609  2264301  32.40
  1947          36     0.00762  0.00759  0.50   69336     526   69073  2194692  31.65
  1947          37     0.00756  0.00753  0.50   68810     518   68551  2125619  30.89
  1947          38     0.00779  0.00776  0.50   68292     530   68027  2057068  30.12
  1947          39     0.00824  0.00821  0.50   67762     556   67484  1989041  29.35
  1947          40     0.00839  0.00836  0.50   67206     562   66925  1921557  28.59
  1947          41     0.00802  0.00799  0.50   66644     533   66378  1854632  27.83
  1947          42     0.00817  0.00814  0.50   66111     538   65842  1788255  27.05
  1947          43     0.00876  0.00872  0.50   65573     572   65287  1722412  26.27
  1947          44     0.00936  0.00932  0.50   65001     606   64699  1657125  25.49
  1947          45     0.00955  0.00951  0.50   64396     612   64090  1592426  24.73
  1947          46     0.00937  0.00932  0.50   63783     595   63486  1528337  23.96
  1947          47     0.01003  0.00998  0.50   63189     631   62874  1464850  23.18
  1947          48     0.01133  0.01126  0.50   62558     705   62206  1401977  22.41
  1947          49     0.01269  0.01261  0.50   61854     780   61464  1339771  21.66
  1947          50     0.01402  0.01392  0.50   61074     850   60648  1278307  20.93
  1947          51     0.01523  0.01512  0.50   60223     910   59768  1217659  20.22
  1947          52     0.01577  0.01564  0.50   59313     928   58849  1157891  19.52
  1947          53     0.01539  0.01527  0.50   58385     892   57939  1099042  18.82
  1947          54     0.01531  0.01520  0.50   57493     874   57056  1041102  18.11
  1947          55     0.01610  0.01597  0.50   56620     904   56167   984046  17.38
  1947          56     0.01789  0.01773  0.50   55715     988   55221   927879  16.65
  1947          57     0.02026  0.02005  0.50   54727    1097   54179   872657  15.95
  1947          58     0.02257  0.02231  0.50   53630    1197   53032   818478  15.26
  1947          59     0.02433  0.02404  0.50   52433    1260   51803   765447  14.60
  1947          60     0.02630  0.02596  0.50   51173    1328   50509   713644  13.95
  1947          61     0.02924  0.02881  0.50   49845    1436   49127   663135  13.30
  1947          62     0.03259  0.03207  0.50   48408    1552   47632   614008  12.68
  1947          63     0.03581  0.03518  0.50   46856    1648   46032   566376  12.09
  1947          64     0.03962  0.03885  0.50   45208    1757   44329   520344  11.51
  1947          65     0.04419  0.04323  0.50   43451    1879   42512   476014  10.96
  1947          66     0.04716  0.04608  0.50   41573    1916   40615   433503  10.43
  1947          67     0.04953  0.04833  0.50   39657    1917   38699   392888   9.91
  1947          68     0.05310  0.05172  0.50   37740    1952   36764   354189   9.38
  1947          69     0.05875  0.05708  0.50   35788    2043   34767   317424   8.87
  1947          70     0.06644  0.06431  0.50   33746    2170   32661   282657   8.38
  1947          71     0.07384  0.07121  0.50   31576    2248   30451   249997   7.92
  1947          72     0.08013  0.07704  0.50   29327    2259   28198   219545   7.49
  1947          73     0.08560  0.08208  0.50   27068    2222   25957   191348   7.07
  1947          74     0.09255  0.08846  0.50   24846    2198   23747   165391   6.66
  1947          75     0.10276  0.09774  0.50   22648    2214   21541   141644   6.25
  1947          76     0.11384  0.10771  0.50   20435    2201   19334   120102   5.88
  1947          77     0.12305  0.11592  0.50   18234    2114   17177   100768   5.53
  1947          78     0.12976  0.12185  0.50   16120    1964   15138    83592   5.19
  1947          79     0.14113  0.13183  0.50   14156    1866   13223    68454   4.84
  1947          80     0.16263  0.15040  0.50   12290    1848   11365    55231   4.49
  1947          81     0.18515  0.16946  0.50   10441    1769    9556    43866   4.20
  1947          82     0.20033  0.18209  0.50    8672    1579    7882    34310   3.96
