25.Shiga.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10502  0.09812  0.33  100000    9812   93429  4805129  48.05
  1947           1     0.04710  0.04602  0.50   90188    4150   88113  4711700  52.24
  1947           2     0.02808  0.02769  0.50   86038    2382   84847  4623586  53.74
  1947           3     0.01476  0.01465  0.50   83656    1226   83043  4538740  54.25
  1947           4     0.00727  0.00725  0.50   82430     597   82131  4455697  54.05
  1947           5     0.00414  0.00413  0.50   81832     338   81663  4373566  53.45
  1947           6     0.00331  0.00331  0.50   81494     269   81360  4291902  52.67
  1947           7     0.00292  0.00292  0.50   81225     237   81106  4210543  51.84
  1947           8     0.00251  0.00250  0.50   80988     203   80886  4129437  50.99
  1947           9     0.00210  0.00210  0.50   80785     170   80700  4048550  50.12
  1947          10     0.00180  0.00180  0.50   80615     145   80543  3967850  49.22
  1947          11     0.00166  0.00166  0.50   80470     134   80403  3887308  48.31
  1947          12     0.00173  0.00173  0.50   80336     139   80267  3806905  47.39
  1947          13     0.00192  0.00192  0.50   80198     154   80121  3726638  46.47
  1947          14     0.00226  0.00226  0.50   80044     181   79954  3646517  45.56
  1947          15     0.00282  0.00282  0.50   79863     225   79751  3566563  44.66
  1947          16     0.00373  0.00372  0.50   79638     296   79490  3486812  43.78
  1947          17     0.00504  0.00503  0.50   79342     399   79142  3407322  42.94
  1947          18     0.00652  0.00650  0.50   78943     513   78686  3328180  42.16
  1947          19     0.00776  0.00773  0.50   78430     606   78127  3249494  41.43
  1947          20     0.00836  0.00832  0.50   77824     648   77500  3171367  40.75
  1947          21     0.00873  0.00869  0.50   77176     671   76841  3093867  40.09
  1947          22     0.00936  0.00931  0.50   76505     713   76149  3017026  39.44
  1947          23     0.01002  0.00997  0.50   75793     756   75415  2940877  38.80
  1947          24     0.01033  0.01028  0.50   75037     771   74651  2865462  38.19
  1947          25     0.00995  0.00990  0.50   74266     735   73898  2790811  37.58
  1947          26     0.00928  0.00924  0.50   73530     679   73190  2716913  36.95
  1947          27     0.00881  0.00877  0.50   72851     639   72531  2643722  36.29
  1947          28     0.00872  0.00869  0.50   72212     627   71898  2571191  35.61
  1947          29     0.00898  0.00894  0.50   71585     640   71265  2499293  34.91
  1947          30     0.00913  0.00909  0.50   70944     645   70622  2428028  34.22
  1947          31     0.00904  0.00900  0.50   70299     633   69983  2357406  33.53
