26.Kyoto.fu, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08052  0.07605  0.27  100000    7605   94446  5088394  50.88
  1947           1     0.03365  0.03309  0.50   92395    3057   90866  4993948  54.05
  1947           2     0.02235  0.02210  0.50   89338    1975   88350  4903081  54.88
  1947           3     0.01356  0.01347  0.50   87363    1177   86775  4814731  55.11
  1947           4     0.00767  0.00764  0.50   86186     658   85857  4727956  54.86
  1947           5     0.00435  0.00434  0.50   85528     371   85342  4642100  54.28
  1947           6     0.00281  0.00280  0.50   85156     239   85037  4556758  53.51
  1947           7     0.00218  0.00218  0.50   84918     185   84825  4471721  52.66
  1947           8     0.00197  0.00197  0.50   84733     167   84649  4386895  51.77
  1947           9     0.00194  0.00194  0.50   84566     164   84484  4302246  50.87
  1947          10     0.00192  0.00192  0.50   84402     162   84321  4217762  49.97
  1947          11     0.00190  0.00190  0.50   84240     160   84160  4133441  49.07
  1947          12     0.00188  0.00188  0.50   84080     158   84001  4049281  48.16
  1947          13     0.00192  0.00192  0.50   83923     161   83842  3965279  47.25
  1947          14     0.00214  0.00213  0.50   83761     179   83672  3881437  46.34
  1947          15     0.00261  0.00261  0.50   83583     218   83474  3797765  45.44
  1947          16     0.00339  0.00339  0.50   83365     282   83224  3714292  44.55
  1947          17     0.00450  0.00449  0.50   83082     373   82896  3631068  43.70
  1947          18     0.00582  0.00580  0.50   82709     480   82470  3548172  42.90
  1947          19     0.00716  0.00714  0.50   82230     587   81936  3465702  42.15
  1947          20     0.00825  0.00821  0.50   81643     671   81307  3383766  41.45
  1947          21     0.00907  0.00903  0.50   80972     731   80607  3302459  40.79
  1947          22     0.00967  0.00963  0.50   80241     773   79855  3221852  40.15
  1947          23     0.01003  0.00998  0.50   79469     793   79072  3141997  39.54
  1947          24     0.01007  0.01002  0.50   78676     788   78281  3062925  38.93
  1947          25     0.00979  0.00974  0.50   77887     759   77508  2984644  38.32
  1947          26     0.00940  0.00936  0.50   77128     722   76767  2907136  37.69
  1947          27     0.00912  0.00908  0.50   76406     694   76060  2830369  37.04
  1947          28     0.00902  0.00898  0.50   75713     680   75373  2754309  36.38
  1947          29     0.00909  0.00904  0.50   75033     679   74694  2678936  35.70
  1947          30     0.00919  0.00915  0.50   74355     680   74014  2604242  35.02
  1947          31     0.00925  0.00921  0.50   73674     679   73335  2530228  34.34
  1947          32     0.00921  0.00917  0.50   72996     670   72661  2456893  33.66
  1947          33     0.00910  0.00906  0.50   72326     655   71999  2384232  32.97
  1947          34     0.00895  0.00891  0.50   71671     639   71352  2312234  32.26
  1947          35     0.00885  0.00881  0.50   71032     626   70719  2240882  31.55
  1947          36     0.00884  0.00880  0.50   70407     620   70097  2170163  30.82
  1947          37     0.00888  0.00884  0.50   69787     617   69479  2100066  30.09
  1947          38     0.00894  0.00890  0.50   69170     616   68862  2030588  29.36
  1947          39     0.00904  0.00900  0.50   68554     617   68246  1961725  28.62
  1947          40     0.00921  0.00917  0.50   67937     623   67626  1893480  27.87
  1947          41     0.00948  0.00943  0.50   67314     635   66997  1825854  27.12
  1947          42     0.00983  0.00978  0.50   66679     652   66353  1758857  26.38
