27.Osaka.fu, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08582  0.08085  0.28  100000    8085   94210  5109793  51.10
  1947           1     0.03119  0.03071  0.50   91915    2823   90503  5015583  54.57
  1947           2     0.02180  0.02157  0.50   89092    1921   88131  4925080  55.28
  1947           3     0.01409  0.01399  0.50   87171    1219   86561  4836948  55.49
  1947           4     0.00849  0.00846  0.50   85951     727   85588  4750388  55.27
  1947           5     0.00502  0.00501  0.50   85224     427   85011  4664800  54.74
  1947           6     0.00314  0.00314  0.50   84797     266   84664  4579789  54.01
  1947           7     0.00224  0.00224  0.50   84531     189   84437  4495124  53.18
  1947           8     0.00187  0.00187  0.50   84342     158   84264  4410688  52.30
  1947           9     0.00176  0.00176  0.50   84185     148   84111  4326424  51.39
  1947          10     0.00171  0.00171  0.50   84037     143   83965  4242313  50.48
  1947          11     0.00170  0.00169  0.50   83893     142   83822  4158348  49.57
  1947          12     0.00175  0.00175  0.50   83751     146   83678  4074526  48.65
  1947          13     0.00193  0.00192  0.50   83605     161   83525  3990847  47.73
  1947          14     0.00229  0.00228  0.50   83444     191   83349  3907323  46.83
  1947          15     0.00288  0.00288  0.50   83254     240   83134  3823974  45.93
  1947          16     0.00372  0.00371  0.50   83014     308   82860  3740840  45.06
  1947          17     0.00476  0.00475  0.50   82706     393   82510  3657980  44.23
  1947          18     0.00588  0.00586  0.50   82313     482   82072  3575470  43.44
  1947          19     0.00689  0.00686  0.50   81831     562   81550  3493398  42.69
  1947          20     0.00766  0.00763  0.50   81269     620   80959  3411848  41.98
  1947          21     0.00816  0.00813  0.50   80649     656   80321  3330889  41.30
  1947          22     0.00841  0.00837  0.50   79993     670   79658  3250567  40.64
  1947          23     0.00844  0.00841  0.50   79324     667   78990  3170909  39.97
  1947          24     0.00832  0.00828  0.50   78657     651   78331  3091919  39.31
  1947          25     0.00809  0.00805  0.50   78005     628   77691  3013588  38.63
  1947          26     0.00782  0.00779  0.50   77377     603   77075  2935897  37.94
  1947          27     0.00759  0.00756  0.50   76774     581   76484  2858821  37.24
  1947          28     0.00742  0.00739  0.50   76193     563   75912  2782337  36.52
  1947          29     0.00732  0.00729  0.50   75630     552   75354  2706426  35.78
  1947          30     0.00727  0.00725  0.50   75079     544   74806  2631071  35.04
  1947          31     0.00727  0.00724  0.50   74534     540   74265  2556265  34.30
  1947          32     0.00730  0.00727  0.50   73995     538   73726  2482000  33.54
  1947          33     0.00739  0.00736  0.50   73457     541   73187  2408274  32.78
  1947          34     0.00755  0.00752  0.50   72916     548   72642  2335088  32.02
  1947          35     0.00775  0.00772  0.50   72368     559   72089  2262446  31.26
  1947          36     0.00798  0.00795  0.50   71809     571   71524  2190357  30.50
  1947          37     0.00825  0.00821  0.50   71238     585   70946  2118834  29.74
  1947          38     0.00858  0.00854  0.50   70653     603   70351  2047888  28.99
  1947          39     0.00897  0.00893  0.50   70050     625   69737  1977537  28.23
  1947          40     0.00938  0.00934  0.50   69424     648   69100  1907800  27.48
  1947          41     0.00976  0.00971  0.50   68776     668   68442  1838700  26.73
  1947          42     0.01007  0.01002  0.50   68108     682   67767  1770258  25.99
  1947          43     0.01035  0.01029  0.50   67426     694   67079  1702491  25.25
  1947          44     0.01066  0.01060  0.50   66732     707   66378  1635412  24.51
  1947          45     0.01107  0.01101  0.50   66024     727   65661  1569034  23.76
  1947          46     0.01166  0.01159  0.50   65297     757   64919  1503373  23.02
  1947          47     0.01236  0.01228  0.50   64541     793   64144  1438454  22.29
  1947          48     0.01319  0.01310  0.50   63748     835   63330  1374310  21.56
  1947          49     0.01416  0.01406  0.50   62912     884   62470  1310980  20.84
  1947          50     0.01519  0.01507  0.50   62028     935   61561  1248510  20.13
  1947          51     0.01620  0.01607  0.50   61093     982   60602  1186949  19.43
  1947          52     0.01708  0.01693  0.50   60112    1018   59603  1126347  18.74
  1947          53     0.01781  0.01765  0.50   59094    1043   58572  1066744  18.05
  1947          54     0.01866  0.01849  0.50   58051    1073   57514  1008172  17.37
  1947          55     0.01991  0.01972  0.50   56977    1123   56416   950658  16.68
  1947          56     0.02173  0.02150  0.50   55854    1201   55254   894242  16.01
  1947          57     0.02399  0.02371  0.50   54653    1296   54005   838989  15.35
  1947          58     0.02653  0.02618  0.50   53357    1397   52659   784983  14.71
  1947          59     0.02929  0.02887  0.50   51960    1500   51210   732325  14.09
  1947          60     0.03205  0.03154  0.50   50460    1592   49664   681114  13.50
  1947          61     0.03463  0.03404  0.50   48869    1664   48037   631450  12.92
  1947          62     0.03722  0.03654  0.50   47205    1725   46343   583413  12.36
  1947          63     0.04004  0.03925  0.50   45480    1785   44588   537071  11.81
  1947          64     0.04320  0.04229  0.50   43695    1848   42771   492483  11.27
  1947          65     0.04668  0.04562  0.50   41847    1909   40893   449712  10.75
