28.Hyogo.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08412  0.07931  0.28  100000    7931   94289  5156220  51.56
  1947           1     0.03391  0.03334  0.50   92069    3070   90534  5061931  54.98
  1947           2     0.02159  0.02136  0.50   88999    1901   88049  4971397  55.86
  1947           3     0.01265  0.01257  0.50   87098    1095   86551  4883349  56.07
  1947           4     0.00720  0.00717  0.50   86003     617   85695  4796798  55.77
  1947           5     0.00442  0.00441  0.50   85386     376   85198  4711103  55.17
  1947           6     0.00325  0.00325  0.50   85010     276   84872  4625905  54.42
  1947           7     0.00273  0.00273  0.50   84734     231   84618  4541033  53.59
  1947           8     0.00244  0.00244  0.50   84503     206   84400  4456415  52.74
  1947           9     0.00222  0.00222  0.50   84297     187   84203  4372015  51.86
  1947          10     0.00200  0.00199  0.50   84109     168   84026  4287812  50.98
  1947          11     0.00184  0.00184  0.50   83942     154   83865  4203786  50.08
  1947          12     0.00186  0.00185  0.50   83787     155   83710  4119922  49.17
  1947          13     0.00207  0.00206  0.50   83632     173   83546  4036212  48.26
  1947          14     0.00247  0.00247  0.50   83459     206   83356  3952666  47.36
  1947          15     0.00308  0.00307  0.50   83253     256   83125  3869310  46.48
  1947          16     0.00388  0.00388  0.50   82998     322   82837  3786185  45.62
  1947          17     0.00489  0.00488  0.50   82676     403   82474  3703348  44.79
  1947          18     0.00602  0.00601  0.50   82272     494   82025  3620874  44.01
  1947          19     0.00716  0.00713  0.50   81778     583   81487  3538848  43.27
  1947          20     0.00802  0.00799  0.50   81195     649   80871  3457362  42.58
  1947          21     0.00855  0.00851  0.50   80546     686   80204  3376491  41.92
  1947          22     0.00874  0.00871  0.50   79861     695   79513  3296287  41.28
  1947          23     0.00873  0.00869  0.50   79166     688   78822  3216774  40.63
  1947          24     0.00861  0.00858  0.50   78477     673   78141  3137953  39.99
  1947          25     0.00839  0.00835  0.50   77804     650   77479  3059812  39.33
  1947          26     0.00808  0.00805  0.50   77155     621   76844  2982332  38.65
  1947          27     0.00778  0.00775  0.50   76533     593   76237  2905488  37.96
  1947          28     0.00760  0.00757  0.50   75940     575   75653  2829251  37.26
  1947          29     0.00764  0.00761  0.50   75365     574   75078  2753599  36.54
  1947          30     0.00775  0.00772  0.50   74791     578   74503  2678520  35.81
  1947          31     0.00781  0.00778  0.50   74214     577   73925  2604018  35.09
  1947          32     0.00773  0.00770  0.50   73637     567   73353  2530092  34.36
  1947          33     0.00759  0.00756  0.50   73070     552   72794  2456739  33.62
  1947          34     0.00749  0.00746  0.50   72517     541   72247  2383945  32.87
  1947          35     0.00745  0.00742  0.50   71976     534   71709  2311699  32.12
  1947          36     0.00749  0.00746  0.50   71442     533   71175  2239989  31.35
  1947          37     0.00766  0.00763  0.50   70909     541   70638  2168814  30.59
  1947          38     0.00796  0.00793  0.50   70368     558   70089  2098176  29.82
  1947          39     0.00836  0.00833  0.50   69810     581   69519  2028087  29.05
  1947          40     0.00881  0.00877  0.50   69228     607   68925  1958568  28.29
  1947          41     0.00922  0.00917  0.50   68621     630   68307  1889643  27.54
  1947          42     0.00950  0.00946  0.50   67992     643   67670  1821336  26.79
  1947          43     0.00968  0.00963  0.50   67349     649   67024  1753666  26.04
  1947          44     0.00981  0.00976  0.50   66700     651   66374  1686641  25.29
  1947          45     0.00998  0.00993  0.50   66049     656   65721  1620267  24.53
  1947          46     0.01031  0.01025  0.50   65393     671   65058  1554546  23.77
  1947          47     0.01085  0.01079  0.50   64722     699   64373  1489488  23.01
  1947          48     0.01161  0.01154  0.50   64024     739   63654  1425115  22.26
  1947          49     0.01254  0.01246  0.50   63285     788   62891  1361461  21.51
  1947          50     0.01360  0.01351  0.50   62496     844   62074  1298570  20.78
  1947          51     0.01473  0.01463  0.50   61652     902   61201  1236496  20.06
  1947          52     0.01584  0.01572  0.50   60751     955   60273  1175294  19.35
  1947          53     0.01685  0.01671  0.50   59796     999   59296  1115021  18.65
  1947          54     0.01788  0.01772  0.50   58797    1042   58276  1055725  17.96
  1947          55     0.01899  0.01881  0.50   57755    1086   57211   997449  17.27
  1947          56     0.02026  0.02006  0.50   56668    1137   56100   940238  16.59
  1947          57     0.02193  0.02170  0.50   55531    1205   54929   884138  15.92
  1947          58     0.02415  0.02386  0.50   54327    1296   53679   829209  15.26
  1947          59     0.02659  0.02624  0.50   53030    1391   52335   775531  14.62
  1947          60     0.02892  0.02851  0.50   51639    1472   50903   723196  14.00
  1947          61     0.03096  0.03049  0.50   50167    1530   49402   672293  13.40
  1947          62     0.03291  0.03238  0.50   48637    1575   47850   622891  12.81
  1947          63     0.03509  0.03448  0.50   47062    1623   46251   575041  12.22
  1947          64     0.03789  0.03719  0.50   45439    1690   44595   528790  11.64
  1947          65     0.04166  0.04081  0.50   43750    1785   42857   484196  11.07
  1947          66     0.04630  0.04525  0.50   41964    1899   41015   441339  10.52
  1947          67     0.05134  0.05006  0.50   40066    2006   39063   400324   9.99
  1947          68     0.05633  0.05479  0.50   38060    2085   37017   361261   9.49
  1947          69     0.06116  0.05934  0.50   35975    2135   34907   324244   9.01
  1947          70     0.06597  0.06386  0.50   33840    2161   32759   289336   8.55
  1947          71     0.07142  0.06895  0.50   31679    2184   30587   256577   8.10
  1947          72     0.07755  0.07465  0.50   29495    2202   28394   225990   7.66
  1947          73     0.08420  0.08080  0.50   27293    2205   26190   197596   7.24
  1947          74     0.09126  0.08728  0.50   25087    2190   23993   171406   6.83
  1947          75     0.09881  0.09415  0.50   22898    2156   21820   147414   6.44
  1947          76     0.10766  0.10216  0.50   20742    2119   19682   125594   6.06
  1947          77     0.11853  0.11190  0.50   18623    2084   17581   105911   5.69
  1947          78     0.13168  0.12354  0.50   16539    2043   15517    88330   5.34
  1947          79     0.14583  0.13592  0.50   14496    1970   13511    72813   5.02
  1947          80     0.15979  0.14797  0.50   12526    1853   11599    59302   4.73
  1947          81     0.17424  0.16028  0.50   10672    1711    9817    47703   4.47
  1947          82     0.18981  0.17336  0.50    8962    1554    8185    37887   4.23
  1947          83     0.20538  0.18625  0.50    7408    1380    6718    29702   4.01
  1947          84     0.22022  0.19838  0.50    6028    1196    5430    22984   3.81
  1947          85     0.23407  0.20955  0.50    4832    1013    4326    17553   3.63
  1947          86     0.24754  0.22027  0.50    3820     841    3399    13227   3.46
  1947          87     0.26138  0.23117  0.50    2978     689    2634     9828   3.30
  1947          88     0.27613  0.24263  0.50    2290     556    2012     7194   3.14
  1947          89     0.29197  0.25478  0.50    1734     442    1513     5182   2.99
  1947          90     0.30906  0.26769  0.50    1292     346    1119     3669   2.84
  1947          91     0.32747  0.28140  0.50     946     266     813     2549   2.69
  1947          92     0.34732  0.29593  0.50     680     201     579     1736   2.55
  1947          93     0.36883  0.31140  0.50     479     149     404     1157   2.42
  1947          94     0.39232  0.32798  0.50     330     108     276      752   2.28
  1947          95     0.41819  0.34587  0.50     222      77     183      477   2.15
  1947          96     0.44697  0.36533  0.50     145      53     118      293   2.02
  1947          97     0.47913  0.38653  0.50      92      36      74      175   1.90
  1947          98     0.51475  0.40938  0.50      56      23      45      101   1.79
  1947          99     0.55368  0.43363  0.50      33      14      26       56   1.68
  1947         100     0.59499  0.45857  0.50      19       9      15       30   1.58
  1947         101     0.63690  0.48307  0.50      10       5       8       15   1.49
  1947         102     0.67749  0.50607  0.50       5       3       4        7   1.42
  1947         103     0.71507  0.52674  0.50       3       1       2        4   1.35
  1947         104     0.74820  0.54450  0.50       1       1       1        2   1.30
  1947         105     0.77653  0.55935  0.50       1       0       0        1   1.26
  1947         106     0.80050  0.57168  0.50       0       0       0        0   1.23
  1947         107     0.82075  0.58194  0.50       0       0       0        0   1.20
  1947         108     0.83822  0.59066  0.50       0       0       0        0   1.18
  1947         109     0.85390  0.59841  0.50       0       0       0        0   1.16
  1947         110+    0.87526  1.00000  1.14       0       0       0        0   1.14
  1948           0     0.05721  0.05473  0.21  100000    5473   95667  5804159  58.04
  1948           1     0.01445  0.01435  0.50   94527    1356   93849  5708491  60.39
  1948           2     0.01106  0.01100  0.50   93171    1024   92658  5614643  60.26
  1948           3     0.00806  0.00802  0.50   92146     739   91777  5521984  59.93
  1948           4     0.00564  0.00562  0.50   91407     514   91150  5430208  59.41
  1948           5     0.00388  0.00388  0.50   90893     352   90717  5339058  58.74
  1948           6     0.00271  0.00271  0.50   90541     245   90418  5248341  57.97
  1948           7     0.00198  0.00198  0.50   90296     179   90206  5157922  57.12
  1948           8     0.00156  0.00156  0.50   90117     140   90047  5067716  56.23
  1948           9     0.00134  0.00134  0.50   89977     121   89916  4977669  55.32
  1948          10     0.00127  0.00127  0.50   89856     114   89799  4887752  54.40
  1948          11     0.00129  0.00129  0.50   89742     116   89684  4797953  53.46
  1948          12     0.00140  0.00140  0.50   89626     126   89563  4708269  52.53
  1948          13     0.00162  0.00162  0.50   89500     145   89428  4618706  51.61
  1948          14     0.00198  0.00197  0.50   89355     176   89267  4529279  50.69
  1948          15     0.00247  0.00247  0.50   89179     220   89069  4440012  49.79
  1948          16     0.00308  0.00307  0.50   88959     273   88822  4350943  48.91
  1948          17     0.00378  0.00377  0.50   88685     334   88518  4262121  48.06
  1948          18     0.00452  0.00451  0.50   88351     398   88152  4173602  47.24
  1948          19     0.00524  0.00523  0.50   87953     460   87723  4085450  46.45
  1948          20     0.00588  0.00586  0.50   87493     513   87236  3997727  45.69
  1948          21     0.00639  0.00637  0.50   86980     554   86703  3910491  44.96
  1948          22     0.00674  0.00672  0.50   86426     580   86136  3823788  44.24
  1948          23     0.00694  0.00691  0.50   85845     593   85549  3737652  43.54
  1948          24     0.00700  0.00697  0.50   85252     594   84955  3652104  42.84
  1948          25     0.00694  0.00692  0.50   84658     586   84365  3567149  42.14
  1948          26     0.00681  0.00679  0.50   84072     570   83787  3482784  41.43
  1948          27     0.00664  0.00662  0.50   83502     553   83225  3398997  40.71
  1948          28     0.00649  0.00646  0.50   82949     536   82681  3315772  39.97
  1948          29     0.00638  0.00635  0.50   82413     524   82151  3233091  39.23
  1948          30     0.00631  0.00629  0.50   81889     515   81631  3150940  38.48
  1948          31     0.00625  0.00623  0.50   81374     507   81120  3069309  37.72
  1948          32     0.00618  0.00616  0.50   80867     498   80617  2988189  36.95
  1948          33     0.00609  0.00608  0.50   80368     488   80124  2907571  36.18
  1948          34     0.00602  0.00600  0.50   79880     480   79640  2827447  35.40
