29.Nara.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11757  0.10909  0.34  100000   10909   92787  4868026  48.68
  1947           1     0.03449  0.03390  0.50   89091    3020   87580  4775238  53.60
  1947           2     0.02024  0.02004  0.50   86070    1725   85208  4687658  54.46
  1947           3     0.01099  0.01093  0.50   84346     922   83885  4602450  54.57
  1947           4     0.00625  0.00623  0.50   83424     520   83164  4518565  54.16
  1947           5     0.00431  0.00430  0.50   82904     356   82726  4435401  53.50
  1947           6     0.00383  0.00383  0.50   82548     316   82390  4352675  52.73
  1947           7     0.00369  0.00368  0.50   82232     303   82081  4270285  51.93
  1947           8     0.00318  0.00318  0.50   81929     260   81799  4188205  51.12
  1947           9     0.00254  0.00253  0.50   81669     207   81566  4106406  50.28
  1947          10     0.00209  0.00209  0.50   81462     170   81377  4024840  49.41
  1947          11     0.00191  0.00191  0.50   81292     155   81214  3943463  48.51
  1947          12     0.00191  0.00191  0.50   81137     155   81059  3862249  47.60
  1947          13     0.00189  0.00189  0.50   80981     153   80905  3781190  46.69
  1947          14     0.00204  0.00204  0.50   80829     165   80746  3700285  45.78
  1947          15     0.00264  0.00263  0.50   80664     212   80558  3619539  44.87
  1947          16     0.00381  0.00380  0.50   80451     306   80299  3538981  43.99
  1947          17     0.00548  0.00547  0.50   80146     438   79927  3458683  43.15
  1947          18     0.00697  0.00694  0.50   79708     553   79431  3378756  42.39
  1947          19     0.00768  0.00765  0.50   79154     606   78851  3299325  41.68
  1947          20     0.00805  0.00802  0.50   78549     630   78234  3220473  41.00
  1947          21     0.00848  0.00845  0.50   77919     658   77590  3142240  40.33
  1947          22     0.00916  0.00912  0.50   77261     704   76909  3064650  39.67
  1947          23     0.00962  0.00957  0.50   76556     733   76190  2987741  39.03
  1947          24     0.00945  0.00940  0.50   75824     713   75467  2911551  38.40
  1947          25     0.00906  0.00901  0.50   75111     677   74772  2836084  37.76
  1947          26     0.00900  0.00896  0.50   74434     667   74100  2761312  37.10
  1947          27     0.00954  0.00950  0.50   73767     701   73417  2687211  36.43
  1947          28     0.00987  0.00982  0.50   73066     718   72708  2613795  35.77
  1947          29     0.00928  0.00924  0.50   72349     668   72015  2541087  35.12
  1947          30     0.00854  0.00850  0.50   71681     609   71376  2469072  34.45
  1947          31     0.00817  0.00814  0.50   71071     578   70782  2397697  33.74
  1947          32     0.00839  0.00836  0.50   70493     589   70198  2326914  33.01
  1947          33     0.00884  0.00880  0.50   69904     615   69596  2256716  32.28
  1947          34     0.00910  0.00906  0.50   69289     628   68975  2187120  31.57
  1947          35     0.00923  0.00919  0.50   68661     631   68346  2118145  30.85
  1947          36     0.00925  0.00921  0.50   68030     627   67717  2049799  30.13
  1947          37     0.00885  0.00881  0.50   67403     594   67107  1982082  29.41
  1947          38     0.00857  0.00853  0.50   66810     570   66525  1914976  28.66
  1947          39     0.00900  0.00896  0.50   66240     593   65943  1848451  27.91
  1947          40     0.00974  0.00969  0.50   65646     636   65328  1782508  27.15
  1947          41     0.01029  0.01024  0.50   65010     665   64677  1717180  26.41
  1947          42     0.01062  0.01056  0.50   64345     680   64005  1652502  25.68
  1947          43     0.01089  0.01083  0.50   63665     689   63320  1588498  24.95
  1947          44     0.01127  0.01120  0.50   62976     706   62623  1525177  24.22
  1947          45     0.01185  0.01178  0.50   62270     733   61903  1462554  23.49
  1947          46     0.01266  0.01258  0.50   61537     774   61150  1400651  22.76
  1947          47     0.01359  0.01350  0.50   60762     820   60352  1339501  22.04
  1947          48     0.01445  0.01435  0.50   59942     860   59512  1279149  21.34
  1947          49     0.01513  0.01501  0.50   59082     887   58639  1219637  20.64
  1947          50     0.01560  0.01548  0.50   58195     901   57745  1160998  19.95
  1947          51     0.01598  0.01586  0.50   57294     908   56840  1103254  19.26
  1947          52     0.01669  0.01655  0.50   56386     933   55919  1046414  18.56
  1947          53     0.01797  0.01781  0.50   55453     988   54959   990495  17.86
  1947          54     0.01928  0.01910  0.50   54465    1040   53945   935536  17.18
  1947          55     0.02056  0.02035  0.50   53425    1087   52881   881591  16.50
  1947          56     0.02198  0.02174  0.50   52338    1138   51769   828710  15.83
  1947          57     0.02411  0.02382  0.50   51200    1220   50590   776941  15.17
  1947          58     0.02718  0.02681  0.50   49980    1340   49310   726351  14.53
  1947          59     0.03003  0.02959  0.50   48640    1439   47920   677041  13.92
  1947          60     0.03229  0.03178  0.50   47201    1500   46451   629120  13.33
  1947          61     0.03416  0.03358  0.50   45701    1535   44934   582669  12.75
  1947          62     0.03697  0.03629  0.50   44166    1603   43365   537736  12.18
  1947          63     0.04167  0.04082  0.50   42563    1737   41694   494371  11.62
  1947          64     0.04655  0.04549  0.50   40826    1857   39897   452677  11.09
  1947          65     0.04999  0.04878  0.50   38969    1901   38018   412779  10.59
  1947          66     0.05300  0.05163  0.50   37068    1914   36111   374761  10.11
  1947          67     0.05531  0.05382  0.50   35154    1892   34208   338650   9.63
  1947          68     0.05699  0.05541  0.50   33262    1843   32340   304442   9.15
  1947          69     0.06143  0.05960  0.50   31419    1873   30482   272102   8.66
  1947          70     0.07094  0.06851  0.50   29546    2024   28534   241619   8.18
  1947          71     0.08089  0.07775  0.50   27522    2140   26452   213085   7.74
  1947          72     0.08763  0.08396  0.50   25382    2131   24317   186633   7.35
  1947          73     0.08983  0.08597  0.50   23251    1999   22252   162317   6.98
  1947          74     0.09246  0.08837  0.50   21252    1878   20313   140065   6.59
  1947          75     0.09996  0.09520  0.50   19374    1844   18452   119752   6.18
  1947          76     0.10979  0.10407  0.50   17530    1824   16618   101300   5.78
  1947          77     0.12283  0.11572  0.50   15705    1817   14797    84682   5.39
  1947          78     0.14028  0.13109  0.50   13888    1820   12978    69886   5.03
  1947          79     0.15904  0.14732  0.50   12067    1778   11179    56908   4.72
  1947          80     0.17568  0.16149  0.50   10290    1662    9459    45729   4.44
  1947          81     0.18978  0.17333  0.50    8628    1495    7880    36270   4.20
  1947          82     0.20231  0.18373  0.50    7132    1310    6477    28390   3.98
  1947          83     0.21607  0.19500  0.50    5822    1135    5254    21913   3.76
  1947          84     0.23158  0.20755  0.50    4687     973    4200    16659   3.55
  1947          85     0.24862  0.22113  0.50    3714     821    3303    12458   3.35
