03.Iwate.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11352  0.10560  0.34  100000   10560   93023  4979818  49.80
  1947           1     0.03756  0.03687  0.50   89440    3297   87791  4886796  54.64
  1947           2     0.02268  0.02243  0.50   86143    1932   85177  4799004  55.71
  1947           3     0.01237  0.01229  0.50   84210    1035   83693  4713828  55.98
  1947           4     0.00661  0.00658  0.50   83175     548   82901  4630135  55.67
  1947           5     0.00410  0.00409  0.50   82628     338   82458  4547233  55.03
  1947           6     0.00329  0.00328  0.50   82289     270   82154  4464775  54.26
  1947           7     0.00282  0.00281  0.50   82019     231   81904  4382621  53.43
  1947           8     0.00253  0.00252  0.50   81789     206   81685  4300717  52.58
  1947           9     0.00232  0.00231  0.50   81582     189   81488  4219031  51.72
  1947          10     0.00209  0.00209  0.50   81394     170   81309  4137543  50.83
  1947          11     0.00204  0.00204  0.50   81223     165   81141  4056235  49.94
  1947          12     0.00225  0.00225  0.50   81058     183   80967  3975094  49.04
  1947          13     0.00244  0.00244  0.50   80875     197   80777  3894127  48.15
  1947          14     0.00264  0.00263  0.50   80678     212   80572  3813351  47.27
  1947          15     0.00298  0.00298  0.50   80466     239   80346  3732779  46.39
  1947          16     0.00356  0.00355  0.50   80226     285   80084  3652433  45.53
  1947          17     0.00441  0.00440  0.50   79941     352   79765  3572349  44.69
  1947          18     0.00542  0.00541  0.50   79589     430   79374  3492584  43.88
  1947          19     0.00644  0.00642  0.50   79159     509   78905  3413209  43.12
  1947          20     0.00739  0.00736  0.50   78651     579   78361  3334304  42.39
  1947          21     0.00820  0.00817  0.50   78072     638   77753  3255943  41.70
  1947          22     0.00884  0.00880  0.50   77434     682   77093  3178191  41.04
  1947          23     0.00921  0.00916  0.50   76752     703   76400  3101098  40.40
  1947          24     0.00919  0.00915  0.50   76049     696   75701  3024697  39.77
  1947          25     0.00874  0.00870  0.50   75353     656   75025  2948997  39.14
  1947          26     0.00821  0.00818  0.50   74697     611   74392  2873971  38.47
  1947          27     0.00795  0.00792  0.50   74086     587   73793  2799580  37.79
  1947          28     0.00794  0.00790  0.50   73500     581   73209  2725787  37.09
  1947          29     0.00800  0.00797  0.50   72919     581   72628  2652578  36.38
  1947          30     0.00788  0.00785  0.50   72338     568   72054  2579949  35.67
  1947          31     0.00761  0.00759  0.50   71770     544   71498  2507895  34.94
  1947          32     0.00736  0.00733  0.50   71226     522   70964  2436398  34.21
  1947          33     0.00737  0.00734  0.50   70703     519   70444  2365433  33.46
  1947          34     0.00778  0.00775  0.50   70184     544   69912  2294989  32.70
  1947          35     0.00806  0.00802  0.50   69641     559   69361  2225077  31.95
  1947          36     0.00781  0.00778  0.50   69082     537   68813  2155716  31.21
  1947          37     0.00757  0.00754  0.50   68544     517   68286  2086903  30.45
  1947          38     0.00745  0.00742  0.50   68028     505   67775  2018617  29.67
  1947          39     0.00743  0.00740  0.50   67523     500   67273  1950841  28.89
  1947          40     0.00754  0.00751  0.50   67023     503   66772  1883568  28.10
  1947          41     0.00778  0.00775  0.50   66520     515   66262  1816797  27.31
  1947          42     0.00802  0.00799  0.50   66005     527   65741  1750534  26.52
  1947          43     0.00838  0.00834  0.50   65477     546   65204  1684793  25.73
  1947          44     0.00896  0.00892  0.50   64931     579   64641  1619589  24.94
  1947          45     0.00962  0.00958  0.50   64352     616   64044  1554948  24.16
  1947          46     0.01020  0.01014  0.50   63736     647   63412  1490904  23.39
  1947          47     0.01068  0.01062  0.50   63089     670   62754  1427492  22.63
  1947          48     0.01129  0.01123  0.50   62419     701   62069  1364738  21.86
  1947          49     0.01225  0.01218  0.50   61718     751   61342  1302669  21.11
  1947          50     0.01354  0.01344  0.50   60967     820   60557  1241327  20.36
  1947          51     0.01502  0.01491  0.50   60147     897   59699  1180770  19.63
  1947          52     0.01638  0.01625  0.50   59250     963   58769  1121072  18.92
  1947          53     0.01737  0.01722  0.50   58288    1004   57786  1062303  18.23
  1947          54     0.01832  0.01815  0.50   57284    1040   56764  1004517  17.54
  1947          55     0.01955  0.01936  0.50   56244    1089   55699   947754  16.85
  1947          56     0.02130  0.02107  0.50   55155    1162   54574   892054  16.17
  1947          57     0.02369  0.02342  0.50   53993    1264   53361   837480  15.51
  1947          58     0.02639  0.02604  0.50   52728    1373   52042   784120  14.87
  1947          59     0.02795  0.02757  0.50   51355    1416   50647   732078  14.26
  1947          60     0.02914  0.02872  0.50   49939    1434   49222   681431  13.65
  1947          61     0.03110  0.03063  0.50   48505    1486   47762   632208  13.03
  1947          62     0.03397  0.03341  0.50   47019    1571   46234   584446  12.43
  1947          63     0.03761  0.03692  0.50   45449    1678   44610   538212  11.84
  1947          64     0.04172  0.04087  0.50   43771    1789   42877   493602  11.28
  1947          65     0.04602  0.04498  0.50   41982    1888   41038   450726  10.74
  1947          66     0.05029  0.04906  0.50   40094    1967   39110   409688  10.22
  1947          67     0.05386  0.05245  0.50   38127    2000   37127   370578   9.72
  1947          68     0.05651  0.05496  0.50   36127    1985   35134   333451   9.23
  1947          69     0.06051  0.05873  0.50   34141    2005   33139   298317   8.74
  1947          70     0.06770  0.06549  0.50   32136    2105   31084   265178   8.25
  1947          71     0.07639  0.07358  0.50   30032    2210   28927   234094   7.79
