30.Wakayama.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08995  0.08459  0.30  100000    8459   94039  5267262  52.67
  1947           1     0.02059  0.02038  0.50   91541    1865   90609  5173224  56.51
  1947           2     0.01592  0.01579  0.50   89676    1416   88968  5082615  56.68
  1947           3     0.01171  0.01164  0.50   88260    1028   87746  4993647  56.58
  1947           4     0.00823  0.00819  0.50   87232     715   86875  4905901  56.24
  1947           5     0.00560  0.00559  0.50   86517     484   86275  4819027  55.70
  1947           6     0.00377  0.00376  0.50   86034     324   85872  4732751  55.01
  1947           7     0.00258  0.00258  0.50   85710     221   85599  4646880  54.22
  1947           8     0.00188  0.00188  0.50   85489     160   85409  4561280  53.36
  1947           9     0.00152  0.00152  0.50   85329     130   85264  4475871  52.45
  1947          10     0.00139  0.00139  0.50   85199     119   85140  4390608  51.53
  1947          11     0.00144  0.00144  0.50   85080     123   85019  4305468  50.60
  1947          12     0.00163  0.00163  0.50   84957     139   84888  4220449  49.68
  1947          13     0.00198  0.00198  0.50   84819     168   84735  4135561  48.76
  1947          14     0.00249  0.00249  0.50   84651     210   84546  4050826  47.85
  1947          15     0.00317  0.00316  0.50   84441     267   84307  3966281  46.97
  1947          16     0.00398  0.00397  0.50   84173     334   84006  3881973  46.12
  1947          17     0.00487  0.00485  0.50   83839     407   83636  3797967  45.30
  1947          18     0.00574  0.00573  0.50   83432     478   83193  3714332  44.52
  1947          19     0.00653  0.00650  0.50   82954     540   82685  3631139  43.77
  1947          20     0.00717  0.00714  0.50   82415     589   82120  3548454  43.06
  1947          21     0.00766  0.00763  0.50   81826     625   81514  3466334  42.36
  1947          22     0.00802  0.00799  0.50   81202     648   80877  3384820  41.68
  1947          23     0.00824  0.00821  0.50   80553     661   80223  3303942  41.02
  1947          24     0.00833  0.00830  0.50   79892     663   79561  3223719  40.35
  1947          25     0.00831  0.00827  0.50   79229     655   78902  3144159  39.68
  1947          26     0.00822  0.00819  0.50   78574     643   78252  3065257  39.01
  1947          27     0.00813  0.00810  0.50   77931     631   77615  2987004  38.33
  1947          28     0.00805  0.00802  0.50   77300     620   76990  2909389  37.64
  1947          29     0.00798  0.00795  0.50   76680     610   76375  2832399  36.94
  1947          30     0.00787  0.00784  0.50   76070     596   75772  2756025  36.23
  1947          31     0.00774  0.00771  0.50   75473     582   75182  2680253  35.51
  1947          32     0.00763  0.00760  0.50   74891     570   74607  2605070  34.78
  1947          33     0.00759  0.00756  0.50   74322     562   74041  2530464  34.05
  1947          34     0.00763  0.00760  0.50   73760     561   73480  2456423  33.30
  1947          35     0.00774  0.00771  0.50   73200     565   72917  2382943  32.55
  1947          36     0.00790  0.00787  0.50   72635     572   72349  2310026  31.80
  1947          37     0.00808  0.00805  0.50   72063     580   71773  2237677  31.05
  1947          38     0.00826  0.00823  0.50   71483     588   71189  2165904  30.30
  1947          39     0.00840  0.00837  0.50   70895     593   70598  2094715  29.55
  1947          40     0.00851  0.00848  0.50   70302     596   70004  2024117  28.79
  1947          41     0.00862  0.00859  0.50   69706     599   69406  1954113  28.03
  1947          42     0.00881  0.00877  0.50   69107     606   68804  1884707  27.27
  1947          43     0.00911  0.00907  0.50   68501     621   68191  1815902  26.51
  1947          44     0.00953  0.00949  0.50   67880     644   67558  1747712  25.75
  1947          45     0.01004  0.00999  0.50   67236     671   66901  1680154  24.99
  1947          46     0.01057  0.01051  0.50   66565     700   66215  1613253  24.24
  1947          47     0.01112  0.01106  0.50   65865     729   65501  1547038  23.49
  1947          48     0.01173  0.01166  0.50   65137     759   64757  1481537  22.75
  1947          49     0.01240  0.01232  0.50   64377     793   63981  1416780  22.01
  1947          50     0.01312  0.01303  0.50   63584     829   63170  1352800  21.28
  1947          51     0.01388  0.01378  0.50   62755     865   62323  1289630  20.55
  1947          52     0.01467  0.01456  0.50   61890     901   61440  1227307  19.83
  1947          53     0.01548  0.01536  0.50   60989     937   60521  1165867  19.12
  1947          54     0.01630  0.01617  0.50   60052     971   59567  1105346  18.41
  1947          55     0.01716  0.01701  0.50   59081    1005   58579  1045780  17.70
  1947          56     0.01813  0.01797  0.50   58076    1043   57555   987201  17.00
  1947          57     0.01939  0.01920  0.50   57033    1095   56485   929646  16.30
  1947          58     0.02109  0.02087  0.50   55938    1168   55354   873161  15.61
  1947          59     0.02326  0.02300  0.50   54770    1259   54140   817807  14.93
  1947          60     0.02581  0.02548  0.50   53511    1363   52829   763666  14.27
  1947          61     0.02863  0.02823  0.50   52147    1472   51411   710837  13.63
  1947          62     0.03166  0.03117  0.50   50675    1579   49886   659426  13.01
  1947          63     0.03485  0.03425  0.50   49096    1682   48255   609540  12.42
  1947          64     0.03819  0.03748  0.50   47414    1777   46526   561285  11.84
  1947          65     0.04166  0.04081  0.50   45637    1862   44706   514759  11.28
  1947          66     0.04514  0.04415  0.50   43775    1933   42809   470053  10.74
  1947          67     0.04881  0.04764  0.50   41842    1994   40846   427245  10.21
  1947          68     0.05286  0.05150  0.50   39849    2052   38823   386399   9.70
  1947          69     0.05745  0.05584  0.50   37796    2111   36741   347577   9.20
  1947          70     0.06262  0.06072  0.50   35686    2167   34602   310836   8.71
  1947          71     0.06837  0.06611  0.50   33519    2216   32411   276233   8.24
