31.Tottori.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09522  0.08935  0.31  100000    8935   93832  5115434  51.15
  1947           1     0.03002  0.02957  0.50   91065    2693   89719  5021602  55.14
  1947           2     0.02059  0.02038  0.50   88372    1801   87471  4931883  55.81
  1947           3     0.01296  0.01288  0.50   86571    1115   86014  4844412  55.96
  1947           4     0.00761  0.00758  0.50   85456     648   85132  4758398  55.68
  1947           5     0.00450  0.00449  0.50   84808     381   84618  4673266  55.10
  1947           6     0.00297  0.00296  0.50   84428     250   84302  4588648  54.35
  1947           7     0.00225  0.00225  0.50   84177     190   84083  4504346  53.51
  1947           8     0.00192  0.00192  0.50   83988     161   83907  4420263  52.63
  1947           9     0.00183  0.00182  0.50   83827     153   83750  4336356  51.73
  1947          10     0.00187  0.00187  0.50   83674     157   83595  4252606  50.82
  1947          11     0.00195  0.00195  0.50   83517     163   83436  4169010  49.92
  1947          12     0.00201  0.00200  0.50   83354     167   83271  4085574  49.01
  1947          13     0.00220  0.00220  0.50   83187     183   83096  4002304  48.11
  1947          14     0.00259  0.00259  0.50   83004     215   82897  3919208  47.22
  1947          15     0.00317  0.00317  0.50   82790     262   82659  3836311  46.34
  1947          16     0.00392  0.00391  0.50   82528     323   82366  3753652  45.48
  1947          17     0.00479  0.00478  0.50   82205     393   82008  3671285  44.66
  1947          18     0.00571  0.00570  0.50   81812     466   81579  3589277  43.87
  1947          19     0.00660  0.00657  0.50   81346     535   81078  3507698  43.12
  1947          20     0.00737  0.00735  0.50   80811     594   80514  3426620  42.40
  1947          21     0.00799  0.00796  0.50   80217     638   79898  3346106  41.71
  1947          22     0.00841  0.00838  0.50   79579     667   79246  3266208  41.04
  1947          23     0.00876  0.00872  0.50   78912     688   78568  3186962  40.39
  1947          24     0.00914  0.00910  0.50   78224     712   77868  3108394  39.74
  1947          25     0.00960  0.00956  0.50   77512     741   77142  3030526  39.10
  1947          26     0.01004  0.00999  0.50   76772     767   76388  2953384  38.47
  1947          27     0.01030  0.01025  0.50   76005     779   75615  2876996  37.85
  1947          28     0.01020  0.01015  0.50   75226     764   74844  2801380  37.24
  1947          29     0.00966  0.00961  0.50   74462     716   74104  2726537  36.62
  1947          30     0.00899  0.00895  0.50   73746     660   73417  2652432  35.97
  1947          31     0.00846  0.00843  0.50   73087     616   72779  2579016  35.29
  1947          32     0.00825  0.00821  0.50   72471     595   72173  2506237  34.58
  1947          33     0.00822  0.00819  0.50   71876     588   71581  2434064  33.86
  1947          34     0.00826  0.00822  0.50   71287     586   70994  2362482  33.14
  1947          35     0.00840  0.00837  0.50   70701     592   70405  2291488  32.41
  1947          36     0.00871  0.00867  0.50   70110     608   69806  2221083  31.68
  1947          37     0.00904  0.00900  0.50   69502     626   69189  2151277  30.95
  1947          38     0.00930  0.00925  0.50   68876     637   68558  2082088  30.23
  1947          39     0.00942  0.00938  0.50   68239     640   67919  2013530  29.51
  1947          40     0.00957  0.00952  0.50   67599     644   67277  1945612  28.78
  1947          41     0.00982  0.00977  0.50   66955     654   66628  1878334  28.05
  1947          42     0.01003  0.00998  0.50   66301     662   65970  1811706  27.33
  1947          43     0.01018  0.01012  0.50   65639     665   65307  1745736  26.60
