32.Shimane.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09524  0.08937  0.31  100000    8937   93837  5080624  50.81
  1947           1     0.02993  0.02949  0.50   91063    2685   89720  4986787  54.76
  1947           2     0.01948  0.01929  0.50   88377    1705   87525  4897067  55.41
  1947           3     0.01195  0.01188  0.50   86672    1030   86157  4809542  55.49
  1947           4     0.00734  0.00731  0.50   85643     626   85329  4723385  55.15
  1947           5     0.00488  0.00487  0.50   85016     414   84809  4638055  54.55
  1947           6     0.00366  0.00365  0.50   84602     309   84448  4553246  53.82
  1947           7     0.00288  0.00288  0.50   84293     243   84172  4468798  53.01
  1947           8     0.00238  0.00238  0.50   84051     200   83951  4384626  52.17
  1947           9     0.00212  0.00211  0.50   83851     177   83762  4300675  51.29
  1947          10     0.00203  0.00203  0.50   83673     170   83588  4216913  50.40
  1947          11     0.00205  0.00204  0.50   83503     171   83418  4133325  49.50
  1947          12     0.00209  0.00209  0.50   83333     174   83246  4049906  48.60
  1947          13     0.00228  0.00227  0.50   83159     189   83064  3966661  47.70
  1947          14     0.00279  0.00279  0.50   82970     231   82854  3883596  46.81
  1947          15     0.00376  0.00375  0.50   82738     310   82583  3800742  45.94
  1947          16     0.00503  0.00502  0.50   82428     414   82221  3718159  45.11
  1947          17     0.00639  0.00637  0.50   82014     523   81753  3635938  44.33
  1947          18     0.00766  0.00763  0.50   81491     622   81181  3554185  43.61
  1947          19     0.00866  0.00862  0.50   80870     697   80521  3473005  42.95
  1947          20     0.00928  0.00924  0.50   80173     740   79802  3392484  42.31
  1947          21     0.00965  0.00960  0.50   79432     763   79051  3312681  41.70
  1947          22     0.00989  0.00984  0.50   78669     774   78282  3233631  41.10
  1947          23     0.00993  0.00988  0.50   77895     770   77510  3155349  40.51
  1947          24     0.00971  0.00966  0.50   77125     745   76753  3077838  39.91
  1947          25     0.00943  0.00938  0.50   76380     717   76022  3001086  39.29
  1947          26     0.00919  0.00915  0.50   75663     692   75317  2925064  38.66
  1947          27     0.00907  0.00903  0.50   74971     677   74633  2849747  38.01
  1947          28     0.00901  0.00897  0.50   74294     666   73961  2775114  37.35
  1947          29     0.00892  0.00888  0.50   73628     654   73301  2701153  36.69
  1947          30     0.00875  0.00871  0.50   72974     636   72656  2627852  36.01
  1947          31     0.00864  0.00860  0.50   72338     622   72027  2555196  35.32
  1947          32     0.00876  0.00872  0.50   71716     625   71403  2483170  34.63
  1947          33     0.00907  0.00903  0.50   71090     642   70769  2411767  33.93
  1947          34     0.00947  0.00942  0.50   70448     664   70117  2340997  33.23
  1947          35     0.00960  0.00955  0.50   69785     666   69452  2270881  32.54
  1947          36     0.00931  0.00927  0.50   69118     641   68798  2201429  31.85
  1947          37     0.00923  0.00919  0.50   68478     629   68163  2132631  31.14
  1947          38     0.00938  0.00933  0.50   67849     633   67532  2064468  30.43
  1947          39     0.00959  0.00954  0.50   67215     641   66895  1996936  29.71
  1947          40     0.00984  0.00979  0.50   66574     652   66248  1930041  28.99
  1947          41     0.01000  0.00995  0.50   65922     656   65594  1863793  28.27
  1947          42     0.00966  0.00962  0.50   65266     628   64953  1798199  27.55
  1947          43     0.00924  0.00920  0.50   64639     595   64341  1733246  26.81
  1947          44     0.00927  0.00923  0.50   64044     591   63749  1668905  26.06
  1947          45     0.00965  0.00960  0.50   63453     609   63149  1605156  25.30
  1947          46     0.01012  0.01007  0.50   62844     633   62528  1542007  24.54
  1947          47     0.01051  0.01045  0.50   62211     650   61886  1479480  23.78
  1947          48     0.01122  0.01115  0.50   61561     687   61218  1417593  23.03
  1947          49     0.01255  0.01248  0.50   60875     759   60495  1356375  22.28
  1947          50     0.01382  0.01372  0.50   60115     825   59703  1295880  21.56
  1947          51     0.01432  0.01422  0.50   59290     843   58869  1236178  20.85
  1947          52     0.01448  0.01437  0.50   58447     840   58027  1177309  20.14
  1947          53     0.01487  0.01476  0.50   57607     850   57182  1119281  19.43
  1947          54     0.01562  0.01550  0.50   56757     880   56318  1062099  18.71
  1947          55     0.01678  0.01664  0.50   55878     930   55413  1005781  18.00
  1947          56     0.01837  0.01820  0.50   54948    1000   54448   950369  17.30
  1947          57     0.02020  0.02000  0.50   53948    1079   53408   895921  16.61
  1947          58     0.02201  0.02177  0.50   52869    1151   52293   842513  15.94
  1947          59     0.02351  0.02324  0.50   51718    1202   51117   790219  15.28
  1947          60     0.02521  0.02489  0.50   50516    1258   49887   739102  14.63
  1947          61     0.02761  0.02723  0.50   49259    1341   48588   689215  13.99
  1947          62     0.03046  0.03001  0.50   47917    1438   47198   640627  13.37
  1947          63     0.03346  0.03291  0.50   46479    1530   45715   593429  12.77
  1947          64     0.03678  0.03612  0.50   44950    1623   44138   547714  12.18
  1947          65     0.04035  0.03955  0.50   43327    1714   42470   503576  11.62
  1947          66     0.04309  0.04218  0.50   41613    1755   40735   461106  11.08
  1947          67     0.04572  0.04470  0.50   39858    1782   38967   420371  10.55
  1947          68     0.04937  0.04818  0.50   38076    1835   37159   381404  10.02
  1947          69     0.05442  0.05298  0.50   36241    1920   35282   344245   9.50
  1947          70     0.06077  0.05898  0.50   34322    2024   33309   308964   9.00
  1947          71     0.06747  0.06527  0.50   32297    2108   31243   275654   8.53
  1947          72     0.07470  0.07201  0.50   30189    2174   29102   244411   8.10
  1947          73     0.08260  0.07932  0.50   28016    2222   26904   215308   7.69
  1947          74     0.08975  0.08590  0.50   25793    2216   24686   188404   7.30
  1947          75     0.09449  0.09023  0.50   23578    2127   22514   163718   6.94
  1947          76     0.09682  0.09235  0.50   21450    1981   20460   141204   6.58
  1947          77     0.10106  0.09620  0.50   19469    1873   18533   120744   6.20
  1947          78     0.11116  0.10530  0.50   17597    1853   16670   102211   5.81
  1947          79     0.12522  0.11784  0.50   15744    1855   14816    85541   5.43
  1947          80     0.14028  0.13109  0.50   13888    1821   12978    70725   5.09
  1947          81     0.15498  0.14383  0.50   12068    1736   11200    57747   4.79
  1947          82     0.16885  0.15570  0.50   10332    1609    9528    46547   4.51
  1947          83     0.18319  0.16782  0.50    8723    1464    7991    37020   4.24
  1947          84     0.19844  0.18053  0.50    7259    1310    6604    29028   4.00
  1947          85     0.21463  0.19383  0.50    5949    1153    5372    22424   3.77
