33.Okayama.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09485  0.08901  0.31  100000    8901   93848  5137581  51.38
  1947           1     0.03050  0.03004  0.50   91099    2736   89731  5043734  55.37
  1947           2     0.02076  0.02055  0.50   88362    1816   87454  4954003  56.06
  1947           3     0.01307  0.01298  0.50   86546    1124   85985  4866549  56.23
  1947           4     0.00782  0.00779  0.50   85423     665   85090  4780564  55.96
  1947           5     0.00486  0.00485  0.50   84758     411   84552  4695474  55.40
  1947           6     0.00351  0.00350  0.50   84347     295   84199  4610921  54.67
  1947           7     0.00294  0.00294  0.50   84052     247   83928  4526722  53.86
  1947           8     0.00255  0.00254  0.50   83805     213   83698  4442793  53.01
  1947           9     0.00220  0.00220  0.50   83591     183   83500  4359095  52.15
  1947          10     0.00190  0.00190  0.50   83408     158   83329  4275596  51.26
  1947          11     0.00170  0.00170  0.50   83250     142   83179  4192267  50.36
  1947          12     0.00165  0.00165  0.50   83108     137   83040  4109088  49.44
  1947          13     0.00173  0.00173  0.50   82971     144   82899  4026049  48.52
  1947          14     0.00199  0.00199  0.50   82828     165   82745  3943149  47.61
  1947          15     0.00248  0.00247  0.50   82663     204   82560  3860404  46.70
  1947          16     0.00323  0.00322  0.50   82458     266   82325  3777844  45.82
  1947          17     0.00427  0.00427  0.50   82192     351   82017  3695518  44.96
  1947          18     0.00554  0.00552  0.50   81842     452   81616  3613501  44.15
  1947          19     0.00685  0.00682  0.50   81390     555   81112  3531885  43.39
  1947          20     0.00785  0.00782  0.50   80835     632   80519  3450773  42.69
  1947          21     0.00846  0.00842  0.50   80203     676   79865  3370254  42.02
  1947          22     0.00871  0.00867  0.50   79527     690   79182  3290390  41.37
  1947          23     0.00875  0.00871  0.50   78837     687   78494  3211208  40.73
  1947          24     0.00875  0.00871  0.50   78150     681   77810  3132714  40.09
  1947          25     0.00886  0.00882  0.50   77469     683   77127  3054904  39.43
  1947          26     0.00902  0.00898  0.50   76786     689   76441  2977777  38.78
  1947          27     0.00914  0.00909  0.50   76096     692   75750  2901336  38.13
  1947          28     0.00924  0.00919  0.50   75404     693   75058  2825586  37.47
  1947          29     0.00928  0.00924  0.50   74711     690   74366  2750528  36.82
  1947          30     0.00900  0.00896  0.50   74021     663   73689  2676162  36.15
  1947          31     0.00849  0.00845  0.50   73358     620   73048  2602473  35.48
  1947          32     0.00797  0.00794  0.50   72737     578   72449  2529426  34.77
  1947          33     0.00764  0.00761  0.50   72160     549   71885  2456977  34.05
  1947          34     0.00762  0.00759  0.50   71610     544   71339  2385092  33.31
  1947          35     0.00780  0.00777  0.50   71067     552   70791  2313753  32.56
  1947          36     0.00802  0.00798  0.50   70515     563   70233  2242963  31.81
  1947          37     0.00818  0.00815  0.50   69952     570   69667  2172730  31.06
  1947          38     0.00830  0.00827  0.50   69382     574   69095  2103063  30.31
  1947          39     0.00842  0.00838  0.50   68808     577   68520  2033968  29.56
  1947          40     0.00862  0.00858  0.50   68231     585   67939  1965449  28.81
  1947          41     0.00888  0.00884  0.50   67646     598   67347  1897510  28.05
  1947          42     0.00890  0.00886  0.50   67048     594   66751  1830163  27.30
  1947          43     0.00890  0.00886  0.50   66454     589   66159  1763412  26.54
  1947          44     0.00920  0.00916  0.50   65865     603   65563  1697253  25.77
  1947          45     0.00969  0.00965  0.50   65262     630   64947  1631690  25.00
  1947          46     0.01022  0.01016  0.50   64632     657   64304  1566743  24.24
  1947          47     0.01076  0.01070  0.50   63975     685   63633  1502439  23.48
  1947          48     0.01134  0.01128  0.50   63290     714   62933  1438807  22.73
  1947          49     0.01199  0.01192  0.50   62576     746   62204  1375873  21.99
  1947          50     0.01272  0.01264  0.50   61831     782   61440  1313670  21.25
  1947          51     0.01357  0.01348  0.50   61049     823   60638  1252230  20.51
  1947          52     0.01451  0.01441  0.50   60226     868   59793  1191592  19.79
  1947          53     0.01549  0.01537  0.50   59359     912   58903  1131800  19.07
  1947          54     0.01631  0.01618  0.50   58447     946   57974  1072897  18.36
  1947          55     0.01718  0.01704  0.50   57501     980   57011  1014924  17.65
  1947          56     0.01831  0.01815  0.50   56521    1026   56008   957913  16.95
  1947          57     0.01965  0.01946  0.50   55495    1080   54955   901905  16.25
  1947          58     0.02111  0.02089  0.50   54415    1137   53847   846949  15.56
  1947          59     0.02281  0.02255  0.50   53279    1201   52678   793102  14.89
  1947          60     0.02490  0.02460  0.50   52077    1281   51437   740424  14.22
  1947          61     0.02755  0.02718  0.50   50797    1380   50106   688987  13.56
  1947          62     0.03086  0.03040  0.50   49416    1502   48665   638881  12.93
  1947          63     0.03483  0.03424  0.50   47914    1640   47094   590216  12.32
  1947          64     0.03898  0.03823  0.50   46274    1769   45389   543122  11.74
  1947          65     0.04269  0.04180  0.50   44505    1860   43574   497733  11.18
  1947          66     0.04556  0.04455  0.50   42644    1900   41695   454158  10.65
  1947          67     0.04825  0.04711  0.50   40745    1920   39785   412464  10.12
  1947          68     0.05161  0.05031  0.50   38825    1953   37848   372679   9.60
  1947          69     0.05635  0.05480  0.50   36872    2021   35861   334830   9.08
  1947          70     0.06262  0.06072  0.50   34851    2116   33793   298969   8.58
  1947          71     0.06919  0.06688  0.50   32735    2189   31640   265175   8.10
  1947          72     0.07617  0.07337  0.50   30546    2241   29425   233535   7.65
  1947          73     0.08391  0.08053  0.50   28305    2279   27165   204110   7.21
  1947          74     0.09203  0.08798  0.50   26025    2290   24880   176945   6.80
  1947          75     0.09971  0.09498  0.50   23736    2254   22608   152065   6.41
  1947          76     0.10620  0.10084  0.50   21481    2166   20398   129456   6.03
  1947          77     0.11419  0.10802  0.50   19315    2086   18272   109058   5.65
  1947          78     0.12633  0.11882  0.50   17229    2047   16205    90786   5.27
  1947          79     0.14145  0.13211  0.50   15181    2006   14179    74581   4.91
  1947          80     0.15773  0.14620  0.50   13176    1926   12213    60403   4.58
  1947          81     0.17453  0.16052  0.50   11250    1806   10347    48190   4.28
  1947          82     0.19172  0.17495  0.50    9444    1652    8618    37843   4.01
  1947          83     0.20981  0.18989  0.50    7792    1480    7052    29226   3.75
  1947          84     0.22902  0.20549  0.50    6312    1297    5664    22174   3.51
  1947          85     0.24945  0.22179  0.50    5015    1112    4459    16510   3.29
  1947          86     0.27107  0.23871  0.50    3903     932    3437    12051   3.09
  1947          87     0.29382  0.25618  0.50    2971     761    2591     8614   2.90
  1947          88     0.31763  0.27410  0.50    2210     606    1907     6024   2.73
  1947          89     0.34241  0.29236  0.50    1604     469    1370     4117   2.57
  1947          90     0.36805  0.31085  0.50    1135     353     959     2747   2.42
  1947          91     0.39444  0.32946  0.50     782     258     653     1788   2.29
  1947          92     0.42143  0.34808  0.50     525     183     433     1135   2.16
  1947          93     0.44888  0.36660  0.50     342     125     279      702   2.05
  1947          94     0.47664  0.38491  0.50     217      83     175      422   1.95
  1947          95     0.50453  0.40290  0.50     133      54     106      247   1.86
  1947          96     0.53239  0.42047  0.50      80      33      63      141   1.77
  1947          97     0.56005  0.43753  0.50      46      20      36       78   1.70
  1947          98     0.58735  0.45402  0.50      26      12      20       42   1.63
  1947          99     0.61413  0.46985  0.50      14       7      11       22   1.56
  1947         100     0.64025  0.48499  0.50       8       4       6       11   1.51
  1947         101     0.66557  0.49938  0.50       4       2       3        6   1.46
  1947         102     0.68999  0.51301  0.50       2       1       1        3   1.41
  1947         103     0.71342  0.52584  0.50       1       0       1        1   1.37
  1947         104     0.73576  0.53788  0.50       0       0       0        1   1.33
