34.Hiroshima.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07984  0.07543  0.27  100000    7543   94479  5211269  52.11
  1947           1     0.03047  0.03001  0.50   92457    2775   91070  5116790  55.34
  1947           2     0.01822  0.01806  0.50   89682    1619   88873  5025720  56.04
  1947           3     0.01036  0.01031  0.50   88063     908   87609  4936847  56.06
  1947           4     0.00628  0.00626  0.50   87155     546   86882  4849238  55.64
  1947           5     0.00427  0.00427  0.50   86609     369   86425  4762356  54.99
  1947           6     0.00341  0.00340  0.50   86240     293   86093  4675932  54.22
  1947           7     0.00297  0.00296  0.50   85946     255   85819  4589838  53.40
  1947           8     0.00249  0.00249  0.50   85692     213   85585  4504019  52.56
  1947           9     0.00205  0.00205  0.50   85479     175   85391  4418434  51.69
  1947          10     0.00181  0.00181  0.50   85303     154   85226  4333043  50.80
  1947          11     0.00177  0.00177  0.50   85149     151   85074  4247817  49.89
  1947          12     0.00190  0.00190  0.50   84999     162   84918  4162742  48.97
  1947          13     0.00217  0.00217  0.50   84837     184   84745  4077824  48.07
  1947          14     0.00260  0.00260  0.50   84653     220   84543  3993079  47.17
  1947          15     0.00323  0.00322  0.50   84434     272   84298  3908536  46.29
  1947          16     0.00408  0.00408  0.50   84162     343   83990  3824238  45.44
  1947          17     0.00518  0.00517  0.50   83819     433   83602  3740248  44.62
  1947          18     0.00648  0.00646  0.50   83385     538   83116  3656646  43.85
  1947          19     0.00782  0.00779  0.50   82847     645   82524  3573530  43.13
  1947          20     0.00889  0.00885  0.50   82201     727   81838  3491006  42.47
  1947          21     0.00968  0.00963  0.50   81474     785   81082  3409168  41.84
  1947          22     0.01026  0.01021  0.50   80689     824   80277  3328087  41.25
  1947          23     0.01051  0.01045  0.50   79866     835   79448  3247809  40.67
  1947          24     0.01030  0.01024  0.50   79031     809   78626  3168361  40.09
  1947          25     0.00977  0.00972  0.50   78221     760   77841  3089735  39.50
  1947          26     0.00926  0.00922  0.50   77461     714   77104  3011893  38.88
  1947          27     0.00905  0.00901  0.50   76747     691   76402  2934789  38.24
  1947          28     0.00893  0.00889  0.50   76056     676   75718  2858388  37.58
  1947          29     0.00869  0.00865  0.50   75380     652   75054  2782670  36.92
  1947          30     0.00841  0.00837  0.50   74728     626   74415  2707616  36.23
  1947          31     0.00824  0.00820  0.50   74102     608   73798  2633201  35.53
  1947          32     0.00828  0.00824  0.50   73494     606   73192  2559402  34.82
  1947          33     0.00840  0.00836  0.50   72889     609   72584  2486211  34.11
  1947          34     0.00844  0.00841  0.50   72279     608   71975  2413627  33.39
  1947          35     0.00843  0.00840  0.50   71672     602   71371  2341651  32.67
  1947          36     0.00843  0.00839  0.50   71070     597   70771  2270281  31.94
  1947          37     0.00854  0.00850  0.50   70473     599   70173  2199509  31.21
  1947          38     0.00881  0.00877  0.50   69874     613   69567  2129336  30.47
  1947          39     0.00920  0.00916  0.50   69261     634   68943  2059769  29.74
  1947          40     0.00940  0.00936  0.50   68626     642   68305  1990825  29.01
  1947          41     0.00923  0.00918  0.50   67984     624   67672  1922520  28.28
  1947          42     0.00915  0.00911  0.50   67360     614   67053  1854848  27.54
  1947          43     0.00939  0.00935  0.50   66746     624   66434  1787795  26.79
  1947          44     0.00998  0.00993  0.50   66122     657   65794  1721361  26.03
  1947          45     0.01080  0.01074  0.50   65465     703   65114  1655567  25.29
  1947          46     0.01155  0.01149  0.50   64762     744   64391  1590454  24.56
  1947          47     0.01176  0.01169  0.50   64019     748   63645  1526063  23.84
  1947          48     0.01170  0.01163  0.50   63270     736   62903  1462419  23.11
  1947          49     0.01182  0.01175  0.50   62535     735   62167  1399516  22.38
  1947          50     0.01229  0.01222  0.50   61800     755   61422  1337349  21.64
  1947          51     0.01312  0.01304  0.50   61045     796   60647  1275927  20.90
  1947          52     0.01405  0.01395  0.50   60249     840   59828  1215280  20.17
  1947          53     0.01486  0.01475  0.50   59408     876   58970  1155452  19.45
  1947          54     0.01587  0.01574  0.50   58532     921   58071  1096482  18.73
  1947          55     0.01713  0.01699  0.50   57610     979   57121  1038411  18.02
  1947          56     0.01868  0.01850  0.50   56632    1048   56108   981290  17.33
  1947          57     0.02067  0.02046  0.50   55584    1137   55015   925182  16.64
  1947          58     0.02291  0.02265  0.50   54447    1233   53830   870167  15.98
  1947          59     0.02419  0.02390  0.50   53213    1272   52577   816337  15.34
  1947          60     0.02574  0.02542  0.50   51941    1320   51281   763759  14.70
  1947          61     0.02891  0.02850  0.50   50621    1443   49900   712478  14.07
  1947          62     0.03260  0.03208  0.50   49179    1577   48390   662578  13.47
  1947          63     0.03553  0.03491  0.50   47601    1662   46770   614188  12.90
  1947          64     0.03805  0.03734  0.50   45939    1715   45082   567418  12.35
  1947          65     0.04060  0.03979  0.50   44224    1760   43344   522336  11.81
  1947          66     0.04275  0.04186  0.50   42464    1777   41576   478992  11.28
  1947          67     0.04550  0.04449  0.50   40687    1810   39782   437416  10.75
  1947          68     0.04976  0.04855  0.50   38877    1888   37933   397635  10.23
  1947          69     0.05439  0.05295  0.50   36989    1958   36010   359702   9.72
  1947          70     0.05836  0.05671  0.50   35031    1987   34038   323691   9.24
  1947          71     0.06290  0.06098  0.50   33044    2015   32037   289654   8.77
  1947          72     0.06846  0.06619  0.50   31029    2054   30002   257617   8.30
  1947          73     0.07508  0.07236  0.50   28975    2097   27927   227615   7.86
  1947          74     0.08259  0.07932  0.50   26879    2132   25813   199688   7.43
  1947          75     0.09012  0.08623  0.50   24747    2134   23680   173875   7.03
  1947          76     0.09552  0.09117  0.50   22613    2062   21582   150195   6.64
  1947          77     0.10148  0.09658  0.50   20551    1985   19559   128613   6.26
  1947          78     0.11109  0.10524  0.50   18566    1954   17589   109055   5.87
  1947          79     0.12360  0.11641  0.50   16612    1934   15646    91465   5.51
  1947          80     0.13744  0.12860  0.50   14679    1888   13735    75820   5.17
  1947          81     0.15145  0.14079  0.50   12791    1801   11891    62085   4.85
  1947          82     0.16505  0.15247  0.50   10990    1676   10152    50194   4.57
  1947          83     0.17920  0.16447  0.50    9314    1532    8548    40042   4.30
  1947          84     0.19428  0.17708  0.50    7783    1378    7093    31493   4.05
  1947          85     0.21041  0.19038  0.50    6404    1219    5795    24400   3.81
  1947          86     0.22755  0.20431  0.50    5185    1059    4655    18605   3.59
  1947          87     0.24569  0.21881  0.50    4126     903    3674    13950   3.38
  1947          88     0.26479  0.23383  0.50    3223     754    2846    10275   3.19
  1947          89     0.28483  0.24933  0.50    2469     616    2162     7429   3.01
  1947          90     0.30579  0.26523  0.50    1854     492    1608     5268   2.84
  1947          91     0.32759  0.28148  0.50    1362     383    1170     3660   2.69
  1947          92     0.35018  0.29801  0.50     979     292     833     2490   2.54
  1947          93     0.37349  0.31472  0.50     687     216     579     1657   2.41
  1947          94     0.39741  0.33153  0.50     471     156     393     1078   2.29
  1947          95     0.42185  0.34837  0.50     315     110     260      685   2.18
  1947          96     0.44669  0.36514  0.50     205      75     168      425   2.07
  1947          97     0.47180  0.38175  0.50     130      50     105      258   1.98
  1947          98     0.49708  0.39813  0.50      80      32      64      152   1.89
  1947          99     0.52237  0.41419  0.50      48      20      38       88   1.81
  1947         100     0.54755  0.42986  0.50      28      12      22       49   1.74
  1947         101     0.57249  0.44508  0.50      16       7      13       27   1.67
  1947         102     0.59706  0.45980  0.50       9       4       7       14   1.61
  1947         103     0.62116  0.47396  0.50       5       2       4        8   1.55
  1947         104     0.64467  0.48752  0.50       3       1       2        4   1.50
  1947         105     0.66749  0.50046  0.50       1       1       1        2   1.46
  1947         106     0.68954  0.51275  0.50       1       0       0        1   1.41
  1947         107     0.71071  0.52437  0.50       0       0       0        0   1.38
  1947         108     0.73096  0.53531  0.50       0       0       0        0   1.34
  1947         109     0.75031  0.54562  0.50       0       0       0        0   1.31
  1947         110+    0.78145  1.00000  1.28       0       0       0        0   1.28
  1948           0     0.05670  0.05426  0.21  100000    5426   95699  5803215  58.03
  1948           1     0.01466  0.01455  0.50   94574    1376   93886  5707516  60.35
  1948           2     0.01141  0.01135  0.50   93197    1058   92669  5613630  60.23
  1948           3     0.00846  0.00843  0.50   92140     777   91751  5520962  59.92
