35.Yamaguchi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08167  0.07709  0.27  100000    7709   94395  5052971  50.53
  1947           1     0.03414  0.03356  0.50   92291    3098   90742  4958576  53.73
  1947           2     0.01975  0.01956  0.50   89194    1745   88321  4867834  54.58
  1947           3     0.01086  0.01080  0.50   87449     945   86977  4779513  54.65
  1947           4     0.00664  0.00662  0.50   86504     573   86218  4692536  54.25
  1947           5     0.00488  0.00487  0.50   85932     419   85722  4606318  53.60
  1947           6     0.00407  0.00406  0.50   85513     347   85339  4520595  52.86
  1947           7     0.00321  0.00321  0.50   85166     273   85029  4435256  52.08
  1947           8     0.00254  0.00254  0.50   84893     215   84785  4350227  51.24
  1947           9     0.00214  0.00214  0.50   84677     181   84586  4265442  50.37
  1947          10     0.00197  0.00197  0.50   84496     167   84412  4180855  49.48
  1947          11     0.00191  0.00191  0.50   84329     161   84249  4096443  48.58
  1947          12     0.00190  0.00190  0.50   84168     160   84088  4012194  47.67
  1947          13     0.00215  0.00214  0.50   84008     180   83918  3928106  46.76
  1947          14     0.00268  0.00268  0.50   83828     225   83716  3844188  45.86
  1947          15     0.00346  0.00345  0.50   83604     288   83459  3760472  44.98
  1947          16     0.00438  0.00437  0.50   83315     364   83133  3677013  44.13
  1947          17     0.00541  0.00539  0.50   82951     447   82727  3593880  43.33
  1947          18     0.00668  0.00666  0.50   82503     549   82229  3511153  42.56
  1947          19     0.00820  0.00817  0.50   81954     670   81619  3428924  41.84
  1947          20     0.00937  0.00933  0.50   81284     758   80905  3347305  41.18
  1947          21     0.01008  0.01003  0.50   80526     807   80122  3266400  40.56
  1947          22     0.01040  0.01034  0.50   79719     825   79306  3186277  39.97
  1947          23     0.01049  0.01044  0.50   78894     824   78482  3106971  39.38
  1947          24     0.01045  0.01040  0.50   78070     812   77665  3028489  38.79
  1947          25     0.01008  0.01003  0.50   77259     775   76871  2950824  38.19
  1947          26     0.00969  0.00964  0.50   76484     737   76115  2873953  37.58
  1947          27     0.00959  0.00954  0.50   75746     723   75385  2797838  36.94
  1947          28     0.00960  0.00955  0.50   75024     717   74665  2722453  36.29
  1947          29     0.00946  0.00942  0.50   74307     700   73957  2647787  35.63
  1947          30     0.00917  0.00913  0.50   73607     672   73271  2573830  34.97
  1947          31     0.00887  0.00883  0.50   72935     644   72613  2500559  34.28
  1947          32     0.00865  0.00861  0.50   72292     623   71980  2427945  33.59
  1947          33     0.00840  0.00836  0.50   71669     599   71369  2355965  32.87
  1947          34     0.00800  0.00797  0.50   71070     567   70786  2284596  32.15
  1947          35     0.00773  0.00770  0.50   70503     543   70232  2213809  31.40
  1947          36     0.00793  0.00789  0.50   69960     552   69684  2143578  30.64
