36.Tokushima.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10893  0.10153  0.33  100000   10153   93202  4938199  49.38
  1947           1     0.03697  0.03630  0.50   89847    3261   88216  4844997  53.92
  1947           2     0.02003  0.01983  0.50   86586    1717   85727  4756780  54.94
  1947           3     0.01102  0.01096  0.50   84869     930   84404  4671053  55.04
  1947           4     0.00745  0.00743  0.50   83939     623   83627  4586649  54.64
  1947           5     0.00526  0.00525  0.50   83316     437   83097  4503022  54.05
  1947           6     0.00383  0.00383  0.50   82878     317   82720  4419924  53.33
  1947           7     0.00319  0.00318  0.50   82561     263   82430  4337205  52.53
  1947           8     0.00268  0.00268  0.50   82298     220   82188  4254775  51.70
  1947           9     0.00229  0.00229  0.50   82078     188   81984  4172587  50.84
  1947          10     0.00216  0.00216  0.50   81891     177   81802  4090602  49.95
  1947          11     0.00219  0.00219  0.50   81714     179   81624  4008800  49.06
  1947          12     0.00226  0.00226  0.50   81535     184   81443  3927176  48.17
  1947          13     0.00245  0.00245  0.50   81351     199   81251  3845733  47.27
  1947          14     0.00291  0.00291  0.50   81151     236   81033  3764482  46.39
  1947          15     0.00371  0.00371  0.50   80915     300   80765  3683449  45.52
  1947          16     0.00461  0.00460  0.50   80615     371   80430  3602683  44.69
  1947          17     0.00542  0.00540  0.50   80244     434   80028  3522253  43.89
  1947          18     0.00652  0.00649  0.50   79811     518   79552  3442226  43.13
  1947          19     0.00802  0.00799  0.50   79292     633   78976  3362674  42.41
  1947          20     0.00882  0.00878  0.50   78659     690   78314  3283699  41.75
  1947          21     0.00928  0.00924  0.50   77969     721   77608  3205385  41.11
  1947          22     0.01001  0.00996  0.50   77248     770   76863  3127776  40.49
  1947          23     0.01054  0.01048  0.50   76478     802   76078  3050913  39.89
  1947          24     0.01039  0.01034  0.50   75677     782   75286  2974835  39.31
  1947          25     0.01007  0.01002  0.50   74894     750   74519  2899550  38.72
  1947          26     0.00997  0.00992  0.50   74144     735   73776  2825031  38.10
  1947          27     0.01024  0.01019  0.50   73409     748   73035  2751254  37.48
  1947          28     0.01039  0.01033  0.50   72661     751   72285  2678220  36.86
  1947          29     0.00993  0.00988  0.50   71910     711   71555  2605934  36.24
  1947          30     0.00914  0.00910  0.50   71199     648   70875  2534380  35.60
  1947          31     0.00871  0.00867  0.50   70551     612   70245  2463504  34.92
  1947          32     0.00904  0.00900  0.50   69940     629   69625  2393259  34.22
  1947          33     0.00919  0.00915  0.50   69310     634   68993  2323634  33.53
  1947          34     0.00837  0.00834  0.50   68676     573   68390  2254641  32.83
  1947          35     0.00769  0.00766  0.50   68104     521   67843  2186251  32.10
  1947          36     0.00820  0.00817  0.50   67582     552   67306  2118408  31.35
  1947          37     0.00908  0.00904  0.50   67030     606   66727  2051102  30.60
  1947          38     0.00960  0.00955  0.50   66424     634   66107  1984375  29.87
  1947          39     0.00944  0.00940  0.50   65790     618   65481  1918268  29.16
  1947          40     0.00939  0.00935  0.50   65172     609   64867  1852787  28.43
  1947          41     0.00996  0.00991  0.50   64562     640   64242  1787920  27.69
  1947          42     0.01004  0.00999  0.50   63922     639   63603  1723678  26.97
  1947          43     0.00997  0.00992  0.50   63284     628   62970  1660075  26.23
  1947          44     0.01034  0.01028  0.50   62656     644   62334  1597105  25.49
  1947          45     0.01087  0.01081  0.50   62012     671   61677  1534771  24.75
  1947          46     0.01122  0.01115  0.50   61341     684   60999  1473095  24.01
  1947          47     0.01159  0.01152  0.50   60657     699   60307  1412096  23.28
  1947          48     0.01228  0.01220  0.50   59958     732   59592  1351788  22.55
  1947          49     0.01337  0.01328  0.50   59226     787   58833  1292196  21.82
  1947          50     0.01434  0.01424  0.50   58440     832   58024  1233363  21.10
  1947          51     0.01480  0.01469  0.50   57608     846   57184  1175339  20.40
  1947          52     0.01551  0.01539  0.50   56761     874   56325  1118155  19.70
  1947          53     0.01688  0.01674  0.50   55888     936   55420  1061830  19.00
  1947          54     0.01745  0.01729  0.50   54952     950   54477  1006410  18.31
  1947          55     0.01825  0.01808  0.50   54002     977   53513   951934  17.63
  1947          56     0.02048  0.02027  0.50   53025    1075   52488   898420  16.94
  1947          57     0.02267  0.02242  0.50   51950    1165   51368   845932  16.28
  1947          58     0.02336  0.02309  0.50   50786    1173   50199   794565  15.65
  1947          59     0.02367  0.02339  0.50   49613    1161   49033   744365  15.00
  1947          60     0.02534  0.02502  0.50   48452    1213   47846   695332  14.35
  1947          61     0.02932  0.02890  0.50   47240    1365   46557   647486  13.71
  1947          62     0.03352  0.03297  0.50   45875    1512   45119   600929  13.10
  1947          63     0.03626  0.03561  0.50   44362    1580   43572   555810  12.53
  1947          64     0.04055  0.03974  0.50   42782    1700   41932   512238  11.97
  1947          65     0.04761  0.04651  0.50   41082    1911   40127   470306  11.45
  1947          66     0.04989  0.04867  0.50   39171    1907   38218   430179  10.98
  1947          67     0.04917  0.04799  0.50   37265    1789   36371   391961  10.52
  1947          68     0.04956  0.04836  0.50   35476    1716   34619   355590  10.02
  1947          69     0.05188  0.05056  0.50   33761    1707   32907   320972   9.51
  1947          70     0.05589  0.05437  0.50   32054    1743   31182   288064   8.99
  1947          71     0.06086  0.05907  0.50   30311    1790   29416   256882   8.47
  1947          72     0.06839  0.06613  0.50   28521    1886   27578   227466   7.98
  1947          73     0.07949  0.07646  0.50   26634    2036   25616   199889   7.50
  1947          74     0.09021  0.08632  0.50   24598    2123   23536   174272   7.08
  1947          75     0.09546  0.09111  0.50   22475    2048   21451   150736   6.71
  1947          76     0.09393  0.08972  0.50   20427    1833   19511   129285   6.33
  1947          77     0.09825  0.09365  0.50   18594    1741   17724   109774   5.90
  1947          78     0.11885  0.11218  0.50   16853    1891   15908    92051   5.46
  1947          79     0.14361  0.13399  0.50   14962    2005   13960    76143   5.09
  1947          80     0.15928  0.14753  0.50   12958    1912   12002    62183   4.80
  1947          81     0.17052  0.15712  0.50   11046    1736   10178    50181   4.54
  1947          82     0.18412  0.16860  0.50    9310    1570    8526    40003   4.30
  1947          83     0.19833  0.18044  0.50    7741    1397    7042    31477   4.07
  1947          84     0.21279  0.19233  0.50    6344    1220    5734    24435   3.85
  1947          85     0.22793  0.20461  0.50    5124    1048    4600    18701   3.65
  1947          86     0.24373  0.21725  0.50    4075     885    3633    14101   3.46
  1947          87     0.26012  0.23018  0.50    3190     734    2823    10468   3.28
  1947          88     0.27725  0.24349  0.50    2456     598    2157     7646   3.11
  1947          89     0.29519  0.25722  0.50    1858     478    1619     5489   2.95
  1947          90     0.31398  0.27138  0.50    1380     374    1193     3870   2.80
  1947          91     0.33369  0.28598  0.50    1005     288     862     2677   2.66
  1947          92     0.35439  0.30104  0.50     718     216     610     1816   2.53
  1947          93     0.37609  0.31657  0.50     502     159     422     1206   2.40
  1947          94     0.39880  0.33250  0.50     343     114     286      783   2.28
  1947          95     0.42249  0.34881  0.50     229      80     189      497   2.17
  1947          96     0.44706  0.36538  0.50     149      54     122      308   2.07
  1947          97     0.47238  0.38213  0.50      95      36      77      187   1.97
  1947          98     0.49827  0.39889  0.50      58      23      47      110   1.88
  1947          99     0.52452  0.41554  0.50      35      15      28       63   1.80
  1947         100     0.55088  0.43192  0.50      21       9      16       35   1.72
  1947         101     0.57713  0.44788  0.50      12       5       9       19   1.66
  1947         102     0.60301  0.46332  0.50       6       3       5       10   1.59
  1947         103     0.62834  0.47813  0.50       3       2       3        5   1.54
  1947         104     0.65294  0.49224  0.50       2       1       1        3   1.48
  1947         105     0.67665  0.50559  0.50       1       0       1        1   1.44
  1947         106     0.69941  0.51819  0.50       0       0       0        1   1.39
  1947         107     0.72113  0.53002  0.50       0       0       0        0   1.36
  1947         108     0.74173  0.54107  0.50       0       0       0        0   1.32
  1947         109     0.76118  0.55134  0.50       0       0       0        0   1.29
  1947         110+    0.79197  1.00000  1.26       0       0       0        0   1.26
  1948           0     0.07284  0.06906  0.25  100000    6906   94816  5642997  56.43
  1948           1     0.01461  0.01451  0.50   93094    1351   92418  5548181  59.60
  1948           2     0.01205  0.01198  0.50   91743    1099   91194  5455763  59.47
  1948           3     0.00962  0.00957  0.50   90644     867   90210  5364569  59.18
  1948           4     0.00742  0.00739  0.50   89777     663   89445  5274359  58.75
  1948           5     0.00554  0.00552  0.50   89113     492   88867  5184914  58.18
  1948           6     0.00402  0.00401  0.50   88621     355   88443  5096047  57.50
  1948           7     0.00287  0.00286  0.50   88266     253   88139  5007603  56.73
  1948           8     0.00206  0.00206  0.50   88013     181   87923  4919464  55.89
  1948           9     0.00156  0.00156  0.50   87832     137   87764  4831541  55.01
  1948          10     0.00133  0.00132  0.50   87695     116   87637  4743778  54.09
  1948          11     0.00130  0.00130  0.50   87579     114   87522  4656141  53.17
  1948          12     0.00145  0.00145  0.50   87465     127   87401  4568619  52.23
  1948          13     0.00174  0.00174  0.50   87338     152   87262  4481217  51.31
  1948          14     0.00215  0.00215  0.50   87186     187   87092  4393956  50.40
  1948          15     0.00266  0.00265  0.50   86999     231   86883  4306863  49.50
  1948          16     0.00324  0.00324  0.50   86768     281   86627  4219980  48.64
  1948          17     0.00388  0.00387  0.50   86487     335   86320  4133353  47.79
  1948          18     0.00455  0.00454  0.50   86152     391   85957  4047033  46.98
  1948          19     0.00523  0.00521  0.50   85761     447   85538  3961076  46.19
  1948          20     0.00588  0.00587  0.50   85314     501   85064  3875539  45.43
  1948          21     0.00648  0.00646  0.50   84814     548   84540  3790475  44.69
  1948          22     0.00699  0.00697  0.50   84266     587   83972  3705935  43.98
  1948          23     0.00740  0.00737  0.50   83678     617   83370  3621963  43.28
  1948          24     0.00770  0.00767  0.50   83062     637   82743  3538593  42.60
  1948          25     0.00788  0.00785  0.50   82425     647   82101  3455850  41.93
  1948          26     0.00794  0.00791  0.50   81778     647   81454  3373749  41.25
  1948          27     0.00790  0.00786  0.50   81131     638   80812  3292294  40.58
  1948          28     0.00777  0.00774  0.50   80493     623   80181  3211482  39.90
  1948          29     0.00762  0.00759  0.50   79870     606   79567  3131301  39.21
  1948          30     0.00749  0.00746  0.50   79263     591   78968  3051734  38.50
  1948          31     0.00740  0.00737  0.50   78672     580   78382  2972767  37.79
  1948          32     0.00736  0.00734  0.50   78093     573   77806  2894384  37.06
  1948          33     0.00738  0.00736  0.50   77520     570   77235  2816578  36.33
  1948          34     0.00744  0.00742  0.50   76949     571   76664  2739344  35.60
  1948          35     0.00754  0.00751  0.50   76379     573   76092  2662679  34.86
  1948          36     0.00765  0.00762  0.50   75805     577   75517  2586587  34.12
  1948          37     0.00777  0.00774  0.50   75228     582   74937  2511071  33.38
  1948          38     0.00789  0.00786  0.50   74646     586   74353  2436134  32.64
  1948          39     0.00799  0.00796  0.50   74059     590   73765  2361781  31.89
  1948          40     0.00808  0.00805  0.50   73470     591   73174  2288017  31.14
  1948          41     0.00816  0.00812  0.50   72878     592   72582  2214843  30.39
  1948          42     0.00824  0.00821  0.50   72286     593   71990  2142260  29.64
  1948          43     0.00836  0.00832  0.50   71693     597   71395  2070270  28.88
  1948          44     0.00852  0.00848  0.50   71097     603   70795  1998876  28.11
  1948          45     0.00875  0.00872  0.50   70493     614   70186  1928081  27.35
  1948          46     0.00907  0.00903  0.50   69879     631   69563  1857895  26.59
  1948          47     0.00947  0.00943  0.50   69248     653   68921  1788331  25.83
  1948          48     0.00995  0.00990  0.50   68595     679   68256  1719410  25.07
  1948          49     0.01050  0.01045  0.50   67916     710   67561  1651154  24.31
  1948          50     0.01115  0.01109  0.50   67206     745   66834  1583593  23.56
  1948          51     0.01190  0.01183  0.50   66461     786   66068  1516759  22.82
