37.Kagawa.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10124  0.09472  0.32  100000    9472   93557  5210790  52.11
  1947           1     0.02259  0.02234  0.50   90528    2022   89517  5117233  56.53
  1947           2     0.01581  0.01569  0.50   88506    1388   87812  5027716  56.81
  1947           3     0.01036  0.01031  0.50   87117     898   86668  4939904  56.70
  1947           4     0.00650  0.00648  0.50   86220     559   85940  4853236  56.29
  1947           5     0.00415  0.00414  0.50   85661     354   85483  4767296  55.65
  1947           6     0.00286  0.00286  0.50   85306     244   85184  4681812  54.88
  1947           7     0.00219  0.00219  0.50   85063     186   84969  4596628  54.04
  1947           8     0.00186  0.00186  0.50   84876     158   84798  4511659  53.16
  1947           9     0.00173  0.00172  0.50   84719     146   84646  4426861  52.25
  1947          10     0.00168  0.00168  0.50   84573     142   84502  4342216  51.34
  1947          11     0.00168  0.00168  0.50   84431     142   84360  4257714  50.43
  1947          12     0.00174  0.00173  0.50   84289     146   84216  4173354  49.51
  1947          13     0.00188  0.00188  0.50   84143     158   84064  4089138  48.60
  1947          14     0.00214  0.00214  0.50   83985     180   83895  4005075  47.69
  1947          15     0.00258  0.00258  0.50   83805     216   83697  3921180  46.79
  1947          16     0.00327  0.00327  0.50   83589     273   83452  3837483  45.91
  1947          17     0.00426  0.00426  0.50   83316     355   83139  3754031  45.06
  1947          18     0.00542  0.00541  0.50   82961     449   82737  3670892  44.25
  1947          19     0.00656  0.00654  0.50   82513     540   82243  3588155  43.49
  1947          20     0.00754  0.00751  0.50   81973     616   81665  3505912  42.77
  1947          21     0.00823  0.00820  0.50   81357     667   81024  3424247  42.09
  1947          22     0.00857  0.00853  0.50   80690     688   80346  3343223  41.43
  1947          23     0.00865  0.00862  0.50   80002     689   79657  3262877  40.79
  1947          24     0.00865  0.00861  0.50   79313     683   78971  3183220  40.14
  1947          25     0.00867  0.00864  0.50   78630     679   78290  3104249  39.48
  1947          26     0.00871  0.00867  0.50   77951     676   77613  3025959  38.82
  1947          27     0.00867  0.00863  0.50   77275     667   76941  2948346  38.15
  1947          28     0.00854  0.00850  0.50   76608     651   76282  2871405  37.48
  1947          29     0.00831  0.00827  0.50   75956     628   75642  2795123  36.80
  1947          30     0.00803  0.00800  0.50   75328     603   75026  2719481  36.10
  1947          31     0.00785  0.00782  0.50   74725     584   74433  2644454  35.39
  1947          32     0.00786  0.00783  0.50   74141     581   73850  2570021  34.66
  1947          33     0.00800  0.00797  0.50   73560     586   73267  2496171  33.93
  1947          34     0.00817  0.00814  0.50   72974     594   72677  2422904  33.20
  1947          35     0.00843  0.00839  0.50   72380     607   72076  2350227  32.47
  1947          36     0.00873  0.00869  0.50   71773     624   71461  2278151  31.74
  1947          37     0.00882  0.00878  0.50   71149     624   70837  2206690  31.02
  1947          38     0.00874  0.00871  0.50   70525     614   70218  2135853  30.29
  1947          39     0.00866  0.00863  0.50   69911     603   69609  2065635  29.55
  1947          40     0.00869  0.00866  0.50   69307     600   69007  1996026  28.80
  1947          41     0.00890  0.00886  0.50   68708     609   68403  1927019  28.05
  1947          42     0.00920  0.00916  0.50   68099     624   67787  1858616  27.29
  1947          43     0.00955  0.00950  0.50   67475     641   67155  1790829  26.54
  1947          44     0.00990  0.00985  0.50   66834     658   66505  1723674  25.79
  1947          45     0.01033  0.01028  0.50   66175     680   65835  1657169  25.04
  1947          46     0.01096  0.01090  0.50   65495     714   65138  1591334  24.30
  1947          47     0.01190  0.01183  0.50   64781     766   64398  1526196  23.56
  1947          48     0.01282  0.01274  0.50   64015     815   63607  1461798  22.84
  1947          49     0.01340  0.01331  0.50   63200     841   62779  1398190  22.12
  1947          50     0.01378  0.01369  0.50   62358     854   61932  1335411  21.42
  1947          51     0.01421  0.01411  0.50   61505     868   61071  1273480  20.71
  1947          52     0.01483  0.01472  0.50   60637     893   60191  1212409  19.99
  1947          53     0.01570  0.01558  0.50   59744     931   59279  1152218  19.29
  1947          54     0.01664  0.01650  0.50   58813     971   58328  1092939  18.58
