38.Ehime.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08951  0.08420  0.29  100000    8420   94059  5238088  52.38
  1947           1     0.03349  0.03294  0.50   91580    3017   90072  5144029  56.17
  1947           2     0.02057  0.02036  0.50   88564    1803   87662  5053957  57.07
  1947           3     0.01177  0.01171  0.50   86761    1016   86253  4966295  57.24
  1947           4     0.00682  0.00680  0.50   85745     583   85453  4880042  56.91
  1947           5     0.00436  0.00435  0.50   85162     370   84977  4794588  56.30
  1947           6     0.00332  0.00332  0.50   84792     281   84651  4709612  55.54
  1947           7     0.00286  0.00285  0.50   84511     241   84390  4624960  54.73
  1947           8     0.00256  0.00255  0.50   84269     215   84162  4540570  53.88
  1947           9     0.00230  0.00230  0.50   84054     193   83958  4456409  53.02
  1947          10     0.00205  0.00205  0.50   83861     172   83775  4372451  52.14
  1947          11     0.00181  0.00181  0.50   83689     152   83613  4288676  51.25
  1947          12     0.00166  0.00166  0.50   83538     139   83468  4205063  50.34
  1947          13     0.00177  0.00176  0.50   83399     147   83325  4121595  49.42
  1947          14     0.00207  0.00207  0.50   83251     172   83165  4038270  48.51
  1947          15     0.00251  0.00250  0.50   83079     208   82975  3955105  47.61
  1947          16     0.00313  0.00312  0.50   82871     259   82742  3872129  46.72
  1947          17     0.00398  0.00398  0.50   82613     328   82448  3789387  45.87
  1947          18     0.00496  0.00495  0.50   82284     407   82081  3706939  45.05
  1947          19     0.00590  0.00588  0.50   81877     482   81636  3624858  44.27
  1947          20     0.00668  0.00666  0.50   81396     542   81124  3543222  43.53
  1947          21     0.00733  0.00730  0.50   80853     591   80558  3462097  42.82
  1947          22     0.00789  0.00786  0.50   80263     631   79947  3381539  42.13
  1947          23     0.00836  0.00833  0.50   79632     663   79300  3301592  41.46
  1947          24     0.00869  0.00865  0.50   78969     683   78627  3222291  40.80
  1947          25     0.00867  0.00863  0.50   78286     676   77948  3143664  40.16
  1947          26     0.00839  0.00835  0.50   77610     648   77286  3065716  39.50
  1947          27     0.00801  0.00798  0.50   76962     614   76655  2988430  38.83
  1947          28     0.00776  0.00773  0.50   76348     590   76053  2911776  38.14
  1947          29     0.00772  0.00769  0.50   75758     583   75466  2835723  37.43
  1947          30     0.00763  0.00761  0.50   75175     572   74889  2760256  36.72
  1947          31     0.00759  0.00756  0.50   74603     564   74321  2685367  36.00
  1947          32     0.00774  0.00771  0.50   74039     571   73754  2611046  35.27
  1947          33     0.00802  0.00799  0.50   73468     587   73175  2537292  34.54
  1947          34     0.00829  0.00825  0.50   72881     601   72581  2464117  33.81
  1947          35     0.00833  0.00830  0.50   72280     600   71980  2391536  33.09
  1947          36     0.00809  0.00806  0.50   71680     578   71391  2319556  32.36
  1947          37     0.00793  0.00790  0.50   71102     562   70822  2248165  31.62
  1947          38     0.00785  0.00782  0.50   70541     551   70265  2177344  30.87
  1947          39     0.00775  0.00772  0.50   69989     541   69719  2107079  30.11
  1947          40     0.00780  0.00777  0.50   69449     540   69179  2037360  29.34
  1947          41     0.00819  0.00816  0.50   68909     562   68628  1968181  28.56
  1947          42     0.00893  0.00889  0.50   68347     608   68043  1899553  27.79
  1947          43     0.00949  0.00945  0.50   67739     640   67419  1831511  27.04
  1947          44     0.00940  0.00936  0.50   67099     628   66785  1764092  26.29
  1947          45     0.00910  0.00906  0.50   66471     602   66170  1697307  25.53
  1947          46     0.00914  0.00910  0.50   65869     599   65569  1631137  24.76
  1947          47     0.00960  0.00955  0.50   65270     623   64958  1565567  23.99
  1947          48     0.01030  0.01025  0.50   64646     663   64315  1500610  23.21
  1947          49     0.01106  0.01100  0.50   63984     704   63632  1436295  22.45
  1947          50     0.01179  0.01172  0.50   63279     742   62909  1372663  21.69
  1947          51     0.01249  0.01241  0.50   62538     776   62150  1309755  20.94
  1947          52     0.01338  0.01329  0.50   61762     821   61351  1247605  20.20
  1947          53     0.01461  0.01450  0.50   60941     884   60499  1186254  19.47
  1947          54     0.01580  0.01567  0.50   60057     941   59586  1125755  18.74
  1947          55     0.01712  0.01697  0.50   59116    1003   58614  1066169  18.04
  1947          56     0.01883  0.01866  0.50   58112    1084   57570  1007555  17.34
  1947          57     0.02082  0.02061  0.50   57028    1175   56440   949985  16.66
  1947          58     0.02282  0.02256  0.50   55853    1260   55223   893544  16.00
  1947          59     0.02441  0.02412  0.50   54592    1317   53934   838322  15.36
  1947          60     0.02574  0.02542  0.50   53276    1354   52599   784387  14.72
  1947          61     0.02716  0.02680  0.50   51922    1391   51226   731789  14.09
  1947          62     0.02919  0.02877  0.50   50531    1454   49804   680562  13.47
  1947          63     0.03214  0.03163  0.50   49077    1553   48301   630759  12.85
  1947          64     0.03536  0.03474  0.50   47524    1651   46699   582458  12.26
  1947          65     0.03817  0.03745  0.50   45873    1718   45014   535759  11.68
  1947          66     0.04090  0.04008  0.50   44155    1770   43270   490745  11.11
  1947          67     0.04403  0.04308  0.50   42385    1826   41472   447475  10.56
  1947          68     0.04800  0.04687  0.50   40559    1901   39609   406003  10.01
  1947          69     0.05319  0.05181  0.50   38658    2003   37657   366394   9.48
  1947          70     0.05957  0.05785  0.50   36655    2121   35595   328738   8.97
  1947          71     0.06579  0.06370  0.50   34535    2200   33435   293143   8.49
  1947          72     0.07161  0.06914  0.50   32335    2235   31217   259708   8.03
  1947          73     0.07725  0.07438  0.50   30099    2239   28980   228491   7.59
  1947          74     0.08323  0.07991  0.50   27861    2226   26747   199511   7.16
  1947          75     0.08961  0.08577  0.50   25634    2199   24535   172764   6.74
  1947          76     0.09521  0.09088  0.50   23436    2130   22371   148229   6.32
  1947          77     0.10264  0.09763  0.50   21306    2080   20266   125858   5.91
  1947          78     0.11462  0.10841  0.50   19226    2084   18184   105592   5.49
  1947          79     0.13014  0.12219  0.50   17142    2094   16094    87408   5.10
  1947          80     0.14735  0.13724  0.50   15047    2065   14015    71314   4.74
  1947          81     0.16490  0.15234  0.50   12982    1978   11993    57299   4.41
  1947          82     0.18210  0.16690  0.50   11004    1837   10086    45306   4.12
  1947          83     0.20007  0.18188  0.50    9168    1667    8334    35220   3.84
  1947          84     0.21941  0.19772  0.50    7500    1483    6759    26886   3.58
  1947          85     0.24041  0.21461  0.50    6017    1291    5372    20127   3.34
  1947          86     0.26307  0.23249  0.50    4726    1099    4177    14755   3.12
  1947          87     0.28731  0.25122  0.50    3627     911    3172    10579   2.92
  1947          88     0.31303  0.27066  0.50    2716     735    2348     7407   2.73
  1947          89     0.34010  0.29067  0.50    1981     576    1693     5059   2.55
  1947          90     0.36837  0.31108  0.50    1405     437    1187     3366   2.40
  1947          91     0.39767  0.33171  0.50     968     321     807     2179   2.25
  1947          92     0.42776  0.35239  0.50     647     228     533     1372   2.12
  1947          93     0.45841  0.37293  0.50     419     156     341      839   2.00
  1947          94     0.48935  0.39316  0.50     263     103     211      498   1.90
  1947          95     0.52032  0.41290  0.50     159      66     127      287   1.80
  1947          96     0.55102  0.43200  0.50      94      40      73      160   1.71
  1947          97     0.58121  0.45034  0.50      53      24      41       87   1.64
  1947          98     0.61062  0.46780  0.50      29      14      22       46   1.57
  1947          99     0.63904  0.48430  0.50      16       8      12       23   1.51
  1947         100     0.66628  0.49978  0.50       8       4       6       12   1.45
  1947         101     0.69217  0.51421  0.50       4       2       3        6   1.40
  1947         102     0.71661  0.52758  0.50       2       1       1        3   1.36
  1947         103     0.73953  0.53989  0.50       1       0       1        1   1.32
  1947         104     0.76086  0.55118  0.50       0       0       0        1   1.29
  1947         105     0.78062  0.56147  0.50       0       0       0        0   1.26
  1947         106     0.79879  0.57081  0.50       0       0       0        0   1.23
  1947         107     0.81541  0.57925  0.50       0       0       0        0   1.21
  1947         108     0.83062  0.58688  0.50       0       0       0        0   1.19
  1947         109     0.84466  0.59386  0.50       0       0       0        0   1.17
  1947         110+    0.86462  1.00000  1.16       0       0       0        0   1.16
  1948           0     0.06061  0.05786  0.22  100000    5786   95459  5862358  58.62
  1948           1     0.01457  0.01447  0.50   94214    1363   93532  5766899  61.21
  1948           2     0.01144  0.01138  0.50   92851    1057   92323  5673366  61.10
  1948           3     0.00860  0.00857  0.50   91794     786   91401  5581044  60.80
  1948           4     0.00618  0.00616  0.50   91008     561   90728  5489642  60.32
  1948           5     0.00426  0.00425  0.50   90447     384   90255  5398915  59.69
  1948           6     0.00284  0.00284  0.50   90063     256   89935  5308660  58.94
  1948           7     0.00190  0.00189  0.50   89807     170   89722  5218725  58.11
  1948           8     0.00133  0.00133  0.50   89637     119   89578  5129002  57.22
  1948           9     0.00104  0.00104  0.50   89518      93   89472  5039425  56.29
  1948          10     0.00095  0.00095  0.50   89425      85   89383  4949953  55.35
  1948          11     0.00099  0.00099  0.50   89341      89   89297  4860570  54.40
  1948          12     0.00113  0.00112  0.50   89252     100   89202  4771273  53.46
  1948          13     0.00132  0.00132  0.50   89152     117   89093  4682071  52.52
  1948          14     0.00158  0.00158  0.50   89035     141   88964  4592978  51.59
  1948          15     0.00194  0.00194  0.50   88894     173   88808  4504014  50.67
  1948          16     0.00243  0.00242  0.50   88721     215   88614  4415206  49.76
  1948          17     0.00305  0.00304  0.50   88506     269   88372  4326592  48.88
  1948          18     0.00376  0.00375  0.50   88237     331   88072  4238221  48.03
  1948          19     0.00451  0.00450  0.50   87906     396   87708  4150149  47.21
  1948          20     0.00525  0.00524  0.50   87511     459   87281  4062441  46.42
  1948          21     0.00593  0.00591  0.50   87052     514   86795  3975159  45.66
  1948          22     0.00648  0.00646  0.50   86538     559   86258  3888364  44.93
  1948          23     0.00687  0.00685  0.50   85979     589   85685  3802106  44.22
  1948          24     0.00710  0.00707  0.50   85390     604   85088  3716421  43.52
  1948          25     0.00721  0.00718  0.50   84787     609   84482  3631333  42.83
  1948          26     0.00723  0.00720  0.50   84178     606   83875  3546851  42.14
  1948          27     0.00719  0.00716  0.50   83571     599   83272  3462976  41.44
  1948          28     0.00709  0.00706  0.50   82973     586   82680  3379704  40.73
  1948          29     0.00693  0.00691  0.50   82387     569   82102  3297025  40.02
  1948          30     0.00674  0.00672  0.50   81817     550   81543  3214923  39.29
  1948          31     0.00656  0.00654  0.50   81268     532   81002  3133380  38.56
  1948          32     0.00645  0.00643  0.50   80736     519   80477  3052378  37.81
  1948          33     0.00643  0.00641  0.50   80217     514   79960  2971902  37.05
  1948          34     0.00651  0.00649  0.50   79703     518   79445  2891941  36.28
  1948          35     0.00666  0.00664  0.50   79186     526   78923  2812497  35.52
  1948          36     0.00681  0.00679  0.50   78660     534   78393  2733574  34.75
  1948          37     0.00689  0.00687  0.50   78126     536   77858  2655181  33.99
  1948          38     0.00692  0.00690  0.50   77589     535   77322  2577323  33.22
  1948          39     0.00693  0.00691  0.50   77054     532   76788  2500002  32.44
  1948          40     0.00694  0.00692  0.50   76522     529   76257  2423213  31.67
  1948          41     0.00695  0.00693  0.50   75993     526   75730  2346956  30.88
  1948          42     0.00697  0.00695  0.50   75467     524   75204  2271226  30.10
  1948          43     0.00708  0.00706  0.50   74942     529   74678  2196022  29.30
  1948          44     0.00735  0.00733  0.50   74413     545   74140  2121344  28.51
  1948          45     0.00775  0.00772  0.50   73868     571   73583  2047204  27.71
  1948          46     0.00823  0.00820  0.50   73297     601   72997  1973621  26.93
  1948          47     0.00874  0.00870  0.50   72696     633   72380  1900624  26.14
  1948          48     0.00928  0.00924  0.50   72064     666   71731  1828244  25.37
  1948          49     0.00987  0.00983  0.50   71398     702   71047  1756514  24.60
  1948          50     0.01049  0.01044  0.50   70696     738   70327  1685467  23.84
  1948          51     0.01112  0.01106  0.50   69958     774   69571  1615140  23.09
  1948          52     0.01179  0.01172  0.50   69184     811   68779  1545568  22.34
  1948          53     0.01250  0.01242  0.50   68374     849   67949  1476789  21.60
  1948          54     0.01323  0.01314  0.50   67524     887   67081  1408840  20.86
  1948          55     0.01400  0.01391  0.50   66637     927   66174  1341760  20.14
  1948          56     0.01487  0.01476  0.50   65710     970   65225  1275586  19.41
  1948          57     0.01593  0.01580  0.50   64741    1023   64229  1210361  18.70
  1948          58     0.01725  0.01710  0.50   63717    1090   63173  1146132  17.99
  1948          59     0.01871  0.01853  0.50   62628    1161   62047  1082959  17.29
  1948          60     0.02023  0.02003  0.50   61467    1231   60852  1020911  16.61
  1948          61     0.02181  0.02157  0.50   60236    1299   59586   960060  15.94
  1948          62     0.02358  0.02331  0.50   58937    1374   58250   900473  15.28
  1948          63     0.02569  0.02537  0.50   57563    1460   56833   842223  14.63
  1948          64     0.02806  0.02767  0.50   56103    1552   55327   785390  14.00
  1948          65     0.03058  0.03012  0.50   54551    1643   53729   730063  13.38
  1948          66     0.03327  0.03272  0.50   52908    1731   52042   676334  12.78
  1948          67     0.03604  0.03540  0.50   51176    1812   50271   624292  12.20
  1948          68     0.03880  0.03806  0.50   49365    1879   48425   574021  11.63
  1948          69     0.04165  0.04080  0.50   47486    1938   46517   525596  11.07
  1948          70     0.04475  0.04378  0.50   45548    1994   44551   479079  10.52
  1948          71     0.04828  0.04714  0.50   43554    2053   42528   434528   9.98
  1948          72     0.05237  0.05103  0.50   41501    2118   40442   392000   9.45
  1948          73     0.05712  0.05553  0.50   39383    2187   38290   351558   8.93
  1948          74     0.06260  0.06070  0.50   37196    2258   36067   313268   8.42
  1948          75     0.06896  0.06666  0.50   34938    2329   33774   277201   7.93
