39.Kochi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09112  0.08565  0.30  100000    8565   93991  5326750  53.27
  1947           1     0.01934  0.01915  0.50   91435    1751   90560  5232759  57.23
  1947           2     0.01607  0.01594  0.50   89684    1430   88969  5142199  57.34
  1947           3     0.01294  0.01286  0.50   88254    1135   87687  5053230  57.26
  1947           4     0.01010  0.01004  0.50   87120     875   86682  4965543  57.00
  1947           5     0.00765  0.00762  0.50   86245     657   85916  4878861  56.57
  1947           6     0.00564  0.00562  0.50   85588     481   85347  4792945  56.00
  1947           7     0.00409  0.00408  0.50   85107     347   84933  4707598  55.31
  1947           8     0.00297  0.00296  0.50   84759     251   84634  4622665  54.54
  1947           9     0.00223  0.00222  0.50   84508     188   84414  4538031  53.70
  1947          10     0.00180  0.00180  0.50   84320     152   84244  4453617  52.82
  1947          11     0.00165  0.00165  0.50   84168     139   84099  4369373  51.91
  1947          12     0.00173  0.00172  0.50   84029     145   83956  4285274  51.00
  1947          13     0.00198  0.00198  0.50   83884     166   83801  4201318  50.08
  1947          14     0.00240  0.00240  0.50   83718     201   83617  4117517  49.18
  1947          15     0.00293  0.00293  0.50   83517     245   83395  4033900  48.30
  1947          16     0.00355  0.00355  0.50   83272     295   83125  3950505  47.44
  1947          17     0.00422  0.00421  0.50   82977     349   82802  3867380  46.61
  1947          18     0.00489  0.00488  0.50   82628     403   82426  3784578  45.80
  1947          19     0.00553  0.00551  0.50   82225     453   81998  3702151  45.02
  1947          20     0.00610  0.00608  0.50   81771     497   81523  3620153  44.27
  1947          21     0.00659  0.00657  0.50   81275     534   81008  3538630  43.54
  1947          22     0.00700  0.00698  0.50   80741     564   80459  3457622  42.82
  1947          23     0.00735  0.00733  0.50   80177     588   79884  3377163  42.12
  1947          24     0.00764  0.00761  0.50   79590     606   79287  3297280  41.43
  1947          25     0.00787  0.00784  0.50   78984     619   78674  3217993  40.74
  1947          26     0.00803  0.00800  0.50   78365     627   78051  3139318  40.06
  1947          27     0.00813  0.00810  0.50   77738     629   77423  3061267  39.38
  1947          28     0.00817  0.00814  0.50   77109     628   76795  2983844  38.70
  1947          29     0.00818  0.00815  0.50   76481     623   76170  2907049  38.01
  1947          30     0.00816  0.00812  0.50   75858     616   75550  2830879  37.32
  1947          31     0.00812  0.00809  0.50   75242     609   74937  2755329  36.62
  1947          32     0.00808  0.00805  0.50   74633     601   74333  2680392  35.91
  1947          33     0.00805  0.00802  0.50   74032     594   73735  2606059  35.20
  1947          34     0.00803  0.00799  0.50   73439     587   73145  2532324  34.48
  1947          35     0.00801  0.00798  0.50   72852     581   72561  2459179  33.76
  1947          36     0.00800  0.00797  0.50   72270     576   71982  2386618  33.02
  1947          37     0.00801  0.00798  0.50   71694     572   71408  2314636  32.28
  1947          38     0.00804  0.00800  0.50   71122     569   70837  2243228  31.54
  1947          39     0.00809  0.00805  0.50   70553     568   70269  2172390  30.79
  1947          40     0.00816  0.00813  0.50   69985     569   69700  2102122  30.04
  1947          41     0.00827  0.00824  0.50   69416     572   69130  2032422  29.28
  1947          42     0.00841  0.00838  0.50   68844     577   68556  1963292  28.52
  1947          43     0.00859  0.00855  0.50   68267     584   67975  1894736  27.75
  1947          44     0.00878  0.00874  0.50   67684     592   67388  1826761  26.99
  1947          45     0.00902  0.00898  0.50   67092     602   66791  1759373  26.22
  1947          46     0.00931  0.00927  0.50   66489     616   66181  1692583  25.46
  1947          47     0.00966  0.00961  0.50   65873     633   65557  1626401  24.69
  1947          48     0.01007  0.01002  0.50   65240     654   64913  1560845  23.92
  1947          49     0.01055  0.01050  0.50   64586     678   64247  1495932  23.16
  1947          50     0.01112  0.01106  0.50   63908     707   63555  1431685  22.40
  1947          51     0.01179  0.01172  0.50   63201     741   62831  1368130  21.65
  1947          52     0.01256  0.01249  0.50   62461     780   62071  1305299  20.90
  1947          53     0.01346  0.01337  0.50   61681     825   61269  1243228  20.16
  1947          54     0.01447  0.01437  0.50   60856     874   60419  1181959  19.42
  1947          55     0.01561  0.01548  0.50   59982     929   59518  1121540  18.70
  1947          56     0.01687  0.01673  0.50   59053     988   58559  1062022  17.98
  1947          57     0.01827  0.01811  0.50   58065    1051   57540  1003463  17.28
  1947          58     0.01982  0.01963  0.50   57014    1119   56454   945923  16.59
  1947          59     0.02151  0.02128  0.50   55895    1189   55300   889469  15.91
  1947          60     0.02332  0.02305  0.50   54705    1261   54075   834169  15.25
  1947          61     0.02523  0.02492  0.50   53444    1332   52778   780094  14.60
  1947          62     0.02725  0.02688  0.50   52113    1401   51412   727315  13.96
  1947          63     0.02937  0.02895  0.50   50712    1468   49978   675903  13.33
  1947          64     0.03163  0.03113  0.50   49244    1533   48477   625926  12.71
  1947          65     0.03407  0.03350  0.50   47711    1598   46911   577449  12.10
  1947          66     0.03681  0.03615  0.50   46112    1667   45279   530537  11.51
  1947          67     0.03995  0.03917  0.50   44446    1741   43575   485258  10.92
  1947          68     0.04357  0.04265  0.50   42705    1821   41794   441683  10.34
  1947          69     0.04775  0.04664  0.50   40883    1907   39930   399889   9.78
  1947          70     0.05254  0.05120  0.50   38977    1996   37979   359959   9.24
  1947          71     0.05796  0.05633  0.50   36981    2083   35940   321980   8.71
  1947          72     0.06410  0.06211  0.50   34898    2167   33814   286040   8.20
  1947          73     0.07105  0.06861  0.50   32731    2246   31608   252225   7.71
  1947          74     0.07889  0.07590  0.50   30485    2314   29328   220618   7.24
  1947          75     0.08766  0.08398  0.50   28171    2366   26988   191289   6.79
  1947          76     0.09734  0.09282  0.50   25805    2395   24608   164301   6.37
  1947          77     0.10799  0.10246  0.50   23410    2399   22211   139693   5.97
  1947          78     0.11968  0.11292  0.50   21012    2373   19825   117482   5.59
  1947          79     0.13228  0.12408  0.50   18639    2313   17483    97657   5.24
  1947          80     0.14569  0.13580  0.50   16326    2217   15218    80174   4.91
  1947          81     0.15997  0.14812  0.50   14109    2090   13064    64957   4.60
  1947          82     0.17523  0.16111  0.50   12019    1936   11051    51892   4.32
  1947          83     0.19155  0.17481  0.50   10083    1763    9202    40841   4.05
  1947          84     0.20894  0.18918  0.50    8320    1574    7533    31639   3.80
  1947          85     0.22739  0.20417  0.50    6746    1377    6058    24106   3.57
  1947          86     0.24680  0.21969  0.50    5369    1180    4779    18048   3.36
  1947          87     0.26707  0.23561  0.50    4189     987    3696    13269   3.17
  1947          88     0.28806  0.25179  0.50    3202     806    2799     9573   2.99
  1947          89     0.30959  0.26809  0.50    2396     642    2075     6774   2.83
  1947          90     0.33149  0.28436  0.50    1754     499    1504     4699   2.68
  1947          91     0.35358  0.30046  0.50    1255     377    1066     3195   2.55
  1947          92     0.37568  0.31627  0.50     878     278     739     2128   2.42
  1947          93     0.39764  0.33169  0.50     600     199     501     1389   2.31
  1947          94     0.41931  0.34663  0.50     401     139     332      889   2.22
  1947          95     0.44058  0.36105  0.50     262      95     215      557   2.13
  1947          96     0.46139  0.37490  0.50     167      63     136      342   2.04
  1947          97     0.48168  0.38819  0.50     105      41      84      206   1.97
  1947          98     0.50146  0.40093  0.50      64      26      51      122   1.90
  1947          99     0.52073  0.41316  0.50      38      16      30       71   1.84
  1947         100     0.53954  0.42491  0.50      23      10      18       40   1.78
  1947         101     0.55795  0.43625  0.50      13       6      10       22   1.73
  1947         102     0.57602  0.44721  0.50       7       3       6       12   1.68
  1947         103     0.59382  0.45787  0.50       4       2       3        7   1.63
  1947         104     0.61141  0.46826  0.50       2       1       2        3   1.59
  1947         105     0.62886  0.47843  0.50       1       1       1        2   1.55
  1947         106     0.64620  0.48840  0.50       1       0       0        1   1.51
  1947         107     0.66347  0.49820  0.50       0       0       0        0   1.47
  1947         108     0.68070  0.50785  0.50       0       0       0        0   1.44
  1947         109     0.69790  0.51736  0.50       0       0       0        0   1.40
  1947         110+    0.72843  1.00000  1.37       0       0       0        0   1.37
  1948           0     0.06565  0.06249  0.23  100000    6249   95185  5857931  58.58
  1948           1     0.01536  0.01524  0.50   93751    1429   93036  5762747  61.47
  1948           2     0.01156  0.01149  0.50   92322    1061   91791  5669710  61.41
  1948           3     0.00825  0.00822  0.50   91261     750   90885  5577919  61.12
  1948           4     0.00562  0.00560  0.50   90510     507   90257  5487034  60.62
  1948           5     0.00373  0.00372  0.50   90003     335   89836  5396777  59.96
  1948           6     0.00254  0.00254  0.50   89669     227   89555  5306941  59.18
  1948           7     0.00194  0.00194  0.50   89441     173   89355  5217386  58.33
  1948           8     0.00164  0.00164  0.50   89268     147   89195  5128031  57.45
  1948           9     0.00148  0.00148  0.50   89121     132   89055  5038837  56.54
  1948          10     0.00135  0.00135  0.50   88989     120   88929  4949781  55.62
  1948          11     0.00127  0.00127  0.50   88869     113   88812  4860852  54.70
  1948          12     0.00127  0.00127  0.50   88756     113   88700  4772040  53.77
  1948          13     0.00139  0.00139  0.50   88643     123   88582  4683341  52.83
  1948          14     0.00161  0.00161  0.50   88520     143   88449  4594759  51.91
  1948          15     0.00196  0.00196  0.50   88378     173   88291  4506310  50.99
  1948          16     0.00245  0.00245  0.50   88204     216   88096  4418019  50.09
  1948          17     0.00309  0.00308  0.50   87988     271   87852  4329923  49.21
  1948          18     0.00382  0.00381  0.50   87717     334   87550  4242071  48.36
  1948          19     0.00457  0.00456  0.50   87382     398   87183  4154521  47.54
  1948          20     0.00525  0.00524  0.50   86984     456   86756  4067338  46.76
  1948          21     0.00583  0.00581  0.50   86528     503   86277  3980581  46.00
  1948          22     0.00625  0.00623  0.50   86026     536   85758  3894304  45.27
  1948          23     0.00651  0.00649  0.50   85490     555   85212  3808546  44.55
  1948          24     0.00666  0.00663  0.50   84935     563   84653  3723334  43.84
  1948          25     0.00674  0.00671  0.50   84371     566   84088  3638681  43.13
  1948          26     0.00682  0.00679  0.50   83805     569   83520  3554592  42.42
  1948          27     0.00693  0.00691  0.50   83236     575   82948  3471072  41.70
  1948          28     0.00700  0.00697  0.50   82661     576   82373  3388124  40.99
  1948          29     0.00693  0.00690  0.50   82084     567   81801  3305751  40.27
  1948          30     0.00674  0.00672  0.50   81518     548   81244  3223950  39.55
  1948          31     0.00651  0.00649  0.50   80970     526   80707  3142706  38.81
  1948          32     0.00630  0.00628  0.50   80445     505   80192  3061998  38.06
  1948          33     0.00613  0.00611  0.50   79940     488   79696  2981806  37.30
  1948          34     0.00603  0.00602  0.50   79451     478   79212  2902111  36.53
  1948          35     0.00605  0.00603  0.50   78973     476   78735  2822898  35.74
  1948          36     0.00618  0.00616  0.50   78497     484   78255  2744163  34.96
  1948          37     0.00635  0.00633  0.50   78013     494   77766  2665908  34.17
  1948          38     0.00657  0.00655  0.50   77519     507   77265  2588142  33.39
  1948          39     0.00684  0.00682  0.50   77012     525   76749  2510877  32.60
  1948          40     0.00714  0.00711  0.50   76487     544   76215  2434128  31.82
  1948          41     0.00737  0.00734  0.50   75943     558   75664  2357913  31.05
  1948          42     0.00738  0.00735  0.50   75385     554   75108  2282249  30.27
  1948          43     0.00732  0.00729  0.50   74831     546   74558  2207141  29.50
  1948          44     0.00741  0.00738  0.50   74285     548   74011  2132583  28.71
  1948          45     0.00770  0.00767  0.50   73737     566   73454  2058572  27.92
  1948          46     0.00820  0.00817  0.50   73171     598   72872  1985118  27.13
  1948          47     0.00881  0.00877  0.50   72573     636   72255  1912246  26.35
  1948          48     0.00938  0.00934  0.50   71937     672   71601  1839990  25.58
  1948          49     0.00985  0.00980  0.50   71265     698   70916  1768389  24.81
  1948          50     0.01036  0.01030  0.50   70567     727   70203  1697474  24.05
  1948          51     0.01105  0.01099  0.50   69840     767   69456  1627270  23.30
  1948          52     0.01176  0.01169  0.50   69072     808   68668  1557815  22.55
  1948          53     0.01231  0.01223  0.50   68264     835   67847  1489146  21.81
  1948          54     0.01270  0.01262  0.50   67429     851   67004  1421299  21.08
  1948          55     0.01315  0.01306  0.50   66578     869   66144  1354296  20.34
  1948          56     0.01385  0.01376  0.50   65709     904   65257  1288152  19.60
  1948          57     0.01499  0.01488  0.50   64805     964   64323  1222895  18.87
  1948          58     0.01657  0.01644  0.50   63841    1049   63316  1158573  18.15
  1948          59     0.01820  0.01804  0.50   62791    1133   62225  1095257  17.44
  1948          60     0.01969  0.01950  0.50   61658    1202   61057  1033032  16.75
  1948          61     0.02098  0.02076  0.50   60456    1255   59829   971975  16.08
  1948          62     0.02222  0.02198  0.50   59201    1301   58550   912146  15.41
  1948          63     0.02362  0.02334  0.50   57900    1352   57224   853596  14.74
  1948          64     0.02527  0.02496  0.50   56548    1411   55843   796372  14.08
  1948          65     0.02736  0.02699  0.50   55137    1488   54393   740529  13.43
  1948          66     0.03027  0.02982  0.50   53649    1600   52849   686136  12.79
  1948          67     0.03361  0.03305  0.50   52049    1720   51189   633287  12.17
  1948          68     0.03692  0.03625  0.50   50329    1825   49417   582098  11.57
  1948          69     0.04024  0.03945  0.50   48504    1913   47548   532682  10.98
  1948          70     0.04386  0.04292  0.50   46591    1999   45591   485134  10.41
