04.Miyagi.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09202  0.08647  0.30  100000    8647   93962  5218786  52.19
  1947           1     0.03053  0.03007  0.50   91353    2747   89980  5124824  56.10
  1947           2     0.02189  0.02165  0.50   88606    1918   87647  5034844  56.82
  1947           3     0.01456  0.01445  0.50   86688    1253   86062  4947196  57.07
  1947           4     0.00902  0.00898  0.50   85435     767   85052  4861135  56.90
  1947           5     0.00540  0.00539  0.50   84668     456   84440  4776083  56.41
  1947           6     0.00330  0.00330  0.50   84212     278   84073  4691643  55.71
  1947           7     0.00221  0.00221  0.50   83934     185   83842  4607569  54.89
  1947           8     0.00168  0.00168  0.50   83749     141   83679  4523727  54.02
  1947           9     0.00148  0.00147  0.50   83608     123   83547  4440049  53.11
  1947          10     0.00142  0.00141  0.50   83485     118   83426  4356502  52.18
  1947          11     0.00147  0.00146  0.50   83367     122   83306  4273076  51.26
  1947          12     0.00162  0.00162  0.50   83245     135   83177  4189771  50.33
  1947          13     0.00188  0.00188  0.50   83110     156   83032  4106593  49.41
  1947          14     0.00222  0.00222  0.50   82954     184   82862  4023561  48.50
  1947          15     0.00263  0.00262  0.50   82770     217   82662  3940699  47.61
  1947          16     0.00309  0.00309  0.50   82553     255   82426  3858037  46.73
  1947          17     0.00364  0.00363  0.50   82298     299   82148  3775612  45.88
  1947          18     0.00427  0.00426  0.50   81999     350   81824  3693464  45.04
  1947          19     0.00498  0.00497  0.50   81649     406   81446  3611639  44.23
  1947          20     0.00568  0.00566  0.50   81244     460   81014  3530193  43.45
  1947          21     0.00635  0.00633  0.50   80784     511   80528  3449179  42.70
  1947          22     0.00697  0.00694  0.50   80273     557   79994  3368651  41.97
  1947          23     0.00748  0.00745  0.50   79715     594   79418  3288657  41.26
  1947          24     0.00782  0.00778  0.50   79121     616   78813  3209239  40.56
  1947          25     0.00795  0.00792  0.50   78505     622   78194  3130426  39.88
  1947          26     0.00792  0.00788  0.50   77883     614   77576  3052232  39.19
  1947          27     0.00774  0.00771  0.50   77269     596   76971  2974656  38.50
  1947          28     0.00750  0.00747  0.50   76673     573   76387  2897685  37.79
  1947          29     0.00726  0.00724  0.50   76101     551   75825  2821298  37.07
  1947          30     0.00704  0.00701  0.50   75550     530   75285  2745473  36.34
  1947          31     0.00684  0.00681  0.50   75020     511   74764  2670188  35.59
  1947          32     0.00669  0.00667  0.50   74509     497   74260  2595423  34.83
  1947          33     0.00663  0.00661  0.50   74012     489   73767  2521163  34.06
  1947          34     0.00670  0.00668  0.50   73523     491   73277  2447396  33.29
  1947          35     0.00692  0.00690  0.50   73032     504   72780  2374118  32.51
  1947          36     0.00725  0.00722  0.50   72528     524   72266  2301339  31.73
  1947          37     0.00751  0.00748  0.50   72004     539   71735  2229073  30.96
  1947          38     0.00775  0.00772  0.50   71465     552   71190  2157338  30.19
  1947          39     0.00804  0.00801  0.50   70914     568   70630  2086148  29.42
  1947          40     0.00835  0.00832  0.50   70346     585   70053  2015519  28.65
  1947          41     0.00865  0.00862  0.50   69761     601   69460  1945465  27.89
  1947          42     0.00896  0.00892  0.50   69160     617   68851  1876005  27.13
  1947          43     0.00924  0.00919  0.50   68543     630   68228  1807154  26.37
  1947          44     0.00946  0.00941  0.50   67913     639   67593  1738926  25.61
  1947          45     0.00964  0.00960  0.50   67273     646   66950  1671333  24.84
  1947          46     0.00984  0.00980  0.50   66628     653   66301  1604383  24.08
  1947          47     0.01013  0.01008  0.50   65975     665   65643  1538081  23.31
  1947          48     0.01054  0.01048  0.50   65310     685   64968  1472439  22.55
  1947          49     0.01109  0.01103  0.50   64626     713   64269  1407471  21.78
  1947          50     0.01179  0.01172  0.50   63913     749   63538  1343202  21.02
  1947          51     0.01266  0.01258  0.50   63164     795   62766  1279663  20.26
  1947          52     0.01372  0.01363  0.50   62369     850   61944  1216897  19.51
  1947          53     0.01498  0.01487  0.50   61519     915   61061  1154953  18.77
  1947          54     0.01641  0.01628  0.50   60604     986   60111  1093892  18.05
  1947          55     0.01800  0.01784  0.50   59618    1064   59086  1033781  17.34
  1947          56     0.01977  0.01957  0.50   58554    1146   57981   974695  16.65
  1947          57     0.02171  0.02147  0.50   57408    1233   56791   916715  15.97
  1947          58     0.02382  0.02354  0.50   56175    1322   55514   859923  15.31
  1947          59     0.02611  0.02578  0.50   54853    1414   54146   804410  14.66
  1947          60     0.02858  0.02818  0.50   53439    1506   52686   750264  14.04
  1947          61     0.03120  0.03072  0.50   51933    1595   51135   697578  13.43
  1947          62     0.03396  0.03340  0.50   50338    1681   49497   646443  12.84
  1947          63     0.03687  0.03620  0.50   48656    1761   47776   596946  12.27
  1947          64     0.03992  0.03914  0.50   46895    1835   45977   549170  11.71
  1947          65     0.04315  0.04224  0.50   45060    1903   44108   503193  11.17
  1947          66     0.04668  0.04562  0.50   43156    1969   42172   459085  10.64
  1947          67     0.05045  0.04921  0.50   41188    2027   40174   416913  10.12
  1947          68     0.05439  0.05295  0.50   39161    2074   38124   376739   9.62
  1947          69     0.05862  0.05695  0.50   37087    2112   36031   338615   9.13
  1947          70     0.06330  0.06136  0.50   34975    2146   33902   302583   8.65
  1947          71     0.06852  0.06625  0.50   32829    2175   31742   268681   8.18
  1947          72     0.07447  0.07179  0.50   30654    2201   29554   236940   7.73
  1947          73     0.08129  0.07811  0.50   28454    2223   27342   207386   7.29
  1947          74     0.08883  0.08505  0.50   26231    2231   25115   180043   6.86
  1947          75     0.09684  0.09236  0.50   24000    2217   22891   154928   6.46
  1947          76     0.10518  0.09993  0.50   21783    2177   20695   132037   6.06
  1947          77     0.11472  0.10849  0.50   19606    2127   18543   111342   5.68
  1947          78     0.12628  0.11878  0.50   17479    2076   16441    92799   5.31
  1947          79     0.13965  0.13053  0.50   15403    2011   14398    76358   4.96
  1947          80     0.15443  0.14336  0.50   13393    1920   12433    61960   4.63
