40.Fukuoka.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08700  0.08192  0.29  100000    8192   94162  5079148  50.79
  1947           1     0.03662  0.03596  0.50   91808    3301   90157  4984986  54.30
  1947           2     0.02344  0.02317  0.50   88506    2051   87481  4894829  55.30
  1947           3     0.01371  0.01362  0.50   86456    1178   85867  4807348  55.60
  1947           4     0.00767  0.00764  0.50   85278     652   84952  4721481  55.37
  1947           5     0.00460  0.00459  0.50   84626     388   84432  4636529  54.79
  1947           6     0.00333  0.00332  0.50   84238     280   84098  4552097  54.04
  1947           7     0.00274  0.00273  0.50   83958     229   83843  4467999  53.22
  1947           8     0.00241  0.00241  0.50   83729     202   83628  4384156  52.36
  1947           9     0.00218  0.00218  0.50   83527     182   83436  4300528  51.49
  1947          10     0.00195  0.00195  0.50   83345     162   83264  4217092  50.60
  1947          11     0.00180  0.00180  0.50   83183     150   83108  4133828  49.70
  1947          12     0.00186  0.00186  0.50   83033     154   82956  4050720  48.78
  1947          13     0.00215  0.00215  0.50   82878     178   82790  3967765  47.87
  1947          14     0.00265  0.00264  0.50   82701     219   82591  3884975  46.98
  1947          15     0.00333  0.00333  0.50   82482     275   82345  3802384  46.10
  1947          16     0.00418  0.00417  0.50   82207     343   82036  3720039  45.25
  1947          17     0.00514  0.00513  0.50   81865     420   81655  3638003  44.44
  1947          18     0.00618  0.00616  0.50   81445     502   81194  3556348  43.67
  1947          19     0.00722  0.00719  0.50   80943     582   80652  3475154  42.93
  1947          20     0.00807  0.00804  0.50   80361     646   80038  3394502  42.24
  1947          21     0.00866  0.00862  0.50   79715     687   79371  3314464  41.58
  1947          22     0.00893  0.00889  0.50   79027     703   78676  3235093  40.94
  1947          23     0.00891  0.00887  0.50   78325     695   77977  3156417  40.30
  1947          24     0.00869  0.00865  0.50   77630     671   77294  3078440  39.66
  1947          25     0.00847  0.00844  0.50   76958     649   76634  3001146  39.00
  1947          26     0.00834  0.00831  0.50   76309     634   75992  2924512  38.32
  1947          27     0.00829  0.00825  0.50   75675     625   75363  2848520  37.64
  1947          28     0.00826  0.00823  0.50   75051     617   74742  2773157  36.95
  1947          29     0.00819  0.00816  0.50   74433     607   74130  2698415  36.25
  1947          30     0.00806  0.00803  0.50   73826     593   73530  2624285  35.55
  1947          31     0.00794  0.00791  0.50   73233     579   72944  2550756  34.83
  1947          32     0.00789  0.00786  0.50   72654     571   72368  2477812  34.10
  1947          33     0.00788  0.00785  0.50   72083     566   71800  2405444  33.37
  1947          34     0.00787  0.00784  0.50   71517     561   71237  2333644  32.63
  1947          35     0.00793  0.00790  0.50   70957     560   70676  2262407  31.88
  1947          36     0.00811  0.00807  0.50   70396     568   70112  2191730  31.13
  1947          37     0.00831  0.00827  0.50   69828     578   69539  2121618  30.38
  1947          38     0.00855  0.00851  0.50   69250     589   68955  2052080  29.63
  1947          39     0.00888  0.00884  0.50   68661     607   68357  1983124  28.88
  1947          40     0.00928  0.00924  0.50   68054     629   67739  1914767  28.14
  1947          41     0.00967  0.00963  0.50   67425     649   67100  1847028  27.39
  1947          42     0.00993  0.00988  0.50   66776     660   66446  1779927  26.66
  1947          43     0.01017  0.01012  0.50   66116     669   65782  1713481  25.92
  1947          44     0.01055  0.01049  0.50   65447     687   65104  1647699  25.18
  1947          45     0.01101  0.01095  0.50   64761     709   64406  1582595  24.44
  1947          46     0.01144  0.01138  0.50   64051     729   63687  1518189  23.70
  1947          47     0.01179  0.01172  0.50   63323     742   62951  1454502  22.97
  1947          48     0.01218  0.01210  0.50   62580     757   62202  1391551  22.24
  1947          49     0.01274  0.01265  0.50   61823     782   61432  1329349  21.50
  1947          50     0.01356  0.01346  0.50   61041     822   60630  1267918  20.77
  1947          51     0.01468  0.01457  0.50   60219     877   59780  1207288  20.05
  1947          52     0.01600  0.01587  0.50   59341     942   58871  1147508  19.34
  1947          53     0.01733  0.01718  0.50   58400    1003   57898  1088638  18.64
  1947          54     0.01838  0.01822  0.50   57396    1046   56874  1030740  17.96
  1947          55     0.01940  0.01922  0.50   56351    1083   55809   973866  17.28
  1947          56     0.02074  0.02052  0.50   55268    1134   54701   918057  16.61
  1947          57     0.02257  0.02232  0.50   54134    1208   53530   863356  15.95
  1947          58     0.02489  0.02459  0.50   52926    1301   52275   809826  15.30
  1947          59     0.02725  0.02689  0.50   51624    1388   50930   757551  14.67
  1947          60     0.02946  0.02903  0.50   50236    1458   49507   706621  14.07
  1947          61     0.03151  0.03102  0.50   48778    1513   48021   657114  13.47
  1947          62     0.03375  0.03319  0.50   47265    1569   46481   609093  12.89
  1947          63     0.03653  0.03587  0.50   45696    1639   44876   562612  12.31
  1947          64     0.03981  0.03904  0.50   44057    1720   43197   517736  11.75
  1947          65     0.04347  0.04255  0.50   42337    1801   41436   474539  11.21
  1947          66     0.04731  0.04622  0.50   40536    1873   39599   433102  10.68
  1947          67     0.05122  0.04994  0.50   38662    1931   37697   393503  10.18
  1947          68     0.05515  0.05367  0.50   36732    1971   35746   355806   9.69
  1947          69     0.05930  0.05759  0.50   34760    2002   33759   320060   9.21
  1947          70     0.06383  0.06185  0.50   32758    2026   31745   286301   8.74
  1947          71     0.06872  0.06644  0.50   30732    2042   29711   254556   8.28
  1947          72     0.07420  0.07154  0.50   28690    2053   27664   224845   7.84
  1947          73     0.08054  0.07743  0.50   26638    2062   25607   197181   7.40
  1947          74     0.08814  0.08442  0.50   24575    2075   23538   171574   6.98
  1947          75     0.09680  0.09233  0.50   22501    2077   21462   148036   6.58
  1947          76     0.10480  0.09958  0.50   20423    2034   19406   126575   6.20
  1947          77     0.11333  0.10725  0.50   18389    1972   17403   107168   5.83
  1947          78     0.12405  0.11680  0.50   16417    1918   15458    89765   5.47
  1947          79     0.13717  0.12837  0.50   14499    1861   13569    74307   5.12
  1947          80     0.15231  0.14153  0.50   12638    1789   11744    60738   4.81
  1947          81     0.16802  0.15500  0.50   10850    1682   10009    48994   4.52
  1947          82     0.18297  0.16764  0.50    9168    1537    8399    38985   4.25
  1947          83     0.19742  0.17968  0.50    7631    1371    6945    30586   4.01
  1947          84     0.21248  0.19208  0.50    6260    1202    5659    23640   3.78
  1947          85     0.22916  0.20560  0.50    5057    1040    4538    17982   3.56
  1947          86     0.24744  0.22019  0.50    4018     885    3575    13444   3.35
  1947          87     0.26706  0.23560  0.50    3133     738    2764     9869   3.15
  1947          88     0.28791  0.25168  0.50    2395     603    2093     7105   2.97
  1947          89     0.30987  0.26830  0.50    1792     481    1552     5011   2.80
  1947          90     0.33286  0.28537  0.50    1311     374    1124     3460   2.64
