41.Saga.ken, Life tables (period 1x1), Total     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11467  0.10660  0.34  100000   10660   92956  4763413  47.63
  1947           1     0.04286  0.04196  0.50   89340    3748   87466  4670457  52.28
  1947           2     0.02677  0.02642  0.50   85592    2261   84461  4582991  53.54
  1947           3     0.01531  0.01519  0.50   83331    1266   82698  4498529  53.98
  1947           4     0.00864  0.00860  0.50   82065     706   81712  4415832  53.81
  1947           5     0.00557  0.00555  0.50   81359     452   81133  4334120  53.27
  1947           6     0.00426  0.00426  0.50   80907     344   80735  4252987  52.57
  1947           7     0.00319  0.00318  0.50   80563     256   80435  4172252  51.79
  1947           8     0.00242  0.00242  0.50   80307     194   80210  4091817  50.95
  1947           9     0.00196  0.00196  0.50   80112     157   80034  4011608  50.07
  1947          10     0.00169  0.00169  0.50   79956     135   79888  3931573  49.17
  1947          11     0.00162  0.00162  0.50   79821     130   79756  3851685  48.25
  1947          12     0.00178  0.00178  0.50   79691     142   79620  3771929  47.33
  1947          13     0.00220  0.00220  0.50   79549     175   79462  3692309  46.42
  1947          14     0.00278  0.00277  0.50   79374     220   79264  3612847  45.52
  1947          15     0.00343  0.00343  0.50   79154     271   79019  3533583  44.64
  1947          16     0.00422  0.00421  0.50   78883     332   78717  3454564  43.79
  1947          17     0.00519  0.00518  0.50   78551     407   78348  3375847  42.98
  1947          18     0.00631  0.00629  0.50   78144     492   77898  3297500  42.20
  1947          19     0.00751  0.00748  0.50   77652     581   77362  3219601  41.46
  1947          20     0.00868  0.00864  0.50   77071     666   76738  3142240  40.77
  1947          21     0.00944  0.00940  0.50   76405     718   76046  3065502  40.12
  1947          22     0.00957  0.00953  0.50   75687     721   75326  2989456  39.50
  1947          23     0.00971  0.00967  0.50   74966     725   74604  2914129  38.87
  1947          24     0.01032  0.01027  0.50   74241     762   73860  2839525  38.25
  1947          25     0.01049  0.01044  0.50   73479     767   73096  2765665  37.64
  1947          26     0.01016  0.01011  0.50   72712     735   72345  2692570  37.03
  1947          27     0.00964  0.00959  0.50   71977     690   71632  2620225  36.40
  1947          28     0.00947  0.00943  0.50   71287     672   70951  2548593  35.75
  1947          29     0.00982  0.00977  0.50   70615     690   70270  2477642  35.09
  1947          30     0.00954  0.00950  0.50   69925     664   69593  2407373  34.43
  1947          31     0.00908  0.00904  0.50   69261     626   68948  2337780  33.75
  1947          32     0.00916  0.00911  0.50   68635     626   68322  2268832  33.06
  1947          33     0.00968  0.00963  0.50   68009     655   67681  2200511  32.36
  1947          34     0.01033  0.01027  0.50   67354     692   67008  2132829  31.67
  1947          35     0.01074  0.01068  0.50   66662     712   66306  2065821  30.99
  1947          36     0.01065  0.01059  0.50   65950     699   65601  1999515  30.32
  1947          37     0.01023  0.01018  0.50   65251     664   64919  1933915  29.64
  1947          38     0.00984  0.00979  0.50   64587     632   64271  1868996  28.94
  1947          39     0.00977  0.00973  0.50   63955     622   63644  1804725  28.22
  1947          40     0.01019  0.01014  0.50   63333     642   63012  1741081  27.49
  1947          41     0.01089  0.01083  0.50   62691     679   62351  1678069  26.77
  1947          42     0.01093  0.01087  0.50   62012     674   61675  1615718  26.05
  1947          43     0.01080  0.01074  0.50   61338     659   61009  1554043  25.34
  1947          44     0.01116  0.01110  0.50   60679     673   60343  1493034  24.61
  1947          45     0.01167  0.01160  0.50   60006     696   59658  1432692  23.88
  1947          46     0.01196  0.01189  0.50   59310     705   58957  1373034  23.15
  1947          47     0.01235  0.01227  0.50   58605     719   58245  1314077  22.42
  1947          48     0.01299  0.01291  0.50   57886     747   57512  1255832  21.70
  1947          49     0.01386  0.01377  0.50   57138     787   56745  1198320  20.97
  1947          50     0.01457  0.01446  0.50   56352     815   55944  1141575  20.26
  1947          51     0.01488  0.01477  0.50   55537     820   55127  1085630  19.55
  1947          52     0.01548  0.01536  0.50   54716     841   54296  1030504  18.83
  1947          53     0.01688  0.01674  0.50   53876     902   53425   976208  18.12
  1947          54     0.01825  0.01808  0.50   52974     958   52495   922783  17.42
  1947          55     0.01953  0.01934  0.50   52016    1006   51513   870288  16.73
  1947          56     0.02102  0.02080  0.50   51010    1061   50479   818775  16.05
  1947          57     0.02307  0.02281  0.50   49949    1139   49379   768296  15.38
  1947          58     0.02556  0.02524  0.50   48809    1232   48193   718917  14.73
  1947          59     0.02702  0.02666  0.50   47578    1268   46943   670724  14.10
  1947          60     0.02890  0.02849  0.50   46309    1319   45649   623780  13.47
  1947          61     0.03271  0.03218  0.50   44990    1448   44266   578131  12.85
  1947          62     0.03676  0.03610  0.50   43542    1572   42756   533865  12.26
  1947          63     0.03933  0.03858  0.50   41970    1619   41161   491109  11.70
  1947          64     0.04163  0.04078  0.50   40351    1646   39528   449949  11.15
  1947          65     0.04530  0.04429  0.50   38706    1714   37848   410420  10.60
  1947          66     0.05052  0.04928  0.50   36991    1823   36080   372572  10.07
  1947          67     0.05585  0.05433  0.50   35168    1911   34213   336492   9.57
  1947          68     0.06001  0.05826  0.50   33257    1938   32289   302280   9.09
  1947          69     0.06381  0.06184  0.50   31320    1937   30351   269991   8.62
  1947          70     0.06884  0.06655  0.50   29383    1955   28405   239640   8.16
  1947          71     0.07664  0.07381  0.50   27428    2024   26416   211234   7.70
  1947          72     0.08521  0.08173  0.50   25403    2076   24365   184819   7.28
